date,FAPAR,perc_cloudfree
2017-01-07,,0
2017-01-10,,0
2017-01-27,0.22995907068252563,100
2017-01-30,,0
2017-02-06,,0
2017-02-09,,0
2017-02-16,0.3203422725200653,100
2017-02-19,,0
2017-02-26,,0
2017-03-01,,0
2017-03-08,,0
2017-03-11,,0
2017-03-18,,0
2017-03-20,,0
2017-03-21,,0
2017-03-23,,0
2017-03-26,0.24595418572425842,100
2017-03-28,0.3406635522842407,100
2017-03-31,,0
2017-04-02,,0
2017-04-05,,0
2017-04-07,,0
2017-04-10,,0
2017-04-12,,0
2017-04-15,,0
2017-04-17,,0
2017-04-20,,0
2017-04-22,,0
2017-04-25,,0
2017-04-27,,0
2017-04-30,,0
2017-05-02,,0
2017-05-05,,0
2017-05-07,,0
2017-05-10,,0
2017-05-12,,0
2017-05-15,0.7325674295425415,100
2017-05-17,,0
2017-05-20,,0
2017-05-22,0.8226260542869568,100
2017-05-25,,0
2017-05-27,0.829111635684967,100
2017-05-30,,0
2017-06-01,0.8701434135437012,100
2017-06-04,,0
2017-06-06,,0
2017-06-09,,0
2017-06-11,,0
2017-06-14,0.8570610284805298,100
2017-06-16,,0
2017-06-19,0.8459782600402832,100
2017-06-21,,0
2017-06-24,0.5928229093551636,72
2017-06-26,,0
2017-06-29,,0
2017-07-01,,0
2017-07-04,,0
2017-07-06,,0
2017-07-09,,0
2017-07-11,0.8649319410324097,100
2017-07-14,,0
2017-07-16,,0
2017-07-19,0.8199005722999573,100
2017-07-21,,0
2017-07-24,,0
2017-07-26,,0
2017-07-29,0.7440707683563232,100
2017-07-31,,0
2017-08-03,,0
2017-08-05,,0
2017-08-08,,0
2017-08-10,,0
2017-08-13,,0
2017-08-15,,0
2017-08-18,,0
2017-08-20,,0
2017-08-23,0.8186424374580383,100
2017-08-25,0.8321477174758911,100
2017-08-28,,0
2017-08-30,,0
2017-09-02,,0
2017-09-04,0.8381462693214417,40
2017-09-07,,0
2017-09-09,,0
2017-09-12,,0
2017-09-14,0.8834479451179504,100
2017-09-17,,0
2017-09-19,,0
2017-09-22,0.8253518342971802,100
2017-09-24,,0
2017-09-27,,0
2017-09-29,0.8106697797775269,100
2017-10-02,,0
2017-10-04,,0
2017-10-07,,0
2017-10-09,,0
2017-10-12,,0
2017-10-14,0.7647095322608948,100
2017-10-17,0.4530661404132843,100
2017-10-19,0.6496844291687012,100
2017-10-22,,0
2017-10-24,,0
2017-10-27,,0
2017-10-29,0.6328107714653015,100
2017-11-01,,0
2017-11-03,0.6128318309783936,100
2017-11-06,0.32562556862831116,100
2017-11-08,,0
2017-11-11,,0
2017-11-13,,0
2017-11-16,,0
2017-11-18,,0
2017-11-21,,0
2017-11-23,,0
2017-11-26,,0
2017-11-28,,0
2017-12-01,,0
2017-12-03,,0
2017-12-06,,0
2017-12-08,0.37385401129722595,100
2017-12-11,,0
2017-12-13,,0
2017-12-16,,0
2017-12-18,0.39532458782196045,100
2017-12-21,,0
2017-12-23,,0
2017-12-26,,0
2017-12-28,,0
2017-12-31,,0
2018-01-02,,0
2018-01-05,,0
2018-01-07,,0
2018-01-10,,0
2018-01-12,,0
2018-01-15,,0
