date,FAPAR,perc_cloudfree
2017-01-03,,0
2017-01-13,,0
2017-02-02,0.17986087501049042,100
2017-02-12,,0
2017-02-22,,0
2017-03-04,,0
2017-03-14,0.13502371311187744,100
2017-03-19,,0
2017-03-24,,0
2017-03-29,,0
2017-04-03,,0
2017-04-08,0.15748843550682068,100
2017-04-13,,0
2017-04-18,,0
2017-04-23,,0
2017-04-28,,0
2017-05-03,,0
2017-05-08,,0
2017-05-13,,0
2017-05-18,,0
2017-05-23,,0
2017-05-28,,0
2017-06-02,0.30097031593322754,100
2017-06-07,0.4772110879421234,100
2017-06-12,,0
2017-06-17,,0
2017-06-22,,0
2017-06-27,,0
2017-07-02,,0
2017-07-07,,0
2017-07-12,,0
2017-07-17,,0
2017-07-22,,0
2017-07-27,,0
2017-08-01,,0
2017-08-06,0.9527353644371033,100
2017-08-11,,0
2017-08-16,,0
2017-08-21,,0
2017-08-26,,0
2017-08-31,,0
2017-09-05,,0
2017-09-10,,0
2017-09-15,,0
2017-09-20,,0
2017-09-25,,0
2017-09-30,,0
2017-10-05,,0
2017-10-10,,0
2017-10-15,0.10680307447910309,100
2017-10-20,0.06217753514647484,100
2017-10-25,,0
2017-10-30,0.08024206012487411,100
2017-11-04,,0
2017-11-09,,0
2017-11-14,,0
2017-11-19,0.15377044677734375,100
2017-11-24,,0
2017-11-29,,0
2017-12-09,,0
2017-12-14,,0
2017-12-19,,0
2017-12-24,,0
2017-12-29,,0
2018-01-03,,0
2018-01-08,,0
2018-01-13,,0
2018-01-18,,0
2018-01-23,,0
2018-01-28,,0
2018-02-02,,0
2018-02-07,,0
2018-02-12,,0
2018-02-17,,0
2018-02-22,0.4811771512031555,100
2018-02-27,0.37512269616127014,100
2018-03-04,0.3509857952594757,94
2018-03-09,,0
2018-03-14,,0
2018-03-19,,0
2018-03-24,,0
2018-03-29,,0
2018-04-03,,0
2018-04-08,0.7343953251838684,100
2018-04-13,,0
2018-04-18,0.8528125286102295,100
2018-04-23,,0
2018-04-28,,0
2018-05-03,,0
2018-05-08,0.916628360748291,100
2018-05-13,,0
2018-05-18,,0
2018-05-23,,0
2018-05-28,0.8820787668228149,100
2018-06-02,,0
2018-06-07,0.8520850539207458,58
2018-06-12,,0
2018-06-17,,0
2018-06-22,,0
2018-06-27,0.6215394139289856,100
2018-07-02,0.3976811170578003,100
2018-07-07,0.21187609434127808,100
2018-07-12,,0
2018-07-17,,0
2018-07-22,0.14598865807056427,100
2018-07-27,0.13271287083625793,100
2018-08-01,,0
