date,FAPAR,perc_cloudfree
2017-01-28,,0
2017-01-31,,0
2017-02-07,0.46365082263946533,100
2017-02-10,,0
2017-02-17,,0
2017-02-20,,0
2017-02-27,,0
2017-03-02,,0
2017-03-09,,0
2017-03-12,,0
2017-03-19,0.6421268582344055,11
2017-03-21,,0
2017-03-22,,0
2017-03-24,,0
2017-03-27,,0
2017-03-29,0.6111751794815063,1
2017-04-01,,0
2017-04-03,,0
2017-04-06,,0
2017-04-08,0.5785015821456909,100
2017-04-11,,0
2017-04-13,,0
2017-04-16,,0
2017-04-18,,0
2017-04-21,,0
2017-04-23,,0
2017-04-26,,0
2017-04-28,,0
2017-05-01,0.5471773147583008,100
2017-05-06,0.5366772413253784,100
2017-05-08,,0
2017-05-11,,0
2017-05-13,,0
2017-05-16,0.523653507232666,100
2017-05-18,,0
2017-05-21,0.5218188166618347,100
2017-05-26,,0
2017-05-28,0.49868136644363403,100
2017-05-31,,0
2017-06-02,,0
2017-06-05,,0
2017-06-07,,0
2017-06-10,,0
2017-06-12,,0
2017-06-15,0.5481835603713989,100
2017-06-17,,0
2017-06-20,,0
2017-06-22,0.6111056208610535,77
2017-06-25,,0
2017-06-27,0.3868516981601715,100
2017-06-30,0.6000332832336426,100
2017-07-02,,0
2017-07-05,,0
2017-07-07,,0
2017-07-10,,0
2017-07-12,,0
2017-07-15,0.6325064301490784,100
2017-07-17,,0
2017-07-20,,0
2017-07-22,,0
2017-07-25,,0
2017-07-27,,0
2017-07-30,0.7433013916015625,1
2017-08-01,,0
2017-08-04,,0
2017-08-06,,0
2017-08-09,,0
2017-08-11,,0
2017-08-14,,0
2017-08-16,,0
2017-08-19,,0
2017-08-21,,0
2017-08-24,,0
2017-08-26,,0
2017-08-29,,0
2017-08-31,,0
2017-09-03,0.6375234723091125,100
2017-09-05,0.6685614585876465,100
2017-09-08,,0
2017-09-10,,0
2017-09-13,,0
2017-09-15,,0
2017-09-18,,0
2017-09-20,,0
2017-09-23,,0
2017-09-28,,0
2017-09-30,,0
2017-10-03,,0
2017-10-05,,0
2017-10-08,,0
2017-10-10,,0
2017-10-13,,0
2017-10-15,,0
2017-10-18,,0
2017-10-20,0.4056965708732605,97
2017-10-23,,0
2017-10-25,,0
2017-10-28,,0
2017-10-30,,0
2017-11-02,0.44994980096817017,100
2017-11-04,,0
2017-11-07,0.5335169434547424,100
2017-11-09,,0
2017-11-12,,0
2017-11-14,,0
2017-11-17,,0
2017-11-19,,0
2018-01-23,,0
2018-01-26,,0
2018-01-28,,0
2018-01-31,,0
2018-02-02,,0
2018-02-05,,0
2018-02-07,,0
2018-02-10,,0
2018-02-12,,0
2018-02-15,,0
2018-02-17,,0
2018-02-20,0.3196307122707367,47
2018-02-22,0.32785290479660034,40
2018-02-25,,0
2018-02-27,0.48219406604766846,94
2018-03-02,,0
2018-03-04,,0
2018-03-07,,0
2018-03-09,,0
2018-03-12,,0
2018-03-14,,0
2018-03-17,,0
2018-03-19,,0
2018-03-22,,0
2018-03-24,,0
2018-03-27,,0
2018-03-29,,0
2018-04-01,,0
2018-04-03,,0
2018-04-06,,0
2018-04-08,,0
2018-04-11,,0
2018-04-13,,0
2018-04-16,,0
