date,FAPAR,perc_cloudfree
2017-01-28,,0
2017-01-31,,0
2017-02-07,,0
2017-02-10,,0
2017-02-17,,0
2017-02-20,,0
2017-02-27,,0
2017-03-02,,0
2017-03-09,,0
2017-03-12,,0
2017-03-19,,0
2017-03-22,,0
2017-03-24,,0
2017-03-27,,0
2017-03-29,,0
2017-04-01,,0
2017-04-03,,0
2017-04-06,,0
2017-04-08,,0
2017-04-11,,0
2017-04-13,,0
2017-04-16,0.3754914402961731,100
2017-04-18,0.3741333484649658,100
2017-04-21,,0
2017-04-23,,0
2017-04-26,,0
2017-04-28,,0
2017-05-01,0.3506847321987152,100
2017-05-06,0.34484022855758667,100
2017-05-08,,0
2017-05-11,,0
2017-05-13,,0
2017-05-16,0.3446323871612549,100
2017-05-18,,0
2017-05-21,0.352487176656723,100
2017-05-26,,0
2017-05-28,0.35947638750076294,100
2017-05-31,,0
2017-06-02,,0
2017-06-05,,0
2017-06-07,0.38745996356010437,100
2017-06-10,,0
2017-06-12,,0
2017-06-15,0.43986043334007263,100
2017-06-17,0.40362170338630676,100
2017-06-20,,0
2017-06-22,0.4932144582271576,100
2017-06-25,0.3814948499202728,79
2017-06-27,,0
2017-06-30,0.515864372253418,100
2017-07-02,,0
2017-07-05,,0
2017-07-07,,0
2017-07-10,,0
2017-07-12,,0
2017-07-15,,0
2017-07-17,,0
2017-07-20,,0
2017-07-22,,0
2017-07-25,,0
2017-07-27,,0
2017-07-30,0.5491782426834106,14
2017-08-01,,0
2017-08-04,,0
2017-08-06,,0
2017-08-09,0.48258233070373535,83
2017-08-11,,0
2017-08-14,0.6428096890449524,100
2017-08-16,,0
2017-08-19,,0
2017-08-21,,0
2017-08-24,,0
2017-08-26,,0
2017-08-29,,0
2017-08-31,,0
2017-09-03,0.6049621105194092,100
2017-09-05,0.634752094745636,100
2017-09-08,,0
2017-09-10,,0
2017-09-13,,0
2017-09-15,,0
2017-09-18,,0
2017-09-20,,0
2017-09-23,0.5092707872390747,71
2017-09-28,,0
2017-09-30,,0
2017-10-03,,0
2017-10-05,,0
2017-10-08,,0
2017-10-10,,0
2017-10-13,,0
2017-10-15,,0
2017-10-18,,0
2017-10-20,,0
2017-10-23,,0
2017-10-25,,0
2017-10-28,,0
2017-10-30,,0
2017-11-02,,0
2017-11-04,,0
2017-11-07,0.33947059512138367,100
2017-11-09,,0
2017-11-12,,0
2017-11-14,,0
2017-11-17,,0
2017-11-19,,0
2018-01-23,,0
2018-01-26,,0
2018-01-28,,0
2018-01-31,,0
2018-02-02,,0
2018-02-05,,0
2018-02-07,,0
2018-02-10,,0
2018-02-12,,0
2018-02-15,,0
2018-02-17,,0
2018-02-20,,0
2018-02-22,,0
2018-02-25,,0
2018-02-27,,0
2018-03-02,,0
2018-03-04,,0
2018-03-07,,0
2018-03-09,,0
2018-03-12,,0
2018-03-14,,0
2018-03-17,,0
2018-03-19,,0
2018-03-22,,0
2018-03-24,,0
2018-03-27,,0
2018-03-29,,0
2018-04-01,,0
2018-04-03,,0
2018-04-06,,0
2018-04-08,,0
2018-04-11,,0
2018-04-13,,0
2018-04-16,,0
2018-04-18,,0
2018-04-21,,0
2018-04-23,0.2668161690235138,25
