date,FAPAR,perc_cloudfree
2017-01-04,,0
2017-01-07,0.06520796567201614,34
2017-01-14,,0
2017-01-24,,0
2017-01-27,0.2598119378089905,100
2017-02-03,,0
2017-02-06,,0
2017-02-13,,0
2017-02-16,0.191405788064003,55
2017-02-23,,0
2017-02-26,,0
2017-03-05,,0
2017-03-08,,0
2017-03-15,,0
2017-03-17,0.30863574147224426,100
2017-03-18,,0
2017-03-20,0.39043980836868286,100
2017-03-23,,0
2017-03-25,0.5216014385223389,100
2017-03-28,0.6003790497779846,100
2017-03-30,0.6222660541534424,100
2017-04-02,0.7873067855834961,100
2017-04-04,,0
2017-04-07,,0
2017-04-09,0.7012214064598083,100
2017-04-12,0.7138976454734802,100
2017-04-14,0.6577934622764587,100
2017-04-17,,0
2017-04-22,0.5589290261268616,100
2017-04-24,0.5138619542121887,100
2017-04-27,,0
2017-04-29,0.6369577646255493,8
2017-05-02,,0
2017-05-04,,0
2017-05-07,,0
2017-05-09,0.7652062773704529,100
2017-05-12,,0
2017-05-14,,0
2017-05-17,0.859765350818634,100
2017-05-19,,0
2017-05-22,0.9146654009819031,100
2017-05-24,,0
2017-05-27,0.9204105138778687,100
2017-05-29,0.9361769556999207,100
2017-06-01,0.9225618839263916,100
2017-06-03,0.8837476372718811,9
2017-06-06,,0
2017-06-08,,0
2017-06-11,0.9399073719978333,100
2017-06-13,0.9482316374778748,100
2017-06-16,,0
2017-06-18,0.9442186951637268,100
2017-06-21,,0
2017-06-23,,0
2017-06-26,0.9115220308303833,100
2017-06-28,,0
2017-07-01,,0
2017-07-03,0.8919788002967834,100
2017-07-06,0.3962195813655853,100
2017-07-08,0.35492339730262756,100
2017-07-11,,0
2017-07-13,0.6474945545196533,100
2017-07-16,0.7984840869903564,100
2017-07-18,0.8921703100204468,100
2017-07-21,0.8263764977455139,100
2017-07-23,,0
2017-07-26,0.5141445994377136,89
2017-07-28,,0
2017-07-31,,0
2017-08-02,,0
2017-08-05,0.964963436126709,100
2017-08-07,0.9702544212341309,100
2017-08-10,,0
2017-08-12,,0
2017-08-15,,0
2017-08-17,,0
2017-08-20,0.9253078103065491,100
2017-08-22,0.9651196002960205,100
2017-08-25,0.9591898322105408,100
2017-08-27,,0
2017-08-30,0.9408310651779175,100
2017-09-01,,0
2017-09-04,,0
2017-09-06,,0
2017-09-09,,0
2017-09-11,,0
2017-09-14,,0
2017-09-16,,0
2017-09-19,,0
2017-09-21,0.6225804090499878,100
2017-09-24,0.6135393977165222,100
2017-09-26,,0
2017-09-29,,0
2017-10-01,,0
2017-10-04,0.6671993732452393,60
2017-10-06,0.7979528903961182,100
2017-10-09,0.8119442462921143,100
2017-10-11,0.7744200229644775,100
2017-10-14,0.7533544898033142,100
2017-10-16,0.7590014934539795,100
2017-10-19,0.6811193227767944,100
2017-10-21,0.7402598261833191,100
2017-10-24,,0
2017-10-26,,0
2017-10-29,,0
2017-10-31,0.7099706530570984,100
2017-11-03,0.6838502883911133,100
2017-11-05,,0
2017-11-08,,0
2017-11-10,,0
2017-11-13,,0
2017-11-15,0.5555378198623657,100
2017-11-18,0.5880220532417297,100
2017-11-20,0.37608709931373596,100
2017-11-23,0.5150707364082336,100
2017-11-28,,0
2017-11-30,,0
2017-12-03,0.45502522587776184,100
2017-12-05,0.4239766299724579,100
2017-12-08,,0
2017-12-10,,0
2017-12-13,,0
2017-12-15,,0
2017-12-18,,0
2017-12-20,,0
2017-12-23,,0
2017-12-25,,0
2017-12-28,,0
2017-12-30,,0
2018-01-02,,0
2018-01-04,,0
2018-01-07,,0
2018-01-09,,0
2018-01-12,,0
2018-01-14,,0
2018-01-17,,0
2018-01-19,,0
2018-01-22,,0
2018-01-24,,0
2018-01-27,,0
2018-01-29,,0
2018-02-01,,0
2018-02-03,,0
2018-02-06,,0
2018-02-08,,0
2018-02-11,,0
2018-02-13,,0
2018-02-16,,0
2018-02-18,,0
2018-02-21,,0
2018-02-23,,0
2018-02-26,,0
2018-02-28,,0
2018-03-03,,0
2018-03-05,,0
2018-03-08,,0
2018-03-10,,0
2018-03-13,,0
2018-03-15,,0
2018-03-18,,0
2018-03-20,,0
2018-03-23,,0
2018-03-25,,0
2018-03-28,,0
2018-03-30,,0
2018-04-02,,0
2018-04-04,,0
2018-04-07,0.2900082767009735,100
2018-04-09,,0
2018-04-12,,0
2018-04-14,0.3978215157985687,6
2018-04-17,,0
2018-04-19,0.7366058230400085,100
2018-04-22,0.7186145782470703,100
2018-04-24,0.7439019680023193,100
2018-04-27,,0
2018-04-29,,0
2018-05-02,,0
2018-05-04,,0
2018-05-07,,0
2018-05-09,,0
2018-05-12,,0
2018-05-14,,0
2018-05-17,,0
2018-05-19,,0
2018-05-22,,0
2018-05-24,,0
2018-05-29,,0
2018-06-01,0.6820914149284363,63
2018-06-03,,0
2018-06-06,,0
2018-06-08,,0
2018-06-11,,0
2018-06-13,,0
2018-06-16,0.9309310913085938,100
2018-06-18,0.9488683342933655,100
2018-06-21,0.9105187058448792,100
2018-06-23,0.9176189303398132,100
2018-06-26,0.7385231256484985,100
2018-06-28,,0
2018-07-01,0.3115537166595459,100
2018-07-03,,0
2018-07-06,,0
2018-07-08,0.3980576694011688,100
2018-07-11,0.6318536996841431,100
2018-07-13,0.7356152534484863,100
2018-07-16,,0
2018-07-18,0.8960282802581787,100
2018-07-21,,0
2018-07-23,,0
2018-07-26,,0
2018-07-28,,0
2018-07-31,0.9485366940498352,100
2018-08-02,,0
2018-08-05,0.9544216394424438,100
2018-08-07,,0
2018-08-10,,0
2018-08-12,0.9609625935554504,100
2018-08-15,0.9659928679466248,100
2018-08-17,0.9544937610626221,100
2018-08-20,,0
2018-08-22,,0
2018-08-25,,0
2018-08-27,0.9534651637077332,100
2018-08-30,,0
2018-09-01,,0
2018-09-04,0.9038476347923279,51
2018-09-06,0.9449500441551208,100
2018-09-09,0.7719343304634094,100
2018-09-11,,0
2018-09-14,,0
2018-09-16,0.5427032709121704,100
2018-09-19,0.6725417971611023,100
2018-09-21,0.7722498178482056,100
2018-09-24,0.8649325370788574,100
2018-09-26,,0
2018-09-29,0.8672120571136475,100
2018-10-01,,0
2018-10-04,0.9081329107284546,100
2018-10-06,,0
2018-10-09,0.8963649868965149,100
2018-10-11,,0
2018-10-16,,0
2018-10-19,0.8168487548828125,100
2018-10-21,0.6848387122154236,100
2018-10-24,0.3768485486507416,100
2018-10-26,0.6309697031974792,100
2018-10-29,,0
2018-10-31,,0
2018-11-03,,0
2018-11-05,,0
2018-11-08,,0
2018-11-10,,0
2018-11-15,0.6077651381492615,100
2018-11-18,0.6226021647453308,100
2018-11-20,,0
2018-11-23,,0
2018-11-25,,0
2018-11-28,,0
2018-11-30,,0
2018-12-03,,0
2018-12-05,,0
2018-12-08,0.3602215349674225,100
2018-12-10,,0
2018-12-13,,0
2018-12-15,,0
2018-12-18,,0
2018-12-20,,0
2018-12-23,,0
2018-12-25,,0
2018-12-28,,0
2018-12-30,,0
2019-01-02,,0
2019-01-04,0.3231741786003113,100
2019-01-07,,0
2019-01-09,,0
2019-01-12,,0
2019-01-14,,0
2019-01-17,,0
2019-01-19,,0
2019-01-22,,0
2019-01-24,,0
2019-01-27,,0
2019-01-29,,0
2019-02-01,,0
2019-02-03,,0
2019-02-06,,0
2019-02-08,,0
2019-02-11,,0
2019-02-13,,0
2019-02-16,,0
2019-02-18,,0
2019-02-21,,0
2019-02-23,,0
2019-02-26,,0
2019-02-28,0.19310854375362396,100
2019-03-03,,0
2019-03-05,0.24328027665615082,100
2019-03-08,0.28371354937553406,100
2019-03-10,,0
2019-03-13,,0
2019-03-15,,0
2019-03-18,,0
2019-03-20,,0
2019-03-23,0.3423693776130676,100
2019-03-25,0.2940956652164459,100
2019-03-28,0.39250463247299194,100
2019-03-30,,0
2019-04-02,,0
2019-04-04,,0
2019-04-07,,0
2019-04-09,,0
2019-04-12,0.6401892900466919,100
2019-04-14,,0
2019-04-17,,0
2019-04-19,,0
2019-04-22,0.4431646764278412,64
2019-04-24,,0
2019-04-27,,0
2019-04-29,,0
2019-05-02,0.7642050981521606,100
2019-05-04,,0
2019-05-07,,0
2019-05-09,,0
2019-05-12,,0
2019-05-14,0.8807228207588196,100
2019-05-17,,0
2019-05-19,,0
2019-05-24,0.9143168926239014,100
2019-05-27,,0
2019-05-29,,0
2019-06-01,0.923595130443573,100
2019-06-03,0.9439886212348938,100
2019-06-06,,0
2019-06-11,0.9632941484451294,100
2019-06-13,0.9568770527839661,100
2019-06-16,0.9470899105072021,100
2019-06-18,0.9618830680847168,100
2019-06-21,,0
2019-06-23,,0
2019-06-26,0.9152047038078308,100
2019-06-28,0.789997398853302,100
2019-07-01,,0
2019-07-03,,0
2019-07-06,,0
2019-07-08,,0
2019-07-11,,0
2019-07-13,,0
2019-07-16,0.8881838917732239,100
2019-07-18,,0
2019-07-21,0.7455130219459534,2
2019-07-23,0.9541856050491333,100
2019-07-26,0.9668439626693726,100
2019-07-28,,0
2019-07-31,,0
2019-08-02,,0
2019-08-05,,0
2019-08-07,,0
2019-08-10,,0
2019-08-12,,0
2019-08-15,,0
2019-08-17,,0
2019-08-20,,0
2019-08-22,0.960676372051239,100
2019-08-25,,0
2019-08-27,0.9540925621986389,100
2019-08-30,0.9438585638999939,100
2019-09-01,,0
2019-09-04,0.9403418302536011,100
2019-09-06,,0
2019-09-09,,0
2019-09-11,0.9401941299438477,100
2019-09-14,0.5199331045150757,100
2019-09-16,0.4582882523536682,100
2019-09-19,,0
2019-09-21,,0
2019-09-24,,0
2019-09-26,,0
2019-09-29,0.7941998243331909,100
2019-10-01,0.8585744500160217,100
2019-10-04,,0
2019-10-06,,0
2019-10-09,,0
2019-10-11,0.9063684344291687,100
2019-10-14,0.9155678153038025,100
2019-10-16,0.9121687412261963,100
2019-10-19,,0
2019-10-21,,0
2019-10-24,,0
2019-10-26,0.8108538389205933,100
2019-10-29,,0
2019-10-31,,0
2019-11-03,,0
2019-11-05,,0
2019-11-08,,0
2019-11-10,,0
2019-11-13,,0
2019-11-15,,0
2019-11-18,,0
2019-11-20,,0
2019-11-23,,0
2019-11-28,,0
2019-11-30,,0
2019-12-03,,0
2019-12-05,,0
2019-12-08,,0
2019-12-10,,0
2019-12-13,,0
2019-12-15,,0
2019-12-18,,0
2019-12-20,,0
2019-12-23,,0
2019-12-25,,0
2019-12-28,,0
2019-12-30,,0
2020-01-02,,0
2020-01-04,,0
2020-01-07,,0
2020-01-09,,0
2020-01-12,,0
2020-01-14,,0
2020-01-17,,0
2020-01-19,,0
