date,FAPAR,perc_cloudfree
2017-01-07,,0
2017-01-10,,0
2017-01-27,,0
2017-01-30,,0
2017-02-06,,0
2017-02-09,,0
2017-02-16,,0
2017-02-19,,0
2017-02-26,,0
2017-03-01,,0
2017-03-08,,0
2017-03-11,,0
2017-03-18,,0
2017-03-21,,0
2017-03-23,,0
2017-03-26,,0
2017-03-28,,0
2017-03-31,,0
2017-04-02,,0
2017-04-05,,0
2017-04-07,,0
2017-04-10,,0
2017-04-12,,0
2017-04-15,,0
2017-04-17,,0
2017-04-20,,0
2017-04-22,,0
2017-04-25,,0
2017-04-27,,0
2017-04-30,,0
2017-05-02,,0
2017-05-05,,0
2017-05-07,,0
2017-05-10,,0
2017-05-12,,0
2017-05-15,0.11947565525770187,6
2017-05-17,,0
2017-05-20,0.10603056848049164,29
2017-05-22,0.08903345465660095,100
2017-05-25,0.10363873839378357,100
2017-05-27,0.11395598948001862,100
2017-05-30,,0
2017-06-01,0.13600730895996094,100
2017-06-04,,0
2017-06-06,,0
2017-06-09,,0
2017-06-11,0.24851740896701813,100
2017-06-14,0.2268252819776535,63
2017-06-16,0.3186132311820984,100
2017-06-19,0.36703962087631226,100
2017-06-21,,0
2017-06-24,,0
2017-06-26,0.43357235193252563,100
2017-06-29,,0
2017-07-01,,0
2017-07-04,,0
2017-07-06,0.48998865485191345,100
2017-07-09,,0
2017-07-11,,0
2017-07-14,,0
2017-07-16,0.5324045419692993,100
2017-07-19,0.4951228201389313,100
2017-07-21,,0
2017-07-24,,0
2017-07-26,,0
2017-07-29,,0
2017-07-31,,0
2017-08-03,,0
2017-08-05,0.5786076188087463,100
2017-08-08,,0
2017-08-10,,0
2017-08-13,0.4615909457206726,100
2017-08-15,0.5272465348243713,100
2017-08-18,,0
2017-08-20,0.5206629633903503,100
2017-08-23,0.5453105568885803,100
2017-08-25,0.5057010650634766,100
2017-08-28,,0
2017-08-30,,0
2017-09-02,,0
2017-09-04,,0
2017-09-07,0.48516908288002014,100
2017-09-09,,0
2017-09-12,0.45817190408706665,100
2017-09-14,,0
2017-09-17,,0
2017-09-19,0.3615068197250366,100
2017-09-22,0.36318543553352356,100
2017-09-24,,0
2017-09-27,,0
2017-09-29,0.28629958629608154,100
2017-10-02,,0
2017-10-04,,0
2017-10-07,0.2708723247051239,100
2017-10-09,0.25036564469337463,100
2017-10-12,0.2474650740623474,100
2017-10-14,0.22916030883789062,100
2017-10-17,0.2366686314344406,100
2017-10-19,0.20531217753887177,100
2017-10-22,0.29278460144996643,22
2017-10-24,0.18909408152103424,100
2017-10-27,,0
2017-10-29,,0
2017-11-01,0.2005617320537567,100
2017-11-03,0.1949118971824646,100
2017-11-06,,0
2017-11-08,,0
2017-11-11,,0
2017-11-13,,0
2017-11-16,,0
2017-11-18,,0
2017-11-21,,0
2017-11-23,,0
2017-11-26,,0
2017-11-28,,0
2017-12-01,,0
2017-12-03,,0
2017-12-06,,0
2017-12-08,,0
2017-12-11,,0
2017-12-13,,0
2017-12-16,,0
2017-12-18,,0
2017-12-21,,0
2017-12-23,,0
2017-12-26,,0
2017-12-28,,0
2017-12-31,,0
2018-01-02,,0
