date,FAPAR,perc_cloudfree
2017-01-07,,0
2017-01-10,,0
2017-01-27,,0
2017-01-30,,0
2017-02-06,,0
2017-02-09,,0
2017-02-16,,0
2017-02-19,,0
2017-02-26,,0
2017-03-01,,0
2017-03-08,,0
2017-03-11,,0
2017-03-18,,0
2017-03-21,,0
2017-03-23,,0
2017-03-26,,0
2017-03-28,,0
2017-03-31,,0
2017-04-02,,0
2017-04-05,,0
2017-04-07,,0
2017-04-10,,0
2017-04-12,,0
2017-04-15,,0
2017-04-17,,0
2017-04-20,,0
2017-04-22,,0
2017-04-25,,0
2017-04-27,,0
2017-04-30,,0
2017-05-02,,0
2017-05-05,,0
2017-05-07,,0
2017-05-10,,0
2017-05-12,,0
2017-05-15,0.28701692819595337,100
2017-05-17,,0
2017-05-20,,0
2017-05-22,0.36014753580093384,100
2017-05-25,,0
2017-05-27,0.4293627440929413,100
2017-05-30,,0
2017-06-01,0.26134923100471497,98
2017-06-04,,0
2017-06-06,,0
2017-06-09,,0
2017-06-11,0.5808472037315369,100
2017-06-14,,0
2017-06-16,,0
2017-06-19,0.6279492378234863,64
2017-06-21,0.29285624623298645,14
2017-06-24,,0
2017-06-26,0.6728761196136475,100
2017-06-29,,0
2017-07-01,,0
2017-07-04,0.6539891362190247,100
2017-07-06,0.6686522960662842,100
2017-07-09,,0
2017-07-11,,0
2017-07-14,,0
2017-07-16,0.6369808316230774,100
2017-07-19,0.6334166526794434,100
2017-07-21,,0
2017-07-24,,0
2017-07-26,0.6897955536842346,100
2017-07-29,,0
2017-07-31,,0
2017-08-03,0.5332745909690857,2
2017-08-05,,0
2017-08-08,,0
2017-08-10,,0
2017-08-13,0.6531234979629517,100
2017-08-15,0.6084132194519043,100
2017-08-18,,0
2017-08-20,0.6365377902984619,100
2017-08-23,0.6592495441436768,100
2017-08-25,0.647579550743103,100
2017-08-28,,0
2017-08-30,,0
2017-09-02,,0
2017-09-04,,0
2017-09-07,0.6461377739906311,100
2017-09-09,,0
2017-09-12,,0
2017-09-14,,0
2017-09-17,,0
2017-09-19,0.6092572808265686,100
2017-09-22,0.6038154363632202,100
2017-09-24,,0
2017-09-27,,0
2017-09-29,0.385187029838562,100
2017-10-02,,0
2017-10-04,0.46427419781684875,96
2017-10-07,0.504599928855896,100
2017-10-09,0.46454548835754395,100
2017-10-12,0.44928011298179626,100
2017-10-14,0.3892558813095093,100
2017-10-17,0.3613739609718323,100
2017-10-19,0.30700036883354187,100
2017-10-22,,0
2017-10-24,0.3183344304561615,100
2017-10-27,0.34535160660743713,100
2017-10-29,,0
2017-11-01,0.29219987988471985,100
2017-11-03,0.3517201542854309,100
2017-11-06,,0
2017-11-08,,0
2017-11-11,,0
2017-11-13,,0
2017-11-16,,0
2017-11-18,,0
2017-11-21,,0
2017-11-23,,0
2017-11-26,,0
2017-11-28,,0
2017-12-01,,0
2017-12-03,,0
2017-12-06,,0
2017-12-08,,0
2017-12-11,,0
2017-12-13,,0
2017-12-16,,0
2017-12-18,,0
2017-12-21,,0
2017-12-23,,0
2017-12-26,,0
2017-12-28,,0
2017-12-31,,0
2018-01-02,,0
2018-01-05,,0
