date,FAPAR,perc_cloudfree
2017-01-14,,0
2017-01-24,,0
2017-01-27,0.6637923717498779,100
2017-02-03,,0
2017-02-06,,0
2017-02-13,,0
2017-02-16,,0
2017-02-23,,0
2017-02-26,,0
2017-03-05,0.5681777000427246,100
2017-03-08,,0
2017-03-15,,0
2017-03-17,0.687518298625946,100
2017-03-18,,0
2017-03-20,,0
2017-03-23,,0
2017-03-25,,0
2017-03-28,,0
2017-03-30,,0
2017-04-02,0.5420904755592346,12
2017-04-04,,0
2017-04-07,,0
2017-04-09,,0
2017-04-12,,0
2017-04-14,,0
2017-04-17,,0
2017-04-22,,0
2017-04-24,,0
2017-04-27,,0
2017-04-29,,0
2017-05-02,0.5552815794944763,99
2017-05-04,0.5588593482971191,100
2017-05-07,,0
2017-05-09,,0
2017-05-12,,0
2017-05-14,,0
2017-05-17,,0
2017-05-19,,0
2017-05-22,0.5502869486808777,100
2017-05-24,0.5402411222457886,100
2017-05-27,0.5530874133110046,100
2017-05-29,,0
2017-06-01,,0
2017-06-03,,0
2017-06-06,,0
2017-06-08,,0
2017-06-11,,0
2017-06-13,,0
2017-06-16,,0
2017-06-18,,0
2017-06-21,,0
2017-06-23,,0
2017-06-26,,0
2017-06-28,0.6218113303184509,100
2017-07-01,0.6292721629142761,100
2017-07-03,,0
2017-07-06,0.6339622735977173,100
2017-07-08,,0
2017-07-11,,0
2017-07-13,,0
2017-07-16,,0
2017-07-18,,0
2017-07-21,,0
2017-07-23,,0
2017-07-26,,0
2017-07-28,,0
2017-07-31,,0
2017-08-02,,0
2017-08-05,,0
2017-08-07,,0
2017-08-10,,0
2017-08-12,,0
2017-08-15,,0
2017-08-17,,0
2017-08-20,0.6548696756362915,100
2017-08-22,,0
2017-08-25,,0
2017-08-27,,0
2017-08-30,0.6766237020492554,100
2017-09-01,,0
2017-09-04,,0
2017-09-06,,0
2017-09-09,,0
2017-09-11,0.6475688815116882,100
2017-09-14,,0
2017-09-16,,0
2017-09-19,,0
2017-09-21,,0
2017-09-24,,0
2017-09-26,,0
2017-09-29,,0
2017-10-01,,0
2017-10-04,0.7787616848945618,100
2017-10-06,,0
2017-10-09,,0
2017-10-11,,0
2017-10-14,,0
2017-10-16,,0
2017-10-19,0.7830206751823425,100
2017-10-21,0.7775560021400452,100
2017-10-24,,0
2017-10-26,,0
2017-10-29,,0
2017-10-31,0.7498455047607422,100
2017-11-03,0.7390526533126831,100
2017-11-05,,0
2017-11-08,,0
2017-11-10,,0
2017-11-13,0.7251947522163391,100
2017-11-15,,0
2017-11-18,,0
2017-11-20,,0
2017-11-23,,0
2017-11-28,,0
2017-11-30,,0
2018-01-14,,0
2018-01-17,,0
2018-01-19,,0
2018-01-22,,0
2018-01-27,0.6725246906280518,100
2018-01-29,,0
2018-02-01,,0
2018-02-03,,0
2018-02-06,,0
2018-02-08,,0
2018-02-11,,0
2018-02-13,,0
2018-02-16,,0
2018-02-18,,0
2018-02-21,,0
2018-02-23,,0
2018-02-26,,0
2018-02-28,0.3154961168766022,79
2018-03-03,,0
2018-03-05,,0
2018-03-08,,0
2018-03-10,,0
2018-03-13,,0
2018-03-15,,0
2018-03-18,0.39629650115966797,66
2018-03-20,0.36506062746047974,63
2018-03-23,,0
2018-03-25,0.4001708924770355,61
2018-03-28,,0
2018-03-30,0.39104217290878296,65
2018-04-02,,0
2018-04-04,,0
2018-04-07,,0
2018-04-09,,0
2018-04-12,0.47088173031806946,100
2018-04-14,0.5192747712135315,100
2018-04-17,0.5388259887695312,100
2018-04-19,0.5323742628097534,100
2018-04-22,,0
2018-04-24,0.34357157349586487,2
2018-04-27,,0
2018-04-29,,0
2018-05-02,,0
2018-05-04,,0
2018-05-07,0.527632474899292,100
2018-05-09,0.510385274887085,100
2018-05-12,0.4471966624259949,100
2018-05-14,0.5353652834892273,100
2018-05-17,0.5521740317344666,100
2018-05-19,,0
2018-05-22,0.5748438835144043,100
2018-05-24,0.5535507202148438,100
2018-05-29,0.5562047958374023,100
2018-06-01,0.5564099550247192,100
2018-06-03,0.5727320909500122,100
2018-06-06,,0
2018-06-08,,0
2018-06-11,,0
2018-06-13,,0
2018-06-16,,0
2018-06-18,,0
2018-06-21,,0
2018-06-23,,0
2018-06-26,0.4850100874900818,100
2018-06-28,,0
2018-07-01,,0
2018-07-03,,0
2018-07-06,0.5993055105209351,100
2018-07-08,0.595077633857727,100
2018-07-11,,0
2018-07-13,,0
2018-07-16,0.590084433555603,100
2018-07-18,,0
2018-07-21,,0
2018-07-23,,0
2018-07-26,0.5870048403739929,100
2018-07-28,,0
2018-07-31,,0
2018-08-02,0.4760492444038391,100
2018-08-05,,0
2018-08-07,0.6203680634498596,100
2018-08-10,,0
2018-08-12,,0
2018-08-15,,0
2018-08-17,0.34413596987724304,88
2018-08-20,,0
2018-08-22,0.6131279468536377,100
2018-08-25,,0
2018-08-27,,0
2018-08-30,,0
2018-09-01,,0
2018-09-04,,0
2018-09-06,,0
2018-09-09,,0
2018-09-11,,0
2018-09-14,0.6639185547828674,100
2018-09-16,,0
2018-09-19,0.6853708624839783,100
2018-09-21,,0
2018-09-24,,0
2018-09-26,,0
2018-09-29,,0
2018-10-01,,0
2018-10-04,,0
2018-10-06,,0
2018-10-09,,0
2018-10-11,,0
2018-10-14,0.7501752972602844,100
2018-10-16,,0
2018-10-19,0.8104344010353088,100
2018-10-21,,0
2018-10-24,0.8153725862503052,100
2018-10-26,0.7823891043663025,100
2018-10-29,,0
2018-10-31,,0
2018-11-03,,0
2018-11-05,,0
2018-11-08,,0
2018-11-10,,0
2018-11-15,,0
2018-11-18,,0
2018-11-20,,0
2018-11-23,,0
2018-11-25,0.524987518787384,100
2018-11-28,0.5296996831893921,100
2018-11-30,,0
2019-01-14,0.4105533957481384,100
2019-01-17,,0
2019-01-19,,0
2019-01-22,,0
2019-01-24,,0
2019-01-27,,0
2019-01-29,,0
2019-02-01,,0
2019-02-03,,0
2019-02-06,,0
2019-02-08,,0
2019-02-11,,0
2019-02-13,,0
2019-02-16,,0
2019-02-18,,0
2019-02-21,,0
2019-02-23,,0
2019-02-26,0.7081522345542908,100
2019-02-28,,0
2019-03-03,,0
2019-03-05,,0
2019-03-08,,0
2019-03-10,0.3323594629764557,100
2019-03-13,,0
2019-03-15,,0
2019-03-18,,0
2019-03-20,,0
2019-03-23,,0
2019-03-25,0.6259215474128723,100
2019-03-28,,0
2019-03-30,0.5919588208198547,99
