date,FAPAR,perc_cloudfree
2017-02-15,,0
2017-02-19,,0
2017-02-22,,0
2017-02-25,0.0001530130102764815,100
2017-03-01,,0
2017-03-04,,0
2017-03-07,,0
2017-03-11,,0
2017-03-14,,0
2017-03-17,,0
2017-03-19,,0
2017-03-21,,0
2017-03-24,,0
2017-03-26,,0
2017-03-27,,0
2017-03-29,,0
2017-03-31,,0
2017-04-01,,0
2017-04-03,,0
2017-04-05,,0
2017-04-06,,0
2017-04-08,,0
2017-04-10,,0
2017-04-11,,0
2017-04-13,,0
2017-04-15,,0
2017-04-16,,0
2017-04-18,,0
2017-04-20,,0
2017-04-21,,0
2017-04-23,,0
2017-04-25,,0
2017-04-26,,0
2017-04-28,,0
2017-04-30,,0
2017-05-01,,0
2017-05-03,,0
2017-05-05,,0
2017-05-06,,0
2017-05-08,,0
2017-05-10,,0
2017-05-11,,0
2017-05-13,,0
2017-05-15,,0
2017-05-16,,0
2017-05-18,,0
2017-05-20,,0
2017-05-21,,0
2017-05-23,,0
2017-05-25,,0
2017-05-26,,0
2017-05-28,,0
2017-05-30,,0
2017-06-02,,0
2017-06-04,,0
2017-06-05,,0
2017-06-07,,0
2017-06-09,,0
2017-06-10,0.3800126910209656,12
2017-06-12,0.3665526509284973,100
2017-06-14,0.4037720859050751,100
2017-06-15,,0
2017-06-17,,0
2017-06-19,,0
2017-06-20,,0
2017-06-22,,0
2017-06-24,,0
2017-06-25,,0
2017-06-27,,0
2017-06-29,0.48713743686676025,100
2017-06-30,,0
2017-07-02,,0
2017-07-04,,0
2017-07-05,,0
2017-07-07,0.5563727617263794,100
2017-07-09,,0
2017-07-10,,0
2017-07-12,,0
2017-07-14,,0
2017-07-15,,0
2017-07-17,,0
2017-07-19,,0
2017-07-20,,0
2017-07-22,0.6099502444267273,100
2017-07-24,,0
2017-07-25,0.6331131458282471,100
2017-07-27,0.5694581866264343,55
2017-07-29,0.6096135377883911,100
2017-07-30,,0
2017-08-01,,0
2017-08-03,,0
2017-08-04,,0
2017-08-06,0.641150176525116,100
2017-08-08,0.6333618760108948,12
2017-08-09,,0
2017-08-11,,0
2017-08-13,,0
2017-08-14,,0
2017-08-16,,0
2017-08-18,,0
2017-08-19,,0
2017-08-21,,0
2017-08-23,,0
2017-08-24,,0
2017-08-26,,0
2017-08-28,,0
2017-08-29,,0
2017-08-31,,0
2017-09-02,,0
2017-09-03,,0
2017-09-05,0.6287693977355957,100
2017-09-07,0.6023377180099487,100
2017-09-08,,0
