TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2017-01-01,0.844271,0.193369,,0.254122,0.00394274,0.227281,0.00955992,fluxnet_archive,0.03586806335493159
2017-01-02,0.872917,0.0351095,0.0,0.0300272,0.00413888,0.0482794,0.0101885,fluxnet_archive,0.19734462203023756
2017-01-07,0.973437,,0.183576,0.0182707,0.0696259,,0.115842,fluxnet_archive,0.2529555075593952
2017-01-09,0.902604,0.0949661,0.257927,0.0893268,0.0740785,0.107853,0.134988,fluxnet_archive,0.20500482361411088
2017-01-10,0.954167,0.183226,0.0953906,0.171343,0.0309089,0.181264,0.0637729,fluxnet_archive,0.11487825773938083
2017-01-11,0.860937,0.177613,0.00614559,0.10938,0.00481764,0.14187,0.0175795,fluxnet_archive,0.14070384449244058
2017-01-18,0.965625,0.142302,0.0,0.0494008,0.0,0.109539,0.000260846,fluxnet_archive,0.1804169906407487
2017-01-25,1.0,0.0426775,0.127173,0.0142637,0.0451041,0.0296676,0.0501126,fluxnet_archive,0.2381860331173506
2017-01-30,,0.313471,0.0776699,0.229688,0.100937,0.285956,0.0771335,fluxnet_archive,0.12328941684665226
2017-02-01,0.959375,0.260182,0.170242,0.251775,0.256496,0.239866,0.196794,fluxnet_archive,0.219381569474442
2017-02-09,0.998958,0.601637,0.133057,0.644685,0.0680141,0.621086,0.0911457,fluxnet_archive,0.1991871130309575
2017-02-14,1.0,0.142567,0.0454167,0.0767419,0.0478943,0.100417,0.0430192,fluxnet_archive,0.19521411087113028
2017-02-15,0.9875,0.0898342,0.0251914,0.0244942,0.0341664,0.0453649,0.0305545,fluxnet_archive,0.22294614830813536
2017-02-16,0.994792,0.129575,0.0471252,0.0629861,0.0368089,0.0684361,0.0364282,fluxnet_archive,0.1971366450683945
2017-02-18,0.854167,,0.125653,0.0737955,0.0623202,,0.0706265,fluxnet_archive,0.20772116630669543
2017-02-19,0.9875,0.106062,0.109509,0.233781,0.0605545,0.147931,0.0709116,fluxnet_archive,0.09126961843052554
2017-02-20,0.944792,0.134228,0.0882976,0.222971,0.0536583,0.140634,0.0641617,fluxnet_archive,0.09408732901367889
2017-02-21,0.857813,0.0920193,0.036901,0.0601595,0.0274207,0.0338238,0.0301917,fluxnet_archive,0.1924126709863211
2017-02-22,0.947917,0.260064,0.0493208,0.0468854,0.0368852,0.10377,0.045717,fluxnet_archive,0.20878315334773215
2017-02-23,0.978646,0.189816,0.01526,0.024692,0.024967,0.0993374,0.0337217,fluxnet_archive,0.21618070554355653
2017-03-03,1.0,0.00798557,,0.0142252,0.0069657,0.0340276,0.00643081,fluxnet_archive,0.21075629949604033
2017-03-04,1.0,0.150368,,0.252959,0.0159068,0.214588,0.00671887,fluxnet_archive,0.045318790496760256
2017-03-05,0.979167,0.0988173,0.0,0.156861,0.0404713,0.112837,0.0129618,fluxnet_archive,0.1321888408927286
2017-03-06,0.979167,,0.00377882,0.0076091,0.0786397,,0.0340261,fluxnet_archive,0.2671206623470122
2017-03-07,1.0,0.0318125,0.0139167,0.0262444,0.142842,0.0159586,0.0779283,fluxnet_archive,0.2999262778977682
2017-03-08,0.975,0.126453,0.0170735,0.196785,0.163313,0.103198,0.088456,fluxnet_archive,0.19188480921526277
2017-03-09,0.880729,0.350245,0.00264127,0.495526,0.103232,0.378516,0.0483899,fluxnet_archive,0.06644636429085676
2017-03-10,0.959375,0.0823668,0.0,0.238296,0.12556,0.118967,0.0510299,fluxnet_archive,0.13481929445644347
2017-03-16,0.822396,0.14067,0.00022554,0.243604,0.0659652,0.159956,0.0255454,fluxnet_archive,0.08809301655867531
2017-03-17,0.876042,0.193188,0.000705785,0.261409,0.0606157,0.18172,0.032395,fluxnet_archive,0.0714231101511879
2017-03-18,0.982813,0.065866,0.000558681,0.278237,0.0428407,0.152891,0.0219748,fluxnet_archive,0.04651094312455003
2017-03-19,0.960417,0.00927075,0.000487866,0.191839,0.0293046,,0.0124967,fluxnet_archive,0.09896731461483078
2017-03-20,0.907292,,0.000691862,0.0643948,0.0209437,,0.00781531,fluxnet_archive,0.18470043196544275
2017-03-24,0.984375,0.164315,0.0116084,0.0730965,0.00828016,0.169393,0.0148482,fluxnet_archive,0.1693186897048236
2017-03-27,0.979687,,0.202835,0.0221793,0.0980887,,0.14876,fluxnet_archive,0.27063311735061196
2017-03-30,0.974479,,0.421354,0.00983687,0.233961,,0.320444,fluxnet_archive,0.3773391864650828
2017-04-02,0.979688,0.301959,0.489798,0.461426,0.645837,0.382435,0.546486,fluxnet_archive,0.3487480201583873
2017-04-03,0.923958,,0.733107,0.0948053,0.996298,,0.814983,fluxnet_archive,0.8650055435565155
2017-04-16,0.878646,2.55529,2.7244,2.47085,2.56569,2.53644,2.4811,fluxnet_archive,0.2842620590352772
2017-04-17,0.827083,3.41416,2.68013,3.12723,2.38655,3.22526,2.3757,fluxnet_archive,0.31726421886249084
2017-04-18,0.931771,1.40679,1.98627,1.3762,1.97587,1.34468,1.81263,fluxnet_archive,0.6477105831533477
2017-04-19,0.996875,0.814281,1.45202,0.819072,1.56759,0.748054,1.35493,fluxnet_archive,0.7548725701943845
2017-04-20,0.957292,2.79211,2.50412,2.8217,2.66655,2.74117,2.4835,fluxnet_archive,0.10428365730741547
2017-04-21,0.94375,2.94444,2.5298,3.25655,2.68871,3.09164,2.5484,fluxnet_archive,0.19282937365010794
2017-04-22,0.902604,3.57027,2.63537,3.59707,2.79597,3.47286,2.70099,fluxnet_archive,0.360763138948884
2017-04-23,0.986458,3.81617,2.99576,3.91138,3.21634,3.84538,3.10759,fluxnet_archive,0.28440604751619847
2017-04-24,0.98125,3.56397,3.80942,4.00669,4.15911,3.70687,3.97287,fluxnet_archive,0.32571634269258476
2017-04-25,1.0,3.88276,3.61591,4.09955,3.76933,3.95811,3.68393,fluxnet_archive,0.021756659467242437
2017-04-26,0.996875,3.32003,2.48811,3.2023,2.38471,3.27788,2.45105,fluxnet_archive,0.3726349892008639
2017-04-27,0.988542,0.790581,0.909963,0.812025,0.852777,0.716426,0.897616,fluxnet_archive,0.2453218142548596
2017-04-28,0.936979,0.359888,0.959515,0.379411,0.811754,0.342048,0.896838,fluxnet_archive,0.5272447804175666
2017-04-29,0.822917,0.52867,0.533456,1.15876,0.518287,0.794128,0.526247,fluxnet_archive,0.24512095032397405
2017-04-30,0.972917,0.756346,0.341036,0.805071,0.403273,0.753043,0.371912,fluxnet_archive,0.07328869690424766
2017-05-01,0.986979,0.216237,0.0583355,0.196296,0.112957,0.209649,0.0877997,fluxnet_archive,0.15598344132469402
2017-05-02,0.914583,0.430121,0.319901,0.443165,0.637394,0.430345,0.467614,fluxnet_archive,0.35581641468682507
2017-05-03,0.944792,0.799725,0.71229,1.01879,1.30752,0.824894,1.00364,fluxnet_archive,0.4238516918646508
2017-05-04,0.96875,1.38804,1.50157,1.56679,2.58798,1.47347,2.04898,fluxnet_archive,0.9511807055435566
2017-05-05,0.973438,2.30678,2.60764,2.47901,3.57031,2.39191,3.08964,fluxnet_archive,1.0016558675305975
2017-05-06,1.0,3.05253,3.30536,2.89314,3.05432,2.9794,3.20391,fluxnet_archive,0.33202303815694767
2017-05-07,0.975521,4.1567,4.27585,3.42356,3.72409,3.89546,4.00272,fluxnet_archive,0.4323470122390207
2017-05-08,0.992187,3.87542,4.37836,3.3925,4.14665,3.67418,4.21899,fluxnet_archive,0.7589272858171348
2017-05-09,0.940104,4.47872,5.32747,4.15744,5.41567,4.33996,5.32894,fluxnet_archive,1.1218358531317496
2017-05-10,0.871875,4.57945,5.64071,5.03027,6.00554,4.74165,5.82895,fluxnet_archive,0.9181209503239741
2017-05-11,1.0,5.43559,4.23726,5.39034,4.60875,5.4356,4.44777,fluxnet_archive,0.3467170626349895
2017-05-12,0.980208,6.17951,6.27968,6.46576,6.43889,6.37448,6.46411,fluxnet_archive,0.1966378689704819
2017-05-13,0.934375,5.75651,6.42396,6.32668,6.67361,6.05297,6.7132,fluxnet_archive,0.4657523398128153
2017-05-14,0.9875,6.25412,6.25318,6.21184,6.89569,6.25194,6.81407,fluxnet_archive,0.7083153347732185
