TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2017-01-01,1.0,0.169314,0.0,0.171291,0.00537237,0.17362,0.00510277,fluxnet_archive,0.09653086393088552
2017-01-02,,0.133532,0.0,0.156125,0.015504,0.143616,0.0147274,fluxnet_archive,0.11474370050395966
2017-01-03,,0.058309,0.00146972,0.0648821,0.00597021,0.0641804,0.00568794,fluxnet_archive,0.17356955363570914
2017-01-05,1.0,0.0207171,0.0383472,0.0221805,0.0458275,0.0124241,0.0447349,fluxnet_archive,0.23300719942404607
2017-01-12,,0.0317109,0.0,0.0299826,0.0104789,0.0301019,0.0109123,fluxnet_archive,0.20194118070554354
2017-01-14,0.979167,0.010901,0.0933837,0.0108528,0.038892,0.0109397,0.0440656,fluxnet_archive,0.2361693304535637
2017-01-19,0.995833,0.0383662,0.00949752,0.0293124,0.0437427,0.0289731,0.0423537,fluxnet_archive,0.22637170626349892
2017-01-22,0.983854,0.047575,0.12739,0.0356868,0.135797,0.0352562,0.145839,fluxnet_archive,0.2880562994960403
2017-01-23,1.0,0.0912007,0.0407654,0.0841659,0.0595118,0.0841233,0.0671109,fluxnet_archive,0.1982331893448524
2017-01-24,,0.0869568,0.0216346,0.0436326,0.0282436,0.0496858,0.0301394,fluxnet_archive,0.20490352771778259
2017-01-26,0.978646,0.0230209,0.0329304,0.0414637,0.0399068,0.0383053,0.0377673,fluxnet_archive,0.21486184305255576
2017-01-27,0.965625,0.0398769,0.0154894,0.0901588,0.0437069,0.0850788,0.0395443,fluxnet_archive,0.18254002879769618
2017-01-29,0.957812,0.126576,0.0,0.164858,0.0620076,0.15765,0.0542937,fluxnet_archive,0.14193635709143268
2017-02-01,1.0,,0.0356239,0.0147718,0.0847334,0.0138467,0.0823131,fluxnet_archive,0.2663510439164867
2017-02-02,0.916667,0.0189294,0.0790855,0.0415755,0.120823,0.0409937,0.11913,fluxnet_archive,0.27303635709143265
2017-02-06,,0.0264962,0.00784411,0.028848,0.0221044,0.0292344,0.0206341,fluxnet_archive,0.21112771778257738
2017-02-07,,0.0467594,0.00179496,0.0443015,0.013031,0.0444493,0.0118939,fluxnet_archive,0.19346976241900649
2017-02-08,,0.0737975,0.00598503,0.0726437,0.0160908,0.0732084,0.0151936,fluxnet_archive,0.17526789056875447
2017-02-09,1.0,0.0281334,0.0217687,0.023017,0.0304744,0.0231681,0.0299862,fluxnet_archive,0.22135161987041035
2017-02-11,1.0,0.0986509,0.0503876,0.0910805,0.0458603,0.0922313,0.0426495,fluxnet_archive,0.1834267818574514
2017-02-12,1.0,0.110555,0.0451517,0.108442,0.041547,0.10961,0.0367149,fluxnet_archive,0.1678221742260619
2017-02-13,0.992708,0.0684919,0.0449235,0.0582244,0.0440111,0.0594018,0.0379384,fluxnet_archive,0.20574996400287976
2017-02-14,0.997917,0.0707326,0.0305714,0.0600651,0.0743751,0.0607737,0.064699,fluxnet_archive,0.22628509719222462
2017-02-15,0.847396,0.0345208,0.0101288,0.0146257,0.135612,0.0167337,0.120182,fluxnet_archive,0.3030858891288697
2017-02-19,0.994792,,0.0283066,0.00724006,0.105879,0.0107299,0.105762,fluxnet_archive,0.2869970770338373
2017-02-21,0.994792,,0.0275325,0.00532579,0.036129,0.0104692,0.0367849,fluxnet_archive,0.23815925845932326
2017-02-23,1.0,0.128221,0.00225851,0.12212,0.00853341,0.124359,0.00807758,fluxnet_archive,0.13420691864650827
2017-02-27,,0.231711,0.0236103,0.227228,0.0300081,0.227695,0.0302605,fluxnet_archive,0.0739957523398128
2017-03-03,1.0,,,0.0108128,0.0,0.0112064,0.0,fluxnet_archive,0.208198128149748
2017-03-04,0.979167,0.0799243,,0.0976493,1.48977e-05,0.0988447,0.000100192,fluxnet_archive,0.14569157501799856
2017-03-05,1.0,0.0597118,,0.0754222,2.50278e-05,0.0776156,0.000168439,fluxnet_archive,0.16170109992800574
2017-03-07,1.0,,,0.00501052,4.04337e-06,0.00695858,7.04468e-05,fluxnet_archive,0.21237834655867532
2017-03-08,0.999479,0.0205961,,0.0311734,0.000251717,0.0325607,0.000294921,fluxnet_archive,0.1937208905687545
2017-03-09,1.0,,,0.0121196,0.00078313,0.0142464,0.000798011,fluxnet_archive,0.20782111591072713
2017-03-10,,0.00574889,,0.0176392,0.00131491,0.0192507,0.0013088,fluxnet_archive,0.20423017278617708
2017-03-14,1.0,0.0471769,0.0620901,0.020627,0.0329383,0.0220611,0.0320145,fluxnet_archive,0.22484614830813532
2017-03-16,1.0,0.0845831,0.269369,0.0822804,0.146261,0.084659,0.140583,fluxnet_archive,0.2620450683945284
2017-03-21,1.0,0.014906,0.200655,0.0168403,0.182338,0.0135092,0.185385,fluxnet_archive,0.33513153347732183
2017-03-22,0.944792,0.330352,0.228765,0.197501,0.23717,0.195516,0.240093,fluxnet_archive,0.24454211663066955
2017-03-24,0.960417,0.440769,0.0721973,0.300104,0.156639,0.295899,0.156987,fluxnet_archive,0.11269618430525559
2017-03-25,0.924479,0.524787,0.0622957,0.394897,0.104545,0.391469,0.103517,fluxnet_archive,0.0069460043196544205
2017-03-26,0.853125,0.38459,0.101462,0.290273,0.125724,0.280395,0.12436,fluxnet_archive,0.09751691864650827
2017-03-27,0.851562,0.654063,0.160541,0.398373,0.172788,0.407346,0.173423,fluxnet_archive,0.0535745140388769
2017-03-28,0.911979,0.264828,0.151961,0.276963,0.159842,0.277038,0.160177,fluxnet_archive,0.131662347012239
2017-03-29,0.993229,0.328058,0.0646732,0.285516,0.0796539,0.287061,0.0811494,fluxnet_archive,0.06777386609071274
2017-03-30,0.978646,0.25444,0.0373483,0.295299,0.0546718,0.296575,0.0555841,fluxnet_archive,0.04274499640028798
2017-03-31,0.999479,0.559731,0.041158,0.536215,0.065851,0.548038,0.0656166,fluxnet_archive,0.12265226781857452
2017-04-01,1.0,0.629942,0.0332166,0.548293,0.0596356,0.556136,0.059087,fluxnet_archive,0.13582246220302377
2017-04-02,0.999479,0.478971,0.0197587,0.437114,0.0303124,0.442161,0.0313321,fluxnet_archive,0.0768910007199424
2017-04-03,1.0,0.282804,0.00516219,0.270579,0.00713267,0.273333,0.00745252,fluxnet_archive,0.026316537077033825
2017-04-04,0.934375,0.420495,0.00649029,0.368359,0.00896911,0.372783,0.00936999,fluxnet_archive,0.04275730021598272
2017-04-05,0.999479,0.2278,0.00851062,0.166484,0.0261949,0.174928,0.025428,fluxnet_archive,0.11498264938804895
2017-04-06,0.869271,0.157132,0.0371033,0.123445,0.0847978,0.129229,0.082846,fluxnet_archive,0.18815896328293735
2017-04-07,1.0,0.329743,0.02386,0.291685,0.115076,0.296506,0.110881,fluxnet_archive,0.08883441324694022
2017-04-08,1.0,0.290224,0.0494292,0.274785,0.179411,0.27935,0.173745,fluxnet_archive,0.14731893448524117
2017-04-09,0.930729,0.0119934,0.123358,0.0305016,0.219863,0.0308135,0.214503,fluxnet_archive,0.35231202303815695
2017-04-10,0.957812,0.196092,0.122018,0.157001,0.305252,0.162029,0.293055,fluxnet_archive,0.3227149028077754
2017-04-11,0.958333,0.130012,0.139331,0.126845,0.317759,0.127312,0.305644,fluxnet_archive,0.3534298056155507
2017-04-12,1.0,0.254859,0.0751733,0.244815,0.231373,0.2457,0.222583,fluxnet_archive,0.20630525557955362
2017-04-13,0.979167,0.334791,0.178754,0.32996,0.288099,0.330721,0.283424,fluxnet_archive,0.18584521238300936
2017-04-14,1.0,0.106999,0.160107,0.112956,0.250467,0.112448,0.246056,fluxnet_archive,0.3149827213822894
