TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2017-01-17,0.875,0.0989275,0.393817,0.122374,0.39263,0.132177,0.395097,fluxnet_archive,0.4105514758819294
2017-01-18,1.0,0.720054,0.239203,0.967556,0.23828,1.02047,0.239968,fluxnet_archive,0.3090539956803456
2017-01-19,0.833333,1.61195,0.493649,1.96699,0.492562,2.04292,0.495281,fluxnet_archive,0.8455205183585314
2017-01-21,0.833333,1.45886,0.706709,1.78239,0.706147,1.84982,0.709149,fluxnet_archive,0.5588502519798415
2017-01-22,1.0,0.630319,0.13849,0.872364,0.137901,0.923431,0.138931,fluxnet_archive,0.3127883369330454
2017-01-24,0.8125,0.67898,0.427107,0.824338,0.425839,0.855216,0.428495,fluxnet_archive,0.07091360691144709
2017-02-05,0.895833,1.99785,0.181779,2.1637,0.181024,2.20188,0.182358,fluxnet_archive,1.2114298056155506
2017-02-11,,0.727634,1.59624,0.79963,1.59834,0.811856,1.60212,fluxnet_archive,0.7910079193664508
2017-02-12,,0.393676,0.599361,0.384098,0.586421,0.391915,0.593221,fluxnet_archive,0.3616436285097192
2017-02-13,,0.251936,0.879993,0.132918,0.830735,0.124882,0.85101,fluxnet_archive,0.7183707703383729
2017-02-14,,0.693806,0.599203,0.503834,0.530116,0.511665,0.557696,fluxnet_archive,0.2349042476601872
2017-02-15,,0.901033,0.586098,0.647582,0.521102,0.707554,0.547109,fluxnet_archive,0.12492440604751616
2017-02-16,,1.90718,0.220151,1.70636,0.194191,1.81395,0.203478,fluxnet_archive,0.8726918646508279
2017-02-17,1.0,2.48748,0.372048,2.29913,0.332189,2.41025,0.347309,fluxnet_archive,1.2001015118790495
2017-02-18,0.998958,2.2038,0.321668,1.97705,0.288652,2.07403,0.301568,fluxnet_archive,0.999566594672426
2017-02-19,1.0,2.45839,0.321265,2.30152,0.290536,2.41835,0.303152,fluxnet_archive,1.2318099352051837
2017-08-26,0.914063,3.4353,3.3283,3.59283,3.7019,3.64648,3.6878,fluxnet_archive,0.2945068394528438
2017-08-27,0.935417,4.0977,4.32668,4.25398,4.73235,4.3022,4.71436,fluxnet_archive,0.5603815694744421
2017-08-28,0.91875,4.55412,5.23636,4.89651,5.54588,4.98141,5.53135,fluxnet_archive,0.6834917206623472
2017-08-29,0.999479,5.5763,4.42498,6.06462,4.69727,6.15849,4.68001,fluxnet_archive,0.7684305255579553
2017-08-30,0.974479,3.39778,1.72149,3.5469,1.69722,3.61179,1.71238,fluxnet_archive,1.115680345572354
2017-08-31,0.980729,2.48945,1.80376,2.63494,1.63517,2.65007,1.65643,fluxnet_archive,0.503794096472282
2017-09-01,0.880208,3.73705,1.91722,3.75616,1.85896,3.84944,1.86552,fluxnet_archive,1.1498920086393087
