TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2017-01-01,0.936458,3.20399,0.664011,2.859,1.30504,2.94471,1.04716,fluxnet_archive,0.9027789776817854
2017-01-02,0.995312,2.89456,0.804349,2.81955,1.50361,2.85153,1.21407,fluxnet_archive,0.7314182865370771
2017-01-03,1.0,3.03241,0.850889,3.01605,1.5571,3.02616,1.26109,fluxnet_archive,0.8343772498200144
2017-01-04,0.955729,2.33522,0.773199,2.31524,1.47677,2.31992,1.18349,fluxnet_archive,0.3876673866090714
2017-01-05,0.998958,3.04476,1.00594,3.04202,1.67534,3.06878,1.38152,fluxnet_archive,0.7679481641468682
2017-01-06,0.944271,3.83915,1.12256,3.67114,1.91024,3.67726,1.55768,fluxnet_archive,1.0517638588912885
2017-01-07,0.948438,3.08295,0.897373,2.75799,1.58217,2.8405,1.27825,fluxnet_archive,0.6305399568034555
2017-01-08,0.997396,2.59862,0.633117,2.29605,1.20456,2.35365,0.956675,fluxnet_archive,0.5698272138228941
2017-01-09,0.994792,3.88331,1.0245,3.79254,1.80099,3.95353,1.44527,fluxnet_archive,1.2178185745140386
2017-01-10,0.990104,2.8143,0.43667,2.71022,0.931485,2.79324,0.723954,fluxnet_archive,1.0646040316774659
2017-01-11,0.988021,3.7022,1.63246,3.82463,2.25296,3.72637,1.96639,fluxnet_archive,0.9155291576673866
2017-01-12,0.951562,1.91933,1.44473,1.97396,1.65211,1.93876,1.57861,fluxnet_archive,0.015730741540676732
2017-01-13,0.958333,2.79624,1.20144,2.77775,1.23724,2.77556,1.21734,fluxnet_archive,0.893095752339813
2017-01-14,0.999479,3.17672,2.42542,3.18734,2.36421,3.20321,2.35992,fluxnet_archive,0.3766234701223901
2017-01-15,0.935937,1.23126,1.20702,1.41183,1.0761,1.36869,1.0779,fluxnet_archive,0.02572354211663058
2017-01-16,0.969271,2.89004,2.72891,2.92672,2.46989,2.84898,2.48584,fluxnet_archive,0.11290856731461489
2017-01-17,0.972396,2.93266,2.65802,2.94024,2.33515,3.00115,2.35376,fluxnet_archive,0.21964722822174235
2017-01-18,1.0,3.32861,3.04509,3.30222,2.57305,3.33182,2.59555,fluxnet_archive,0.30897768178545737
2017-01-19,0.995312,3.66646,4.25059,3.61646,3.82803,3.6416,3.81865,fluxnet_archive,0.368300935925126
2017-01-20,0.992187,3.49114,4.17953,3.52222,3.51425,3.48063,3.51208,fluxnet_archive,0.21024478041756672
2017-01-21,0.977083,3.93946,3.79994,4.0187,3.27745,3.97685,3.29679,fluxnet_archive,0.3176745860331173
2017-01-22,0.984896,3.28394,4.39923,3.57809,3.93491,3.38833,4.01206,fluxnet_archive,0.4728725701943844
2017-01-23,0.991667,2.85689,2.80352,3.03787,2.68546,2.92565,2.72824,fluxnet_archive,0.037732181425485886
2017-01-24,0.948958,4.88064,3.16176,5.0226,3.6434,5.05566,3.6164,fluxnet_archive,0.7769618430525554
2017-01-25,1.0,2.20008,0.836522,2.401,1.25911,2.27253,1.2034,fluxnet_archive,0.6061123110151186
2017-01-26,0.893229,4.16449,3.49919,4.43115,3.78875,4.41713,3.71589,fluxnet_archive,0.2465082793376529
2017-01-27,0.923958,3.09704,3.28795,3.60681,3.21083,3.58686,3.08353,fluxnet_archive,0.06910007199424031
2017-01-28,0.958333,4.83873,3.54322,4.81531,3.00823,4.88082,2.77738,fluxnet_archive,1.0850107991360691
2017-01-31,0.893229,4.85774,1.06593,5.14504,1.63595,5.03352,1.17405,fluxnet_archive,2.3103599712023035
2017-02-02,0.969271,4.92084,1.27409,5.2151,1.74652,5.03673,1.29006,fluxnet_archive,2.281195104391648
2017-02-03,0.99375,3.41108,0.606987,3.45055,0.84652,3.41774,0.592557,fluxnet_archive,1.658768898488121
2017-02-04,0.979167,2.34305,0.897716,2.62889,1.07332,2.58399,0.855635,fluxnet_archive,0.9039380849532038
2017-02-05,0.999479,3.53128,0.88125,3.47334,0.959509,3.53733,0.821319,fluxnet_archive,1.593830813534917
2017-02-06,0.999479,3.60557,1.41047,3.43997,1.41884,3.59492,1.31169,fluxnet_archive,1.2391144708423327
2017-02-07,0.991667,3.52989,2.58758,3.16019,2.55081,3.4834,2.43951,fluxnet_archive,0.2227357811375092
2017-02-08,0.965104,2.10855,1.50358,1.93863,1.35886,2.04925,1.32925,fluxnet_archive,0.20141828653707713
2017-02-09,0.93125,2.63819,3.41954,2.42908,3.20191,2.65553,3.01702,fluxnet_archive,0.7723758099352052
2017-02-10,0.938542,4.3198,5.25054,4.59846,5.23758,4.72872,4.8117,fluxnet_archive,0.6761123110151189
2017-02-11,0.801042,4.4812,4.06728,4.37254,4.19437,4.43917,3.88105,fluxnet_archive,0.08771058315334793
2017-02-12,0.916146,4.89312,3.80661,5.1844,4.17668,5.1284,3.8403,fluxnet_archive,0.5095176385889129
2017-02-13,0.934375,5.05389,2.73531,4.96097,3.25581,5.10464,3.01082,fluxnet_archive,1.0116342692584592
2017-02-14,0.895833,5.85069,1.71839,5.20631,2.35554,5.41522,2.19116,fluxnet_archive,1.8364074874010081
2017-02-15,0.943229,4.67179,1.87271,4.56397,2.98954,4.54253,2.71061,fluxnet_archive,0.917516198704104
2017-02-16,0.905208,4.34195,1.83249,4.91151,3.03426,4.99521,2.76725,fluxnet_archive,1.1355291576673863
2017-02-17,0.877083,3.64271,2.22885,4.43424,3.3353,4.30938,3.08986,fluxnet_archive,0.5751907847372209
2017-02-18,0.964063,4.83738,2.00994,4.84956,2.79254,4.97174,2.61293,fluxnet_archive,1.2649532037437008
2017-02-19,0.949479,4.86837,3.16634,5.28685,4.00976,5.22485,3.6727,fluxnet_archive,0.7034485241180707
2017-02-20,0.917708,3.32671,2.84054,3.76199,3.32066,3.84741,3.15839,fluxnet_archive,0.10174946004319639
2017-02-21,0.972396,3.39107,2.83736,3.78058,3.13912,4.0029,3.06543,fluxnet_archive,0.24583153347732176
2017-02-22,0.990625,4.07325,3.53726,4.26107,3.63588,4.20367,3.63949,fluxnet_archive,0.2341180705543559
2017-02-23,0.95625,6.1755,4.25089,5.88037,4.07982,6.01395,4.11751,fluxnet_archive,1.0803095752339815
2017-02-24,0.985938,6.18797,4.18076,5.97201,4.05792,6.13313,4.15703,fluxnet_archive,1.1620518358531315
2017-02-25,0.978646,5.69852,3.56895,5.44004,3.76888,5.62187,3.9259,fluxnet_archive,0.9871562275017998
2017-02-26,0.981771,6.57053,4.02869,6.28761,4.51591,6.47547,4.60818,fluxnet_archive,1.059539236861051
2017-02-27,0.946875,4.13671,3.98659,5.02428,4.47153,5.04164,4.524,fluxnet_archive,0.1819654427645792
2017-02-28,0.958333,4.52428,2.67452,4.56237,2.98903,4.5256,3.0806,fluxnet_archive,0.9167314614830809
2017-03-01,0.983333,5.18912,3.61606,5.20576,4.04315,5.20749,4.03051,fluxnet_archive,0.6210295176385888
2017-03-02,0.945833,5.17875,2.93921,5.1461,3.31459,5.17736,3.29699,fluxnet_archive,1.1025989920806334
2017-03-03,0.817187,4.3285,3.11624,5.53002,3.51191,5.3378,3.42018,fluxnet_archive,1.2369402447804179
2017-03-04,0.955729,4.96255,2.89866,5.20362,3.24644,5.2193,3.14126,fluxnet_archive,1.1930741540676744
2017-03-05,0.968229,4.64777,3.76693,4.77916,4.10239,4.70836,3.93123,fluxnet_archive,0.2712526997840175
2017-03-06,0.9875,3.93271,3.0143,3.85484,3.52135,3.90725,3.18855,fluxnet_archive,0.02411087113030947
2017-03-07,1.0,6.47719,2.06747,6.45679,2.91527,6.48324,2.30449,fluxnet_archive,2.3337077033837295
2017-03-08,0.985938,6.29918,2.56199,6.20334,3.45678,6.25437,2.89994,fluxnet_archive,1.7613822894168465
2017-03-09,0.993229,4.59074,2.98051,5.03129,3.36911,4.92333,3.37428,fluxnet_archive,0.9806911447084234
2017-03-10,0.970833,5.3396,3.854,4.96675,4.03034,4.90304,4.19645,fluxnet_archive,0.458178545716343
2017-03-11,0.96875,4.91303,4.46858,5.05178,4.62952,4.98364,4.62283,fluxnet_archive,0.08802015838732875
2017-03-12,0.980208,4.33753,3.20808,4.20182,3.20055,4.52344,3.21504,fluxnet_archive,0.5048740100791935
2017-03-13,0.991146,6.96174,4.72288,6.94621,4.71389,7.03048,4.66783,fluxnet_archive,1.391159107271418
2017-03-14,0.928125,5.32657,4.88789,5.35012,5.10268,5.38376,5.13608,fluxnet_archive,0.037840172786177025
2017-03-15,0.890625,5.79059,4.89864,5.56485,5.58892,5.68541,5.77881,fluxnet_archive,0.23331173506119512
2017-03-16,0.927083,4.11939,5.32492,4.51339,5.88822,4.31185,6.01028,fluxnet_archive,1.2057811375089988
2017-03-17,0.943229,3.784,5.96163,4.19941,5.87818,4.1035,5.73204,fluxnet_archive,1.4246004319654428
2017-03-18,0.95625,4.21035,5.1438,4.46314,4.93614,4.24561,4.65654,fluxnet_archive,0.556515478761699
2017-03-19,0.980208,5.14653,5.45898,5.14262,5.44482,5.09657,5.15404,fluxnet_archive,0.4335493160547157
2017-03-20,0.992708,3.47405,3.57759,3.83633,3.69654,3.58167,3.51481,fluxnet_archive,0.11534197264218887
2017-03-21,0.960417,5.71458,5.10161,5.73481,5.02298,5.69135,5.05637,fluxnet_archive,0.29649388048956143
2017-03-22,0.964583,5.05796,4.92962,5.26006,4.9473,5.15509,5.06085,fluxnet_archive,0.009186465082793333
2017-03-23,0.977604,5.4132,3.55964,5.60293,3.8569,5.58026,3.96175,fluxnet_archive,1.041058315334773
2017-03-24,0.948958,5.717,3.77981,6.04441,4.16289,5.84776,4.1927,fluxnet_archive,1.1386033117350611
2017-03-25,0.941667,2.55231,2.20814,3.03945,2.48805,2.81157,2.4053,fluxnet_archive,0.18099352051835862
2017-03-26,0.889062,4.92523,4.27338,5.0897,4.53259,4.99308,4.38759,fluxnet_archive,0.18510439164866796
2017-03-27,0.953646,5.83427,4.3133,5.85056,4.49134,5.89108,4.31106,fluxnet_archive,0.762577393808495
2017-03-28,0.920833,5.46161,4.24461,5.40643,4.56941,5.53255,4.30571,fluxnet_archive,0.38662347012239007
2017-03-29,0.911979,4.50962,3.92583,4.53085,4.57588,4.77709,4.21234,fluxnet_archive,0.2484017278617708
2017-03-30,0.911979,4.42272,3.64372,4.41383,4.67167,4.68269,4.36404,fluxnet_archive,0.40161267098632103
2017-03-31,0.925,4.724,3.25779,4.75054,4.68862,5.0458,4.57107,fluxnet_archive,0.17140388768898504
2017-04-01,0.968229,4.91034,1.6225,4.72532,3.14138,5.1332,2.97482,fluxnet_archive,0.9243628509719223
2017-04-02,0.978646,2.61488,1.18606,2.72893,2.03335,2.81346,1.61236,fluxnet_archive,0.2847948164146869
2017-04-03,0.988542,4.54108,3.13752,4.54684,3.72628,4.72196,3.20559,fluxnet_archive,0.3747732181425488
2017-04-04,0.928646,5.3099,6.58821,5.32637,6.63427,5.37807,6.38908,fluxnet_archive,1.1575953923686106
2017-04-05,0.921354,5.29851,6.74395,5.54024,6.80155,5.52108,6.72036,fluxnet_archive,1.124053275737941
2017-04-06,0.990104,6.2651,4.40356,6.4099,4.99347,6.40824,4.89685,fluxnet_archive,0.8037652987760979
2017-04-07,0.983854,6.96358,5.13602,7.00474,5.81157,6.9897,5.69848,fluxnet_archive,0.6430309575233983
2017-04-09,0.861979,6.38127,5.69257,6.2174,5.62338,6.14903,5.56392,fluxnet_archive,0.21167746580273547
2017-04-11,0.869792,6.28664,5.66072,6.22851,5.49538,6.29894,5.47011,fluxnet_archive,0.3118286537077034
2017-04-12,0.914583,6.48088,5.62079,6.44208,5.69732,6.241,5.65506,fluxnet_archive,0.32020158387328973
2017-04-13,0.942708,6.76276,6.04139,6.58317,6.1153,6.55764,6.14882,fluxnet_archive,0.12085673146148278
2017-04-14,0.952604,6.71922,6.58833,6.80068,6.47237,6.80051,6.65106,fluxnet_archive,0.020381569474442127
2017-04-15,0.975,6.83218,7.24527,6.71252,7.09682,6.65765,7.27201,fluxnet_archive,0.49265658747300256
2017-04-16,0.998437,7.71113,6.21872,7.50518,6.10827,7.71305,6.2166,fluxnet_archive,0.789712023038157
2017-04-17,0.997917,7.24475,5.87756,7.19193,5.79463,7.33565,5.8592,fluxnet_archive,0.7899928005759542
2017-04-18,0.977604,6.118,5.78653,6.18402,5.75202,6.12205,5.77059,fluxnet_archive,0.09503239740820763
2017-04-19,0.985937,6.73197,5.16347,6.70162,5.19136,6.79739,5.16895,fluxnet_archive,0.8713174946004317
2017-04-20,0.938021,3.82782,4.18296,3.98724,4.2466,4.10406,4.21586,fluxnet_archive,0.4027069834413248
2017-04-21,0.973958,4.49881,4.50504,4.79976,4.63561,4.83501,4.57406,fluxnet_archive,0.09780417566594654
2017-04-22,0.979167,4.04567,4.30156,4.24341,4.5403,4.22409,4.42826,fluxnet_archive,0.4297264218862494
2017-04-23,0.959375,4.52586,4.02261,4.68263,4.47001,4.56261,4.31941,fluxnet_archive,0.06290856731461528
2017-04-24,0.949479,5.28567,3.895,5.38245,4.64313,5.26643,4.46287,fluxnet_archive,0.31628509719222475
2017-04-25,0.963542,5.76438,4.48625,5.6774,5.15118,5.6107,4.98069,fluxnet_archive,0.162865370770338
2017-04-26,0.972396,7.84505,5.65002,7.61434,5.83446,7.64307,5.72849,fluxnet_archive,1.0654283657307417
2017-04-27,0.969271,4.76693,4.87526,4.86692,4.82085,4.98668,4.84394,fluxnet_archive,0.18281497480201564
2017-04-28,0.985417,7.55288,5.67644,7.13054,5.82491,7.24255,5.75409,fluxnet_archive,0.7239956803455722
2017-04-29,0.939063,6.08734,5.54075,5.87157,5.63659,5.73176,5.60437,fluxnet_archive,0.046810655147588046
2017-04-30,0.896875,5.09676,5.2098,4.93467,5.46239,4.80883,5.37605,fluxnet_archive,0.595910727141829
2017-05-01,0.949479,6.14158,4.33963,5.85925,4.47791,5.86312,4.41781,fluxnet_archive,0.7785025197984166
2017-05-02,0.991667,6.27699,5.39864,6.07267,5.18976,6.10856,5.21889,fluxnet_archive,0.4196616270698343
2017-05-03,0.936979,5.94969,5.66024,5.92978,5.43647,5.93775,5.46592,fluxnet_archive,0.13917206623470132
2017-05-04,0.915625,5.2804,4.32043,5.41024,4.42792,5.27399,4.39194,fluxnet_archive,0.49123110151187876
2017-05-05,0.9125,5.56862,3.20826,5.60771,3.48789,5.55067,3.50632,fluxnet_archive,1.3101655867530595
2017-05-06,0.992187,3.97801,2.66777,4.00494,2.86506,4.02446,2.7391,fluxnet_archive,0.6046652267818575
2017-05-07,1.0,6.20149,5.83704,6.28669,6.0732,6.31126,5.91047,fluxnet_archive,0.062282217422606055
2017-05-08,1.0,6.573,5.48172,6.71879,5.69794,6.73371,5.52653,fluxnet_archive,0.5189704823614112
2017-05-09,0.956771,6.08053,5.78961,6.09981,5.88334,6.13028,5.78135,fluxnet_archive,0.06013678905687533
2017-05-10,0.944271,6.50413,5.43345,6.45915,5.20851,6.74177,5.33748,fluxnet_archive,0.6844060475161985
2017-05-11,0.905729,7.10297,5.74161,6.77769,5.21368,6.85665,5.50609,fluxnet_archive,0.9100143988480919
2017-05-12,0.996875,6.82006,5.15462,6.64174,4.4393,6.80662,4.85359,fluxnet_archive,1.3696472282217425
2017-05-13,0.99375,6.44518,5.61574,6.43492,5.12516,6.4523,5.52282,fluxnet_archive,0.7269690424766017
2017-05-14,0.958333,6.19326,4.79353,6.50741,5.10951,6.39511,5.21334,fluxnet_archive,0.7904247660187184
2017-05-15,0.953646,5.84538,4.116,6.11441,4.71825,5.94942,4.62144,fluxnet_archive,0.7891720662347013
2017-05-16,0.936458,5.84893,2.85589,5.95965,3.27218,6.03331,3.02965,fluxnet_archive,1.7188408927285816
2017-05-17,0.966146,4.97905,2.94431,5.19572,3.17165,5.112,2.92401,fluxnet_archive,1.2412311015118787
2017-05-18,0.944271,5.32407,3.05278,5.63464,3.08403,5.51645,3.00447,fluxnet_archive,1.6203095752339816
2017-05-19,0.975,6.39,5.1442,6.66707,4.83885,6.58965,4.96202,fluxnet_archive,1.1002303815694743
2017-05-20,0.991146,5.22206,7.12336,5.37079,6.3109,5.268,6.73808,fluxnet_archive,0.8928077753779696
2017-05-21,0.967188,4.67301,7.99926,5.07855,7.17683,4.92546,7.63918,fluxnet_archive,1.72662347012239
2017-05-22,0.943229,4.77664,7.97297,5.34921,7.54207,5.40315,7.80383,fluxnet_archive,1.7947156227501795
2017-05-23,0.957292,3.72669,5.89974,4.14126,5.90625,4.20098,6.00604,fluxnet_archive,1.4866738660907126
2017-05-24,0.896354,4.55354,4.30631,5.01452,4.26157,4.97037,4.40316,fluxnet_archive,0.3260979121670268
2017-05-25,0.901562,4.66264,2.58944,4.80754,2.86467,4.77611,2.77178,fluxnet_archive,1.1827717782577398
2017-05-26,0.873958,3.97042,2.54861,3.93323,3.45181,3.80531,2.90392,fluxnet_archive,0.13061195104391646
2017-05-27,0.928646,4.57706,2.76012,4.53146,3.68258,4.48499,3.0811,fluxnet_archive,0.39516198704103656
2017-05-28,0.909896,3.9239,1.57558,3.82733,2.21569,3.79427,1.80984,fluxnet_archive,0.9443052555795536
2017-05-29,0.878125,3.24673,1.93344,3.1869,2.32159,3.22561,2.17578,fluxnet_archive,0.4069906407487401
2017-05-30,0.820833,3.42421,2.81091,3.30875,3.03073,3.4279,3.18693,fluxnet_archive,0.015824334053275938
2017-05-31,0.8875,4.5309,3.84164,3.71884,3.56297,4.04705,3.87373,fluxnet_archive,0.10376529877609778
2017-06-01,0.882292,4.30316,4.93512,3.89088,4.22714,4.0742,4.34881,fluxnet_archive,0.45807055435565175
