TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2017-01-01,0.902083,1.24584,0.373826,1.6681,0.438349,1.77104,0.438214,fluxnet_archive,0.6693671706263498
2017-01-02,0.920312,1.1647,1.23942,1.46638,1.50364,1.61121,1.50775,fluxnet_archive,0.2428077753779698
2017-01-03,0.976562,1.80139,0.693824,1.78749,0.818626,1.84732,0.819511,fluxnet_archive,0.48154355651547887
2017-01-04,0.994271,1.60887,1.13865,1.64518,1.36164,1.64045,1.36454,fluxnet_archive,0.011850251979841514
2017-01-05,0.899479,1.80531,1.51252,2.0412,1.83406,2.12166,1.83905,fluxnet_archive,0.06685385169186472
2017-01-06,0.833333,2.1086,1.49822,2.19157,1.81794,2.1991,1.82324,fluxnet_archive,0.05300935925126
2017-01-08,1.0,0.949076,0.840895,0.923299,0.991354,0.951043,0.994196,fluxnet_archive,0.26497840172786175
2017-01-09,,0.479564,0.427057,0.431076,0.499404,0.458367,0.500811,fluxnet_archive,0.2651749460043196
2017-01-10,,1.47743,1.075,1.49324,1.27958,1.49496,1.2845,fluxnet_archive,0.06215982721382291
2017-01-11,1.0,0.871722,0.746292,0.883276,0.882453,0.883267,0.886108,fluxnet_archive,0.2153902087832974
2017-01-12,0.980729,1.4704,1.11607,1.51535,1.33227,1.51542,1.33827,fluxnet_archive,0.08417566594672432
2017-01-13,0.980729,1.61748,1.32378,1.69039,1.60209,1.75163,1.60954,fluxnet_archive,0.15241180705543553
2017-01-14,0.984375,2.10292,0.994607,2.20186,1.17986,2.33239,1.18609,fluxnet_archive,0.5197984161267099
2017-01-15,0.95,2.10585,1.40977,2.22873,1.69573,2.4051,1.70469,fluxnet_archive,0.16774658027357822
2017-01-16,0.939583,2.70989,0.780899,2.53193,0.914969,2.74639,0.920885,fluxnet_archive,0.9481360691144707
2017-01-17,0.960417,1.47159,1.04698,1.43551,1.24201,1.46003,1.24991,fluxnet_archive,0.07667386609071274
2017-01-18,0.978646,1.59747,1.11832,1.566,1.33029,1.60692,1.33903,fluxnet_archive,0.04628509719222455
2017-01-19,0.929167,1.71065,1.60028,1.98619,1.941,2.08795,1.95278,fluxnet_archive,0.18344852411807067
2017-01-20,0.966667,2.053,1.66689,2.26863,2.01405,2.33424,2.0269,fluxnet_archive,0.03269978401727875
2017-01-21,0.905208,1.98247,1.77957,2.22676,2.16604,2.26369,2.17977,fluxnet_archive,0.17226781857451412
2017-01-22,0.838021,1.52676,1.64136,1.54443,1.99058,1.55993,2.00403,fluxnet_archive,0.5371850251979842
2017-01-23,0.877083,2.18372,0.83903,2.02697,0.986381,2.09881,0.995576,fluxnet_archive,0.533181425485961
2017-01-24,0.854167,1.68714,0.844326,1.21231,0.993098,1.36629,1.00292,fluxnet_archive,0.058162706983441344
2017-01-28,0.999479,1.91044,1.55714,1.95566,1.74031,1.91442,1.75213,fluxnet_archive,0.06094312455003604
2017-01-29,0.997396,0.711484,1.17656,0.909898,1.26895,0.878029,1.28034,fluxnet_archive,0.47447948164146864
2017-01-30,0.995833,0.0261452,0.665319,0.159418,0.709996,0.148166,0.721806,fluxnet_archive,0.6123671706263499
2017-01-31,1.0,0.601715,0.855569,0.601546,0.879075,0.590093,0.887509,fluxnet_archive,0.4157876169906407
2017-02-01,0.998958,2.2049,2.39837,2.23907,2.35835,2.23924,2.3545,fluxnet_archive,0.30185745140388787
2017-02-02,1.0,2.11525,2.48886,2.18592,2.43884,2.16512,2.43356,fluxnet_archive,0.3980705543556516
2017-02-03,0.99375,1.35804,1.84928,1.44139,1.83092,1.41,1.82264,fluxnet_archive,0.4964218862491002
2017-02-04,0.996354,1.09099,1.77483,1.2922,1.78008,1.25436,1.7545,fluxnet_archive,0.5672282217422607
2017-02-05,0.954688,1.43187,2.1555,1.46993,2.18126,1.4985,2.14147,fluxnet_archive,0.7280993520518358
2017-02-06,0.990104,0.840053,0.86371,0.740462,0.932612,0.71518,0.878082,fluxnet_archive,0.3543196544276458
