TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2018-01-01,,1.76962,1.58491,1.76004,1.55821,1.75273,1.52997,fluxnet_archive,0.0706767458603312
2018-01-02,,1.47095,1.50409,1.45592,1.47409,1.45387,1.44241,fluxnet_archive,0.22906407487400993
2018-01-03,,0.602015,1.12011,0.604468,1.10623,0.599036,1.0812,fluxnet_archive,0.5772224622030239
2018-01-04,,0.12358,0.475674,0.136638,0.498519,0.127364,0.487744,fluxnet_archive,0.4765161987041036
2018-01-05,,1.55426,1.57869,1.57603,1.59934,1.56696,1.5942,fluxnet_archive,0.23276457883369325
2018-01-06,,1.26893,1.11686,1.2517,1.14159,1.27432,1.13706,fluxnet_archive,0.13670986321094317
2018-01-07,1.0,1.38378,1.58315,1.3624,1.62803,1.3553,1.6298,fluxnet_archive,0.4072210223182146
2018-01-08,0.999479,1.44978,2.15091,1.35309,2.23645,1.3384,2.24394,fluxnet_archive,0.8519510439164868
2018-01-09,1.0,1.78282,1.66225,1.83172,1.76964,1.84088,1.78925,fluxnet_archive,0.17128869690424772
2018-01-10,,1.13205,1.68439,1.18687,1.78085,1.19179,1.79858,fluxnet_archive,0.6436141108711303
2018-01-11,,0.889024,1.49832,0.85379,1.57828,0.916809,1.59361,fluxnet_archive,0.7375737940964722
2018-01-12,,0.172219,0.636586,0.155018,0.709115,0.163789,0.742818,fluxnet_archive,0.6149006479481642
2018-01-13,,1.65258,1.565,1.63139,1.64943,1.63125,1.66497,fluxnet_archive,0.22897048236141113
2018-01-14,,1.03039,0.733768,0.985741,0.805344,0.961481,0.817862,fluxnet_archive,0.0861072714182865
2018-01-15,1.0,1.59255,1.5185,1.57728,1.56194,1.58008,1.55845,fluxnet_archive,0.2049388048956084
2018-01-16,0.979167,0.325459,1.08476,0.361061,1.10538,0.354926,1.10817,fluxnet_archive,0.751849532037437
2018-01-17,1.0,1.18884,2.00733,1.19777,2.0097,1.19258,2.0098,fluxnet_archive,0.8005255579553636
2018-01-18,,0.54067,1.22557,0.533517,1.21662,0.528246,1.22086,fluxnet_archive,0.7077775377969763
2018-01-19,,0.983636,2.07234,0.98229,2.05956,0.973577,2.06131,fluxnet_archive,0.9915550755939525
2018-01-20,,1.6308,1.45268,1.61596,1.44527,1.61208,1.44146,fluxnet_archive,0.0930957523398128
2018-01-21,,0.414629,1.19466,0.448553,1.18447,0.451205,1.17748,fluxnet_archive,0.7458005759539237
2018-01-23,0.998958,1.07533,2.45049,1.15349,2.47225,1.18832,2.46845,fluxnet_archive,1.1654139668826493
2018-01-24,1.0,2.39937,2.91095,2.45319,3.05937,2.47436,3.07548,fluxnet_archive,0.6523974082073433
2018-01-25,0.999479,1.90743,2.5415,1.96778,2.69942,1.94353,2.72007,fluxnet_archive,0.7427213822894168
2018-01-26,1.0,0.482161,1.19132,0.537127,1.21183,0.595027,1.21907,fluxnet_archive,0.701730021598272
2018-01-27,,0.931233,1.16918,0.999127,1.19931,1.04893,1.21221,fluxnet_archive,0.3601029517638589
2018-01-28,,2.89642,1.84051,3.00035,2.00796,3.02459,2.05651,fluxnet_archive,0.49848092152627776
2018-01-29,,1.34662,1.03525,1.37358,1.15344,1.40459,1.20259,fluxnet_archive,0.057494600431965436
2018-01-30,,2.06874,1.31729,2.09954,1.34723,2.10123,1.37226,fluxnet_archive,0.32563714902807794
2018-01-31,,1.57946,1.43476,1.65586,1.37511,1.65107,1.36766,fluxnet_archive,0.013858891288696856
2018-02-01,,1.608,1.38334,1.61603,1.27802,1.60588,1.24843,fluxnet_archive,0.02736501079913618
