TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2018-01-01,,1.14797,0.692442,1.15806,0.69959,1.16742,0.707993,fluxnet_archive,0.11408927285817139
2018-01-02,,1.02363,0.543929,1.03181,0.551167,1.04289,0.560399,fluxnet_archive,0.13005255579553632
2018-01-03,,0.328975,0.3787,0.388177,0.39699,0.401153,0.401194,fluxnet_archive,0.22232757379409648
2018-01-05,,1.06271,0.509784,1.11645,0.550954,1.13252,0.555278,fluxnet_archive,0.19114182865370763
2018-01-06,,0.883952,0.386422,0.884351,0.42402,0.89983,0.428016,fluxnet_archive,0.11542908567314615
2018-01-07,,0.763245,0.340203,0.7584,0.365334,0.769822,0.374322,fluxnet_archive,0.0670021598272138
2018-01-08,,0.595561,0.253908,0.607515,0.263702,0.618155,0.275679,fluxnet_archive,0.03154283657307419
2018-01-09,1.0,0.697409,0.362191,0.717618,0.372096,0.727116,0.392942,fluxnet_archive,0.0327732181425486
2018-01-10,0.985417,0.50322,0.346186,0.562986,0.354524,0.559679,0.373403,fluxnet_archive,0.06590208783297337
2018-01-11,1.0,0.408845,0.348596,0.439508,0.359154,0.442414,0.375207,fluxnet_archive,0.15813246940244777
2018-01-12,,0.231489,0.257027,0.227299,0.271795,0.216368,0.281011,fluxnet_archive,0.24801727861771058
2018-01-13,,0.416041,0.42526,0.433508,0.443714,0.431489,0.456277,fluxnet_archive,0.2233304535637149
2018-01-14,,0.587454,0.546933,0.593322,0.563389,0.592486,0.576504,fluxnet_archive,0.1944326853851692
2018-01-15,,0.267212,0.312907,0.287085,0.313266,0.281293,0.313483,fluxnet_archive,0.2348315334773218
2018-01-16,,0.602034,0.658133,0.621286,0.649433,0.61949,0.638867,fluxnet_archive,0.23624694024478043
2018-01-17,,0.497066,0.766166,0.499008,0.738562,0.503357,0.707901,fluxnet_archive,0.388447804175666
2018-01-18,,0.96246,0.998152,0.975914,0.964962,0.979974,0.929946,fluxnet_archive,0.20809791216702667
2018-01-19,1.0,1.30644,1.17603,1.29501,1.13841,1.29617,1.10206,fluxnet_archive,0.10323974082073428
2018-01-20,0.999479,0.671056,0.951753,0.643812,0.87016,0.634212,0.778666,fluxnet_archive,0.3789402447804176
2018-01-21,0.996875,1.13211,1.27409,1.09788,1.22781,1.09165,1.18211,fluxnet_archive,0.30952483801295905
2018-01-22,1.0,0.805726,0.914298,0.784016,0.896971,0.758259,0.87656,fluxnet_archive,0.29730381569474434
2018-01-23,,0.994247,0.989077,0.979246,0.988206,0.957678,0.992386,fluxnet_archive,0.22243340532757383
2018-01-24,,1.1111,1.16174,1.16848,1.14956,1.18678,1.15164,fluxnet_archive,0.20236141108711297
2018-01-25,,0.692252,0.870273,0.664073,0.842665,0.633574,0.853381,fluxnet_archive,0.3445586753059755
2018-01-26,1.0,1.40472,1.53825,1.35977,1.46496,1.32822,1.49918,fluxnet_archive,0.29171346292296624
2018-01-27,0.958333,1.57935,1.98624,1.53444,1.9235,1.51268,1.96511,fluxnet_archive,0.49608351331893447
2018-01-28,1.0,0.662382,1.52666,0.658037,1.50857,0.664928,1.53504,fluxnet_archive,0.828317494600432
2018-01-29,,0.358139,1.09913,0.387283,1.09386,0.387463,1.10625,fluxnet_archive,0.7246774658027358
2018-01-30,,1.88193,2.04153,1.85272,2.02532,1.82923,2.02682,fluxnet_archive,0.3402447804175665
2018-01-31,,0.551888,0.858192,0.581124,0.845833,0.576292,0.843029,fluxnet_archive,0.40655795536357087
2018-02-01,,1.62613,1.52424,1.60488,1.53583,1.599,1.53484,fluxnet_archive,0.1662706983441324
2018-02-02,,0.698593,0.759382,0.697436,0.795628,0.704433,0.793102,fluxnet_archive,0.286675305975522
2018-02-03,1.0,1.18664,1.02509,1.20671,1.07576,1.21043,1.08347,fluxnet_archive,0.12170626349892015
2018-02-04,0.991667,0.73136,0.802628,0.705876,0.858579,0.696419,0.875091,fluxnet_archive,0.32592008639308856
2018-02-05,0.997917,0.876228,1.09802,0.869279,1.09008,0.884783,1.14357,fluxnet_archive,0.37494672426205894
2018-02-06,0.999479,0.411139,0.599643,0.388303,0.605325,0.408409,0.657734,fluxnet_archive,0.37222606191504676
2018-02-07,1.0,0.461572,0.715049,0.429103,0.749175,0.462236,0.817247,fluxnet_archive,0.4464161267098632
2018-02-08,1.0,0.822362,1.06804,0.783479,1.13,0.784798,1.21116,fluxnet_archive,0.46545788336933036
2018-02-09,0.979167,0.789279,1.4936,0.773117,1.51247,0.778799,1.54518,fluxnet_archive,0.7482742980561555
2018-02-10,1.0,0.669697,0.911914,0.705421,0.92386,0.723553,0.910566,fluxnet_archive,0.37324622030237586
2018-02-11,,0.899411,1.18968,0.960283,1.18331,0.995448,1.17088,fluxnet_archive,0.3765493160547157
2018-02-12,1.0,1.13261,1.27206,1.14401,1.26705,1.15855,1.25205,fluxnet_archive,0.3045644348452124
2018-02-13,0.975,0.95641,1.09343,0.937228,1.10777,0.937705,1.08571,fluxnet_archive,0.33876313894888405
2018-02-14,0.847396,0.627786,0.933252,0.570408,0.980675,0.555813,0.961354,fluxnet_archive,0.5113513318934485
2018-02-15,1.0,0.47778,0.610946,0.474059,0.630515,0.463193,0.597008,fluxnet_archive,0.328622030237581
2018-02-16,1.0,1.42703,1.03797,1.43385,1.10856,1.40911,1.09275,fluxnet_archive,0.018207343412527062
2018-02-17,0.999479,0.875491,1.26202,0.837607,1.22725,0.818134,1.16817,fluxnet_archive,0.4965032397408207
2018-02-18,0.945833,0.810557,1.6671,0.820431,1.51814,0.823255,1.44249,fluxnet_archive,0.7182930165586753
2018-02-19,0.914063,0.712951,1.67874,0.706013,1.24828,0.693634,1.10393,fluxnet_archive,0.606383729301656
2018-02-20,0.953125,0.898033,1.63911,0.883909,1.17571,0.848045,1.05712,fluxnet_archive,0.4260626349892009
2018-02-21,0.967708,1.00413,1.29158,0.972073,0.876952,0.919209,0.807438,fluxnet_archive,0.1475010799136069
2018-02-22,0.959896,0.6794,0.905985,0.689059,0.611329,0.682054,0.575088,fluxnet_archive,0.16002159827213824
2018-02-23,0.959896,0.762394,0.520622,0.767017,0.427792,0.772672,0.413718,fluxnet_archive,0.02823974082073431
2018-02-24,0.980729,0.647072,0.30576,0.665033,0.307993,0.674372,0.304268,fluxnet_archive,0.04106551475881928
