TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2018-01-01,,0.829401,0.830633,0.853424,0.819635,0.851894,0.819355,fluxnet_archive,0.19165658747300218
2018-01-02,,0.445037,0.406167,0.405169,0.400467,0.403218,0.400819,fluxnet_archive,0.21259755219582432
2018-01-03,,0.55923,0.576512,0.552623,0.57168,0.553045,0.572625,fluxnet_archive,0.22970266378689702
2018-01-04,,0.913421,0.793386,0.929664,0.793821,0.930206,0.797462,fluxnet_archive,0.1181835853131749
2018-01-05,,0.707226,0.528236,0.70418,0.544014,0.696905,0.546474,fluxnet_archive,0.1006724262059035
2018-01-06,,1.24621,0.844681,1.27415,0.931879,1.27359,0.924666,fluxnet_archive,0.03043268538516911
2018-01-08,0.980208,0.295427,0.719961,0.209542,0.762776,0.219584,0.751615,fluxnet_archive,0.6142793376529878
2018-01-09,1.0,1.13217,0.916106,1.1943,0.98429,1.18332,0.969974,fluxnet_archive,0.0647876169906408
2018-01-10,0.951562,1.58509,1.32287,1.59213,1.37773,1.58131,1.36422,fluxnet_archive,0.061627069834413135
2018-01-11,0.914062,1.46655,1.49163,1.56798,1.47842,1.56136,1.4611,fluxnet_archive,0.15150467962563005
2018-01-12,1.0,0.12535,0.269399,0.128124,0.352648,0.14505,0.34796,fluxnet_archive,0.37762706983441324
2018-01-13,1.0,0.275401,0.250126,0.215644,0.302849,0.213283,0.298864,fluxnet_archive,0.2787652987760979
2018-01-14,0.967708,0.250997,0.981287,0.230861,0.968677,0.225636,0.954572,fluxnet_archive,0.7471677465802736
2018-01-15,1.0,0.709156,1.30547,0.720441,1.26567,0.721906,1.25107,fluxnet_archive,0.6085161987041037
2018-01-16,0.997917,0.686319,0.709595,0.742077,0.710858,0.735534,0.706153,fluxnet_archive,0.19350683945284378
2018-01-17,1.0,0.605737,0.803994,0.638449,0.794703,0.630821,0.791715,fluxnet_archive,0.32847660187185024
2018-01-18,,0.574962,0.817573,0.638037,0.791784,0.633992,0.790948,fluxnet_archive,0.32667170626349895
2018-01-19,,0.694573,0.714203,0.714505,0.720793,0.704779,0.721387,fluxnet_archive,0.22050971922246224
2018-01-20,1.0,0.685979,0.594216,0.665028,0.73199,0.665269,0.734049,fluxnet_archive,0.26419150467962565
2018-01-21,0.995833,0.425984,0.401112,0.394734,0.509267,0.398584,0.51262,fluxnet_archive,0.2984398848092153
2018-01-22,0.989583,0.345673,0.318973,0.321931,0.347373,0.323021,0.353634,fluxnet_archive,0.23429949604031675
2018-01-23,1.0,0.550681,0.419315,0.514321,0.412238,0.503168,0.416437,fluxnet_archive,0.14248884089272854
2018-01-24,,0.80278,1.26958,0.835403,1.25074,0.827242,1.24948,fluxnet_archive,0.5150014398848092
2018-01-25,,0.860925,1.11057,0.910481,1.08186,0.908338,1.0761,fluxnet_archive,0.3393657307415407
2018-01-26,,1.01789,1.04794,1.05301,1.00361,1.05565,0.997786,fluxnet_archive,0.18041756659467234
2018-01-27,,0.513964,0.645216,0.463453,0.607058,0.458373,0.603426,fluxnet_archive,0.3193700503959683
2018-01-28,,0.884786,0.72844,0.840671,0.716513,0.833284,0.713459,fluxnet_archive,0.1265961123110151
2018-01-29,,1.46258,1.21807,1.48248,1.23502,1.47363,1.22859,fluxnet_archive,0.037825773938084936
2018-01-30,,1.31224,1.19077,1.26771,1.22508,1.26701,1.21348,fluxnet_archive,0.18529157667386612
2018-01-31,,1.02112,0.882302,1.07619,0.921403,1.07773,0.909908,fluxnet_archive,0.10454499640028796
2018-02-01,1.0,1.14681,0.984981,1.18593,1.03279,1.18458,1.02011,fluxnet_archive,0.10573074154067685
2018-02-02,0.998958,0.995316,0.946878,1.05578,1.00794,1.05734,1.00201,fluxnet_archive,0.1815406767458604
2018-02-03,1.0,0.605789,0.495528,0.646194,0.555441,0.642673,0.558957,fluxnet_archive,0.15064578833693298
2018-02-04,0.925521,0.307508,0.207437,0.320106,0.270131,0.314818,0.27934,fluxnet_archive,0.18000359971202304
2018-02-05,0.865104,0.0988363,0.216322,0.0225579,0.374455,,0.374935,fluxnet_archive,0.46932836573074155
2018-02-06,0.993229,0.556116,0.242874,0.335354,0.434564,0.292651,0.422121,fluxnet_archive,0.28740820734341255
2018-02-07,0.981771,0.383334,0.168533,0.289965,0.32653,0.288717,0.326049,fluxnet_archive,0.24230741540676745
