TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2018-01-01,,0.416256,,0.540012,0.0,0.536277,0.0,fluxnet_archive,0.17279481641468686
2018-01-12,,0.0397115,,0.0397856,0.0,0.0396916,0.0,fluxnet_archive,0.18733938084953206
2018-01-14,,0.16093,,0.152706,0.099887,0.153128,0.0984676,fluxnet_archive,0.17795608351331893
2018-01-15,,0.0190563,,0.024979,0.0752981,0.0266249,0.0748956,fluxnet_archive,0.2522095752339813
2018-01-16,,0.105494,,0.121959,0.0238817,0.11939,0.0252232,fluxnet_archive,0.14537271418286535
2018-01-18,,0.0194514,,0.035402,0.00400531,0.0319148,0.00802565,fluxnet_archive,0.19337891288696904
2018-01-25,1.0,0.0642339,,0.0820863,0.0,0.0808723,0.0,fluxnet_archive,0.156885313174946
2018-02-05,,0.00133698,0.00962318,0.00953924,0.00975395,0.00798698,0.00959585,fluxnet_archive,0.2161373002159827
2018-02-09,,0.226814,0.0,0.236297,1.90176e-05,0.239351,2.45474e-05,fluxnet_archive,0.0458761825773938
2018-02-13,0.999479,0.049674,0.00203137,0.0425753,0.00214248,0.0414174,0.00202181,fluxnet_archive,0.18687341972642188
2018-02-14,1.0,1.20602,0.00159034,1.18014,0.00166341,1.18264,0.00156469,fluxnet_archive,0.6324525485961123
2018-02-15,1.0,1.42938,0.00206789,1.39122,0.00215092,1.39355,0.00201914,fluxnet_archive,0.7840670122390208
2018-02-16,0.993229,0.691936,0.00302986,0.666916,0.00314011,0.682593,0.00294376,fluxnet_archive,0.26189768898488114
2018-02-17,0.897917,0.372169,0.00381786,0.353908,0.0039453,0.355733,0.00369471,fluxnet_archive,0.035970266378689726
2018-02-21,0.960938,0.0698204,0.00690235,0.0274576,0.00708812,0.0264478,0.00662207,fluxnet_archive,0.20131786897048234
2018-02-25,0.95,0.232672,0.0149533,0.222479,0.015306,0.218284,0.0145869,fluxnet_archive,0.06683009359251259
2018-02-26,0.828125,0.257014,0.013584,0.24577,0.0138988,0.240869,0.0133195,fluxnet_archive,0.04904881209503239
2018-02-27,0.836458,0.0688809,0.0313332,0.0657213,0.0320256,0.0566232,0.0309008,fluxnet_archive,0.19172375809935205
2018-03-01,0.811458,0.0652072,0.0159949,0.0379037,0.0155612,0.0478789,0.014902,fluxnet_archive,0.19989740820734342
2018-03-11,0.998958,0.024127,0.00296238,0.0117577,0.0436663,0.0228424,0.0412416,fluxnet_archive,0.2389550755939525
2018-03-18,0.998958,0.190471,0.0925447,0.185804,0.0429246,0.182963,0.0450767,fluxnet_archive,0.11311778257739381
2018-03-31,1.0,,0.177647,0.0243706,0.235597,0.0229137,0.214221,fluxnet_archive,0.3680535637149028
2018-04-01,,0.0901907,0.150979,0.119456,0.19703,0.118201,0.177848,fluxnet_archive,0.2718315334773218
2018-04-03,,0.218583,0.0748516,0.228432,0.0384384,0.22685,0.0390092,fluxnet_archive,0.07919827213822894
2018-04-05,,0.255471,0.183557,0.218193,0.0517371,0.23013,0.0541833,fluxnet_archive,0.09614406047516198
2018-04-06,1.0,0.193371,0.057553,0.152049,0.0166813,0.148862,0.0173865,fluxnet_archive,0.11852577393808496
2018-04-11,1.0,0.118901,,0.130067,0.0,0.12689,0.000155442,fluxnet_archive,0.12234197264218863
2018-04-12,0.999479,0.137827,,0.134491,0.0,0.133451,4.85557e-05,fluxnet_archive,0.11915694744420445
2018-04-13,1.0,0.286794,,0.267583,0.000260704,0.257071,0.000680773,fluxnet_archive,0.023526064794816396
2018-04-14,0.996875,0.612511,0.0,0.563897,0.000803985,0.549257,0.00210085,fluxnet_archive,0.18941181785457162
2018-04-15,0.990104,0.456772,0.0398005,0.404135,0.0301203,0.390082,0.0356062,fluxnet_archive,0.053286321094312486
2018-04-16,0.923958,0.706141,0.0911394,0.603613,0.072112,0.57121,0.0856688,fluxnet_archive,0.1666673866090713
2018-04-17,0.953646,0.899498,0.251543,0.75803,0.172932,0.715099,0.186129,fluxnet_archive,0.2052541396688265
2018-04-18,0.993229,1.01251,0.313029,0.851032,0.206005,0.810804,0.208708,fluxnet_archive,0.24839956803455726
