TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-01,0.851563,2.98334,0.609933,1.82022,0.360015,1.60187,0.393244,fluxnet_archive,0.835280777537797
2019-01-06,,,0.0637224,0.12277,0.0255435,0.12518,0.0287309,fluxnet_archive,0.14598524118070555
2019-01-07,,0.837526,0.0,0.338887,0.0,0.400551,0.0,fluxnet_archive,0.027996400287976966
2019-01-08,,0.566214,,0.594548,0.0,0.535286,,fluxnet_archive,0.2120575953923686
2019-01-09,1.0,0.300409,,0.622092,0.0014831,0.725332,,fluxnet_archive,0.23081994240460765
2019-01-10,0.9875,,,0.235593,0.00506974,0.180691,0.0,fluxnet_archive,0.05001925125989919
2019-01-12,1.0,1.25875,0.0,0.518937,0.0170893,0.576905,0.0412879,fluxnet_archive,0.14531871850251982
2019-01-13,,1.24923,0.00904733,0.843493,0.0184957,0.82439,0.0438766,fluxnet_archive,0.3779678185745141
2019-01-15,0.850521,0.992504,0.492662,0.719493,0.162786,0.875022,0.2869,fluxnet_archive,0.18481425485961128
2019-01-16,0.849479,2.32642,0.499928,0.943242,0.119262,1.08921,0.219459,fluxnet_archive,0.37723542116630676
2019-01-17,0.844271,0.113465,0.530882,0.192194,0.109655,0.389643,0.193552,fluxnet_archive,0.1565593952483801
2019-01-26,0.930729,,0.686347,0.406904,0.144409,0.647073,0.103295,fluxnet_archive,0.02700143988480922
2019-02-07,0.965104,,,0.144793,0.279147,,0.0783826,fluxnet_archive,0.3127098632109431
2019-02-08,0.913542,,,0.201986,0.454345,0.135524,0.241256,fluxnet_archive,0.39766666666666667
2019-02-09,0.997917,0.893853,0.0,1.56819,0.651893,1.43869,0.500974,fluxnet_archive,0.44369834413246945
2019-02-10,0.96875,,0.53106,0.76141,0.891973,0.432923,0.778856,fluxnet_archive,0.3099805615550756
2019-02-13,0.850521,0.565603,1.99881,0.202606,1.37986,,1.29118,fluxnet_archive,1.0635377969762418
2019-02-14,0.877083,0.990038,1.80029,1.54864,1.28552,1.45042,1.19986,fluxnet_archive,0.026551475881929423
2019-02-15,0.859375,0.279773,1.70858,1.82359,1.26611,1.25976,1.18687,fluxnet_archive,0.18537077033837293
2019-02-16,0.868229,0.0288258,1.58085,1.2237,1.2236,0.680527,1.14908,fluxnet_archive,0.21591072714182866
2019-02-17,0.927083,,1.44661,0.78598,1.17647,0.181051,1.10657,fluxnet_archive,0.4971130309575233
2019-02-18,0.880729,,1.30263,0.956881,1.12361,0.551398,1.05438,fluxnet_archive,0.3360179985601152
2019-02-19,0.814062,0.740415,1.15281,0.68848,1.06579,0.564123,0.997778,fluxnet_archive,0.48762419006479485
2019-02-21,0.823438,0.31336,0.865969,0.180086,0.964824,0.162877,0.902158,fluxnet_archive,0.7809488840892729
2019-02-22,0.992708,,0.416683,0.0693883,0.625758,0.211619,0.492031,fluxnet_archive,0.616536861051116
2019-02-24,0.953125,0.245279,0.400106,0.632658,0.727597,0.732181,0.64133,fluxnet_archive,0.2843333333333333
2019-02-25,0.976042,0.0205925,0.466219,0.634454,0.801485,0.769069,0.727053,fluxnet_archive,0.3362354211663067
