TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-02,0.894271,2.65414,1.8421,3.24152,0.419376,2.15148,0.319483,fluxnet_archive,1.8157984161267098
2019-01-03,0.891146,1.67546,2.13364,0.941859,0.520632,0.44403,0.383053,fluxnet_archive,0.08727645788336935
2019-01-04,0.917708,1.94493,2.47369,1.00399,0.680629,0.20466,0.487489,fluxnet_archive,0.01681857451403881
2019-01-06,0.975,1.17279,0.338741,1.33727,0.220629,0.375928,0.186379,fluxnet_archive,0.5879344852411806
2019-01-07,0.905208,1.52184,0.742251,1.06697,0.488194,0.359722,0.43117,fluxnet_archive,0.20070266378689702
2019-01-12,0.996354,1.89965,0.447814,0.982784,0.237137,0.558161,0.249953,fluxnet_archive,0.32084017278617705
2019-01-13,1.0,1.6038,0.160512,1.45891,0.0834945,1.09665,0.0904824,fluxnet_archive,0.7742372210223181
2019-01-18,0.921875,0.140071,3.23327,0.318867,1.15947,0.325123,1.01875,fluxnet_archive,0.8211684665226782
2019-01-27,,2.13312,0.170208,1.50971,0.0462342,0.979467,0.0251764,fluxnet_archive,0.8376355651547877
2019-02-02,0.871875,1.2135,,1.36287,0.0438662,0.095369,0.0987107,fluxnet_archive,0.7336240460763138
2019-02-03,0.958333,1.55282,,2.9336,0.0292193,2.3055,0.0625887,fluxnet_archive,1.8750041036717067
2019-02-10,1.0,0.777246,0.039023,1.08981,0.0401092,0.225491,0.0620583,fluxnet_archive,0.5397413966882648
2019-02-13,0.821875,4.00523,1.20587,2.34289,1.05641,0.574148,0.92579,fluxnet_archive,0.7102087832973363
2019-02-19,0.861979,5.38095,3.21312,4.5986,2.43422,3.27004,1.67179,fluxnet_archive,1.3422462203023762
2019-02-20,0.888542,3.04313,3.56661,2.91769,2.85798,1.3644,2.11058,fluxnet_archive,0.17299496040316778
2019-02-21,0.916146,0.523154,4.13405,1.37315,3.46393,0.324148,2.71491,fluxnet_archive,1.7212239020878326
2019-02-23,0.979167,3.73416,2.83446,3.43065,3.41945,3.77402,2.76493,fluxnet_archive,0.20791936645068387
2019-02-24,0.935417,2.35604,2.88197,2.30555,3.98299,2.5339,3.31494,fluxnet_archive,1.4236429085673146
2019-02-25,0.955208,4.06358,2.58263,3.43887,3.71806,3.41988,3.24208,fluxnet_archive,0.41698344132469395
2019-02-26,0.992708,3.10348,2.24778,2.79648,3.28753,1.83525,3.03776,fluxnet_archive,0.5695104391648669
2019-02-27,0.990104,,2.01201,0.912143,2.90287,0.11151,2.88991,fluxnet_archive,1.6491915046796255
