TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-15,0.833333,1.41773,1.29469,1.33796,0.894172,1.29642,0.794384,fluxnet_archive,0.10351907847372216
2019-01-16,1.0,2.59279,1.88018,2.53478,1.27895,2.52461,1.14762,fluxnet_archive,0.6881425485961122
2019-01-17,,1.16507,1.33396,1.0901,0.918817,1.07296,0.814599,fluxnet_archive,0.09266882649388043
2019-01-18,,2.36438,3.34859,2.14242,2.24788,2.07752,2.04574,fluxnet_archive,0.29190784737221015
2019-01-19,,1.25165,3.82039,1.24091,2.56734,1.18721,2.36037,fluxnet_archive,1.17093592512599
2019-01-20,,0.956663,4.03621,0.936086,2.71322,0.906095,2.50378,fluxnet_archive,1.495416846652268
2019-01-21,,1.22995,4.18899,1.22025,2.81626,1.18765,2.6045,fluxnet_archive,1.3650179985601154
2019-01-22,,0.617587,3.56741,0.648027,2.39962,0.711151,2.20329,fluxnet_archive,1.4770287976961842
2019-01-23,,1.572,1.94696,1.53357,1.31911,1.51062,1.17644,fluxnet_archive,0.06158387329013671
2019-01-24,,1.07104,2.08703,0.926792,1.41306,0.685462,1.26674,fluxnet_archive,0.5660676745860331
2019-01-25,,1.96335,2.31823,1.92979,1.56461,1.94053,1.40498,fluxnet_archive,0.04692584593232531
2019-01-26,,1.14943,1.41434,1.15543,0.970591,1.18293,0.85992,fluxnet_archive,0.08290928725701945
2019-01-27,,1.43166,1.65321,1.4229,1.12666,1.43257,1.00115,fluxnet_archive,0.0027069834413246435
2019-01-28,1.0,1.58631,2.06851,1.59115,1.39991,1.58811,1.25253,fluxnet_archive,0.07830093592512592
2019-01-29,0.999479,1.9967,3.59362,2.0151,2.417,1.99822,2.21984,fluxnet_archive,0.5053275737940964
2019-01-30,1.0,0.777731,1.26376,0.740997,0.872445,0.741244,0.771601,fluxnet_archive,0.31061771058315335
2019-01-31,0.978646,1.40093,4.24885,1.33545,2.86131,1.24262,2.65952,fluxnet_archive,1.31451403887689
2019-02-01,1.0,2.16527,3.01298,2.15092,2.02435,2.15351,1.83398,fluxnet_archive,0.12485961123110145
2019-02-02,,0.618954,1.27656,0.598426,0.881024,0.611424,0.779798,fluxnet_archive,0.4194370050395968
2019-02-03,1.0,1.63774,2.58819,1.6301,1.74258,1.61981,1.5695,fluxnet_archive,0.29696184305255574
2019-02-04,0.998437,1.96151,3.30913,1.96595,2.22351,1.95042,2.0271,fluxnet_archive,0.401411087113031
2019-02-05,1.0,2.89067,2.45178,2.85393,1.65107,2.85885,1.48154,fluxnet_archive,0.6500071994240461
2019-02-06,1.0,1.82712,3.87337,1.81453,2.6025,1.82645,2.39416,fluxnet_archive,0.7832757379409648
2019-02-07,0.992708,2.70846,3.38905,2.66049,2.28171,2.61753,2.09339,fluxnet_archive,0.05671706263498913
2019-02-08,1.0,2.08607,1.78135,1.99162,1.21009,1.9726,1.07605,fluxnet_archive,0.34667386609071266
2019-02-09,,1.92097,2.91106,1.90248,1.95433,1.90078,1.76302,fluxnet_archive,0.2533117350611951
2019-02-10,,0.281287,1.29651,0.331337,0.894187,0.383295,0.791978,fluxnet_archive,0.6212023038156946
2019-02-11,,1.62451,2.7335,1.60252,1.84427,1.58612,1.67706,fluxnet_archive,0.3900287976961844
2019-02-12,,3.30423,3.39403,2.96071,2.27677,2.96228,2.07044,fluxnet_archive,0.27641468682505416
2019-02-13,,1.72209,4.92379,1.80526,3.31135,1.85299,3.08826,fluxnet_archive,1.300280777537797
2019-02-14,,2.4792,5.68271,2.49601,3.82484,2.41694,3.59469,fluxnet_archive,1.1726637868970482
2019-02-15,,2.74387,5.78145,2.80877,3.89167,2.76771,3.66067,fluxnet_archive,0.9956083513318934
2019-02-16,,2.34204,5.77712,2.34177,3.88894,2.28542,3.65849,fluxnet_archive,1.3298560115190785
2019-02-17,1.0,3.69865,5.79256,3.67989,3.89781,3.67959,3.66346,fluxnet_archive,0.37287257019438474
2019-02-18,0.989062,3.74905,5.80372,3.69597,3.90775,3.71025,3.6776,fluxnet_archive,0.3684521238300937
2019-02-19,0.956771,3.01841,5.18518,3.0351,3.49501,3.13025,3.2854,fluxnet_archive,0.5470914326853854
2019-02-20,0.909896,4.18727,4.5891,4.31597,3.07578,4.36532,2.83486,fluxnet_archive,0.676882649388049
2019-02-21,0.988542,4.74363,4.51146,4.79867,3.02855,4.84363,2.80076,fluxnet_archive,1.0584017278617712
2019-02-28,0.978646,3.73473,4.13561,4.08732,2.78324,3.89206,2.58089,fluxnet_archive,0.7228797696184304
2019-03-01,1.0,1.88325,1.40236,2.08314,0.962569,1.93716,0.852278,fluxnet_archive,0.5907638588912888
2019-03-02,1.0,2.93593,2.55606,3.02374,1.72211,2.92927,1.55243,fluxnet_archive,0.7211159107271419
2019-03-03,0.981771,1.59407,1.74672,1.71329,1.18647,1.68158,1.05265,fluxnet_archive,0.163297336213103
2019-03-04,1.0,2.92766,3.4316,2.92597,2.29647,2.89605,2.0773,fluxnet_archive,0.23722102231821468
2019-03-05,,3.73626,3.58222,3.68052,2.40464,3.66452,2.19731,fluxnet_archive,0.7025773938084953
2019-03-06,1.0,3.04442,4.63197,3.09386,3.10736,3.1417,2.87217,fluxnet_archive,0.2257019438444925
2019-03-07,0.981771,4.13454,4.04775,4.15319,2.70832,4.16555,2.47102,fluxnet_archive,0.8242404607631392
2019-03-08,1.0,3.51912,4.16688,3.5231,2.80159,3.52118,2.59201,fluxnet_archive,0.3034629229661626
2019-03-09,1.0,4.00963,3.59766,3.99492,2.41232,4.00094,2.19907,fluxnet_archive,0.9233981281497482
2019-03-10,0.96875,3.42117,3.15207,3.42782,2.11633,3.45069,1.91982,fluxnet_archive,0.728214542836573
2019-03-11,1.0,4.32469,4.12711,4.29414,2.76866,4.31245,2.54563,fluxnet_archive,0.8822750179985597
2019-03-12,,5.38211,5.35191,5.26706,3.58317,5.22373,3.31599,fluxnet_archive,0.9963210943124549
2019-03-13,,1.42684,3.03876,1.25691,2.02583,1.2866,1.80253,fluxnet_archive,0.7695608351331894
2019-03-14,1.0,0.989383,3.18167,0.692276,2.11975,0.634837,1.88876,fluxnet_archive,1.2436817854571631
2019-03-17,0.963021,4.01356,5.16914,3.38638,3.45854,3.13536,3.19412,fluxnet_archive,0.26793376529877627
2019-03-18,0.998437,4.45444,5.41889,4.06903,3.63031,3.9423,3.36902,fluxnet_archive,0.09987041036717031
