TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-01,0.879687,0.650617,1.81763,0.687814,1.70405,0.692754,1.90262,fluxnet_archive,0.9476141108711305
2019-01-02,0.939063,0.981118,1.73386,0.99704,1.63184,0.96575,1.83075,fluxnet_archive,0.6730021598272137
2019-01-03,0.894792,1.49316,1.47981,1.46734,1.41386,1.46747,1.62043,fluxnet_archive,0.17748020158387315
2019-01-04,0.985417,1.48846,1.66403,1.46076,1.59637,1.46762,1.83901,fluxnet_archive,0.3136141108711303
2019-01-05,0.998437,0.79985,1.83275,0.788395,1.62167,0.846968,1.6907,fluxnet_archive,0.8158927285817135
2019-01-06,1.0,0.189051,1.8414,0.347094,1.38788,0.436964,1.12457,fluxnet_archive,0.9652886969042477
2019-01-07,0.997917,1.0254,1.83118,1.11065,1.2817,1.11199,0.880364,fluxnet_archive,0.3391288696904249
2019-01-08,0.995312,1.14267,1.80305,1.15343,1.27759,1.1753,0.897975,fluxnet_archive,0.30537077033837295
2019-01-09,0.958333,0.786636,1.82911,0.617291,1.33343,0.656023,1.00439,fluxnet_archive,0.7315615550755938
2019-01-10,0.985938,1.07049,1.82743,1.09192,1.39067,1.08435,1.15327,fluxnet_archive,0.4310655147588194
2019-01-11,0.986979,1.14297,1.82937,1.16907,1.45769,1.2443,1.27135,fluxnet_archive,0.42377249820014395
2019-01-12,0.981771,1.08111,1.69218,1.09524,1.41984,1.15104,1.27299,fluxnet_archive,0.4496760259179266
2019-01-13,0.983854,0.333101,1.87059,0.408641,1.61902,0.416441,1.41882,fluxnet_archive,1.0873858891288697
2019-01-14,0.991146,0.551596,1.88056,0.573945,1.66597,0.586937,1.40279,fluxnet_archive,1.0021778257739382
2019-01-15,0.990104,0.623133,1.88397,0.627626,1.60686,0.608223,1.31224,fluxnet_archive,0.9209748020158387
2019-01-16,0.995833,0.138899,1.48051,0.187077,1.13866,0.168059,0.900183,fluxnet_archive,0.9010676745860332
2019-01-17,0.972917,0.488065,1.90881,0.448477,1.44056,0.473163,1.14989,fluxnet_archive,0.9302253419726423
2019-01-18,0.989062,0.971711,1.61216,0.94809,1.22005,0.985163,0.981192,fluxnet_archive,0.41177825773938087
2019-01-19,0.933333,1.41038,1.81423,1.32811,1.41782,1.3695,1.17065,fluxnet_archive,0.28056875449964014
2019-01-20,1.0,1.01021,1.05494,1.03968,0.801714,1.00777,0.654891,fluxnet_archive,0.04466090712742987
2019-01-21,0.851042,1.40352,1.64278,1.35715,1.3386,1.42128,1.14678,fluxnet_archive,0.2026277897768178
2019-01-23,1.0,0.377749,1.8866,0.412942,1.61285,0.367436,1.4332,fluxnet_archive,1.079847372210223
2019-01-24,,1.80899,1.76696,1.96431,1.52827,1.90642,1.36971,fluxnet_archive,0.09794096472282217
2019-01-25,,1.77277,2.05217,1.85887,1.8256,1.82052,1.67128,fluxnet_archive,0.1920302375809934
2019-01-26,1.0,1.33787,2.08481,1.40735,1.88658,1.34986,1.74884,fluxnet_archive,0.5610007199424045
2019-01-27,0.984896,1.05669,2.05028,1.10088,1.88875,1.12061,1.77327,fluxnet_archive,0.7832037437005038
2019-01-28,0.991667,1.22509,2.06574,1.15732,1.93028,1.13133,1.82955,fluxnet_archive,0.7724694024478043
2019-01-29,1.0,1.23781,1.52915,1.20926,1.47299,1.17827,1.42586,fluxnet_archive,0.4058531317494601
2019-01-31,,0.382113,0.646648,0.395313,0.778137,0.37624,0.867005,fluxnet_archive,0.4915939524838012
2019-02-01,,0.820325,0.464305,0.874582,0.618362,0.864525,0.725693,fluxnet_archive,0.03151907847372209
2019-02-02,1.0,1.30464,0.498887,1.33544,0.629921,1.34621,0.763949,fluxnet_archive,0.2919503239740821
2019-02-03,0.976042,0.815125,0.706502,0.796366,0.744827,0.797215,0.87949,fluxnet_archive,0.1788776097912167
2019-02-04,0.955729,0.0437768,1.03836,0.0274138,0.95383,0.0434052,1.12605,fluxnet_archive,0.8829490280777537
2019-02-05,0.914063,0.293549,1.46525,0.232762,1.12627,0.266324,1.24667,fluxnet_archive,0.8592570194384449
2019-02-06,0.989583,0.316525,1.87517,0.375478,1.53336,0.377205,1.64949,fluxnet_archive,1.0495910727141828
