TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-01,0.9875,2.80762,2.64612,2.84028,2.96734,2.83498,3.00462,fluxnet_archive,0.3074586033117352
2019-01-02,0.964583,1.75916,2.11064,1.78278,2.3176,1.77996,2.35563,fluxnet_archive,0.6010223182145429
2019-01-03,0.993229,2.9606,2.6624,2.91365,2.98835,2.92105,3.02666,fluxnet_archive,0.26976241900647946
2019-01-04,0.9625,2.79177,2.66795,2.8052,2.9929,2.81256,3.03038,fluxnet_archive,0.3511159107271418
2019-01-05,0.896354,1.83018,2.33897,2.00387,2.59805,2.0005,2.6352,fluxnet_archive,0.643758099352052
2019-01-06,0.847917,0.772393,1.53698,0.951462,1.66625,0.960465,1.70157,fluxnet_archive,0.730588912886969
2019-01-14,0.876562,2.94262,2.79003,3.0218,3.13614,3.02135,3.17466,fluxnet_archive,0.29830093592512624
2019-01-15,0.906771,3.12351,2.72586,3.25691,3.05685,3.2545,3.09518,fluxnet_archive,0.07195104391648659
2019-01-16,0.853646,1.28024,1.48285,1.58868,1.60068,1.57489,1.63813,fluxnet_archive,0.22462203023758098
2019-01-17,0.872917,1.59743,1.55022,1.57421,1.62594,1.59836,1.65242,fluxnet_archive,0.25322534197264207
2019-01-18,0.871875,1.64478,1.62313,1.6442,1.60688,1.67597,1.6145,fluxnet_archive,0.1891144708423326
2019-01-19,0.834896,0.829372,0.973572,0.873993,0.942145,0.893134,0.944545,fluxnet_archive,0.2650482361411087
2019-01-20,0.979167,2.77745,2.7667,2.88951,2.79158,2.85196,2.77259,fluxnet_archive,0.14547876169906418
2019-01-21,0.957812,3.37768,3.10592,3.09779,3.12615,3.12313,3.11062,fluxnet_archive,0.23640028797696194
2019-01-22,0.959375,2.69577,2.25309,2.41028,2.28552,2.45193,2.27444,fluxnet_archive,0.12616270698344118
2019-01-23,1.0,3.71362,3.39651,3.69929,3.43039,3.70117,3.42,fluxnet_archive,0.022390208783297387
2019-01-24,1.0,3.06496,3.01109,3.03882,3.06523,3.04451,3.05752,fluxnet_archive,0.23499640028797714
2019-01-25,0.990625,3.07804,3.1435,3.20873,3.20379,3.19233,3.19437,fluxnet_archive,0.21242620590352776
2019-01-26,0.959896,3.34573,3.31539,3.28545,3.35877,3.29854,3.35058,fluxnet_archive,0.2687688984881208
2019-01-27,1.0,3.47788,3.55911,3.46151,3.58718,3.46408,3.58125,fluxnet_archive,0.3064578833693304
2019-01-28,,3.60032,3.50165,3.58289,3.50915,3.58703,3.50735,fluxnet_archive,0.16289416846652272
2019-01-29,,3.18695,2.71176,3.18163,2.71803,3.18214,2.71647,fluxnet_archive,0.11778257739380851
2019-01-30,,2.56718,2.6793,2.56277,2.70359,2.56324,2.69895,fluxnet_archive,0.3173650107991362
2019-01-31,,2.07605,1.94151,2.07431,1.94134,2.0761,1.94101,fluxnet_archive,0.12025197984161264
2019-02-01,,3.01333,2.89862,2.97861,2.9312,2.98542,2.92426,fluxnet_archive,0.18185025197984148
2019-02-02,1.0,3.88453,3.54036,3.81707,3.65053,3.83042,3.64052,fluxnet_archive,0.09608351331893422
2019-02-03,0.872396,3.50077,3.01308,3.48978,3.21188,3.48775,3.20899,fluxnet_archive,0.015910727141828458
