TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-02,,0.265654,,0.299314,0.000721359,0.277992,0.000267204,fluxnet_archive,0.0010132174226061494
2019-01-03,,0.235612,,0.266103,0.000559443,0.250546,0.000187199,fluxnet_archive,0.02480665442764579
2019-01-09,,0.193629,,0.281887,0.00177467,0.258848,0.000781964,fluxnet_archive,0.01431797696184303
2019-01-10,,0.421241,,0.433887,0.000536941,0.425086,0.000179217,fluxnet_archive,0.09600436213102953
2019-01-12,,0.167382,,0.143616,0.00152732,0.129531,0.000626436,fluxnet_archive,0.11368705543556515
2019-01-13,1.0,0.550498,,0.559313,0.00190061,0.545612,0.000862012,fluxnet_archive,0.1853220950323974
2019-01-14,0.985417,0.781273,,0.812624,0.00184143,0.794317,0.000768493,fluxnet_archive,0.36773403167746577
2019-01-15,1.0,0.324118,,0.315512,0.00143378,0.310288,0.000572003,fluxnet_archive,0.01013550755939527
2019-01-16,0.861458,0.458324,,0.471184,0.00189183,0.457476,0.000774861,fluxnet_archive,0.12188061195104392
2019-01-21,0.819271,0.356262,,0.216439,0.00505176,0.24167,0.00297293,fluxnet_archive,0.06379608351331892
2019-01-23,0.855208,0.445783,,0.362117,0.00635729,0.380952,0.00421078,fluxnet_archive,0.040143779697624206
2019-02-10,0.918229,,,0.0204905,0.0107039,0.0266217,0.00747079,fluxnet_archive,0.20893693304535638
2019-02-11,1.0,0.287508,,0.242847,0.0165907,0.250019,0.0135869,fluxnet_archive,0.053091216702663764
2019-02-12,1.0,0.69123,,0.594704,0.0193995,0.600088,0.0164569,fluxnet_archive,0.19820338372930166
2019-02-13,0.95,0.624526,,0.567962,0.00943957,0.56454,0.00591273,fluxnet_archive,0.18612125989920808
2019-02-28,0.94375,0.148504,,0.134225,0.0199717,0.139148,0.0154008,fluxnet_archive,0.13372692584593232
2019-03-01,0.858854,0.239045,,0.225699,0.0154633,0.226174,0.0104026,fluxnet_archive,0.06462512598992078
2019-03-06,,0.137221,0.0479491,0.127326,0.043736,0.126065,0.0366779,fluxnet_archive,0.1558027357811375
2019-03-07,,0.102708,0.148238,0.0958234,0.109368,0.0969606,0.0992795,fluxnet_archive,0.22573405327573795
2019-03-09,,0.00531623,0.0716032,0.0154865,0.0593043,0.0174615,0.0568371,fluxnet_archive,0.2475290136789057
2019-03-10,,,0.0639737,0.0010439,0.087999,0.00613176,0.0992988,fluxnet_archive,0.27858538516918646
2019-03-14,1.0,,0.0,0.00269447,0.00291412,,0.00275252,fluxnet_archive,0.2161408567314615
2019-03-15,0.997396,0.226088,0.0,0.214971,0.00526779,0.203621,0.00465235,fluxnet_archive,0.06500848812095031
2019-03-16,0.978125,0.049378,0.0247733,0.112749,0.0297127,0.0895541,0.0305894,fluxnet_archive,0.15620136789056874
2019-03-17,0.877604,,0.072699,0.0165585,0.0656352,0.0117665,0.0700749,fluxnet_archive,0.2513151187904968
2019-03-18,1.0,0.0274367,0.0985299,0.063896,0.0883597,0.0462753,0.095598,fluxnet_archive,0.23359517638588914
2019-03-19,0.996875,0.0484623,0.17379,0.0798279,0.167723,0.0681949,0.175672,fluxnet_archive,0.27926213102951764
2019-03-20,1.0,,0.168346,0.00897827,0.163228,0.00107445,0.170734,fluxnet_archive,0.32703364290856735
2019-03-23,1.0,0.177584,0.0753087,0.17578,0.077702,0.174829,0.0769859,fluxnet_archive,0.14537221022318214
2019-03-24,1.0,0.119413,0.0779865,0.111837,0.0845501,0.116703,0.0826299,fluxnet_archive,0.19633772498200142
2019-03-27,0.979167,0.0424191,0.00886906,0.048114,0.0164566,0.0522006,0.0148387,fluxnet_archive,0.1931912167026638
2019-03-28,1.0,0.328743,0.0,0.314089,0.00330573,0.313009,0.00269544,fluxnet_archive,0.007763333333333342
2019-03-29,,0.423291,,0.417013,0.0017607,0.414655,0.00124017,fluxnet_archive,0.08297501799856014
2019-03-30,,0.141043,,0.164324,0.000720658,0.159034,0.000337903,fluxnet_archive,0.09819773794096473
2019-03-31,1.0,0.278989,0.0,0.311664,0.000197522,0.306181,9.25602e-05,fluxnet_archive,0.008255203743700505
2019-04-01,0.998958,0.468534,0.00598562,0.480656,0.0026662,0.475123,0.00286196,fluxnet_archive,0.1281424046076314
2019-04-02,0.980729,0.663522,0.0155202,0.662267,0.00644295,0.642107,0.00685569,fluxnet_archive,0.25617282217422616
2019-04-03,0.877604,0.71927,0.0294397,0.740238,0.0130111,0.712621,0.0139536,fluxnet_archive,0.307578761699064
2019-04-04,0.98125,0.218394,0.0390272,0.272344,0.016895,0.252237,0.0180742,fluxnet_archive,0.03207415406767459
2019-04-05,0.833854,0.31398,0.0375623,0.394294,0.0206712,0.368218,0.0213272,fluxnet_archive,0.053004175665946715
2019-04-06,0.998958,0.295156,0.00966131,0.370031,0.0118463,0.332121,0.0108381,fluxnet_archive,0.04188963282937368
2019-04-07,0.958333,0.254469,0.0,0.326269,0.00969864,0.300172,0.00816049,fluxnet_archive,0.011929704823614115
2019-04-08,0.990104,0.0464963,,0.0892204,0.003621,0.0835992,0.00305086,fluxnet_archive,0.15435608351331892
2019-04-09,0.866146,0.176382,,0.223212,0.00144709,0.211738,0.00143021,fluxnet_archive,0.05632475881929446
2019-04-10,0.900521,0.0266413,0.0,0.0568767,0.0045104,0.0526608,0.00446393,fluxnet_archive,0.1782820014398848
2019-04-11,1.0,0.0890039,0.0421292,0.0889912,0.0412272,0.0808132,0.0403018,fluxnet_archive,0.18159539236861047
2019-04-12,0.997917,0.377083,0.135203,0.350364,0.120094,0.34089,0.117235,fluxnet_archive,0.05020158387329013
2019-04-13,0.955208,0.524446,0.244389,0.487089,0.224204,0.481137,0.221243,fluxnet_archive,0.026720662347012206
2019-04-14,0.979167,0.74212,0.504072,0.728088,0.480525,0.720318,0.476814,fluxnet_archive,0.037751619870410376
2019-04-15,0.997917,0.766374,0.800355,0.772465,0.643173,0.766327,0.625982,fluxnet_archive,0.12289992800575955
2019-04-16,0.998958,1.26392,1.17063,1.22219,0.742179,1.21007,0.699725,fluxnet_archive,0.1295975521958244
2019-04-17,0.996354,0.745476,1.5988,0.735503,1.03983,0.740397,1.01209,fluxnet_archive,0.4350806335493161
2019-04-18,0.998958,1.2639,2.04978,1.26699,1.59205,1.25545,1.62162,fluxnet_archive,0.45000719942404604
2019-04-19,0.997917,1.40433,2.04734,1.41271,1.72696,1.42565,1.76749,fluxnet_archive,0.4422246220302377
2019-04-20,1.0,2.37241,2.02412,2.36796,1.92768,2.36052,1.93888,fluxnet_archive,0.10099352051835854
2019-04-21,1.0,2.47852,2.01009,2.46584,2.03315,2.44434,2.03077,fluxnet_archive,0.09552915766738664
2019-04-22,0.923437,2.49476,2.44429,2.46869,2.48533,2.46888,2.4819,fluxnet_archive,0.22796256299496023
2019-04-23,1.0,2.46596,2.32846,2.43259,2.4023,2.42568,2.39824,fluxnet_archive,0.1941756659467243
2019-04-24,1.0,2.26664,2.41548,2.2255,2.48599,2.21511,2.48045,fluxnet_archive,0.4035205183585316
2019-04-25,0.978125,2.52368,2.63905,2.48474,2.71616,2.48262,2.70976,fluxnet_archive,0.3825917926565875
2019-04-26,0.955208,2.77864,2.41348,2.72341,2.47915,2.7108,2.47388,fluxnet_archive,0.04012958963282958
2019-05-02,1.0,0.430603,0.695045,0.412954,0.688902,0.407127,0.690867,fluxnet_archive,0.41464938804895607
2019-05-03,,0.398268,0.487881,0.385133,0.464549,0.382227,0.468633,fluxnet_archive,0.27315766738660907
2019-05-04,1.0,0.367956,0.336163,0.391777,0.287815,0.384308,0.295371,fluxnet_archive,0.14113606911447082
2019-05-05,0.998958,0.592251,0.527565,0.609317,0.505872,0.60497,0.506128,fluxnet_archive,0.14150827933765298
2019-05-06,0.959375,1.35964,1.24011,1.33572,1.27748,1.31282,1.26073,fluxnet_archive,0.1740532757379409
2019-05-07,0.970312,1.90227,1.62464,1.78712,1.68189,1.7754,1.65538,fluxnet_archive,0.1402231821454284
2019-05-08,1.0,0.817589,1.0914,0.820567,1.11172,0.830926,1.09249,fluxnet_archive,0.42559611231101513
2019-05-09,0.995833,2.24923,2.1377,2.25917,2.14394,2.25035,2.13104,fluxnet_archive,0.13302375809935207
2019-05-10,1.0,3.10742,2.30596,3.03796,2.30267,3.02962,2.30784,fluxnet_archive,0.31338372930165587
2019-05-11,,1.97157,1.60815,1.9131,1.58389,1.90708,1.59185,fluxnet_archive,0.021029517638588922
2019-05-12,,0.66783,0.704485,0.649907,0.680884,0.647418,0.684635,fluxnet_archive,0.23828437724982002
2019-05-13,1.0,2.10567,2.30246,2.09655,2.2719,2.10641,2.26972,fluxnet_archive,0.3422246220302375
2019-05-14,0.98125,3.24607,3.35611,3.13373,3.35946,3.14899,3.34565,fluxnet_archive,0.37849532037437006
2019-05-15,0.978646,3.13985,3.45268,3.055,3.45179,3.08,3.43881,fluxnet_archive,0.5016486681065513
2019-05-16,0.990104,3.37498,3.2344,3.29074,3.21475,3.31171,3.20691,fluxnet_archive,0.1612742980561555
2019-05-17,0.869792,3.30531,3.39637,3.12527,3.43419,3.15305,3.40343,fluxnet_archive,0.438387329013679
2019-05-18,0.949479,3.80363,4.11374,3.52848,4.25315,3.51529,4.13553,fluxnet_archive,0.7377033837293014
2019-05-19,0.972396,3.89793,4.55052,3.63033,4.74301,3.61119,4.64168,fluxnet_archive,1.0170482361411088
2019-05-20,0.978125,4.24463,4.55732,3.96083,4.54743,3.9814,4.50971,fluxnet_archive,0.6383009359251262
2019-05-21,0.804167,1.97631,2.3321,1.8044,2.25275,1.87028,2.2641,fluxnet_archive,0.5387688984881208
2019-05-22,0.803125,3.18303,3.36454,3.0462,3.29149,3.07924,3.30092,fluxnet_archive,0.3925773938084955
2019-05-24,0.805729,3.97216,3.91802,3.70041,4.26966,3.74555,4.21228,fluxnet_archive,0.6258099352051835
2019-05-25,0.986458,3.6626,4.0753,3.52322,4.25486,3.60342,4.18126,fluxnet_archive,0.742721382289417
2019-05-26,1.0,3.54474,5.02375,3.3811,4.7909,3.45826,4.70919,fluxnet_archive,1.230957523398128
2019-05-27,0.979688,3.34433,4.82907,3.23812,4.52524,3.34265,4.46866,fluxnet_archive,1.142634989200864
2019-05-28,0.948438,3.5403,4.26374,3.49796,4.13107,3.62112,4.11781,fluxnet_archive,0.6717854571634272
2019-05-29,1.0,0.636334,0.991109,0.664398,0.977839,0.7818,0.981313,fluxnet_archive,0.44164218862490995
2019-05-30,,3.04205,3.46696,3.09162,3.42086,3.21093,3.43282,fluxnet_archive,0.453016558675306
2019-05-31,,1.98931,2.07568,2.03757,2.09861,2.14584,2.10953,fluxnet_archive,0.25992800575953906
2019-06-01,,3.94693,4.37185,3.96784,4.32729,4.08725,4.3466,fluxnet_archive,0.47476601871850244
2019-06-02,,4.18387,4.43098,4.1875,4.45692,4.31102,4.47746,fluxnet_archive,0.40994960403167763
2019-06-03,1.0,3.5894,4.19752,3.61838,4.32697,3.73549,4.3454,fluxnet_archive,0.726126709863211
2019-06-04,0.999479,1.65751,2.57022,1.7914,2.75073,1.93067,2.77212,fluxnet_archive,0.9066450683945283
2019-06-06,0.931771,4.49514,5.56345,4.38059,6.01377,4.51233,6.00258,fluxnet_archive,1.3917782577393811
2019-06-07,0.909896,4.57973,5.37552,4.23612,5.69507,4.34671,5.69489,fluxnet_archive,1.2663426925845938
2019-06-08,0.976562,4.73337,5.45935,4.32962,5.88911,4.42714,5.89365,fluxnet_archive,1.338725701943844
2019-06-13,0.844271,5.62394,7.33787,5.51213,7.72363,5.66384,7.56461,fluxnet_archive,1.8081353491720662
2019-06-14,0.840104,4.72025,6.36002,4.75233,6.10967,4.87778,5.92861,fluxnet_archive,1.1931893448524122
2019-06-16,0.905208,5.31773,6.99242,5.27615,5.82581,5.39971,5.69629,fluxnet_archive,0.6117062634989197
2019-06-17,0.854688,4.673,9.59775,4.56946,6.75219,4.71444,6.54677,fluxnet_archive,1.7874226061915042
2019-06-18,0.894792,3.82772,8.57676,3.86889,6.15476,4.0208,6.00565,fluxnet_archive,1.8616774658027353
2019-06-19,0.922917,5.02968,9.24234,5.04686,7.53121,5.1902,7.46751,fluxnet_archive,2.0045716342692583
2019-06-20,0.940625,4.91071,8.31045,4.89344,6.92765,5.031,6.93368,fluxnet_archive,1.680496760259179
