TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-01,,6.84638,5.49021,6.85268,5.63311,6.826,5.61013,fluxnet_archive,0.6620374370050396
2019-01-02,,5.00588,3.26277,4.90706,3.37215,4.8661,3.33131,fluxnet_archive,0.8890640748740104
2019-01-03,1.0,5.76933,4.82383,5.74193,4.93783,5.73622,4.90223,fluxnet_archive,0.362922966162707
2019-01-04,0.979688,4.77511,5.25849,4.85392,5.33816,4.85926,5.28707,fluxnet_archive,0.5646076313894893
2019-01-05,0.959896,4.12369,4.49068,4.129,4.52498,4.1332,4.49549,fluxnet_archive,0.5010655147588198
2019-01-06,0.959375,6.28815,5.31022,6.30448,5.32543,6.29682,5.31756,fluxnet_archive,0.48887688984881206
2019-01-07,1.0,5.4686,5.81472,5.49706,5.86144,5.48442,5.86329,fluxnet_archive,0.47831533477321797
2019-01-08,0.993229,2.63973,2.74404,2.49975,2.66629,2.47218,2.64749,fluxnet_archive,0.33588192944564427
2019-01-09,1.0,3.83056,3.20237,3.74531,3.14011,3.72901,3.11884,fluxnet_archive,0.21972642188624908
2019-01-10,,4.92261,4.61323,4.83724,4.57684,4.82842,4.55951,fluxnet_archive,0.02850971922246174
2019-01-11,1.0,4.28294,4.92487,4.26441,4.89198,4.26448,4.89009,fluxnet_archive,0.6677969762419009
2019-01-12,0.998437,5.19098,4.65564,5.20257,4.62219,5.18413,4.63505,fluxnet_archive,0.2018574514038876
2019-01-13,0.965625,2.82651,2.21206,2.76429,2.19107,2.73076,2.25151,fluxnet_archive,0.1967026637868971
2019-01-14,1.0,1.0231,0.998548,1.15945,1.00175,1.15508,1.06162,fluxnet_archive,0.10244780417566582
2019-01-15,0.979167,5.37738,5.66964,5.38117,5.38911,5.33918,5.38239,fluxnet_archive,0.22169906407487372
2019-01-16,0.964062,5.0679,4.90661,4.96591,4.59257,4.90412,4.61401,fluxnet_archive,0.05280057595392354
