TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2019-01-03,1.0,4.39864,0.211058,3.64067,0.154987,3.70414,0.266475,fluxnet_archive,2.293508279337653
2019-01-04,0.975,2.23628,0.087079,2.92121,0.0775772,3.14672,0.133264,fluxnet_archive,1.8312691144708424
2019-01-05,1.0,2.85552,0.0,3.53541,0.0229806,3.74772,0.0318925,fluxnet_archive,2.312764146868251
2019-01-06,0.949479,2.55902,,2.40064,0.0285923,2.38612,0.0210365,fluxnet_archive,1.491755003599712
2019-01-07,0.981771,5.26314,,3.67619,0.0208992,3.56386,0.00823369,fluxnet_archive,2.4156161267098635
2019-01-10,,3.39255,0.340966,2.10425,0.315982,2.34677,0.261625,fluxnet_archive,1.0714672426205902
2019-01-11,,2.47534,0.630622,2.28779,0.646949,2.15126,0.543417,fluxnet_archive,0.9653282937365012
2019-01-12,,2.06233,0.805111,2.59236,0.695957,2.20207,0.621185,fluxnet_archive,1.1493182145428367
2019-01-14,,3.29661,1.4175,3.2108,1.42062,2.56439,1.29304,fluxnet_archive,1.0728437724982
2019-01-15,,3.42166,1.81131,3.27,1.94398,3.26661,1.71515,fluxnet_archive,0.7386753059755219
2019-01-16,,1.59907,2.18282,2.07575,2.54931,2.09093,2.12718,fluxnet_archive,0.5569186465082794
2019-01-17,,2.02035,0.785665,1.9875,1.09754,1.77333,0.843352,fluxnet_archive,0.42473722102231826
2019-01-18,,2.47163,1.51878,2.36865,1.73478,2.28816,1.38756,fluxnet_archive,0.24036717062635002
2019-01-19,,3.00396,2.58394,2.89431,2.51677,2.89063,2.0824,fluxnet_archive,0.055824334053275575
2019-01-20,,1.57424,2.26806,1.35472,2.21154,0.938335,1.86553,fluxnet_archive,0.8328437724982001
2019-01-21,1.0,1.11972,1.77713,1.03922,1.79153,0.962098,1.51188,fluxnet_archive,0.7576025917926567
2019-01-22,0.996875,1.74704,2.78751,1.48693,2.36428,1.27585,2.14379,fluxnet_archive,0.8476241900647947
2019-01-23,1.0,2.13088,1.98478,2.25971,1.91384,2.27958,1.67269,fluxnet_archive,0.033023758099352145
2019-01-24,1.0,3.37193,3.01296,3.21804,2.722,3.24883,2.49109,fluxnet_archive,0.14113750899927993
2019-01-25,0.992187,1.47752,2.87414,1.76708,2.76887,1.44861,2.51965,fluxnet_archive,0.9372138228941687
2019-01-27,1.0,1.3544,0.721649,1.71795,0.934778,1.62859,0.780775,fluxnet_archive,0.3478560115190785
2019-01-28,1.0,3.17753,0.62216,3.24946,0.852631,3.10976,0.742205,fluxnet_archive,1.509596112311015
2019-01-29,0.997917,4.81954,2.55493,4.96274,3.03715,4.49476,2.97468,fluxnet_archive,1.1703311735061195
2019-01-30,1.0,4.63824,1.71501,4.63859,1.98696,4.24723,1.94239,fluxnet_archive,1.6930381569474442
2019-01-31,0.988542,3.04197,1.65393,3.39247,1.83625,3.08221,1.77458,fluxnet_archive,0.9044060475161986
