TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2020-01-01,,0.834967,0.247217,0.850615,0.237481,0.885171,0.245764,fluxnet_archive,0.2254384449244061
2020-01-02,,0.0956229,0.167671,0.136392,0.160408,0.170662,0.169016,fluxnet_archive,0.23327285817134627
2020-01-03,,0.619485,0.116932,0.619067,0.113881,0.618443,0.119618,fluxnet_archive,0.14772210223182147
2020-01-06,,1.03895,1.90143,1.0084,1.8328,1.00217,1.81013,fluxnet_archive,0.8095032397408207
2020-01-07,,0.599272,1.40752,0.639103,1.32862,0.661041,1.30551,fluxnet_archive,0.7123952483801296
2020-01-09,,0.326417,0.678861,0.296799,0.65748,0.292934,0.652686,fluxnet_archive,0.4756522678185745
2020-01-10,,1.0505,1.15666,1.09119,1.0866,1.10185,1.08777,fluxnet_archive,0.2126781857451403
2020-01-11,,0.621701,1.12414,0.573455,1.06186,0.563669,1.06829,fluxnet_archive,0.5676061915046796
2020-01-12,,0.283764,0.658384,0.254857,0.616246,0.247561,0.621057,fluxnet_archive,0.47616198704103674
2020-01-13,,0.959651,1.11708,0.935758,1.05732,0.926019,1.0638,fluxnet_archive,0.30350035997120234
2020-01-14,,0.440775,0.51299,0.431077,0.449812,0.419442,0.452897,fluxnet_archive,0.2294708423326134
2020-01-15,1.0,0.335543,0.702745,0.307374,0.607986,0.301426,0.610376,fluxnet_archive,0.4324060475161987
2020-01-16,0.979167,0.110678,1.24927,0.194363,1.12046,0.23074,1.12412,fluxnet_archive,0.882719222462203
2020-01-18,0.979167,0.699734,1.151,0.684017,1.10519,0.68947,1.10719,fluxnet_archive,0.5192030237580992
2020-01-19,1.0,0.803889,1.38335,0.910695,1.39034,0.92512,1.38457,fluxnet_archive,0.5612994960403167
2020-01-20,,0.612553,0.767177,0.725757,0.82039,0.670417,0.809514,fluxnet_archive,0.2841130309575234
2020-01-21,,2.25544,1.15928,2.2085,1.13187,2.18065,1.10296,fluxnet_archive,0.5591288696904247
2020-01-22,,0.722707,1.28746,0.762982,1.06177,0.71324,1.02005,fluxnet_archive,0.43109287257019446
2020-01-23,,0.105433,1.69187,0.121999,1.4898,0.126105,1.45991,fluxnet_archive,1.2007206623470124
2020-01-24,,0.958565,0.469733,0.852986,0.433697,0.797441,0.436314,fluxnet_archive,0.08588120950323977
2020-01-25,1.0,1.20438,0.961636,1.20687,1.01143,1.18779,1.02914,fluxnet_archive,0.0752771778257739
2020-01-26,0.979167,1.12819,1.86359,1.07708,1.91223,1.05811,1.91807,fluxnet_archive,0.8172426205903528
2020-01-27,1.0,0.76347,1.46308,0.768563,1.4551,0.761722,1.44269,fluxnet_archive,0.7102498200143988
2020-01-28,,0.912661,1.66762,0.892827,1.66223,0.888841,1.66318,fluxnet_archive,0.7699085673146149
2020-01-29,,0.455921,1.7439,0.45588,1.73662,0.455045,1.74241,fluxnet_archive,1.1380417566594672
