TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2020-01-03,1.0,,0.0188673,0.0153773,0.0113313,0.00106835,0.0135919,ICOS_ETC_L2,0.21306983441324692
2020-01-05,1.0,0.2148,0.0,0.132798,0.000853152,0.128972,0.00101415,ICOS_ETC_L2,0.12099003023758098
2020-01-08,,0.288889,0.165673,0.279786,0.147434,0.28419,0.158517,ICOS_ETC_L2,0.1206969042476602
2020-01-09,,,0.175763,0.0381972,0.15103,0.0411554,0.161644,ICOS_ETC_L2,0.29721583873290136
2020-01-10,,0.422404,0.163069,0.306206,0.127116,0.307789,0.135962,ICOS_ETC_L2,0.08704823614110872
2020-01-15,1.0,0.00604331,0.022414,0.0831398,0.0158063,0.0795112,0.0169985,ICOS_ETC_L2,0.16750647948164146
2020-01-16,0.996875,0.0931943,0.0154341,0.066848,0.0108339,0.0522031,0.0115096,ICOS_ETC_L2,0.17565579553635707
2020-01-25,0.998437,0.304661,0.0356947,0.110103,0.0261969,0.138851,0.0160465,ICOS_ETC_L2,0.15557516198704102
2020-01-26,0.989583,0.412167,0.0219701,0.373413,0.0283698,0.372457,0.0201278,ICOS_ETC_L2,0.03242850971922247
2020-01-27,1.0,0.464685,0.00399911,0.379179,0.0118614,0.387036,0.00986671,ICOS_ETC_L2,0.04846479481641467
2020-01-28,0.998958,0.181739,0.0270649,0.0668572,0.0372521,0.0771764,0.0353002,ICOS_ETC_L2,0.19466875449964002
2020-01-29,1.0,0.458512,0.0502759,0.322529,0.0638917,0.324406,0.0617576,ICOS_ETC_L2,0.029778761699064057
2020-01-30,,0.261206,0.0398988,0.227182,0.0531169,0.230044,0.0506994,ICOS_ETC_L2,0.09066587473002159
2020-01-31,,,0.0373192,0.0311477,0.101105,0.0306248,0.0979,ICOS_ETC_L2,0.26634794816414686
2020-02-01,,,0.0350166,0.0345196,0.185806,0.0409499,0.18167,ICOS_ETC_L2,0.32490021598272134
2020-02-02,,0.0702087,0.0652742,0.115294,0.224951,0.108778,0.219497,ICOS_ETC_L2,0.2949294456443484
2020-02-03,,0.075847,0.140007,0.0755518,0.21445,0.075716,0.208986,ICOS_ETC_L2,0.31598142548596114
2020-02-04,1.0,0.276799,0.136172,0.224077,0.171251,0.231313,0.167423,ICOS_ETC_L2,0.17795104391648667
2020-02-05,0.959896,0.104698,0.0690057,0.0618895,0.127854,0.0694876,0.127781,ICOS_ETC_L2,0.2634733621310295
2020-02-07,0.819792,0.124298,0.19089,0.0882471,0.199511,0.0987041,0.205219,ICOS_ETC_L2,0.2960863210943125
2020-02-08,1.0,0.271411,0.0772866,0.23292,0.108522,0.238813,0.112508,ICOS_ETC_L2,0.12642332613390928
2020-02-10,,,0.0513478,0.0189869,0.166433,0.0275808,0.16831,ICOS_ETC_L2,0.32213542116630667
2020-02-11,,0.0730337,0.201938,0.0727845,0.248639,0.0846858,0.249032,ICOS_ETC_L2,0.3425878329733621
2020-02-12,,0.332209,0.231919,0.27292,0.224637,0.277312,0.223774,ICOS_ETC_L2,0.18122174226061913
2020-02-13,,0.266712,0.0903664,0.233153,0.0836608,0.235207,0.0826303,ICOS_ETC_L2,0.10835694744420445
2020-02-14,,0.340641,0.105375,0.355849,0.0820216,0.346334,0.0779266,ICOS_ETC_L2,0.018842764578833646
2020-02-15,,0.0193992,0.171549,0.0908759,0.107695,0.0911503,0.0961138,ICOS_ETC_L2,0.22809150467962563
2020-02-17,,0.368462,0.161855,0.396679,0.180117,0.399199,0.177457,ICOS_ETC_L2,0.060070554355651534
2020-02-18,,0.328693,0.13415,0.31031,0.175614,0.314727,0.176123,ICOS_ETC_L2,0.1190093592512599
2020-02-19,,0.209664,0.15901,0.159991,0.188559,0.164172,0.189234,ICOS_ETC_L2,0.2365500359971202
2020-02-20,,0.00184271,0.086799,0.0117817,0.0989576,0.0141374,0.0996651,ICOS_ETC_L2,0.2787443484521238
2020-02-21,,0.229868,0.280364,0.163483,0.289663,0.164675,0.290842,ICOS_ETC_L2,0.30682505399568033
2020-02-24,,,0.145749,0.0160594,0.158352,0.0167735,0.157579,ICOS_ETC_L2,0.31842519798416125
2020-02-25,,0.00494705,0.269772,0.00440643,0.298419,0.00614327,0.301149,ICOS_ETC_L2,0.42765483801295895
2020-02-29,,0.183145,0.0748215,0.211653,0.0399259,0.215375,0.0431363,ICOS_ETC_L2,0.09234910007199422
2020-03-01,,0.170553,0.0986081,0.178871,0.0710711,0.175528,0.0745597,ICOS_ETC_L2,0.1383730021598272
2020-03-02,,0.203111,0.11521,0.135953,0.0999938,0.143325,0.101385,ICOS_ETC_L2,0.19009416846652266
