TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2020-08-15,0.802604,5.40137,4.3968,5.76912,4.53144,5.71216,4.38131,fluxnet_archive,0.6750755939524838
2020-08-18,,6.49388,3.45908,6.44578,3.78282,6.38897,3.71943,fluxnet_archive,1.7011951043916487
2020-08-19,1.0,7.29028,4.68101,7.27775,5.46437,7.25744,5.54728,fluxnet_archive,1.0895464362850975
2020-08-20,0.979167,3.50444,2.313,3.59328,2.92503,3.60805,2.98325,fluxnet_archive,0.2651187904967603
2020-08-21,1.0,5.56067,6.05744,5.5812,6.53425,5.50149,6.53477,fluxnet_archive,0.9021238300935926
2020-08-22,,7.70681,7.1602,7.57962,7.34799,7.52179,7.31518,fluxnet_archive,0.049222462203023745
2020-08-23,1.0,6.4536,7.06006,6.49938,6.91326,6.51884,6.92238,fluxnet_archive,0.5139524838012958
2020-08-24,0.999479,5.29598,7.0484,5.49915,6.84074,5.54812,6.84946,fluxnet_archive,1.1818502519798417
2020-08-25,0.979167,5.5472,7.31679,5.67546,7.23734,5.69804,7.21463,fluxnet_archive,1.3404463642908564
2020-08-26,1.0,5.43836,6.6074,5.29071,6.61103,5.29921,6.59004,fluxnet_archive,1.1665370770338377
2020-08-27,0.998958,7.15953,6.99647,7.18798,7.07354,7.2226,7.08591,fluxnet_archive,0.13359251259899263
2020-08-28,0.896354,1.72476,3.14473,1.8862,3.11369,1.92346,3.17297,fluxnet_archive,1.099704823614111
2020-08-31,0.83125,5.83758,3.99372,5.81038,4.16543,5.86229,4.25234,fluxnet_archive,0.9682865370770342
2020-09-01,0.997396,6.60781,4.60528,6.58402,4.74908,6.59277,4.8262,fluxnet_archive,1.1050683945284374
2020-09-02,0.975,6.32756,4.4462,6.15249,4.54125,6.13662,4.60109,fluxnet_archive,0.9440172786177109
2020-09-03,0.972917,3.41562,2.23563,3.32067,2.3229,3.32186,2.34701,fluxnet_archive,0.5023542116630666
2020-09-04,1.0,5.15656,4.08661,5.17255,4.2279,5.17532,4.26669,fluxnet_archive,0.4641108711303097
2020-09-05,,5.6284,4.77613,5.65768,4.88721,5.67357,4.92522,fluxnet_archive,0.33871130309575265
2020-09-06,,6.9523,5.93966,6.95885,5.95783,6.98912,5.99328,fluxnet_archive,0.5046940244780415
2020-09-07,,5.65435,6.44123,5.62255,6.412,5.6214,6.43375,fluxnet_archive,0.7843412526997837
2020-09-08,,5.90562,5.55846,5.91014,5.50698,5.89013,5.51299,fluxnet_archive,0.07426925845932307
2020-09-09,,4.2247,3.90753,4.21379,3.83537,4.19656,3.83924,fluxnet_archive,0.05645788336933061
2020-09-10,,5.72396,5.57772,5.73027,5.49565,5.75151,5.49933,fluxnet_archive,0.04706983441324721
2020-09-11,1.0,4.6634,3.75228,4.64458,3.64584,4.66841,3.65642,fluxnet_archive,0.5030525557955364
2020-09-12,0.979167,4.75753,4.52992,4.67513,4.40135,4.70441,4.41703,fluxnet_archive,0.01887688984881183
2020-09-13,1.0,5.19685,4.76123,5.05806,4.53851,5.10266,4.57509,fluxnet_archive,0.15806335493160592
2020-09-14,0.992188,6.10383,6.34094,6.08663,5.96228,6.04471,6.03428,fluxnet_archive,0.12645788336933
2020-09-15,0.835417,6.62032,5.55495,6.55674,5.13097,6.55395,5.21572,fluxnet_archive,0.8104895608351331
2020-09-16,0.86875,3.36247,3.8339,3.29106,3.571,3.32042,3.62281,fluxnet_archive,0.41752339812815
2020-09-18,0.951563,4.79617,5.21725,5.10964,4.77971,5.20932,4.84008,fluxnet_archive,0.021547876169906457
2020-09-19,1.0,3.12885,2.72593,3.28483,2.71793,3.35123,2.72697,fluxnet_archive,0.1921526277897768
2020-09-20,,4.17276,3.71733,4.32208,4.09996,4.38384,4.16462,fluxnet_archive,0.056069114470842736
2020-09-21,1.0,5.80168,4.52231,5.96356,4.96338,6.07079,5.04479,fluxnet_archive,0.5040892728581715
2020-09-22,0.995833,5.42264,4.98858,5.4739,5.09567,5.52291,5.15828,fluxnet_archive,0.05632109431245522
2020-09-23,0.999479,6.59154,4.22471,6.36277,4.22935,6.37471,4.25148,fluxnet_archive,1.3199568034557236
2020-09-24,1.0,3.79239,5.19561,3.75708,5.0326,3.75938,5.06454,fluxnet_archive,1.1342836573074155
2020-09-25,,1.47588,3.30281,1.46756,3.12397,1.50165,3.1488,fluxnet_archive,1.408502519798416
2020-09-26,1.0,2.52491,3.94887,2.55778,3.82818,2.58983,3.85608,fluxnet_archive,1.1305975521958243
2020-09-27,0.998958,4.45028,5.06814,4.41317,4.98182,4.40464,4.99994,fluxnet_archive,0.625377969762419
2020-09-28,1.0,2.39196,3.70573,2.44878,3.62912,2.46665,3.63371,fluxnet_archive,1.0657595392368608
2020-09-29,,2.90678,3.97127,2.87752,3.89592,2.91153,3.89502,fluxnet_archive,0.9491720662347011
2020-09-30,,4.16151,4.67854,4.24699,4.59407,4.2603,4.59796,fluxnet_archive,0.46586033117350617
2020-10-01,,3.29353,4.61984,3.37844,4.54899,3.37361,4.55319,fluxnet_archive,1.0587113030957525
2020-10-02,,3.55891,3.14296,3.57383,3.09188,3.56317,3.09369,fluxnet_archive,0.13099352051835844
2020-10-03,,2.54421,3.50109,2.486,3.48604,2.44217,3.47532,fluxnet_archive,0.935953923686105
2020-10-04,,4.5371,5.9295,4.51949,5.95187,4.50411,5.92569,fluxnet_archive,1.2472138228941687
2020-10-05,,3.62796,6.0654,3.57228,6.17022,3.5751,6.12263,fluxnet_archive,2.0863498920086387
2020-10-06,,3.96548,5.56486,3.79268,5.77629,3.78576,5.70289,fluxnet_archive,1.6440676745860334
2020-10-07,,2.79286,4.77394,2.73723,5.02608,2.75022,4.94414,fluxnet_archive,1.8638228941684667
2020-10-08,,1.23883,3.62872,1.05915,3.75386,0.972424,3.68441,fluxnet_archive,2.1560187185025192
2020-10-09,1.0,1.69489,4.51876,1.59817,4.57734,1.49957,4.52844,fluxnet_archive,2.360813534917207
2020-10-10,0.996354,1.47175,3.93177,2.2485,3.57929,2.3992,3.6383,fluxnet_archive,1.1740748740100793
