TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2021-01-03,,0.162306,,0.151752,0.0264428,0.137514,0.0282306,ICOS_ETC_L2,0.1257673146148308
2021-01-04,,0.216458,,0.256819,0.0187169,0.250329,0.0190769,ICOS_ETC_L2,0.04456292296616269
2021-01-05,1.0,0.030302,,0.0707012,0.0259541,0.0701773,0.028087,ICOS_ETC_L2,0.18376738660907127
2021-01-06,0.999479,0.244479,0.0,0.214659,0.0358617,0.224642,0.0447924,ICOS_ETC_L2,0.08725896328293736
2021-01-07,1.0,0.239393,0.00889217,0.214579,0.0184821,0.211961,0.0243421,ICOS_ETC_L2,0.07480424766018719
2021-01-08,,0.255696,0.0695927,0.355321,0.0541854,0.366151,0.0589106,ICOS_ETC_L2,0.0008175665946724365
2021-01-09,,0.253917,0.102888,0.256194,0.0714208,0.245742,0.0721847,ICOS_ETC_L2,0.08295665946724264
2021-01-10,,0.121447,0.0205996,0.136622,0.0185024,0.117686,0.0144679,ICOS_ETC_L2,0.13094341252699784
2021-01-11,1.0,0.142337,0.0,0.102001,0.00860827,0.100056,0.000887716,ICOS_ETC_L2,0.14874533477321814
2021-01-13,0.998958,0.393857,0.00211293,0.319813,0.0190961,0.328741,0.00878662,ICOS_ETC_L2,0.0005161267098632256
2021-01-18,1.0,0.332962,0.0687688,0.2563,0.0587762,0.279188,0.0488628,ICOS_ETC_L2,0.07377696184305257
2021-01-19,,0.13986,0.110106,0.139327,0.0958024,0.141711,0.0767421,ICOS_ETC_L2,0.18464751619870406
2021-01-20,,0.231914,0.0580994,0.226295,0.0523013,0.231988,0.0414495,ICOS_ETC_L2,0.09071727861771058
2021-01-21,,,0.0771788,0.027685,0.0824933,0.0250586,0.0659425,ICOS_ETC_L2,0.25544154067674585
2021-01-22,,0.104245,0.0721259,0.0795615,0.0762562,0.0878657,0.0661398,ICOS_ETC_L2,0.2136030957523398
2021-01-23,1.0,0.91783,0.371445,0.929803,0.40629,0.923921,0.36599,ICOS_ETC_L2,0.16091648668106562
2021-01-24,0.979688,0.653663,0.194828,0.657005,0.27866,0.647529,0.238754,ICOS_ETC_L2,0.05640388768898484
2021-01-25,1.0,0.190769,0.0217316,0.216042,0.0507756,0.199799,0.0394102,ICOS_ETC_L2,0.09700043196544275
2021-01-26,0.992708,0.146099,0.0503433,0.170274,0.11277,0.159907,0.0899277,ICOS_ETC_L2,0.17458315334773217
2021-01-27,0.901042,0.0670989,0.111848,0.134304,0.163214,0.111478,0.134672,ICOS_ETC_L2,0.23679625629949602
2021-01-28,0.977083,0.194847,0.187722,0.197541,0.152878,0.207268,0.138332,ICOS_ETC_L2,0.18382793376529877
2021-01-29,0.997917,0.0887247,0.207105,0.0800224,0.171427,0.0863066,0.155164,ICOS_ETC_L2,0.2817887688984881
2021-02-01,0.978646,0.0295268,0.165378,0.0309528,0.197117,0.0546048,0.176296,ICOS_ETC_L2,0.3356113750899928
2021-02-02,0.971354,0.180658,0.101592,0.180182,0.10389,0.205823,0.0899228,ICOS_ETC_L2,0.16105687544996397
2021-02-05,0.960417,0.0235692,0.0277667,0.00381607,0.0694337,0.0221128,0.0532712,ICOS_ETC_L2,0.26322363570914326
2021-02-07,0.990625,0.00898454,0.0461327,0.0197606,0.109076,0.0282643,0.0937184,ICOS_ETC_L2,0.28028466522678186
2021-02-13,0.96875,0.00958664,0.181077,0.027019,0.152464,0.0274791,0.131821,ICOS_ETC_L2,0.3062958963282937
2021-02-15,0.992188,0.0828782,0.129084,0.106044,0.134959,0.107456,0.12548,ICOS_ETC_L2,0.23679985601151904
2021-02-16,0.983333,0.137155,0.0620456,0.0974732,0.0737381,0.0977423,0.0644571,ICOS_ETC_L2,0.19889481641468681
2021-02-17,0.976562,0.160473,0.0789977,0.13303,0.0742032,0.141365,0.065088,ICOS_ETC_L2,0.1736308135349172
2021-02-18,0.928125,0.103223,0.0628295,0.0793228,0.0599074,0.0826927,0.0470518,ICOS_ETC_L2,0.2020047516198704
2021-02-19,1.0,0.201623,0.0142545,0.170708,0.0264924,0.185087,0.0106764,ICOS_ETC_L2,0.11215579553635709
2021-02-20,1.0,0.473128,0.141566,0.39589,0.159801,0.424652,0.146394,ICOS_ETC_L2,0.04601223902087831
2021-02-21,0.998958,1.02424,0.567796,0.944394,0.604039,0.983846,0.598823,ICOS_ETC_L2,0.029053275737940944
2021-02-22,1.0,0.756444,0.628412,0.643399,0.675497,0.68882,0.673176,ICOS_ETC_L2,0.23909143268538513
