TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2022-01-01,,0.685998,1.3647,0.683679,1.14885,0.690222,1.21795,fluxnet_archive,0.5508790496760257
2022-01-02,,0.270718,0.993706,0.267284,0.818589,0.258599,0.86551,fluxnet_archive,0.6128905687544997
2022-01-05,0.9375,0.453215,1.00414,0.42539,0.821721,0.442433,0.816262,fluxnet_archive,0.5013182145428365
2022-01-06,1.0,0.779324,1.44053,0.759072,1.25193,0.77487,1.22043,fluxnet_archive,0.5708120950323975
2022-01-09,0.958333,0.52225,1.11933,0.628337,0.946652,0.814258,0.846307,fluxnet_archive,0.44515118790496755
2022-01-10,0.830729,0.911696,1.47613,1.1207,1.3279,1.17071,1.1741,fluxnet_archive,0.3651547876169907
2022-01-16,0.995833,1.55049,0.867265,1.88974,0.724065,1.87993,0.561999,fluxnet_archive,0.6232361411087113
2022-01-17,0.827604,1.82523,1.14848,1.94604,0.999731,1.63618,0.766219,fluxnet_archive,0.46530525557955366
2022-01-19,0.998958,1.20211,0.843939,1.40314,0.699643,1.25408,0.56529,fluxnet_archive,0.29049460043196546
2022-01-20,0.889063,1.15648,1.20432,1.18323,1.07504,1.11671,0.858922,fluxnet_archive,0.13809215262778976
2022-01-21,1.0,0.738235,1.02864,0.758355,0.895952,0.750408,0.733056,fluxnet_archive,0.31504463642908564
2022-01-22,,0.529617,1.0221,0.557833,0.894307,0.574099,0.742246,fluxnet_archive,0.45822462203023756
2022-01-23,1.0,0.423928,1.02315,0.412931,0.890187,0.396181,0.750743,fluxnet_archive,0.5595795536357091
2022-01-24,0.944271,1.2328,1.43669,1.18353,1.39577,1.01639,1.16899,fluxnet_archive,0.3687832973362131
2022-01-25,0.965625,1.06902,1.43909,1.06312,1.40224,0.94293,1.1946,fluxnet_archive,0.4601295896328293
2022-01-26,0.999479,0.191197,0.960821,0.219624,0.833863,0.186409,0.734139,fluxnet_archive,0.6581994240460763
2022-01-27,1.0,0.0649839,1.07584,0.0586679,0.922277,0.0809834,0.831512,fluxnet_archive,0.8377315334773218
2022-01-28,0.999479,0.524901,1.38151,0.557289,1.22659,0.547204,1.11329,fluxnet_archive,0.6978408927285816
2022-01-29,0.916667,0.148473,1.0502,0.139286,0.80604,0.136639,0.768865,fluxnet_archive,0.696007199424046
2022-01-30,1.0,1.35482,1.38179,1.36358,1.26348,1.34594,1.14461,fluxnet_archive,0.14391648668106544
2022-01-31,,0.639148,0.932278,0.64153,0.724395,0.634957,0.675946,fluxnet_archive,0.27564074874010075
2022-02-01,1.0,0.793491,1.13893,0.785715,0.998534,0.774002,0.906292,fluxnet_archive,0.36920014398848083
2022-02-02,0.979167,0.607233,1.15444,0.54912,1.03821,0.534916,0.930907,fluxnet_archive,0.5680993520518359
2022-02-03,1.0,0.869954,1.00031,0.873842,0.896994,0.836458,0.791293,fluxnet_archive,0.23265082793376526
2022-02-04,,0.756107,1.07801,0.778448,0.97547,0.742107,0.892909,fluxnet_archive,0.3578272138228941
2022-02-05,1.0,1.36127,1.28015,1.37235,1.1041,1.35467,1.10621,fluxnet_archive,0.022858171346292377
2022-02-06,0.979167,0.0429849,0.542624,0.0866861,0.393157,0.0593007,0.423822,fluxnet_archive,0.4366241180705543
2022-02-07,1.0,0.932597,1.25866,0.958389,1.12585,0.944597,1.165,fluxnet_archive,0.33654499640028795
2022-02-08,1.0,0.258398,0.900499,0.251446,0.806453,0.245759,0.837108,fluxnet_archive,0.6155557955363571
2022-02-09,0.979167,0.504564,0.979269,0.471396,0.919622,0.488638,0.93343,fluxnet_archive,0.5386796256299496
2022-02-10,1.0,0.151241,0.464504,0.200985,0.463122,0.152928,0.458452,fluxnet_archive,0.40470626349892
2022-02-11,,0.808581,0.487913,0.83921,0.564827,0.832191,0.54176,fluxnet_archive,0.018442764578833655
2022-02-12,,0.732707,0.746466,0.735918,0.866048,0.750466,0.834934,fluxnet_archive,0.30966882649388056
2022-02-13,,1.2482,0.829911,1.23574,0.835384,1.2467,0.836296,fluxnet_archive,0.0722505399568035
2022-02-14,,0.445906,0.364283,0.425322,0.343468,0.435506,0.348845,fluxnet_archive,0.15705255579553637
2022-02-15,1.0,0.958324,1.07793,0.967125,1.06219,0.970047,1.06144,fluxnet_archive,0.28442404607631383
2022-02-16,0.875,0.4718,0.384601,0.444169,0.384891,0.451531,0.381451,fluxnet_archive,0.17330597552195823
2022-02-17,1.0,0.383813,0.649144,0.368608,0.634525,0.370045,0.638492,fluxnet_archive,0.40742764578833696
2022-02-18,,0.286438,0.245755,0.264627,0.232502,0.275383,0.235583,fluxnet_archive,0.19285457163426925
2022-02-19,,0.579354,0.74906,0.614016,0.716434,0.62614,0.720816,fluxnet_archive,0.2897177825773938
2022-02-20,1.0,0.573992,0.296838,0.525668,0.272631,0.554662,0.272693,fluxnet_archive,0.03381065514758817
2022-02-21,0.979167,0.347501,0.424393,0.335384,0.404529,0.367719,0.400276,fluxnet_archive,0.2657631389488841
2022-02-22,0.8125,0.707433,0.335224,0.656219,0.326569,0.677826,0.318697,fluxnet_archive,0.021346292296616276
2022-02-23,0.895833,0.803876,0.807749,0.814209,0.817797,0.782009,0.801248,fluxnet_archive,0.21856587473002162
2022-02-24,1.0,0.877232,0.313635,0.829896,0.323534,0.825055,0.306383,fluxnet_archive,0.14856875449964002
2022-02-25,0.967708,0.633831,0.379285,0.596672,0.404893,0.534052,0.376869,fluxnet_archive,0.07791288696904249
2022-02-26,0.983333,1.00971,0.715986,1.0202,0.749894,1.03982,0.732833,fluxnet_archive,0.021377969762418965
2022-02-27,0.998958,1.19588,0.936055,1.15011,0.971992,1.2374,0.979233,fluxnet_archive,0.08774802015838733
2022-02-28,0.975521,0.957875,0.936894,0.884064,0.960964,0.921695,0.957869,fluxnet_archive,0.27134629229661633
2022-03-01,0.994792,0.821385,0.593247,0.737012,0.592999,0.794238,0.551978,fluxnet_archive,0.11230165586753063
2022-03-02,0.990625,1.04695,0.680678,0.929422,0.670812,1.01669,0.607813,fluxnet_archive,0.02979841612670985
2022-03-03,0.973958,0.964557,0.72756,0.854293,0.710098,0.890515,0.618888,fluxnet_archive,0.11217062634989203
2022-03-04,0.994271,1.02114,0.672993,0.897856,0.666319,0.968645,0.595465,fluxnet_archive,0.049289416846652265
2022-03-05,0.996875,0.999255,0.585769,0.859189,0.584622,0.891643,0.52827,fluxnet_archive,0.018310295176385875
