TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2022-01-14,1.0,0.331334,,0.33672,0.00919478,0.338631,0.011032,ICOS_ETC_L2,0.01981657307415408
2022-01-15,0.979167,0.199902,,0.199096,0.00951413,0.200777,0.0123128,ICOS_ETC_L2,0.07949469402447805
2022-01-17,1.0,0.164629,,0.168998,0.00972733,0.171269,0.0130629,ICOS_ETC_L2,0.10131701223902087
2022-01-18,0.916667,0.109882,,0.11388,0.00903595,0.111931,0.0108395,ICOS_ETC_L2,0.14050104391648668
2022-01-19,1.0,0.0107648,,0.0383628,0.00729484,0.0401042,0.00791313,ICOS_ETC_L2,0.1936155795536357
2022-01-20,,0.220557,0.0,0.212473,0.00741404,0.21368,0.00829293,ICOS_ETC_L2,0.06835208063354932
2022-01-23,,0.0281518,0.050407,0.0209494,0.0501129,0.0241947,0.0455897,ICOS_ETC_L2,0.23697876169906407
2022-01-24,1.0,0.0672043,0.0559583,0.0747713,0.053123,0.0805652,0.0476032,ICOS_ETC_L2,0.20039719222462202
2022-01-26,1.0,0.0345791,0.110201,0.0339734,0.0994809,0.0337287,0.088874,ICOS_ETC_L2,0.2631443484521238
2022-01-27,,0.227207,0.135093,0.22799,0.12024,0.226656,0.107253,ICOS_ETC_L2,0.1384089272858171
2022-01-28,,0.113358,0.169693,0.11158,0.149396,0.111884,0.133293,ICOS_ETC_L2,0.24320806335493161
2022-01-29,,0.0901662,0.137727,0.0786961,0.120799,0.0730983,0.10751,ICOS_ETC_L2,0.24629438444924404
2022-01-30,,0.227657,0.0426708,0.225294,0.0374806,0.221941,0.0333224,ICOS_ETC_L2,0.0807678905687545
2022-01-31,1.0,0.0700184,0.00596784,0.0625012,0.0051935,0.0621035,0.00398636,ICOS_ETC_L2,0.17472447804175664
2022-02-05,,0.0611904,0.0542309,0.00180897,0.0609035,0.00894297,0.0695054,ICOS_ETC_L2,0.2585273794096472
2022-02-06,,0.192091,0.0676485,0.0998112,0.0719466,0.108709,0.0811615,ICOS_ETC_L2,0.19592181425485958
2022-02-07,,0.18585,0.0845646,0.100961,0.0869069,0.113395,0.0902899,ICOS_ETC_L2,0.20586457883369327
2022-02-09,,0.0497183,0.143974,0.0548245,0.13914,0.0404724,0.138325,ICOS_ETC_L2,0.27668502519798416
2022-02-13,,0.511325,0.0,0.513493,0.0,0.511393,0.0,ICOS_ETC_L2,0.15370266378689704
2022-02-14,,0.563001,0.00800537,0.545062,0.0165568,0.537254,0.0195262,ICOS_ETC_L2,0.16451058315334774
2022-02-15,,0.392324,0.0230601,0.371362,0.0473758,0.368737,0.0558199,ICOS_ETC_L2,0.017268682505399577
2022-02-16,,0.171355,0.0466406,0.157475,0.0815062,0.15727,0.0938978,ICOS_ETC_L2,0.16128956083513318
2022-02-17,,0.366807,0.0595015,0.355081,0.0800974,0.354157,0.087991,ICOS_ETC_L2,0.018010367170626346
2022-02-20,0.964063,0.187667,0.238073,0.178811,0.230538,0.179325,0.231885,ICOS_ETC_L2,0.2532231821454284
2022-02-21,1.0,0.129842,0.11665,0.131718,0.115244,0.133838,0.114337,ICOS_ETC_L2,0.20412239020878328
2022-02-24,0.894792,0.994335,0.0827339,0.972949,0.0829379,0.958193,0.0812359,ICOS_ETC_L2,0.4247740100791936
2022-02-25,0.816667,0.603968,0.106325,0.651086,0.105966,0.635771,0.102857,ICOS_ETC_L2,0.17647228221742264
2022-02-26,0.863542,0.449535,0.591018,0.436268,0.57111,0.431446,0.535902,ICOS_ETC_L2,0.3130611951043917
2022-02-27,0.809375,0.557577,0.400262,0.553201,0.389219,0.548285,0.366046,ICOS_ETC_L2,0.09792512598992074
2022-03-03,0.888542,0.172584,0.600902,0.175371,0.577609,0.198077,0.525818,ICOS_ETC_L2,0.5055709143268539
2022-03-06,0.951042,,0.538869,0.0414973,0.516982,0.0437701,0.461291,ICOS_ETC_L2,0.5583043196544276
2022-03-09,,0.0498073,0.166122,0.0984738,0.16151,0.0963171,0.144392,ICOS_ETC_L2,0.26136515478761696
2022-03-10,,0.218407,0.202667,0.219741,0.197352,0.213688,0.176515,ICOS_ETC_L2,0.19986393088552915
2022-03-11,1.0,0.441764,0.292337,0.462399,0.284202,0.43819,0.253533,ICOS_ETC_L2,0.08769114470842332
2022-03-13,0.922396,0.921399,0.557529,0.973981,0.543612,0.940226,0.4855,ICOS_ETC_L2,0.0938581713462923
2022-03-14,0.98125,0.903333,0.607108,0.988774,0.594127,0.968124,0.53225,ICOS_ETC_L2,0.06814038876889855
2022-03-15,0.996875,0.724776,0.570509,0.819595,0.560757,0.782854,0.504266,ICOS_ETC_L2,0.029634269258459307
2022-03-16,0.979688,0.68063,0.589461,0.800439,0.581865,0.769696,0.525115,ICOS_ETC_L2,0.058622030237580953
2022-03-17,0.976042,0.493501,0.581768,0.624436,0.576996,0.600978,0.522819,ICOS_ETC_L2,0.18182865370770335
2022-03-18,0.839063,,0.221569,0.0867939,0.221479,0.0795742,0.202087,ICOS_ETC_L2,0.3129482361411087
2022-03-20,0.982813,1.01689,0.5678,1.33347,0.572138,1.37923,0.52533,ICOS_ETC_L2,0.3321324694024477
2022-03-21,0.900521,0.831018,0.555958,1.06904,0.563564,1.11405,0.520009,ICOS_ETC_L2,0.1479308855291577
2022-03-22,0.892187,0.655788,0.53142,0.785609,0.542138,0.802548,0.502841,ICOS_ETC_L2,0.04069762419006479
2022-03-24,0.916667,0.716438,0.257788,0.823837,0.267117,0.876126,0.250623,ICOS_ETC_L2,0.1848236141108712
2022-03-30,1.0,,0.0,0.203086,0.00331872,0.214405,0.00550641,ICOS_ETC_L2,0.07216178545716342
2022-03-31,0.964583,0.0350177,0.0,0.249565,0.010524,0.252901,0.0175903,ICOS_ETC_L2,0.04388696904247659
2022-04-01,0.914062,0.284012,0.0759645,0.478367,0.088653,0.472391,0.0958102,ICOS_ETC_L2,0.06458891288696905
2022-04-02,0.985417,0.557697,0.246715,0.809477,0.252746,0.796794,0.250925,ICOS_ETC_L2,0.1848315334773218
2022-04-03,0.957812,0.794813,0.384191,1.04572,0.38542,1.00727,0.384854,ICOS_ETC_L2,0.2593952483801296
2022-04-04,0.942187,1.10084,0.345464,1.33029,0.338024,1.2638,0.347521,ICOS_ETC_L2,0.4983916486681066
2022-04-05,0.941667,0.480467,0.400246,0.661105,0.389833,0.621507,0.408261,ICOS_ETC_L2,0.020682505399567976
2022-04-06,0.839583,0.33396,0.807393,0.442642,0.80215,0.421365,0.832271,ICOS_ETC_L2,0.47480777537796975
2022-04-07,0.808333,0.874629,0.853213,0.952446,0.846767,0.928342,0.885129,ICOS_ETC_L2,0.13989992800575957
2022-04-08,0.959375,1.02899,0.707269,1.07485,0.693815,1.06374,0.734538,ICOS_ETC_L2,0.05834053275737951
2022-04-09,0.965104,0.63216,1.1323,0.653521,1.12164,0.650148,1.17291,ICOS_ETC_L2,0.5530014398848092
2022-04-10,0.947396,0.364265,1.0695,0.360646,1.05501,0.376636,1.09574,ICOS_ETC_L2,0.7158848092152628
2022-04-11,0.945833,0.595887,1.07984,0.535902,1.06243,0.557706,1.09283,ICOS_ETC_L2,0.5950525557955363
2022-04-12,0.845312,1.238,1.89257,1.23388,1.88077,1.24705,1.87972,ICOS_ETC_L2,0.68170626349892
2022-04-14,1.0,0.230157,1.01555,0.187748,0.992399,0.229171,1.01283,ICOS_ETC_L2,0.7952850971922246
2022-04-15,0.869792,1.33001,2.52593,1.33126,2.34288,1.3331,2.26242,ICOS_ETC_L2,0.9442908567314615
2022-04-16,0.9125,1.46117,2.71481,1.50862,2.49007,1.49932,2.40207,ICOS_ETC_L2,0.9225701943844491
2022-04-17,0.871354,2.78561,3.09007,2.82301,2.80549,2.7784,2.71356,ICOS_ETC_L2,0.20336933045356356
2022-04-18,0.920833,2.85286,3.1929,2.85972,2.88977,2.82044,2.82203,ICOS_ETC_L2,0.23761699064074882
2022-04-19,0.990625,3.53539,4.6036,3.60221,3.5937,3.55585,3.40907,ICOS_ETC_L2,0.20985601151907862
2022-04-20,0.984375,3.30168,6.48909,3.38823,4.24505,3.34504,3.85154,ICOS_ETC_L2,0.8328437724982001
2022-04-21,0.926042,3.95592,6.22278,3.98787,4.06326,3.94043,3.69569,ICOS_ETC_L2,0.27025917926565846
2022-04-22,0.913021,3.55681,3.42864,3.66123,2.71532,3.63132,2.6139,ICOS_ETC_L2,0.46501799856011516
2022-04-23,0.9875,3.95461,1.7094,3.95222,1.71734,3.90602,1.7351,ICOS_ETC_L2,1.3930021598272138
2022-04-24,0.996875,2.94271,2.81632,2.94988,2.83612,2.92365,2.82838,ICOS_ETC_L2,0.1340820734341255
2022-04-25,0.989062,3.22096,2.93027,3.23726,2.94172,3.18963,2.93922,ICOS_ETC_L2,0.00321094312455009
2022-04-26,1.0,2.82897,2.12952,2.80673,2.10861,2.78974,2.13471,ICOS_ETC_L2,0.2866234701223901
2022-04-27,0.979167,2.10605,2.09862,2.08198,2.00614,2.07091,2.04781,ICOS_ETC_L2,0.1613822894168464
2022-04-28,1.0,1.40708,1.59069,1.43457,1.40326,1.42955,1.43801,ICOS_ETC_L2,0.1934413246940245
2022-04-29,,1.80248,2.28209,1.83804,2.1129,1.81974,2.13724,ICOS_ETC_L2,0.41386609071274294
2022-04-30,,2.41489,2.28856,2.31019,2.2373,2.2987,2.24811,ICOS_ETC_L2,0.16350611951043906
2022-05-01,,2.9893,2.585,2.88568,2.57523,2.85899,2.56569,ICOS_ETC_L2,0.007523398128149679
2022-05-02,,3.1932,2.62655,3.10658,2.58146,3.06588,2.54705,ICOS_ETC_L2,0.16207343412527017
2022-05-03,1.0,3.20961,3.18299,3.19273,2.85215,3.18865,2.81077,ICOS_ETC_L2,0.029215262778977766
2022-05-04,0.998958,2.57622,3.61121,2.56674,2.82702,2.55942,2.80946,ICOS_ETC_L2,0.40336933045356393
2022-05-05,1.0,2.89619,2.78029,2.8552,2.06897,2.84355,2.07973,ICOS_ETC_L2,0.35005759539236847
2022-05-06,1.0,3.79938,3.76108,3.78089,3.16481,3.78808,3.22501,ICOS_ETC_L2,0.22755939524837995
2022-05-07,0.998958,2.41102,2.24999,2.48244,1.95289,2.50318,1.99185,ICOS_ETC_L2,0.16526277897768177
2022-05-08,1.0,3.32933,3.68395,3.37488,3.54529,3.38847,3.55455,ICOS_ETC_L2,0.33866810655147583
2022-05-09,0.999479,3.55747,3.72072,3.5941,3.70674,3.59107,3.68751,ICOS_ETC_L2,0.2970770338372929
2022-05-10,0.990104,4.58661,4.31696,4.57849,4.29504,4.57768,4.27802,ICOS_ETC_L2,0.011915046796256146
2022-05-11,1.0,2.99271,2.95116,2.99535,2.89674,2.99201,2.87099,ICOS_ETC_L2,0.14498920086393066
2022-05-12,,3.18788,3.13882,3.17224,3.11825,3.16505,3.10552,ICOS_ETC_L2,0.17711303095752357
2022-05-13,1.0,4.86278,4.97638,4.82264,5.00705,4.80635,4.99744,ICOS_ETC_L2,0.34874730021598255
2022-05-14,0.999479,4.54096,4.24386,4.46542,4.30969,4.41642,4.28685,ICOS_ETC_L2,0.10386609071274287
2022-05-15,0.953125,4.05558,4.02707,4.01148,4.11767,3.98614,4.08949,ICOS_ETC_L2,0.2924334053275743
2022-05-16,1.0,5.07584,4.45735,4.98847,4.56268,4.9326,4.54369,ICOS_ETC_L2,0.09056155507559405
2022-05-20,0.898437,5.84557,9.11673,5.71315,8.49579,5.59254,8.29067,ICOS_ETC_L2,2.2193232541396686
2022-05-21,0.845833,5.37931,8.91261,5.27183,7.79051,5.16658,7.75469,ICOS_ETC_L2,2.0292872570194387
2022-06-07,0.970833,9.70632,8.91925,9.13564,8.62857,9.06451,8.68028,ICOS_ETC_L2,0.14907847372210264
