TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2023-01-02,0.91875,1.32793,1.9693,1.12744,2.11963,1.30847,2.06381,fluxnet_archive,0.9303023758099351
2023-01-03,0.998958,0.521931,1.23913,1.13442,1.32614,1.77526,1.29412,fluxnet_archive,0.35401007919366456
2023-01-04,0.999479,0.39518,1.82466,0.711749,1.92508,0.978512,1.87359,fluxnet_archive,1.0895111591072715
2023-01-05,0.997917,1.63847,1.88533,1.85803,1.8972,2.03682,1.85089,fluxnet_archive,0.24418286537077027
2023-01-06,1.0,,1.7801,0.53006,1.63345,0.60123,1.60126,fluxnet_archive,1.010359971202304
2023-01-07,0.997396,1.67568,2.13479,1.54695,2.00542,1.55032,2.00878,fluxnet_archive,0.5460547156227502
2023-01-08,0.994792,1.20302,0.863715,1.14873,0.994976,1.27698,1.00934,fluxnet_archive,0.10528869690424761
2023-01-09,0.960417,0.558374,1.37331,1.16163,1.6373,1.16918,1.66935,fluxnet_archive,0.5584377249820015
2023-01-10,1.0,1.66017,1.96264,2.02239,2.23062,2.05353,2.28372,fluxnet_archive,0.3658963282937365
2023-01-11,1.0,1.20579,0.640058,1.75602,0.934904,1.80264,0.94833,fluxnet_archive,0.3751735061195104
2023-01-12,0.999479,3.16704,1.25751,2.45644,1.69674,2.56878,1.71138,fluxnet_archive,0.33095752339812834
2023-01-13,1.0,1.8552,1.35559,2.37245,1.77759,2.45472,1.79264,fluxnet_archive,0.2122822174226063
2023-01-14,0.998437,3.5082,1.46775,3.04056,1.87644,3.04665,1.89458,fluxnet_archive,0.6221166306695465
2023-01-15,1.0,3.62956,0.46051,3.75117,0.667704,3.79944,0.663365,fluxnet_archive,2.0039352051835855
2023-01-16,0.994271,1.12671,0.985032,1.33576,1.50047,1.34185,1.49267,fluxnet_archive,0.3345644348452123
2023-01-18,0.916667,2.5321,0.86933,2.32691,1.27093,2.26278,1.25122,fluxnet_archive,0.5442620590352771
2023-01-21,0.931771,0.854643,0.860686,0.86713,1.02514,0.858003,1.00007,fluxnet_archive,0.32974082073434124
2023-01-22,1.0,1.14021,0.605919,1.15022,0.752434,1.13324,0.736537,fluxnet_archive,0.07040028797696184
2023-01-23,,0.892221,0.62602,0.876848,0.614121,0.871269,0.592994,fluxnet_archive,0.026834413246940286
2023-01-24,,1.28629,1.8389,1.3741,1.62708,1.36122,1.56953,fluxnet_archive,0.398113750899928
2023-01-25,,0.772155,1.42274,0.755311,1.16175,0.748435,1.13031,fluxnet_archive,0.5085953923686105
2023-01-26,,0.312516,1.03396,0.350395,0.973199,0.364516,0.969008,fluxnet_archive,0.6643657307415406
2023-01-27,,0.369141,0.964068,0.428927,0.97017,0.43683,0.972657,fluxnet_archive,0.6056465082793376
2023-01-28,,0.806287,1.25765,0.884089,1.20817,0.890498,1.20121,fluxnet_archive,0.4493023758099351
2023-01-29,1.0,1.39688,1.4628,1.40863,1.39553,1.40686,1.37958,fluxnet_archive,0.20655147588192935
2023-01-30,0.947396,2.07616,1.68132,2.15646,1.68097,2.11204,1.65951,fluxnet_archive,0.1263426925845932
2023-01-31,1.0,2.79181,1.84028,2.48004,1.85568,2.49944,1.83582,fluxnet_archive,0.2335205183585312
2023-02-01,,2.13326,2.01146,1.99175,2.01481,1.99554,2.00605,fluxnet_archive,0.2325845932325416
2023-02-02,,2.09496,1.79228,1.81277,1.78755,1.80477,1.78659,fluxnet_archive,0.19782577393808493
2023-02-03,1.0,3.06649,2.6229,2.84426,2.58911,2.83392,2.58918,fluxnet_archive,0.03228941684665227
2023-02-04,0.979167,1.05148,1.25115,1.59617,1.32434,1.64198,1.33366,fluxnet_archive,0.020280777537796956
2023-02-05,1.0,1.92543,1.0685,1.9392,1.33354,1.92644,1.34984,fluxnet_archive,0.2200575953923687
2023-02-06,,2.34828,1.15127,2.40302,1.39187,2.32996,1.40617,fluxnet_archive,0.5119870410367172
2023-02-07,1.0,2.04056,2.30851,2.15768,2.33036,2.06556,2.33383,fluxnet_archive,0.34030237580993533
2023-02-08,0.953646,0.925914,1.27894,1.18844,1.15997,1.08014,1.16161,fluxnet_archive,0.19548596112311015
2023-02-09,0.969271,2.86801,2.74791,2.65395,2.42798,2.5763,2.39028,fluxnet_archive,0.05329733621310278
2023-02-10,0.909375,2.6233,2.67643,2.9101,2.51502,2.76492,2.50596,fluxnet_archive,0.06845212383009366
2023-02-11,0.860938,2.66947,2.09161,3.2306,2.36649,3.16042,2.42966,fluxnet_archive,0.4061267098632107
2023-02-12,0.9125,2.86149,2.20288,3.20443,2.65603,3.33165,2.75847,fluxnet_archive,0.17883369330453563
2023-02-13,0.967187,0.932564,1.87572,1.07936,2.06628,1.16403,2.12589,fluxnet_archive,0.9265082793376529
2023-02-14,0.991146,0.96973,1.92267,0.757496,1.9845,0.801614,2.07123,fluxnet_archive,1.0993549316054716
2023-02-15,0.878646,2.70046,2.58741,2.54105,2.60567,2.59289,2.76242,fluxnet_archive,0.26250539956803465
2023-02-16,0.867188,4.40028,3.18122,4.64989,3.38643,4.78552,3.53875,fluxnet_archive,0.6936357091432687
