TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2023-01-01,,1.61341,2.29697,1.68696,2.08149,1.66874,2.12722,fluxnet_archive,0.5000215982721383
2023-01-02,,0.295539,1.51263,0.513245,1.37289,0.470541,1.39971,fluxnet_archive,0.8348776097912167
2023-01-03,,1.37845,1.97919,1.34281,1.83233,1.35778,1.86211,fluxnet_archive,0.5684089272858172
2023-01-04,,0.237821,1.04225,0.149641,1.01771,0.179154,1.02042,fluxnet_archive,0.8409424046076313
2023-01-05,,2.10166,1.36889,1.99494,1.37651,2.01368,1.37314,fluxnet_archive,0.22925125989920808
2023-01-06,,1.69388,1.33089,1.68077,1.36328,1.67315,1.3527,fluxnet_archive,0.012591792656587516
2023-01-07,,1.94096,1.46775,1.92539,1.52718,1.92611,1.5055,fluxnet_archive,0.07070554355651545
2023-01-08,,0.0105389,0.287374,0.101756,0.345092,0.094979,0.322508,fluxnet_archive,0.391170626349892
2023-01-09,,0.761073,0.661137,0.735811,0.739845,0.74973,0.707515,fluxnet_archive,0.2188869690424766
2023-01-10,,1.51309,1.27454,1.49119,1.32043,1.50129,1.30034,fluxnet_archive,0.09304535637149025
2023-01-11,,0.279967,0.33167,0.285146,0.345451,0.281088,0.340469,fluxnet_archive,0.25939884809215263
2023-01-12,,1.28472,0.86713,1.30639,0.883134,1.2953,0.879818,fluxnet_archive,0.0887372210223182
2023-01-13,,1.2303,1.11663,1.2597,1.13132,1.24804,1.12795,fluxnet_archive,0.12355651547876173
2023-01-14,,1.05896,0.686678,1.04534,0.661133,1.04719,0.65757,fluxnet_archive,0.060624190064794796
2023-01-15,,0.477022,0.674358,0.489974,0.67569,0.487422,0.666507,fluxnet_archive,0.34968754499640026
2023-01-16,,0.669237,0.59129,0.687364,0.654195,0.686075,0.6395,fluxnet_archive,0.1921029517638589
2023-01-17,,0.728283,0.619301,0.696218,0.69906,0.710739,0.681413,fluxnet_archive,0.2180287976961843
2023-01-18,,1.01108,0.926421,1.01604,1.03455,1.01266,1.00765,fluxnet_archive,0.22930885529157669
2023-01-19,1.0,1.19407,0.932019,1.17498,1.05353,1.17768,1.02289,fluxnet_archive,0.12854571634269268
2023-01-20,0.999479,0.944788,0.943702,0.956893,0.98354,0.953986,0.980864,fluxnet_archive,0.23516702663786895
2023-01-21,1.0,0.774291,0.956736,0.757676,0.959373,0.756235,0.962848,fluxnet_archive,0.3611929445644349
2023-01-22,,0.642703,0.424901,0.638531,0.414034,0.643727,0.421484,fluxnet_archive,0.05435781137509002
2023-01-23,,0.231024,0.315791,0.248379,0.313441,0.247888,0.317506,fluxnet_archive,0.26282361411087113
2023-01-24,,0.963346,0.607022,0.989369,0.645637,0.987635,0.643667,fluxnet_archive,0.03148452123830097
2023-01-25,,0.430798,0.280011,0.454146,0.311774,0.456096,0.308118,fluxnet_archive,0.11348308135349171
2023-01-26,,0.310138,0.151444,0.276629,0.176094,0.28572,0.171603,fluxnet_archive,0.1436033117350612
2023-01-27,,0.775095,0.544386,0.760411,0.584358,0.765871,0.577473,fluxnet_archive,0.08923470122390215
2023-01-28,1.0,0.835045,0.41533,0.812327,0.427556,0.820709,0.430009,fluxnet_archive,0.061030237580993546
2023-01-29,0.982292,1.14318,1.03464,1.12639,1.07733,1.12727,1.07637,fluxnet_archive,0.18066234701223893
2023-01-30,1.0,0.832268,0.86369,0.832462,0.924954,0.837921,0.919863,fluxnet_archive,0.28257163426925846
2023-01-31,0.982292,1.43011,1.11853,1.42247,1.20712,1.42384,1.19482,fluxnet_archive,0.06094312455003604
2023-02-01,1.0,1.1512,0.696267,1.15121,0.755491,1.15122,0.746344,fluxnet_archive,0.06891216702663791
2023-02-02,,0.710425,0.559353,0.724953,0.605926,0.719325,0.59717,fluxnet_archive,0.13029013678905688
2023-02-03,,1.53384,1.28685,1.53653,1.30888,1.52984,1.2989,fluxnet_archive,0.05208783297336219
2023-02-04,,1.13206,0.886999,1.18414,0.916633,1.17196,0.903556,fluxnet_archive,0.023393088552915803
2023-02-05,,0.516865,0.314416,0.497844,0.354005,0.50212,0.341574,fluxnet_archive,0.11242692584593232
2023-02-06,1.0,1.31343,0.780044,1.37104,0.891873,1.36068,0.856784,fluxnet_archive,0.1289899208063355
2023-02-07,0.967708,1.21837,1.08803,1.28326,1.25115,1.26329,1.20172,fluxnet_archive,0.1928653707703383
2023-02-08,0.930729,1.29193,1.01762,1.3586,1.19402,1.34164,1.1455,fluxnet_archive,0.09749460043196546
2023-02-09,0.880729,0.960041,0.896591,1.1927,1.07119,1.16262,1.02836,fluxnet_archive,0.12850251979841612
2023-02-10,0.813021,0.974939,0.791026,1.1871,0.974234,1.16372,0.934652,fluxnet_archive,0.06273146148308134
2023-02-11,0.8125,0.758222,0.717215,0.780746,0.920743,0.808781,0.881042,fluxnet_archive,0.3167724982001439
2023-02-12,0.886979,0.860557,0.662674,0.738634,0.860381,0.790576,0.82326,fluxnet_archive,0.3036335493160547
2023-02-13,0.816146,0.243504,0.434483,0.358975,0.591358,0.35295,0.56913,fluxnet_archive,0.38328509719222464
2023-02-17,0.955729,0.15907,0.165482,0.269919,0.184937,0.270859,0.183056,fluxnet_archive,0.15480057595392366
2023-02-18,0.996875,0.0615108,0.263474,0.13934,0.229395,0.142644,0.239992,fluxnet_archive,0.28081713462922964
2023-02-19,0.999479,0.250894,0.535237,0.239103,0.438397,0.236427,0.465809,fluxnet_archive,0.35946292296616267
2023-02-21,0.996875,1.50396,2.16907,1.01521,1.82729,1.06188,1.93764,fluxnet_archive,0.8006335493160548
2023-02-22,1.0,0.595835,1.47051,0.572746,1.31634,0.557776,1.36587,fluxnet_archive,0.7513275737940965
2023-02-23,0.999479,1.28264,1.65518,1.05436,1.44246,1.08544,1.47707,fluxnet_archive,0.4953923686105113
2023-02-24,1.0,0.402922,0.657891,0.280929,0.608714,0.280934,0.601518,fluxnet_archive,0.4519690424766019
2023-02-25,,0.586508,0.993954,0.520475,0.943481,0.519697,0.927241,fluxnet_archive,0.5205226781857452
2023-02-26,,0.616923,1.0123,0.507726,0.993256,0.513606,0.970565,fluxnet_archive,0.5655363570914327
2023-02-27,,1.16784,1.44544,1.05826,1.42463,1.06463,1.40869,fluxnet_archive,0.4797480201583874
2023-02-28,,1.24357,1.34779,1.1082,1.34477,1.11427,1.33302,fluxnet_archive,0.38629949604031677
2023-03-01,1.0,1.13118,1.49617,1.03513,1.51552,1.04001,1.50721,fluxnet_archive,0.5618358531317494
2023-03-02,0.986979,0.829185,1.17145,0.59841,1.32288,0.630524,1.28916,fluxnet_archive,0.7375593952483801
2023-03-03,0.979167,1.58075,1.10137,1.42931,1.49292,1.46009,1.41038,fluxnet_archive,0.2617782577393808
2023-03-04,0.977083,2.03097,1.5406,1.75288,1.93997,1.79035,1.86792,fluxnet_archive,0.35067674586033115
2023-03-05,0.979167,2.20308,1.4971,1.96478,1.68096,2.00797,1.6629,fluxnet_archive,0.011648668106551496
2023-03-06,1.0,2.00046,1.15953,1.87355,1.21117,1.90739,1.21741,fluxnet_archive,0.2608927285817135
2023-03-07,,2.07759,1.0481,2.05095,1.06775,2.05221,1.06982,fluxnet_archive,0.4918646508279336
2023-03-08,,1.74106,0.822849,1.7281,0.823673,1.72266,0.823415,fluxnet_archive,0.43515262778977687
2023-03-09,,2.09632,0.926651,2.13142,0.927469,2.11043,0.927249,fluxnet_archive,0.650792656587473
2023-03-10,1.0,1.58424,1.09018,1.59504,1.08832,1.59369,1.08086,fluxnet_archive,0.1488264938804896
2023-03-11,0.995833,2.27827,2.31489,2.34401,2.30127,2.35327,2.276,fluxnet_archive,0.1852123830093594
2023-03-12,0.979167,3.26212,2.84698,3.25553,2.87,3.26693,2.83674,fluxnet_archive,0.06157667386609051
2023-03-13,0.953646,2.69527,2.90904,2.7959,2.99955,2.77767,2.97476,fluxnet_archive,0.3625989920806337
2023-03-14,1.0,2.05143,1.81226,2.05071,2.11316,2.06139,2.13015,fluxnet_archive,0.26094312455003604
2023-03-15,0.955208,3.0762,2.22436,3.06849,2.86513,3.07947,2.9685,fluxnet_archive,0.0695752339812815
2023-03-16,0.915104,3.12811,2.46644,3.02601,3.0337,3.0451,3.1422,fluxnet_archive,0.22151907847372224
2023-03-17,0.924479,2.84427,3.18223,2.76901,3.30519,2.81074,3.34738,fluxnet_archive,0.6020014398848091
2023-03-18,0.998958,2.85247,3.84715,3.03322,3.76513,3.02079,3.76008,fluxnet_archive,0.742915766738661
2023-03-19,1.0,2.48839,3.13761,2.53176,3.11102,2.50552,3.07277,fluxnet_archive,0.633016558675306
2023-03-20,0.977604,2.14712,2.84288,2.21556,2.84457,2.20865,2.7985,fluxnet_archive,0.6688336933045357
2023-03-21,0.984896,3.03714,3.18102,3.08823,3.19849,3.08755,3.1585,fluxnet_archive,0.295363570914327
2023-03-22,0.997917,3.61889,3.67343,3.54257,3.655,3.54007,3.64111,fluxnet_archive,0.29692584593232524
2023-03-23,1.0,1.35563,2.20688,1.46451,2.08902,1.43262,2.11565,fluxnet_archive,0.6655939524838014
2023-03-24,1.0,1.1681,2.18015,1.28089,2.04042,1.23125,2.07982,fluxnet_archive,0.7628005759539237
2023-03-25,0.977083,2.83933,3.42539,2.8575,3.28166,2.8521,3.3197,fluxnet_archive,0.5213534917206625
2023-03-26,0.999479,2.69293,2.86681,2.66347,2.76822,2.66076,2.79643,fluxnet_archive,0.29139668826493886
2023-03-27,0.995312,2.13082,3.21017,2.14482,3.09894,2.15016,3.12353,fluxnet_archive,0.9028941684665225
2023-03-28,0.964063,3.08717,3.9786,3.19826,3.84177,3.21448,3.87945,fluxnet_archive,0.6792728581713463
2023-03-29,0.951562,2.86104,2.87313,2.8918,2.77168,2.8566,2.82652,fluxnet_archive,0.12950323974082073
2023-03-30,1.0,2.44474,2.41903,2.50169,2.29373,2.45435,2.35123,fluxnet_archive,0.06626349892008644
2023-03-31,,3.02619,3.58499,3.05993,3.36655,3.03033,3.4434,fluxnet_archive,0.43673146148308145
2023-04-01,1.0,2.11305,2.14763,2.08609,1.97965,2.08531,2.03333,fluxnet_archive,0.13935205183585306
2023-04-02,0.998958,3.65369,3.13762,3.65037,3.03997,3.65107,3.06323,fluxnet_archive,0.223470122390209
2023-04-03,1.0,2.76317,2.23213,2.77658,2.21106,2.77577,2.20607,fluxnet_archive,0.19115910727141847
2023-04-04,1.0,3.4785,2.57724,3.51868,2.60001,3.51533,2.57092,fluxnet_archive,0.445406767458603
2023-04-05,0.977604,4.02641,2.15864,4.03004,2.24419,4.05231,2.19189,fluxnet_archive,1.0697264218862488
2023-04-06,0.976562,3.95565,1.62544,4.06698,1.77153,4.04636,1.69931,fluxnet_archive,1.4366090712742978
2023-04-07,1.0,2.26666,1.21224,2.12602,1.36002,2.13257,1.29742,fluxnet_archive,0.3354931605471562
2023-04-08,1.0,3.31746,2.30545,3.23228,2.40598,3.25647,2.37391,fluxnet_archive,0.3789056875449962
2023-04-09,0.981771,4.50547,4.68386,4.61522,4.70189,4.59226,4.69648,fluxnet_archive,0.27838012958963265
2023-04-10,0.965625,4.88477,4.42618,4.9218,4.40154,4.91565,4.39796,fluxnet_archive,0.15857451403887718
2023-04-11,1.0,4.12754,3.65514,4.04013,3.50114,4.04657,3.56358,fluxnet_archive,0.1720590352771782
2023-04-12,0.992708,2.64586,2.86132,2.71367,2.58699,2.70523,2.72407,fluxnet_archive,0.12478041756659473
2023-04-13,1.0,4.8565,4.86581,4.89733,4.38931,4.9014,4.67468,fluxnet_archive,0.14976241900647957
2023-04-14,0.969271,5.2074,4.93313,5.36115,4.51319,5.32473,4.80837,fluxnet_archive,0.394499640028798
2023-04-15,0.998437,4.85671,4.43012,4.88269,3.98389,4.8828,4.25256,fluxnet_archive,0.43110151187904966
2023-04-16,1.0,1.47818,1.72904,1.47032,1.53595,1.47268,1.61911,fluxnet_archive,0.26323254139668817
2023-04-17,,4.65987,4.70356,4.71462,4.40599,4.68683,4.5253,fluxnet_archive,0.006213102951763838
2023-04-18,1.0,4.85536,4.64804,4.93507,4.48638,4.91079,4.57511,fluxnet_archive,0.10704823614110874
2023-04-19,0.991667,4.13046,3.97855,4.21204,3.96544,4.18699,4.02886,fluxnet_archive,0.038444924406047555
2023-04-20,0.941146,4.94494,5.29891,4.85378,5.46136,4.83448,5.47823,fluxnet_archive,0.6534053275737938
2023-04-21,0.914062,4.76754,4.95189,4.81069,5.1495,4.81138,5.14813,fluxnet_archive,0.45990640748740075
2023-04-22,0.985938,5.07532,4.75577,5.07944,4.87086,5.04305,4.85683,fluxnet_archive,0.06581713462922999
2023-04-23,0.99375,6.1044,5.77799,6.1015,5.80443,6.08562,5.78774,fluxnet_archive,0.0021094312455005515
2023-04-24,1.0,5.82427,5.90247,5.79574,5.83548,5.79063,5.83299,fluxnet_archive,0.24459323254139612
2023-04-25,0.852083,4.25958,5.1609,4.33529,4.83475,4.30975,4.82946,fluxnet_archive,0.575565154787617
2023-04-26,0.851563,6.52472,6.55067,6.33221,5.80098,6.33966,5.7739,fluxnet_archive,0.16647228221742252
2023-04-27,0.959375,7.61755,6.33419,7.78799,6.03161,7.74227,5.95288,fluxnet_archive,1.0485097192224622
2023-04-28,0.979167,5.12378,4.79656,5.16456,4.48201,5.13281,4.46382,fluxnet_archive,0.2754139668826494
