TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2023-01-14,0.948438,0.835191,0.00169437,0.698297,0.0165405,,,ICOS_ETC_L2,0.2748426925845932
2023-01-21,0.976563,0.203431,0.0,0.157267,0.0165391,,,ICOS_ETC_L2,0.11466673866090712
2023-01-22,0.979688,0.00162862,,0.00721875,0.00412805,,,ICOS_ETC_L2,0.2137575953923686
2023-01-26,,0.0598566,0.109169,0.0633042,0.105594,,,ICOS_ETC_L2,0.2464289416846652
2023-01-28,1.0,0.147633,0.0383978,0.0668972,0.0484149,,,ICOS_ETC_L2,0.20267652987760978
2023-01-30,1.0,0.562846,0.0,0.538083,0.0389548,,,ICOS_ETC_L2,0.14336083513318934
2023-01-31,,0.172252,0.19701,0.165614,0.231806,,,ICOS_ETC_L2,0.2636371490280777
2023-02-01,,0.283657,0.488461,0.266058,0.47481,,,ICOS_ETC_L2,0.36627213822894167
2023-02-02,,0.563563,0.553187,0.54099,0.526839,,,ICOS_ETC_L2,0.2057948164146868
2023-02-03,1.0,0.310602,0.447608,0.273264,0.429898,,,ICOS_ETC_L2,0.32875017998560113
2023-02-04,0.945833,0.509317,0.339678,0.49839,0.346819,,,ICOS_ETC_L2,0.1068603311735061
2023-02-05,1.0,0.975745,0.0941182,0.947321,0.106666,,,ICOS_ETC_L2,0.38924046076313884
2023-02-06,0.996875,0.0403695,0.0,0.219043,0.0323594,,,ICOS_ETC_L2,0.08158128149748022
2023-02-07,0.973438,0.287154,,0.355466,0.0406993,,,ICOS_ETC_L2,0.010631173506119525
2023-02-08,0.997396,0.0917419,,0.207384,0.0488352,,,ICOS_ETC_L2,0.10183671706263497
2023-02-09,0.982292,0.039157,0.0,0.170229,0.0599141,,,ICOS_ETC_L2,0.13656234701223902
2023-02-10,0.981771,,0.304658,0.0700885,0.215151,,,ICOS_ETC_L2,0.320419366450684
2023-02-11,0.98125,0.289668,0.890625,0.346282,0.49905,,,ICOS_ETC_L2,0.32596688264938806
2023-02-12,0.986979,0.145617,0.93811,0.0654778,0.548866,,,ICOS_ETC_L2,0.563994384449244
2023-02-15,0.922917,,0.079963,0.0185019,0.077319,,,ICOS_ETC_L2,0.25832764578833695
2023-02-16,1.0,0.689828,0.0,0.584912,2.76212e-05,,,ICOS_ETC_L2,0.20510034470842334
