TIMESTAMP,NEE_VUT_MEAN_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF,GPP_NT_VUT_MEAN,GPP_DT_VUT_MEAN,GPP_NT_CUT_MEAN,GPP_DT_CUT_MEAN,database,zScore_DTvsNT_VUT
2023-01-01,0.998958,0.145038,0.0081485,0.0863817,0.0301017,,,ICOS_ETC_L2,0.17546436285097192
2023-01-02,1.0,0.00838075,0.00845486,0.00959922,0.0312405,,,ICOS_ETC_L2,0.23156319654427643
2023-01-04,1.0,0.0289578,0.0699878,0.0630295,0.0608917,,,ICOS_ETC_L2,0.2144436285097192
2023-01-05,0.827083,0.151976,0.0806194,0.153304,0.0602628,,,ICOS_ETC_L2,0.14899841612670986
2023-01-06,0.978125,0.038061,0.16307,0.0563744,0.105272,,,ICOS_ETC_L2,0.2511861771058315
2023-01-07,0.998958,0.10132,0.139822,0.118854,0.0919334,,,ICOS_ETC_L2,0.1966014398848092
2023-01-08,1.0,0.0568485,0.0269875,0.0644937,0.0254721,,,ICOS_ETC_L2,0.18788941684665225
2023-01-09,0.997396,0.0401738,0.00852228,0.0285081,0.0126281,,,ICOS_ETC_L2,0.2045500359971202
2023-01-12,1.0,0.0426102,0.0140796,0.0625517,0.0173016,,,ICOS_ETC_L2,0.18340525557955362
2023-01-13,0.998958,0.0644041,0.0695663,0.0484698,0.0238771,,,ICOS_ETC_L2,0.1982773938084953
2023-01-14,0.981771,0.0917814,0.167481,0.0682819,0.0293094,,,ICOS_ETC_L2,0.18792476601871846
2023-01-15,0.999479,0.114766,0.160047,0.108686,0.027312,,,ICOS_ETC_L2,0.15739812814974802
2023-01-23,0.997917,0.0730403,,0.0755244,0.0,,,ICOS_ETC_L2,0.16160950323974083
2023-01-24,0.990104,0.12479,0.0,0.108668,0.0,,,ICOS_ETC_L2,0.13774802015838733
2023-01-25,0.997917,0.12197,0.0145967,0.0990917,0.0147791,,,ICOS_ETC_L2,0.155282505399568
2023-02-03,0.942188,0.133037,0.0269863,0.0623205,0.0763435,,,ICOS_ETC_L2,0.22607847372210224
2023-02-04,0.999479,0.202436,0.0282781,0.111384,0.0473581,,,ICOS_ETC_L2,0.16988776097912167
2023-02-14,0.822396,0.121579,0.237598,0.0873422,0.146494,,,ICOS_ETC_L2,0.25856861051115915
2023-02-15,0.907813,0.110856,0.183754,0.0665112,0.123662,,,ICOS_ETC_L2,0.2571280057595392
2023-02-16,0.967708,0.0646677,0.116929,0.0637833,0.0922946,,,ICOS_ETC_L2,0.236509215262779
2023-02-17,0.913542,,0.0385144,0.0114154,0.0542468,,,ICOS_ETC_L2,0.2468188624910007
2023-02-18,0.959896,0.257474,0.0,0.180134,0.0352297,,,ICOS_ETC_L2,0.11165997120230382
2023-02-19,0.919792,0.164172,,0.117353,0.0316785,,,ICOS_ETC_L2,0.1543020158387329
2023-02-20,0.848437,0.178694,,0.140705,0.0268267,,,ICOS_ETC_L2,0.1339969042476602
2023-02-21,0.91875,0.301655,,0.241762,0.0294468,,,ICOS_ETC_L2,0.06312800575953922
2023-02-22,0.923438,0.11858,,0.0301946,0.0246882,,,ICOS_ETC_L2,0.21201843052555794
2023-02-23,0.984375,0.126609,,0.0633204,0.0128173,,,ICOS_ETC_L2,0.17962339812814973
2023-02-24,0.986458,0.0366997,,0.0115401,0.0100596,,,ICOS_ETC_L2,0.21491684665226782
2023-02-25,0.925,0.250778,,0.170578,0.00464367,,,ICOS_ETC_L2,0.09651956083513316
2023-03-01,1.0,0.130015,0.0,0.137986,0.00705141,,,ICOS_ETC_L2,0.12171735781137509
2023-03-02,1.0,0.00152359,0.0141471,0.021518,0.00856099,,,ICOS_ETC_L2,0.20665442044636428
2023-03-03,0.986979,0.015307,0.0439188,0.0249036,0.0362009,,,ICOS_ETC_L2,0.2241161267098632
2023-03-04,0.945833,0.13154,0.0698165,0.096852,0.080842,,,ICOS_ETC_L2,0.20445644348452122
