t,EVI2
2017-01-03,
2017-01-13,
2017-01-16,
2017-01-26,
2017-02-02,
2017-02-05,
2017-02-12,
2017-02-15,0.40301663
2017-02-22,
2017-02-25,
2017-03-04,
2017-03-07,
2017-03-14,0.62924635
2017-03-17,
2017-03-19,
2017-03-24,
2017-03-27,0.7388674
2017-03-29,
2017-04-01,
2017-04-03,0.8485546
2017-04-06,
2017-04-08,0.8302442
2017-04-11,
2017-04-13,
2017-04-16,
2017-04-18,
2017-04-21,
2017-04-23,0.515081
2017-04-26,
2017-04-28,0.34898308
2017-05-01,
2017-05-03,
2017-05-06,0.6742077
2017-05-08,
2017-05-11,0.6682671
2017-05-13,0.6391195
2017-05-16,0.63148576
2017-05-18,
2017-05-21,
2017-05-23,
2017-05-26,0.5661139
2017-05-28,0.5582887
2017-06-02,
2017-06-05,
2017-06-07,
2017-06-10,
2017-06-12,
2017-06-15,
2017-06-17,
2017-06-20,
2017-06-22,
2017-06-25,
2017-06-27,
2017-06-30,
2017-07-02,
2017-07-05,0.4892717
2017-07-07,0.5404724
2017-07-10,
2017-07-12,
2017-07-15,
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,
2017-08-01,
2017-08-04,
2017-08-06,0.55427253
2017-08-09,
2017-08-11,
2017-08-14,
2017-08-16,
2017-08-19,
2017-08-21,
2017-08-24,
2017-08-26,
2017-08-29,0.5678218
2017-08-31,
2017-09-03,
2017-09-05,
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,
2017-09-18,
2017-09-20,
2017-09-23,0.6364171
2017-09-25,0.66602254
2017-09-28,
2017-09-30,
2017-10-03,
2017-10-05,
2017-10-08,0.33007157
2017-10-10,
2017-10-13,
2017-10-15,0.69190466
2017-10-18,0.69529414
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,
2017-10-30,
2017-11-02,
2017-11-04,
2017-11-07,0.7076775
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,0.15093015
2017-11-19,
2017-11-22,0.58839166
2017-11-24,
2017-11-27,
2017-11-29,
2017-12-02,0.60360396
2017-12-07,
2017-12-09,
2017-12-12,
2017-12-14,
2017-12-17,
2017-12-19,
2017-12-22,
2017-12-24,
2017-12-27,
2017-12-29,
2018-01-01,
2018-01-03,
2018-01-06,
2018-01-08,
2018-01-11,
2018-01-13,
2018-01-16,
2018-01-18,
2018-01-21,
2018-01-23,
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,0.6868802
2018-02-07,
2018-02-10,
2018-02-12,
2018-02-15,
2018-02-17,
2018-02-20,
2018-02-22,0.6415649
2018-02-25,0.62506443
2018-02-27,0.6151025
2018-03-02,
2018-03-04,
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,
2018-03-17,
2018-03-19,
2018-03-22,
2018-03-24,0.60581183
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,
2018-04-06,
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,
2018-04-18,0.75002897
2018-04-21,0.75549275
2018-04-23,
2018-04-26,0.7635613
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,0.7633417
2018-05-08,0.75838155
2018-05-11,
2018-05-13,
2018-05-16,
2018-05-18,
2018-05-21,
2018-05-23,
2018-05-26,0.6564115
2018-05-28,
2018-05-31,
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,
2018-06-12,
2018-06-15,
2018-06-17,
2018-06-20,0.68216324
2018-06-22,
2018-06-25,
2018-06-27,0.61707044
2018-06-30,0.5470091
2018-07-02,0.5440251
2018-07-05,0.54872
2018-07-07,0.5522044
2018-07-10,
2018-07-12,0.4944598
2018-07-15,0.4910291
2018-07-17,0.4597134
2018-07-20,
2018-07-22,0.42260775
2018-07-25,0.38284457
2018-07-27,0.35402098
2018-07-30,
2018-08-01,
2018-08-04,0.31755683
2018-08-06,0.30215204
2018-08-09,
2018-08-11,
2018-08-14,
2018-08-16,
2018-08-19,0.4302311
2018-08-21,0.38889316
2018-08-24,
2018-08-26,0.5770011
2018-08-29,
2018-08-31,
2018-09-03,
2018-09-05,
2018-09-08,
2018-09-10,
2018-09-13,
2018-09-18,0.6478665
2018-09-20,
2018-09-23,
2018-09-25,
2018-09-28,
2018-09-30,0.7088368
2018-10-03,
2018-10-05,0.6855964
2018-10-08,
2018-10-10,0.6953511
2018-10-13,
2018-10-15,
2018-10-18,
2018-10-20,
2018-10-23,
2018-10-25,
2018-10-28,
2018-10-30,
2018-11-02,
2018-11-04,0.6727264
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,0.67783505
2018-11-17,0.6278058
2018-11-19,
2018-11-22,0.5761078
2018-11-24,
2018-11-27,
2018-11-29,
2018-12-02,
2018-12-04,0.5666609
2018-12-07,
2018-12-09,
2018-12-12,0.48832202
2018-12-14,
2018-12-17,
2018-12-19,
2018-12-22,
2018-12-24,
2018-12-27,
2018-12-29,
2019-01-01,
2019-01-03,
2019-01-06,
2019-01-08,
2019-01-11,
2019-01-13,
2019-01-16,
2019-01-18,
2019-01-21,0.5612393
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,
2019-02-10,
2019-02-12,
2019-02-15,0.5700385
2019-02-17,0.5492213
2019-02-20,0.5704873
2019-02-22,
2019-02-25,0.5461386
2019-02-27,0.5774529
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,0.6895895
2019-03-22,0.6789973
2019-03-24,
2019-03-27,0.37031582
2019-03-29,0.7388973
2019-04-01,0.7650319
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,0.824225
2019-04-13,0.89577216
2019-04-16,0.8539112
2019-04-18,0.81662726
2019-04-21,0.8115001
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,0.7841716
2019-05-03,
2019-05-06,0.68705416
2019-05-08,
2019-05-11,
2019-05-13,0.7758826
2019-05-16,
2019-05-18,
2019-05-23,
2019-05-26,
2019-05-28,
2019-05-31,
2019-06-02,0.70824397
2019-06-05,
2019-06-07,0.7476102
2019-06-12,
2019-06-15,
2019-06-17,0.74339277
2019-06-20,
2019-06-22,0.71180457
2019-06-25,
2019-06-27,0.61139214
2019-06-30,0.55872303
2019-07-02,
2019-07-05,0.51066715
