t,EVI2
2017-01-03,
2017-01-13,
2017-02-02,
2017-02-12,
2017-02-22,
2017-03-04,
2017-03-14,0.5430256
2017-03-19,
2017-03-24,
2017-03-29,
2017-04-03,0.47701746
2017-04-08,0.6449092
2017-04-13,
2017-04-18,0.26781908
2017-04-23,
2017-04-28,
2017-05-03,
2017-05-08,
2017-05-13,
2017-05-18,
2017-05-23,
2017-05-28,
2017-06-02,
2017-06-07,0.7409499
2017-06-12,
2017-06-17,
2017-06-22,
2017-06-27,
2017-07-02,
2017-07-07,0.58841944
2017-07-12,
2017-07-17,
2017-07-22,
2017-07-27,
2017-08-01,
2017-08-06,0.6964396
2017-08-11,
2017-08-16,
2017-08-21,
2017-08-26,
2017-08-31,
2017-09-05,0.73941916
2017-09-10,0.8156655
2017-09-15,0.2191245
2017-09-20,
2017-09-25,0.6355999
2017-09-30,
2017-10-05,
2017-10-10,
2017-10-15,0.7209242
2017-10-20,
2017-10-25,
2017-10-30,
2017-11-04,
2017-11-09,
2017-11-14,
2017-11-19,
2017-11-24,
2017-11-29,
2017-12-09,
2017-12-14,
2017-12-19,
2017-12-24,
2017-12-29,
2018-01-03,
2018-01-08,
2018-01-13,
2018-01-18,
2018-01-23,
2018-01-28,
2018-02-02,
2018-02-07,
2018-02-12,
2018-02-17,
2018-02-22,
2018-02-27,
2018-03-04,
2018-03-09,
2018-03-14,
2018-03-19,
2018-03-24,0.41194907
2018-03-29,
2018-04-03,
2018-04-08,
2018-04-13,
2018-04-18,0.6667038
2018-04-23,
2018-04-28,0.85802144
2018-05-03,
2018-05-08,0.70568657
2018-05-13,
2018-05-18,
2018-05-23,
2018-05-28,0.6320166
2018-06-02,
2018-06-07,
2018-06-12,
2018-06-17,
2018-06-22,
2018-06-27,0.5380239
2018-07-02,0.5884388
2018-07-07,0.6095284
2018-07-12,
2018-07-17,
2018-07-22,0.7426902
2018-07-27,0.49425322
2018-08-01,
2018-08-06,0.42925927
2018-08-11,0.37345713
2018-08-16,
2018-08-21,
2018-08-26,0.5417935
2018-08-31,0.45077303
2018-09-05,0.5225906
2018-09-10,
2018-09-20,
2018-09-25,
2018-09-30,0.59544075
2018-10-05,
2018-10-10,0.5172009
2018-10-15,0.5429854
2018-10-20,0.5614384
2018-10-25,
2018-10-30,
2018-11-04,
2018-11-09,
2018-11-14,0.5614062
2018-11-19,
2018-11-24,
2018-11-29,
2018-12-04,
2018-12-09,
2018-12-14,
2018-12-19,
2018-12-24,
2018-12-29,
2019-01-03,
2019-01-08,
2019-01-13,
2019-01-18,
2019-01-23,
2019-01-28,
2019-02-02,
2019-02-07,
2019-02-12,
2019-02-17,
2019-02-22,0.015863555
2019-02-27,0.47918645
2019-03-04,
2019-03-09,
2019-03-14,
2019-03-19,0.58346325
2019-03-24,
2019-03-29,0.5438882
2019-04-03,
2019-04-08,
2019-04-13,0.27371633
2019-04-18,0.69411826
2019-04-23,
2019-04-28,
2019-05-03,
2019-05-08,
2019-05-13,0.7560346
2019-05-18,
2019-05-23,
2019-05-28,
2019-06-02,0.71082413
2019-06-07,0.75635815
2019-06-12,
2019-06-17,
2019-06-22,
2019-06-27,0.63514173
2019-07-02,
2019-07-07,
2019-07-12,0.6017525
2019-07-17,0.6163041
2019-07-22,
2019-07-27,
2019-08-01,
2019-08-06,
2019-08-11,
2019-08-16,
2019-08-21,
2019-08-26,0.64081234
2019-08-31,
2019-09-05,
2019-09-10,0.6214069
2019-09-15,
2019-09-20,0.42447442
2019-09-25,
2019-09-30,
2019-10-05,
2019-10-10,
2019-10-15,
2019-10-20,
2019-10-25,
2019-10-30,
2019-11-04,
2019-11-09,
2019-11-14,
2019-11-19,
2019-11-24,0.5286994
2019-11-29,
2019-12-04,0.5529652
2019-12-09,
2019-12-14,
2019-12-19,0.5064841
2019-12-24,
2019-12-29,
2020-01-03,
2020-01-08,
2020-01-13,
2020-01-18,
2020-01-23,
2020-01-28,
2020-02-02,
2020-02-07,0.5047139
2020-02-12,
2020-02-17,
2020-02-22,
2020-02-27,
2020-03-03,
2020-03-08,
2020-03-13,
2020-03-18,
2020-03-23,
2020-03-28,0.4614495
2020-04-02,
2020-04-07,0.52278167
2020-04-12,0.61848515
2020-04-17,
2020-04-22,0.7057579
2020-04-27,
2020-05-02,
2020-05-07,0.7706907
2020-05-12,0.79182637
2020-05-17,0.7048003
2020-05-22,
2020-05-27,0.5466943
2020-06-01,0.5658595
2020-06-06,0.6180164
2020-06-11,
2020-06-16,
2020-06-21,
2020-06-26,0.50196385
2020-07-01,
2020-07-06,
2020-07-11,0.8837645
2020-07-16,
2020-07-21,0.7739753
2020-07-26,
2020-07-31,0.69404185
2020-08-05,0.55824715
2020-08-10,0.42313927
2020-08-15,
2020-08-20,0.5655408
2020-08-25,
2020-08-30,
2020-09-04,
2020-09-09,
2020-09-14,0.6018954
2020-09-19,0.55484074
2020-09-24,
2020-09-29,
2020-10-04,
2020-10-09,
2020-10-14,
2020-10-19,0.48634768
2020-10-24,
2020-10-29,
2020-11-03,
2020-11-08,
2020-11-13,
2020-11-18,0.55638164
2020-11-23,
2020-11-28,
2020-12-03,
2020-12-08,
2020-12-13,0.49591917
2020-12-18,0.45886156
2020-12-23,
2020-12-28,
2021-01-02,
2021-01-07,
2021-01-12,
2021-01-17,
2021-01-22,
2021-01-27,
2021-02-01,
2021-02-06,
2021-02-11,
2021-02-16,
2021-02-21,0.34578398
2021-02-26,
2021-03-03,
2021-03-08,
2021-03-13,
2021-03-18,
2021-03-23,
2021-03-28,0.4917
2021-04-02,
2021-04-07,
2021-04-12,0.54151523
2021-04-17,
2021-04-22,0.507072
2021-04-27,0.5575654
2021-05-02,
2021-05-07,
2021-05-12,
2021-05-17,
2021-05-22,
2021-05-27,
2021-06-01,0.55538744
2021-06-06,
2021-06-11,0.6405352
2021-06-16,
2021-06-21,
2021-06-26,
2021-07-01,
2021-07-06,
2021-07-11,
2021-07-16,
2021-07-21,0.45822293
2021-07-26,
2021-07-31,
2021-08-05,
2021-08-10,
2021-08-15,
2021-08-20,
2021-08-25,
2021-08-30,
2021-09-04,0.46428895
2021-09-09,
2021-09-14,
2021-09-19,0.80917174
2021-09-24,
2021-09-29,0.804838
2021-10-04,
2021-10-09,0.64482033
2021-10-14,
2021-10-19,
2021-10-24,0.6754534
2021-10-29,0.680925
2021-11-03,
2021-11-13,
2021-11-18,
