t,EVI2
2017-01-16,
2017-01-26,
2017-02-05,
2017-02-15,
2017-02-25,0.4576646
2017-03-07,
2017-03-17,0.50236505
2017-03-19,0.5488225
2017-03-27,0.5682473
2017-04-01,
2017-04-06,
2017-04-11,
2017-04-16,
2017-04-21,0.49815083
2017-04-26,
2017-05-01,
2017-05-06,0.47691345
2017-05-11,
2017-05-16,0.4628191
2017-05-21,
2017-05-26,0.43242285
2017-06-05,0.42575127
2017-06-10,0.43076533
2017-06-15,
2017-06-20,0.29050407
2017-06-25,0.18358406
2017-06-30,
2017-07-05,0.24476434
2017-07-10,
2017-07-15,0.24948004
2017-07-20,
2017-07-25,
2017-07-30,
2017-08-04,0.22096585
2017-08-09,
2017-08-14,0.21973856
2017-08-19,
2017-08-24,0.17811148
2017-08-29,
2017-09-03,
2017-09-08,
2017-09-13,
2017-09-18,
2017-09-23,0.2808592
2017-09-28,
2017-10-03,
2017-10-08,0.3897347
2017-10-13,0.35221973
2017-10-18,0.30980116
2017-10-23,
2017-10-28,
2017-11-02,
2017-11-07,0.30579033
2017-11-12,
2017-11-17,0.31378967
2017-11-22,0.30560654
2017-11-27,0.32814845
2017-12-02,
2017-12-07,
2017-12-12,
2017-12-17,
2017-12-22,
2017-12-27,
2018-01-01,
2018-01-06,
2018-01-11,
2018-01-16,
2018-01-21,
2018-01-26,
2018-01-31,
2018-02-05,
2018-02-10,0.39391598
2018-02-15,
2018-02-20,
2018-02-25,0.43096122
2018-03-02,
2018-03-07,
2018-03-12,
2018-03-17,
2018-03-22,
2018-03-27,
2018-04-01,0.50492835
2018-04-06,0.5121903
2018-04-11,
2018-04-16,
2018-04-21,0.50803673
2018-04-26,
2018-05-01,
2018-05-06,
2018-05-11,0.5794104
2018-05-16,
2018-05-21,0.54750043
2018-05-26,
2018-05-31,
2018-06-05,
2018-06-10,
2018-06-15,
2018-06-20,0.50350237
2018-06-25,0.48797923
2018-06-30,0.43845248
2018-07-05,0.51705086
2018-07-10,
2018-07-15,0.37661052
2018-07-20,
2018-07-25,0.3893675
2018-07-30,0.3508306
2018-08-04,0.29565725
2018-08-09,
2018-08-14,
2018-08-19,0.24272247
2018-08-24,
2018-08-29,0.22246933
2018-09-03,0.20098853
2018-09-08,0.19396839
2018-09-13,0.20983513
2018-09-18,
2018-09-23,0.17614609
2018-09-28,0.15904385
2018-10-03,0.16939259
2018-10-08,
2018-10-13,
2018-10-18,
2018-10-23,0.31362554
2018-10-28,
2018-11-02,
2018-11-07,
2018-11-12,0.5039343
2018-11-17,0.44365722
2018-11-22,
2018-11-27,0.46879372
2018-12-02,
2018-12-07,
2018-12-12,
2018-12-17,0.50102276
2018-12-22,
2018-12-27,0.5221521
2019-01-01,
2019-01-06,
2019-01-11,0.5059563
2019-01-16,0.5101596
2019-01-21,
2019-01-26,
2019-01-31,
2019-02-05,
2019-02-10,
2019-02-15,0.50645316
2019-02-20,0.5066581
2019-02-25,0.49422032
2019-03-02,
2019-03-07,
2019-03-12,
2019-03-17,
2019-03-22,0.49908978
2019-03-27,0.49529913
2019-04-01,
2019-04-06,
2019-04-11,
2019-04-16,
2019-04-21,
2019-04-26,
2019-05-01,0.53233564
2019-05-06,0.5258233
2019-05-11,0.5745216
2019-05-16,0.3905795
2019-05-26,
2019-05-31,0.43193734
2019-06-05,
2019-06-15,
2019-06-20,
2019-06-25,
2019-06-30,0.29760435
2019-07-05,0.26841396
2019-07-10,0.25670868
2019-07-15,0.23630707
2019-07-20,
2019-07-25,0.1821189
2019-07-30,
2019-08-04,0.15452175
2019-08-09,0.147846
2019-08-14,0.18220322
2019-08-19,
2019-08-24,0.24721284
2019-08-29,0.25061095
2019-09-03,
2019-09-08,
2019-09-13,0.21838905
2019-09-18,
2019-09-28,0.18435943
2019-10-03,
2019-10-08,0.17001422
2019-10-13,0.16530564
2019-10-18,
2019-10-23,
2019-10-28,
2019-11-02,
2019-11-07,
2019-11-12,
2019-11-17,
2019-11-22,
2019-11-27,0.4695622
2019-12-02,
2019-12-07,
2019-12-12,
2019-12-17,
2019-12-22,
2019-12-27,
2020-01-01,
2020-01-06,0.5504151
2020-01-11,0.567406
2020-01-16,0.5410351
2020-01-21,
2020-01-26,
2020-01-31,
2020-02-05,0.58236265
2020-02-10,
2020-02-15,0.58013517
2020-02-20,0.5912285
2020-02-25,
2020-03-01,
2020-03-06,
2020-03-11,0.44331655
2020-03-16,
2020-03-21,0.59254885
2020-03-26,
2020-03-31,
2020-04-05,0.61153656
2020-04-10,0.57117766
2020-04-15,0.5255296
2020-04-20,
2020-04-25,0.37099957
2020-04-30,
2020-05-05,0.540861
2020-05-10,
2020-05-15,
2020-05-20,0.5207198
2020-05-25,0.5236023
2020-05-30,0.48087958
2020-06-04,
2020-06-09,
2020-06-14,
2020-06-19,
2020-06-24,0.34040803
2020-06-29,
2020-07-04,
2020-07-09,0.22784133
2020-07-14,
2020-07-19,0.19266348
2020-07-24,0.1572622
2020-07-29,0.14724012
2020-08-03,
2020-08-08,0.13894607
2020-08-13,
2020-08-18,
2020-08-23,0.14170334
