t,EVI2
2017-01-07,0.01844598
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.14208663
2017-02-19,0.16361772
2017-02-26,0.1687721
2017-03-01,0.15355231
2017-03-08,0.17101876
2017-03-11,0.15676092
2017-03-18,
2017-03-21,0.1296966
2017-03-23,
2017-03-26,
2017-03-28,0.20549466
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,0.31340152
2017-04-10,0.35914007
2017-04-12,0.45548284
2017-04-15,
2017-04-17,0.52495414
2017-04-20,0.5477515
2017-04-22,0.60887086
2017-04-25,
2017-04-27,
2017-04-30,
2017-05-02,
2017-05-05,0.6457964
2017-05-07,
2017-05-10,
2017-05-12,
2017-05-15,
2017-05-17,0.69543445
2017-05-20,0.7058849
2017-05-22,
2017-05-25,
2017-05-27,0.72726196
2017-05-30,
2017-06-01,
2017-06-04,0.73164654
2017-06-06,0.77485937
2017-06-09,
2017-06-11,0.72763056
2017-06-14,
2017-06-16,
2017-06-19,
2017-06-21,0.713371
2017-06-24,
2017-06-26,
2017-06-29,
2017-07-01,0.7518176
2017-07-04,0.66419274
2017-07-06,0.73936325
2017-07-09,
2017-07-11,
2017-07-14,0.6786742
2017-07-16,0.70493966
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,0.7358567
2017-07-29,
2017-07-31,0.65230095
2017-08-03,0.5934672
2017-08-05,0.66229784
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,0.6122119
2017-08-18,0.5476151
2017-08-20,0.66447544
2017-08-23,0.57909936
2017-08-25,0.57305497
2017-08-28,
2017-08-30,0.5316369
2017-09-02,0.6083769
2017-09-04,
2017-09-07,0.5313929
2017-09-09,
2017-09-12,0.5289038
2017-09-14,
2017-09-17,
2017-09-19,0.60257405
2017-09-22,
2017-09-24,0.5097863
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,0.4396253
2017-10-09,
2017-10-12,0.29682034
2017-10-14,0.41152638
2017-10-17,0.35509643
2017-10-19,
2017-10-22,0.36383167
2017-10-24,
2017-10-27,0.26803666
2017-10-29,
2017-11-01,
2017-11-03,
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,0.23163606
2017-11-16,0.21369746
2017-11-18,0.20512636
2017-11-21,0.18369631
2017-11-23,
2017-11-26,0.1925581
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,-0.033473797
2017-12-16,
2017-12-18,
2017-12-21,-0.042740457
2017-12-23,
2017-12-26,
2017-12-28,0.02200285
2017-12-31,-0.059495617
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,0.1034746
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,0.15155992
2018-02-14,0.14257635
2018-02-16,
