t,FAPAR_mean
2017-01-03,
2017-01-13,
2017-01-16,
2017-01-26,
2017-02-02,
2017-02-05,
2017-02-12,
2017-02-15,0.17385285
2017-02-22,
2017-02-25,
2017-03-04,
2017-03-07,
2017-03-14,0.26358378
2017-03-17,
2017-03-19,
2017-03-24,
2017-03-27,0.3877051
2017-03-29,
2017-04-01,
2017-04-03,0.27124214
2017-04-06,
2017-04-08,
2017-04-11,0.56572
2017-04-13,
2017-04-16,
2017-04-18,
2017-04-21,
2017-04-23,
2017-04-26,0.74080974
2017-04-28,
2017-05-01,
2017-05-03,
2017-05-06,0.67636025
2017-05-08,
2017-05-11,0.6947618
2017-05-13,
2017-05-16,0.7113416
2017-05-18,
2017-05-21,
2017-05-23,
2017-05-26,0.77469903
2017-05-28,0.7820079
2017-06-02,
2017-06-05,
2017-06-07,
2017-06-10,
2017-06-12,
2017-06-15,
2017-06-17,
2017-06-20,0.76027346
2017-06-22,
2017-06-25,
2017-06-27,
2017-06-30,
2017-07-02,
2017-07-05,0.3689371
2017-07-07,0.257606
2017-07-10,
2017-07-12,
2017-07-15,
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,
2017-08-01,
2017-08-04,
2017-08-06,
2017-08-09,
2017-08-11,
2017-08-14,
2017-08-16,
2017-08-19,
2017-08-21,
2017-08-24,
2017-08-26,0.10047877
2017-08-29,0.09345351
2017-08-31,
2017-09-03,
2017-09-05,
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,
2017-09-18,
2017-09-20,
2017-09-23,0.068032965
2017-09-25,0.05647136
2017-09-28,
2017-09-30,
2017-10-03,
2017-10-05,
2017-10-08,
2017-10-10,
2017-10-13,
2017-10-15,0.5360714
2017-10-18,0.6544473
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,
2017-10-30,0.88278455
2017-11-02,
2017-11-04,
2017-11-07,0.90868294
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,
2017-11-19,
2017-11-22,0.9045473
2017-11-24,0.8773383
2017-11-27,
2017-11-29,
2017-12-02,
2017-12-07,
2017-12-09,
2017-12-12,
2017-12-14,
2017-12-17,
2017-12-19,
2017-12-22,
2017-12-24,
2017-12-27,
2017-12-29,
2018-01-01,
2018-01-03,
2018-01-06,
2018-01-08,
2018-01-11,
2018-01-13,
2018-01-16,
2018-01-18,0.090316996
2018-01-21,
2018-01-23,
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,
2018-02-07,
2018-02-10,
2018-02-12,0.09699014
2018-02-15,
2018-02-17,0.06617231
2018-02-20,
2018-02-22,0.080653
2018-02-25,0.036791522
2018-02-27,
2018-03-02,
2018-03-04,
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,0.039459836
2018-03-17,
2018-03-19,
2018-03-22,
2018-03-24,0.052833945
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,
2018-04-06,
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,
2018-04-18,0.1288529
2018-04-21,0.12392386
2018-04-23,0.06749005
2018-04-26,0.0015755913
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,0.060594704
2018-05-08,0.07979699
2018-05-11,
2018-05-13,
2018-05-16,
2018-05-18,0.066386074
2018-05-21,0.064243704
2018-05-23,
2018-05-26,0.12462481
2018-05-28,0.19394274
2018-05-31,
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,
2018-06-12,
2018-06-15,0.9489633
2018-06-17,
2018-06-20,0.9359118
2018-06-22,0.94308156
2018-06-25,
2018-06-27,0.93055785
2018-06-30,0.9191475
2018-07-02,0.91164
2018-07-05,
2018-07-07,
2018-07-10,
2018-07-12,0.88317674
2018-07-15,0.80700743
2018-07-17,
2018-07-20,
2018-07-22,0.5606997
2018-07-25,0.26468122
2018-07-27,0.17763373
2018-07-30,
2018-08-01,
2018-08-04,0.14966914
2018-08-06,0.13179864
2018-08-09,
2018-08-11,
2018-08-14,
2018-08-16,
2018-08-19,0.08498061
2018-08-21,
2018-08-24,0.16050908
2018-08-26,
2018-08-29,
2018-08-31,
2018-09-03,
2018-09-05,
2018-09-08,0.06032056
2018-09-10,
2018-09-13,
2018-09-18,0.062421963
2018-09-20,0.08115726
2018-09-23,
2018-09-25,
2018-09-28,
2018-09-30,0.0619893
2018-10-03,
2018-10-05,0.05917645
2018-10-08,0.10642098
2018-10-10,0.063608274
2018-10-13,0.06381214
2018-10-15,
2018-10-18,
2018-10-20,
2018-10-23,
2018-10-25,
2018-10-28,
2018-10-30,
2018-11-02,0.31578085
2018-11-04,
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,
2018-11-17,0.47611633
2018-11-19,
2018-11-22,0.3576279
2018-11-24,
2018-11-27,
2018-11-29,
2018-12-02,
2018-12-04,0.56555486
2018-12-07,
2018-12-09,
2018-12-12,0.6133377
2018-12-14,
2018-12-17,
2018-12-19,
2018-12-22,0.4696179
2018-12-24,
2018-12-27,
2018-12-29,
2019-01-01,
2019-01-03,
2019-01-06,
2019-01-08,
2019-01-11,
2019-01-13,
2019-01-16,
2019-01-18,
2019-01-21,0.6642385
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,0.6732483
2019-02-10,
2019-02-12,
2019-02-15,0.6810478
2019-02-17,0.6183035
2019-02-20,
2019-02-22,
2019-02-25,0.68147296
2019-02-27,0.69968605
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,0.73865503
2019-03-22,0.7212424
2019-03-24,
2019-03-27,
2019-03-29,0.7560999
2019-04-01,0.71686065
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,0.7788242
2019-04-13,
2019-04-16,0.75731254
2019-04-18,0.78870606
2019-04-21,0.7933959
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,
2019-05-03,
2019-05-06,
2019-05-08,
2019-05-11,
2019-05-13,0.84309953
2019-05-16,
2019-05-18,
2019-05-23,0.8672578
2019-05-26,
2019-05-28,0.83369935
2019-05-31,
2019-06-02,0.85403377
2019-06-05,
2019-06-07,
2019-06-12,
2019-06-15,0.83656305
2019-06-17,0.84094524
2019-06-20,
2019-06-22,0.74127644
2019-06-25,
2019-06-27,0.6645361
2019-06-30,
