t,FAPAR_mean
2017-01-03,
2017-01-13,
2017-02-02,
2017-02-12,
2017-02-22,
2017-03-04,
2017-03-14,0.44840926
2017-03-19,
2017-03-24,
2017-03-29,
2017-04-03,
2017-04-08,0.42332327
2017-04-13,
2017-04-18,
2017-04-23,
2017-04-28,
2017-05-03,
2017-05-08,
2017-05-13,
2017-05-18,
2017-05-23,0.47688404
2017-05-28,0.5149509
2017-06-02,
2017-06-07,
2017-06-12,
2017-06-17,
2017-06-22,0.52614737
2017-06-27,
2017-07-02,
2017-07-07,0.5048293
2017-07-12,
2017-07-17,
2017-07-22,
2017-07-27,
2017-08-01,
2017-08-06,
2017-08-11,
2017-08-16,
2017-08-21,
2017-08-26,
2017-08-31,
2017-09-05,
2017-09-10,
2017-09-15,
2017-09-20,0.53775746
2017-09-25,
2017-09-30,
2017-10-05,
2017-10-10,
2017-10-15,0.54521215
2017-10-20,
2017-10-25,
2017-10-30,
2017-11-04,
2017-11-09,
2017-11-14,
2017-11-19,
2017-11-24,
2017-11-29,
2017-12-09,
2017-12-14,
2017-12-19,
2017-12-24,
2017-12-29,
2018-01-03,
2018-01-08,
2018-01-13,
2018-01-18,
2018-01-23,
2018-01-28,
2018-02-02,
2018-02-07,
2018-02-12,
2018-02-17,
2018-02-22,
2018-02-27,
2018-03-04,
2018-03-09,
2018-03-14,
2018-03-19,
2018-03-24,
2018-03-29,
2018-04-03,
2018-04-08,
2018-04-13,
2018-04-18,0.44422254
2018-04-23,
2018-04-28,
2018-05-03,
2018-05-08,0.4717682
2018-05-13,
2018-05-18,0.5492699
2018-05-23,
2018-05-28,0.53236187
2018-06-02,
2018-06-07,
2018-06-12,
2018-06-17,
2018-06-22,
2018-06-27,0.5562204
2018-07-02,0.5593109
2018-07-07,0.5335558
2018-07-12,0.5643561
2018-07-17,
2018-07-22,0.49104118
2018-07-27,
2018-08-01,
2018-08-06,0.5274893
2018-08-11,
2018-08-16,
2018-08-21,
2018-08-26,
2018-08-31,
2018-09-05,
2018-09-10,
2018-09-20,0.44105422
2018-09-25,
2018-09-30,0.54138243
2018-10-05,0.5563681
2018-10-10,0.52878237
2018-10-15,0.50966173
2018-10-20,0.53591204
2018-10-25,
2018-10-30,
2018-11-04,
2018-11-09,
2018-11-14,0.5245835
2018-11-19,
2018-11-24,
2018-11-29,
2018-12-04,
2018-12-09,
2018-12-14,
2018-12-19,
2018-12-24,
2018-12-29,
2019-01-03,
2019-01-08,
2019-01-13,
2019-01-18,
2019-01-23,
2019-01-28,
2019-02-02,
2019-02-07,
2019-02-12,
2019-02-17,0.51860714
2019-02-22,
2019-02-27,0.5087823
2019-03-04,
2019-03-09,
2019-03-14,
2019-03-19,
2019-03-24,
2019-03-29,0.48232496
2019-04-03,
2019-04-08,
2019-04-13,
2019-04-18,0.45690256
2019-04-23,
2019-04-28,
2019-05-03,
2019-05-08,
2019-05-13,
2019-05-18,
2019-05-23,
2019-05-28,
2019-06-02,0.52046376
2019-06-07,0.56488633
2019-06-12,
2019-06-17,
2019-06-22,
2019-06-27,0.56421953
2019-07-02,
2019-07-07,
2019-07-12,
2019-07-17,0.56315804
2019-07-22,
2019-07-27,
2019-08-01,
2019-08-06,
2019-08-11,
2019-08-16,
2019-08-21,
2019-08-26,0.4961743
2019-08-31,0.5690304
2019-09-05,
2019-09-10,
2019-09-15,
2019-09-20,
2019-09-25,
2019-09-30,
2019-10-05,
2019-10-10,
2019-10-15,
2019-10-20,
2019-10-25,
2019-10-30,
2019-11-04,
2019-11-09,
2019-11-14,
2019-11-19,
2019-11-24,0.6246049
2019-11-29,
2019-12-04,0.6019631
2019-12-09,
2019-12-14,
2019-12-19,0.5627574
2019-12-24,
2019-12-29,
2020-01-03,
2020-01-08,
2020-01-13,
2020-01-18,
2020-01-23,
2020-01-28,
2020-02-02,
2020-02-07,
2020-02-12,
2020-02-17,
2020-02-22,
2020-02-27,
2020-03-03,
2020-03-08,
2020-03-13,
2020-03-18,
2020-03-23,
2020-03-28,0.5223262
2020-04-02,
2020-04-07,0.4908176
2020-04-12,
2020-04-17,
2020-04-22,0.5119589
2020-04-27,0.3810657
2020-05-02,
2020-05-07,0.49019015
2020-05-12,
2020-05-17,
2020-05-22,
2020-05-27,0.52363086
2020-06-01,0.53966975
2020-06-06,
2020-06-11,
2020-06-16,
2020-06-21,
2020-06-26,0.534668
2020-07-01,
2020-07-06,
2020-07-11,
2020-07-16,
2020-07-21,0.5588915
2020-07-26,
2020-07-31,0.5315281
2020-08-05,0.53186226
2020-08-10,
2020-08-15,
2020-08-20,0.53039116
2020-08-25,
2020-08-30,
2020-09-04,
2020-09-09,
2020-09-14,0.5389691
2020-09-19,0.5225958
2020-09-24,
2020-09-29,
2020-10-04,
2020-10-09,
2020-10-14,
2020-10-19,
2020-10-24,
2020-10-29,
2020-11-03,
2020-11-08,
2020-11-13,
2020-11-18,0.5748616
2020-11-23,
2020-11-28,0.34494665
2020-12-03,
2020-12-08,
2020-12-13,
2020-12-18,0.5111697
2020-12-23,
2020-12-28,
2021-01-02,
2021-01-07,
2021-01-12,
2021-01-17,
2021-01-22,
2021-01-27,
2021-02-01,
2021-02-06,
2021-02-11,
2021-02-16,
2021-02-21,0.50811744
2021-02-26,
2021-03-03,0.5279961
2021-03-08,
2021-03-13,
2021-03-18,
2021-03-23,
2021-03-28,
2021-04-02,
2021-04-07,
2021-04-12,
2021-04-17,
2021-04-22,0.4463283
2021-04-27,0.4518147
2021-05-02,
2021-05-07,
2021-05-12,
2021-05-17,
2021-05-22,
2021-05-27,
2021-06-01,0.48611075
2021-06-06,
2021-06-11,
2021-06-16,
2021-06-21,
2021-06-26,
2021-07-01,
2021-07-06,0.5752902
2021-07-11,
2021-07-16,
2021-07-21,
2021-07-26,
2021-07-31,
2021-08-05,
2021-08-10,
2021-08-15,
2021-08-20,
2021-08-25,
2021-08-30,
2021-09-04,0.5132633
2021-09-09,0.47154355
2021-09-14,
2021-09-19,
2021-09-24,
2021-09-29,
2021-10-04,
2021-10-09,0.5395053
2021-10-14,
2021-10-19,
2021-10-24,0.5827936
2021-10-29,0.5428125
2021-11-03,
2021-11-13,
2021-11-18,
2021-11-23,
2021-11-28,
2021-12-03,
2021-12-08,
2021-12-18,0.43679726
2021-12-23,
2022-01-02,
2022-01-07,
2022-01-12,
2022-01-17,
2022-01-22,
2022-01-27,
