t,FAPAR_mean
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.2690616
2017-02-19,0.29051027
2017-02-26,0.27733546
2017-03-01,0.27736777
2017-03-08,0.2768798
2017-03-11,0.2655917
2017-03-18,
2017-03-21,0.17465907
2017-03-23,
2017-03-26,
2017-03-28,0.30090356
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,0.4784829
2017-04-10,0.55187047
2017-04-12,0.6444131
2017-04-15,
2017-04-17,0.7085063
2017-04-20,0.7461901
2017-04-22,0.7976899
2017-04-25,
2017-04-27,
2017-04-30,
2017-05-02,
2017-05-05,0.83648616
2017-05-07,
2017-05-10,
2017-05-12,
2017-05-15,
2017-05-17,0.8686502
2017-05-20,0.8806669
2017-05-22,
2017-05-25,
2017-05-27,0.885094
2017-05-30,
2017-06-01,
2017-06-04,0.90368235
2017-06-06,0.9131559
2017-06-09,
2017-06-11,0.888661
2017-06-14,
2017-06-16,
2017-06-19,
2017-06-21,0.8837906
2017-06-24,
2017-06-26,
2017-06-29,
2017-07-01,0.9067277
2017-07-04,0.8606823
2017-07-06,0.8856089
2017-07-09,
2017-07-11,
2017-07-14,0.8758924
2017-07-16,0.87854177
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,0.83622223
2017-08-03,0.79676926
2017-08-05,0.86245716
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,0.84395206
2017-08-18,0.77013266
2017-08-20,0.8734193
2017-08-23,0.8234867
2017-08-25,0.80257785
2017-08-28,
2017-08-30,0.726982
2017-09-02,0.8429792
2017-09-04,
2017-09-07,0.7876445
2017-09-09,
2017-09-12,0.79700255
2017-09-14,
2017-09-17,
2017-09-19,0.8523914
2017-09-22,
2017-09-24,0.7404611
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,0.7340535
2017-10-09,
2017-10-12,0.563656
2017-10-14,0.656985
2017-10-17,0.58540183
2017-10-19,
2017-10-22,0.62393975
2017-10-24,
2017-10-27,0.34677243
2017-10-29,
2017-11-01,
2017-11-03,
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,0.36677942
2017-11-16,0.42309117
2017-11-18,0.36063597
2017-11-21,0.36062056
2017-11-23,
2017-11-26,0.37330288
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-16,
2017-12-18,
2017-12-21,0.012224361
2017-12-23,
2017-12-26,
2017-12-28,0.054164086
2017-12-31,0.0045659104
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,0.20957913
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,0.23487407
2018-02-14,0.2392785
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,0.23633806
2018-03-16,0.23069444
2018-03-18,
2018-03-21,
2018-03-23,0.24946001
2018-03-26,0.20387056
2018-03-28,
2018-03-31,
2018-04-02,
2018-04-05,0.26048768
2018-04-07,
2018-04-10,
2018-04-12,
2018-04-15,
2018-04-17,
2018-04-20,0.31083223
2018-04-22,0.3956437
2018-04-25,0.5739163
2018-04-27,0.3362182
2018-04-30,
2018-05-02,
2018-05-05,
2018-05-07,0.8343765
2018-05-10,
2018-05-12,
2018-05-15,0.8201888
2018-05-17,0.8981737
2018-05-20,
2018-05-22,
2018-05-25,0.84580296
2018-05-30,
2018-06-01,0.87911445
2018-06-04,
2018-06-06,
2018-06-09,0.8535469
2018-06-11,
2018-06-14,0.8534803
2018-06-16,
2018-06-19,0.84347665
2018-06-21,0.87413824
2018-06-24,
2018-06-26,0.8683593
2018-06-29,0.84279734
2018-07-01,0.84948295
2018-07-04,0.85756224
2018-07-06,0.9154324
2018-07-09,0.64750326
2018-07-11,0.85846126
2018-07-14,0.81757975
2018-07-16,
2018-07-19,0.83469325
2018-07-21,0.8553952
2018-07-24,0.8495804
2018-07-26,0.85100687
2018-07-29,0.8133631
2018-07-31,0.8274265
2018-08-03,0.81005734
2018-08-05,
2018-08-08,0.8124417
2018-08-10,0.8376853
2018-08-13,
2018-08-15,
2018-08-18,
2018-08-20,
2018-08-23,0.79134935
2018-08-25,
2018-08-28,0.7965495
2018-08-30,0.80104697
2018-09-02,
2018-09-04,0.84274006
2018-09-07,0.75273037
2018-09-09,
2018-09-12,0.72857755
2018-09-14,
2018-09-17,
2018-09-19,0.79941183
2018-09-22,0.71141803
2018-09-24,
2018-09-27,0.78306407
2018-09-29,0.7402011
2018-10-02,0.75866324
2018-10-04,0.721353
2018-10-07,
2018-10-09,0.71228474
2018-10-12,
2018-10-17,
2018-10-19,
2018-10-22,
2018-10-24,0.7467657
2018-10-27,
2018-10-29,
2018-11-01,0.7169635
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,0.26292273
2018-12-06,0.23323083
2018-12-08,0.1999235
2018-12-11,0.15791984
2018-12-13,
2018-12-16,
2018-12-18,0.01736678
2018-12-21,
2018-12-23,0.23841189
2018-12-26,
2018-12-28,
2018-12-31,0.1673057
2019-01-02,0.10361125
2019-01-05,0.27152234
2019-01-07,0.19302864
2019-01-10,0.24623556
2019-01-12,0.2198092
2019-01-15,0.28758505
2019-01-17,
2019-01-20,0.28531653
2019-01-22,0.2679801
2019-01-25,0.24362703
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,
2019-02-16,0.30883816
2019-02-19,0.20741795
2019-02-21,0.3688856
2019-02-24,0.25936878
2019-02-26,
2019-03-01,
2019-03-03,0.2679989
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,0.29184324
2019-03-16,
2019-03-18,0.3485529
2019-03-21,0.28054672
2019-03-23,0.29433525
2019-03-26,0.2956794
2019-03-28,0.30618733
2019-03-31,0.2735263
2019-04-02,
2019-04-05,0.33620372
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,0.6556064
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,0.754091
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,0.732654
2019-05-25,
2019-05-27,
2019-05-30,0.8726214
2019-06-01,0.87138456
2019-06-04,0.85132843
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,0.82902044
2019-06-16,0.8925884
2019-06-19,0.8474343
2019-06-21,
2019-06-24,0.8521156
2019-06-26,
2019-06-29,0.6706639
2019-07-01,0.874588
2019-07-04,0.8572561
2019-07-06,0.86656076
2019-07-09,0.8938045
2019-07-11,
2019-07-14,0.85950017
2019-07-16,0.8847909
2019-07-19,0.8199198
2019-07-21,
2019-07-24,0.7998659
2019-07-26,0.8605672
2019-07-29,0.8653394
2019-07-31,0.82987267
2019-08-03,0.8620683
2019-08-05,0.7249125
2019-08-08,0.8482776
2019-08-10,0.77784973
2019-08-13,
2019-08-15,0.83235884
2019-08-18,0.7848081
2019-08-20,
2019-08-23,
2019-08-25,0.8250039
2019-08-28,
2019-08-30,0.8382454
2019-09-02,0.7947169
2019-09-04,0.41474962
2019-09-07,
2019-09-09,0.83553064
2019-09-12,0.80420756
2019-09-14,0.7865535
2019-09-17,0.77369845
2019-09-19,
2019-09-22,
2019-09-24,
2019-09-27,0.6787333
2019-09-29,0.79851884
2019-10-02,0.8053185
2019-10-04,0.75576895
2019-10-07,0.7881707
2019-10-09,
2019-10-12,
2019-10-14,
2019-10-17,0.6474876
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,0.6032365
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,0.4312263
2019-11-08,0.45061225
2019-11-11,
2019-11-13,0.4656728
2019-11-16,
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,0.263084
2019-12-01,
2019-12-03,
2019-12-06,0.29816657
2019-12-08,0.2906115
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,0.08748445
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.114048935
2020-01-05,0.22055385
2020-01-07,0.11740937
2020-01-10,
2020-01-12,0.274216
2020-01-15,0.35436544
2020-01-17,
2020-01-20,
2020-01-22,
2020-01-25,0.213311
2020-01-27,
2020-01-30,0.2205932
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,0.25275567
2020-02-11,
2020-02-14,0.296732
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,0.30887362
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,0.28510198
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,0.23777057
2020-03-20,
2020-03-22,
2020-03-25,
2020-03-27,
2020-03-30,
2020-04-01,
2020-04-04,0.2590194
2020-04-06,0.2931031
2020-04-09,0.33775467
2020-04-11,0.37744415
2020-04-14,0.46275768
2020-04-16,
2020-04-19,
2020-04-21,
2020-04-24,0.6409484
2020-04-26,
2020-04-29,0.7173245
2020-05-01,
2020-05-04,0.80409974
2020-05-06,0.83498454
2020-05-09,0.8043751
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,
2020-05-21,0.8717604
2020-05-24,
2020-05-26,0.9045416
2020-05-29,
2020-05-31,0.6085584
2020-06-03,0.8881195
2020-06-05,0.933798
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,0.90439993
2020-06-18,
2020-06-20,0.8878923
2020-06-23,0.86926174
2020-06-25,0.8539189
2020-06-28,
2020-06-30,0.87274987
2020-07-03,
2020-07-05,0.885078
2020-07-08,0.87509227
2020-07-10,0.87113404
2020-07-13,
2020-07-15,
2020-07-18,
2020-07-20,0.8669554
2020-07-23,0.85520643
2020-07-25,0.8833061
2020-07-28,0.8339867
2020-07-30,0.8302824
2020-08-02,
2020-08-04,0.88445693
2020-08-07,0.82333076
2020-08-09,0.83677113
2020-08-12,0.7597925
2020-08-14,0.8727895
2020-08-17,0.82842696
2020-08-19,0.84516954
2020-08-22,0.83745545
2020-08-24,0.8826466
2020-08-27,0.8198372
2020-08-29,
2020-09-01,0.8242342
2020-09-03,
2020-09-06,0.7884888
2020-09-08,0.81285286
2020-09-11,
2020-09-13,0.7786042
2020-09-16,0.7584788
2020-09-18,0.7843717
2020-09-21,
2020-09-23,0.80291903
2020-09-26,0.7890769
2020-09-28,0.78896123
2020-10-01,
2020-10-03,
2020-10-06,
2020-10-08,0.7669102
2020-10-11,0.78216475
2020-10-13,0.77675474
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,0.6085025
2020-10-31,0.5253724
2020-11-02,0.40242994
2020-11-05,0.4664756
2020-11-07,0.35836628
2020-11-10,0.41152683
2020-11-12,
2020-11-15,0.32970747
2020-11-17,0.3697822
2020-11-20,0.37889692
2020-11-22,0.3456979
2020-11-25,0.30467963
2020-11-27,0.4220106
2020-11-30,0.3282487
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,0.09856348
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,0.2676969
2021-01-16,0.24432668
2021-01-19,0.23450008
2021-01-21,
2021-01-24,0.26237157
2021-01-26,
2021-01-29,
2021-01-31,0.3078095
2021-02-03,
2021-02-05,
2021-02-08,0.28126988
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.24054046
2021-02-25,0.22918637
2021-02-28,0.27324238
2021-03-02,0.2555514
2021-03-05,0.2949154
2021-03-07,
2021-03-10,0.31345144
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,0.28295618
2021-03-22,
2021-03-25,
2021-03-27,0.28991762
2021-03-30,0.29365382
2021-04-01,0.30905113
2021-04-04,
2021-04-06,
2021-04-09,0.3867795
2021-04-11,
2021-04-14,0.44373184
