t,FAPAR_mean
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.4654686
2017-02-19,0.46576297
2017-02-26,0.48290062
2017-03-01,0.50887513
2017-03-08,0.59838
2017-03-11,0.60779387
2017-03-18,
2017-03-21,0.4169333
2017-03-23,
2017-03-26,
2017-03-28,
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,0.8810101
2017-04-10,0.8909277
2017-04-12,0.9263029
2017-04-15,
2017-04-17,0.9274214
2017-04-20,0.912159
2017-04-22,0.91604954
2017-04-25,
2017-04-27,
2017-04-30,
2017-05-02,
2017-05-05,0.72481203
2017-05-07,
2017-05-10,
2017-05-12,
2017-05-15,
2017-05-17,0.5075322
2017-05-20,0.6418878
2017-05-22,
2017-05-25,
2017-05-27,0.6790586
2017-05-30,
2017-06-01,
2017-06-04,0.76206666
2017-06-06,0.80503756
2017-06-09,
2017-06-11,0.7717429
2017-06-14,
2017-06-16,
2017-06-19,
2017-06-21,0.7082167
2017-06-24,0.6524899
2017-06-26,
2017-06-29,
2017-07-01,0.7316673
2017-07-04,0.67233604
2017-07-06,
2017-07-09,
2017-07-11,
2017-07-14,0.6593603
2017-07-16,0.61514544
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,0.32816094
2017-08-03,
2017-08-05,0.31828174
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,0.27853334
2017-08-18,0.3055944
2017-08-20,0.261614
2017-08-23,0.2814821
2017-08-25,0.24104096
2017-08-28,
2017-08-30,0.21575688
2017-09-02,0.35121244
2017-09-04,
2017-09-07,0.44767144
2017-09-09,
2017-09-12,0.5754907
2017-09-14,
2017-09-17,
2017-09-19,0.6287893
2017-09-22,
2017-09-24,0.60435057
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,0.6380966
2017-10-09,
2017-10-12,0.22215854
2017-10-14,0.57872015
2017-10-17,0.56368834
2017-10-19,
2017-10-22,0.5809005
2017-10-24,
2017-10-27,0.40593293
2017-10-29,
2017-11-01,
2017-11-03,
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,0.48771122
2017-11-16,0.53487355
2017-11-18,
2017-11-21,0.50375116
2017-11-23,
2017-11-26,0.5087751
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-16,
2017-12-18,
2017-12-21,
2017-12-23,
2017-12-26,
2017-12-28,
2017-12-31,
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,0.23272477
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,0.20470868
2018-02-14,0.2211983
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,0.260657
2018-03-16,0.28976443
2018-03-18,
2018-03-21,
2018-03-23,0.29662403
2018-03-26,0.27983
2018-03-28,
2018-03-31,
2018-04-02,0.322095
2018-04-05,0.4303793
2018-04-07,
2018-04-10,
2018-04-12,
2018-04-15,
2018-04-17,0.5432706
2018-04-20,0.66758895
2018-04-22,0.6799427
2018-04-25,0.6890134
2018-04-27,0.59473723
2018-04-30,
2018-05-02,
2018-05-05,
2018-05-07,0.933797
2018-05-10,
2018-05-12,
2018-05-15,0.81114525
2018-05-17,0.89015466
2018-05-20,
2018-05-22,
2018-05-25,0.681768
2018-05-30,
2018-06-01,0.58322614
2018-06-04,
2018-06-06,
2018-06-09,
2018-06-11,
2018-06-14,0.88393074
2018-06-16,
2018-06-19,0.9161222
2018-06-21,0.92810136
2018-06-24,
2018-06-26,0.9326378
2018-06-29,0.9186434
2018-07-01,0.91297126
2018-07-04,0.91778016
2018-07-06,0.9520829
2018-07-09,0.5115602
2018-07-11,0.88734114
2018-07-14,0.8392206
2018-07-16,
2018-07-19,0.8147476
2018-07-21,0.80169755
2018-07-24,0.75211316
2018-07-26,0.7298746
2018-07-29,0.67710423
2018-07-31,0.600267
2018-08-03,0.5914883
2018-08-05,
2018-08-08,0.55907583
2018-08-10,0.5751911
2018-08-13,
2018-08-15,
2018-08-18,
2018-08-20,
2018-08-23,0.36210912
2018-08-25,
2018-08-28,0.31466973
2018-08-30,0.27894008
2018-09-02,
2018-09-04,0.2504054
2018-09-07,
2018-09-09,
2018-09-12,0.3139539
2018-09-14,
2018-09-17,
2018-09-19,0.3070992
2018-09-22,0.30337882
2018-09-24,
2018-09-27,0.31709066
2018-09-29,0.30183676
2018-10-02,0.3511288
2018-10-04,0.35079375
2018-10-07,
2018-10-09,0.37851384
2018-10-12,
2018-10-17,
2018-10-19,
2018-10-22,
2018-10-24,0.83256286
2018-10-27,
2018-10-29,
2018-11-01,0.70317084
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,0.84976447
2018-12-06,0.81374604
2018-12-08,0.8672174
2018-12-11,0.86849445
2018-12-13,
2018-12-16,
2018-12-18,
2018-12-21,
2018-12-23,0.814553
2018-12-26,
2018-12-28,
2018-12-31,0.8386951
2019-01-02,
2019-01-05,0.83454347
2019-01-07,0.82557505
2019-01-10,0.8392718
2019-01-12,0.796266
2019-01-15,
2019-01-17,
2019-01-20,0.70854515
2019-01-22,0.83143026
2019-01-25,0.71233016
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,
2019-02-16,
2019-02-19,0.74249995
2019-02-21,0.6770261
2019-02-24,0.634931
2019-02-26,
2019-03-01,
2019-03-03,0.6897309
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,0.80464995
2019-03-16,
2019-03-18,
2019-03-21,0.8030527
2019-03-23,
2019-03-26,0.8407003
2019-03-28,0.8332519
2019-03-31,0.76755565
2019-04-02,
2019-04-05,0.83463424
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,0.6164249
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,0.6977862
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,0.7442024
2019-05-25,
2019-05-27,
2019-05-30,0.67568135
2019-06-01,0.5800405
2019-06-04,0.4949959
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,0.50682396
2019-06-16,0.6113621
2019-06-19,0.6580822
2019-06-21,
2019-06-24,0.7488529
2019-06-26,
2019-06-29,0.75268275
2019-07-01,0.85405904
2019-07-04,0.88391817
2019-07-06,0.8822483
2019-07-09,0.9040972
2019-07-11,
2019-07-14,0.8785881
2019-07-16,0.89786714
2019-07-19,0.8664418
2019-07-21,0.77603465
2019-07-24,0.82573223
2019-07-26,0.8416475
2019-07-29,0.87321097
2019-07-31,0.8078941
2019-08-03,0.84475034
2019-08-05,0.7871985
2019-08-08,0.78303075
2019-08-10,
2019-08-13,
2019-08-15,0.7076601
2019-08-18,
2019-08-20,
2019-08-23,
2019-08-25,0.6399772
2019-08-28,
2019-08-30,0.62137425
2019-09-02,0.624748
2019-09-04,0.5090799
2019-09-07,
2019-09-09,0.6255265
2019-09-12,0.5977407
2019-09-14,0.5733787
2019-09-17,0.52179646
2019-09-19,
2019-09-22,
2019-09-24,
2019-09-27,0.4932106
2019-09-29,0.5781384
2019-10-02,0.5480472
2019-10-04,0.48032063
2019-10-07,0.5418547
2019-10-09,
2019-10-12,
2019-10-14,
2019-10-17,0.43905786
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,0.55084324
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,0.4805335
2019-11-08,0.5328395
2019-11-11,
2019-11-13,0.5071077
2019-11-16,
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,0.41346824
2019-12-01,
2019-12-03,
2019-12-06,0.42301732
2019-12-08,0.41747308
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,0.42641827
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,0.3772939
2020-01-05,0.40379038
2020-01-07,0.5013489
2020-01-10,
2020-01-12,
2020-01-15,0.29492113
2020-01-17,
2020-01-20,
2020-01-22,
2020-01-25,0.22972353
2020-01-27,
2020-01-30,0.23586012
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,0.312757
2020-02-11,
2020-02-14,0.34903207
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,0.40514347
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,0.3740968
2020-03-10,
2020-03-12,
2020-03-15,
2020-03-17,0.5766073
2020-03-20,
2020-03-22,
2020-03-25,
2020-03-27,
2020-03-30,
2020-04-01,
2020-04-04,0.6454565
2020-04-06,0.705421
2020-04-09,0.752338
2020-04-11,0.7726326
2020-04-14,0.7711992
2020-04-16,
2020-04-19,
2020-04-21,
2020-04-24,0.78632474
2020-04-26,
2020-04-29,0.8364076
2020-05-01,
2020-05-04,0.85548455
2020-05-06,
2020-05-09,0.8668805
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,
2020-05-21,0.86903536
2020-05-24,
2020-05-26,0.8921293
2020-05-29,
2020-05-31,
2020-06-03,0.8374556
2020-06-05,0.9067047
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,0.78561574
2020-06-18,
2020-06-20,0.7349565
2020-06-23,0.5082252
2020-06-25,0.55052495
2020-06-28,
2020-06-30,0.49748337
2020-07-03,
2020-07-05,0.60566866
2020-07-08,0.6913367
2020-07-10,0.6527206
2020-07-13,
2020-07-15,
2020-07-18,
2020-07-20,0.5637683
2020-07-23,0.5223429
2020-07-25,
2020-07-28,0.40805444
2020-07-30,0.35950142
2020-08-02,
2020-08-04,0.40088758
2020-08-07,0.3646285
2020-08-09,0.3091149
2020-08-12,0.29813763
2020-08-14,0.3825221
2020-08-17,0.41579112
2020-08-19,0.44993964
2020-08-22,0.51834434
2020-08-24,0.54427755
2020-08-27,0.5076055
2020-08-29,
2020-09-01,0.61898893
2020-09-03,
2020-09-06,0.52752376
2020-09-08,0.50473493
2020-09-11,
2020-09-13,0.47408044
2020-09-16,0.47766447
2020-09-18,0.4597406
2020-09-21,
2020-09-23,0.6272605
2020-09-26,0.77182615
2020-09-28,0.7701071
2020-10-01,
2020-10-03,
2020-10-06,
2020-10-08,0.87133485
2020-10-11,0.90320545
2020-10-13,0.90527767
2020-10-16,
2020-10-18,0.83625144
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,0.8928645
2020-10-31,0.9004496
2020-11-02,0.8710607
2020-11-05,0.9026182
2020-11-07,0.77694696
2020-11-10,0.88067305
2020-11-12,
2020-11-15,0.80316466
2020-11-17,0.837404
2020-11-20,0.84857184
2020-11-22,0.7887382
2020-11-25,0.60307723
2020-11-27,0.7918354
2020-11-30,0.7252179
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,0.7060608
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,0.58447325
2021-01-16,0.6023654
2021-01-19,0.4652382
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,0.5464911
2021-02-03,
2021-02-05,
2021-02-08,0.59895694
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.5546197
2021-02-25,0.55546004
2021-02-28,
2021-03-02,0.67876273
2021-03-05,0.75256944
2021-03-07,
2021-03-10,0.75089
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,0.8014177
2021-03-22,
2021-03-25,
2021-03-27,0.82181144
2021-03-30,0.8055071
2021-04-01,0.8076832
2021-04-04,
2021-04-06,
2021-04-09,0.81044126
2021-04-11,
2021-04-14,0.86489904
2021-04-16,
2021-04-19,0.8420576
2021-04-21,
2021-04-24,0.70716023
2021-04-26,
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,
