t,FAPAR_mean
2017-01-07,
2017-01-10,
2017-01-13,
2017-01-27,
2017-01-30,0.13964146
2017-02-02,
2017-02-06,
2017-02-09,
2017-02-12,
2017-02-16,
2017-02-19,
2017-02-22,
2017-02-26,
2017-03-01,
2017-03-04,
2017-03-08,
2017-03-11,0.22539566
2017-03-14,
2017-03-18,
2017-03-21,
2017-03-23,0.23094337
2017-03-24,
2017-03-26,0.15252757
2017-03-28,0.16531079
2017-03-29,
2017-03-31,
2017-04-02,0.23240623
2017-04-03,
2017-04-05,
2017-04-07,
2017-04-08,
2017-04-10,0.15120989
2017-04-12,
2017-04-13,
2017-04-15,
2017-04-17,0.23602337
2017-04-18,
2017-04-20,
2017-04-22,0.2603711
2017-04-23,
2017-04-25,
2017-04-27,
2017-04-28,
2017-04-30,
2017-05-02,
2017-05-03,
2017-05-05,0.39184684
2017-05-07,
2017-05-08,0.5621423
2017-05-10,
2017-05-12,
2017-05-13,
2017-05-15,
2017-05-17,
2017-05-18,
2017-05-20,0.7642976
2017-05-22,
2017-05-23,
2017-05-25,
2017-05-27,0.8477571
2017-05-28,
2017-05-30,
2017-06-01,0.86607224
2017-06-02,
2017-06-04,
2017-06-06,0.8871477
2017-06-07,
2017-06-09,
2017-06-11,
2017-06-12,
2017-06-14,
2017-06-16,
2017-06-17,
2017-06-19,0.8824685
2017-06-21,0.90997034
2017-06-22,
2017-06-24,0.89415187
2017-06-26,
2017-06-27,
2017-06-29,
2017-07-01,0.90857935
2017-07-02,
2017-07-04,0.89303696
2017-07-06,0.7937743
2017-07-07,
2017-07-09,0.85965765
2017-07-11,
2017-07-12,
2017-07-14,
2017-07-16,
2017-07-17,
2017-07-19,0.763818
2017-07-21,
2017-07-22,
2017-07-24,
2017-07-26,
2017-07-27,
2017-07-29,
2017-07-31,
2017-08-01,
2017-08-03,
2017-08-05,
2017-08-06,
2017-08-08,
2017-08-10,
2017-08-11,
2017-08-13,
2017-08-15,0.08283656
2017-08-16,
2017-08-18,
2017-08-20,
2017-08-21,
2017-08-23,0.10168033
2017-08-25,
2017-08-26,
2017-08-28,
2017-08-30,
2017-08-31,
2017-09-02,
2017-09-04,
2017-09-05,
2017-09-07,
2017-09-09,
2017-09-10,
2017-09-12,
2017-09-14,
2017-09-15,
2017-09-17,
2017-09-19,
2017-09-20,
2017-09-22,
2017-09-24,
2017-09-25,
2017-09-27,
2017-09-29,
2017-09-30,
2017-10-02,
2017-10-04,
2017-10-05,0.3096661
2017-10-07,
2017-10-09,
2017-10-10,
2017-10-12,
2017-10-14,
2017-10-15,
2017-10-17,
2017-10-19,
2017-10-20,
2017-10-22,
2017-10-24,
2017-10-25,
2017-10-27,
2017-10-29,0.35577258
2017-10-30,
2017-11-01,
2017-11-03,
2017-11-04,
2017-11-06,0.3832896
2017-11-08,0.36442658
2017-11-09,
2017-11-11,
2017-11-13,0.34255266
2017-11-14,
2017-11-16,
2017-11-18,
2017-11-19,
2017-11-21,0.14148258
2017-11-23,
2017-11-24,
2017-11-26,
2017-11-28,
2017-11-29,0.00015301301
2017-12-01,
2017-12-03,0.06413659
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-18,
2017-12-23,
2017-12-28,
2018-01-02,0.06608827
2018-01-05,
2018-01-07,0.044472523
2018-01-08,
2018-01-10,
2018-01-12,
2018-01-13,
2018-01-15,
2018-01-17,
2018-01-18,
2018-01-20,
2018-01-22,
2018-01-23,
2018-01-25,
2018-01-27,0.11048107
2018-01-28,
2018-01-30,
2018-02-01,
2018-02-02,
2018-02-04,
2018-02-06,
2018-02-07,
2018-02-09,
2018-02-11,
2018-02-12,
2018-02-14,
2018-02-16,
2018-02-17,
2018-02-19,
2018-02-21,
2018-02-22,
2018-02-24,
2018-02-26,
2018-02-27,
2018-03-01,
2018-03-03,
2018-03-04,
2018-03-06,
2018-03-08,
2018-03-09,
2018-03-11,
2018-03-13,
2018-03-14,
2018-03-16,
2018-03-18,
2018-03-19,
2018-03-21,
2018-03-23,
2018-03-24,
2018-03-26,
2018-03-28,0.077863894
2018-03-29,
2018-03-31,0.04416445
2018-04-02,0.034591656
2018-04-03,
2018-04-05,
2018-04-07,
2018-04-08,
2018-04-10,0.046452813
2018-04-12,0.0401626
2018-04-13,
2018-04-15,
2018-04-17,
2018-04-18,
2018-04-20,0.021718211
2018-04-22,0.026301403
2018-04-23,
2018-04-25,0.08770229
2018-04-27,
2018-04-28,
2018-04-30,
2018-05-02,0.10919891
2018-05-03,
2018-05-05,0.023711419
2018-05-07,0.16317822
2018-05-08,
2018-05-10,0.0852147
2018-05-12,
2018-05-13,
2018-05-15,0.13917738
2018-05-17,
2018-05-18,
2018-05-20,0.23499985
2018-05-22,0.2627045
2018-05-23,
2018-05-25,0.32219008
2018-05-28,
2018-05-30,0.42870507
2018-06-01,0.46669036
2018-06-02,
2018-06-04,0.49957705
2018-06-06,
2018-06-07,
2018-06-09,
2018-06-11,
2018-06-12,
2018-06-14,
2018-06-16,
2018-06-17,
2018-06-19,0.6406946
2018-06-21,
2018-06-22,
2018-06-24,0.6321747
2018-06-26,0.6402736
2018-06-27,
2018-06-29,0.6514865
2018-07-01,0.6490445
2018-07-02,
2018-07-04,0.5647024
2018-07-06,0.5324408
2018-07-07,
2018-07-09,
2018-07-11,
2018-07-12,
2018-07-14,0.32732436
2018-07-16,0.28622562
2018-07-17,
2018-07-19,0.24607216
2018-07-21,
2018-07-22,
2018-07-24,0.20527081
2018-07-26,
2018-07-27,
2018-07-29,
2018-07-31,0.15437075
2018-08-01,
2018-08-03,
2018-08-05,0.19513324
2018-08-06,
2018-08-08,
2018-08-10,
2018-08-11,
2018-08-13,
2018-08-15,
2018-08-16,
2018-08-18,
2018-08-20,0.100765884
2018-08-21,
2018-08-23,
2018-08-25,
2018-08-26,
2018-08-28,
2018-08-30,
2018-08-31,
2018-09-02,0.16524713
2018-09-04,0.106781274
2018-09-05,
2018-09-07,
2018-09-09,
2018-09-10,
2018-09-12,
2018-09-14,
2018-09-17,
2018-09-19,0.14719298
2018-09-20,
2018-09-22,
2018-09-24,0.40543202
2018-09-25,
2018-09-27,
2018-09-29,
2018-09-30,
2018-10-02,
2018-10-04,
2018-10-05,
2018-10-07,0.5702006
2018-10-09,
2018-10-10,
2018-10-12,0.58045006
2018-10-14,0.6568157
2018-10-15,
2018-10-17,
2018-10-19,
2018-10-20,
2018-10-22,0.7734888
2018-10-24,0.37963417
2018-10-25,
2018-10-27,0.12801982
2018-10-29,
2018-10-30,
2018-11-01,0.22225033
2018-11-03,0.11056973
2018-11-04,
2018-11-06,0.15500183
2018-11-08,
2018-11-09,
2018-11-11,
2018-11-14,
2018-11-16,0.08766929
2018-11-18,
2018-11-19,
2018-11-21,
2018-11-23,
2018-11-24,
2018-11-26,
2018-11-28,0.0078900065
2018-11-29,
2018-12-01,
2018-12-03,
2018-12-04,
2018-12-06,
2018-12-08,
2018-12-11,
2018-12-13,
2018-12-18,
2018-12-23,
2018-12-28,0.041305758
2019-01-02,0.059045617
2019-01-05,0.069265254
2019-01-07,
2019-01-08,
2019-01-10,
2019-01-12,
2019-01-13,
2019-01-15,
2019-01-17,
2019-01-18,
2019-01-20,
2019-01-22,
2019-01-23,
2019-01-25,
2019-01-27,
2019-01-28,
2019-01-30,
2019-02-01,
2019-02-02,
2019-02-04,
2019-02-06,
2019-02-07,
2019-02-09,
2019-02-11,0.08397348
2019-02-12,
2019-02-14,
2019-02-16,
2019-02-17,
2019-02-19,
2019-02-21,
2019-02-22,
2019-02-24,
2019-02-26,0.10421982
2019-02-27,
2019-03-01,0.08078573
2019-03-03,
2019-03-04,
2019-03-06,
2019-03-08,
2019-03-09,
2019-03-11,0.12023356
2019-03-13,
2019-03-14,
2019-03-16,
2019-03-18,
2019-03-19,0.120931424
2019-03-21,
2019-03-23,0.052840695
2019-03-24,
2019-03-26,
2019-03-28,
2019-03-29,
2019-03-31,
2019-04-02,
2019-04-03,
2019-04-05,0.026491754
2019-04-07,0.021531634
2019-04-08,
2019-04-10,
2019-04-12,
2019-04-13,
2019-04-15,0.023737932
2019-04-17,
2019-04-18,
2019-04-20,0.015857568
2019-04-22,0.019000534
2019-04-23,
2019-04-25,
2019-04-27,
2019-04-28,
2019-04-30,0.009044247
2019-05-02,
2019-05-03,
2019-05-05,
2019-05-07,
2019-05-08,
2019-05-10,
2019-05-12,
2019-05-13,
2019-05-15,
2019-05-17,
2019-05-18,
2019-05-20,
2019-05-23,
2019-05-25,
2019-05-27,
2019-05-28,
2019-05-30,
2019-06-01,
2019-06-02,
2019-06-04,0.17509425
2019-06-06,0.14218374
2019-06-07,
2019-06-09,
2019-06-11,
2019-06-12,
2019-06-14,
2019-06-16,
2019-06-17,
2019-06-19,0.24724923
2019-06-21,
2019-06-22,
2019-06-24,0.2934738
2019-06-26,
2019-06-27,
2019-06-29,
2019-07-01,0.43148378
2019-07-02,
2019-07-04,
2019-07-06,
2019-07-07,
2019-07-09,0.5804464
2019-07-11,0.5742533
2019-07-12,
2019-07-14,0.75265706
2019-07-16,
2019-07-17,
2019-07-19,
2019-07-21,
2019-07-22,
2019-07-24,
2019-07-26,0.8216743
2019-07-27,
2019-07-29,
2019-07-31,
2019-08-01,
2019-08-03,0.5094868
2019-08-05,
2019-08-06,
2019-08-08,
2019-08-10,
2019-08-11,
2019-08-13,
2019-08-15,
2019-08-16,
2019-08-18,
2019-08-20,
2019-08-21,
2019-08-23,
2019-08-25,0.06661682
2019-08-26,
2019-08-28,
2019-08-30,
2019-08-31,
2019-09-02,
2019-09-04,
2019-09-05,
2019-09-07,0.08990902
2019-09-09,
2019-09-10,
2019-09-12,
2019-09-14,0.09262137
2019-09-15,
2019-09-17,
2019-09-19,0.078936175
2019-09-20,
2019-09-22,
2019-09-24,
2019-09-25,
2019-09-27,
2019-09-29,
2019-09-30,
2019-10-02,
2019-10-04,
2019-10-05,
2019-10-07,0.13310444
2019-10-09,
2019-10-10,
2019-10-12,0.14301607
2019-10-14,
2019-10-15,
2019-10-17,
2019-10-19,
2019-10-20,
2019-10-22,
2019-10-24,
2019-10-25,
2019-10-27,0.24174115
2019-10-29,0.33314788
2019-10-30,
2019-11-01,
2019-11-03,
2019-11-04,
2019-11-06,0.33566645
2019-11-08,
2019-11-09,
2019-11-11,
2019-11-13,
2019-11-14,
2019-11-16,
2019-11-18,
2019-11-19,
2019-11-21,
2019-11-23,
2019-11-24,
2019-11-26,
2019-11-28,
2019-11-29,
2019-12-01,
2019-12-03,
2019-12-04,
2019-12-06,
2019-12-08,
2019-12-11,
2019-12-13,
2019-12-14,
2019-12-18,
2019-12-21,
2019-12-23,
2019-12-24,
2019-12-28,
2019-12-31,0.37361303
2020-01-02,
2020-01-03,
2020-01-05,
2020-01-07,
2020-01-08,
2020-01-10,
2020-01-12,
2020-01-13,
2020-01-15,
2020-01-17,
2020-01-18,
2020-01-20,
2020-01-22,0.43133768
2020-01-23,
2020-01-25,
2020-01-27,
2020-01-28,
2020-01-30,
2020-02-01,
2020-02-02,0.4217413
2020-02-04,
2020-02-06,
2020-02-07,0.34968847
2020-02-09,
2020-02-11,0.1899355
2020-02-12,
2020-02-14,
2020-02-16,
2020-02-17,
2020-02-19,
2020-02-21,0.27189752
2020-02-22,
2020-02-24,0.30380046
2020-02-26,
2020-02-27,
2020-02-29,
2020-03-02,
2020-03-03,
2020-03-05,0.26027492
2020-03-07,
2020-03-08,
2020-03-10,
2020-03-12,
2020-03-13,
2020-03-15,
2020-03-17,
2020-03-18,
2020-03-20,
2020-03-22,0.25288615
2020-03-23,
2020-03-25,
2020-03-27,0.220673
2020-03-28,
2020-03-30,0.1868418
2020-04-01,
2020-04-02,
2020-04-04,0.21509886
2020-04-06,0.21784791
2020-04-07,0.07445943
2020-04-09,0.22307113
2020-04-11,
2020-04-12,
2020-04-14,
2020-04-16,
2020-04-17,
2020-04-19,0.2516894
2020-04-21,0.2662889
2020-04-22,
2020-04-24,
2020-04-26,
2020-04-27,
2020-04-29,0.4152569
2020-05-01,
2020-05-02,
2020-05-04,
2020-05-06,0.39555
2020-05-07,
2020-05-09,0.47515213
2020-05-11,0.52939093
2020-05-12,
2020-05-14,0.5170263
2020-05-16,
2020-05-17,
2020-05-19,
2020-05-21,
2020-05-22,
2020-05-24,
2020-05-26,
2020-05-27,
2020-05-29,0.7253718
