t,FAPAR_mean
2017-01-19,
2017-01-29,
2017-02-08,
2017-02-18,0.68405586
2017-02-28,
2017-03-10,0.6399206
2017-03-20,
2017-03-25,
2017-03-30,
2017-04-09,0.5360181
2017-04-14,0.47167036
2017-04-19,0.551715
2017-04-24,0.54632354
2017-04-29,0.50931156
2017-05-04,0.5271283
2017-05-09,0.5374327
2017-05-14,
2017-05-19,0.5453172
2017-05-24,0.52308524
2017-05-29,
2017-06-03,
2017-06-08,
2017-06-13,
2017-06-18,0.54159164
2017-06-23,
2017-06-28,
2017-07-03,
2017-07-13,
2017-07-18,0.5621559
2017-07-23,
2017-07-28,
2017-08-02,0.5360442
2017-08-07,
2017-08-12,0.5488941
2017-08-17,0.5490456
2017-08-22,
2017-08-27,0.5586092
2017-09-01,
2017-09-06,
2017-09-11,
2017-09-16,
2017-09-21,
2017-09-26,
2017-10-01,
2017-10-06,0.66991657
2017-10-11,0.6564401
2017-10-16,0.67969537
2017-10-21,
2017-10-26,0.6945216
2017-10-31,
2017-11-05,
2017-11-10,
2017-11-15,0.72136104
2017-11-20,
2017-11-25,0.7528082
2017-11-30,0.7770689
2017-12-05,
2017-12-10,
2017-12-15,0.76361907
2017-12-20,0.24542236
2017-12-25,
2017-12-30,
2018-01-04,
2018-01-09,
2018-01-14,
2018-01-19,
2018-01-24,0.7403272
2018-01-29,
2018-02-08,
2018-02-13,
2018-02-18,
2018-02-23,
2018-02-28,
2018-03-05,
2018-03-10,
2018-03-15,0.6373668
2018-03-20,
2018-03-25,
2018-03-30,
2018-04-04,
2018-04-09,
2018-04-14,
2018-04-19,0.5212471
2018-04-24,0.51827615
2018-04-29,
2018-05-04,0.56263196
2018-05-09,0.53898406
2018-05-14,
2018-05-19,
2018-05-24,0.49303794
2018-05-29,
2018-06-03,
2018-06-08,
2018-06-13,
2018-06-18,
2018-06-23,0.5489707
2018-06-28,
2018-07-03,
2018-07-08,0.53882086
2018-07-13,0.5412676
2018-07-18,0.5685508
2018-07-23,0.54720074
2018-07-28,
2018-08-02,0.5158486
2018-08-07,
2018-08-12,0.5017543
2018-08-17,0.53233504
2018-08-22,
2018-08-27,0.523767
2018-09-01,0.5504568
2018-09-06,
2018-09-11,0.5729354
2018-09-16,
2018-09-21,
2018-09-26,0.60832196
2018-10-01,
2018-10-06,
