t,FAPAR_mean
2017-01-10,
2017-01-30,
2017-02-09,
2017-02-19,0.54533887
2017-03-01,
2017-03-11,0.49401334
2017-03-21,
2017-03-26,
2017-03-31,
2017-04-05,0.533166
2017-04-10,0.49916238
2017-04-15,
2017-04-20,0.50720984
2017-04-25,
2017-04-30,
2017-05-05,
2017-05-10,
2017-05-15,0.34605932
2017-05-20,0.5439244
2017-05-25,0.52344817
2017-05-30,0.53055614
2017-06-04,
2017-06-09,0.45360965
2017-06-14,0.5310584
2017-06-19,0.50444734
2017-06-24,0.5000598
2017-06-29,0.5377519
2017-07-04,0.5433961
2017-07-09,
2017-07-14,0.54765195
2017-07-19,0.53397894
2017-07-24,0.54101485
2017-07-29,0.5286598
2017-08-03,
2017-08-08,0.44454464
2017-08-13,0.54035527
2017-08-18,0.546564
2017-08-23,
2017-08-28,0.5169786
2017-09-02,0.52339834
2017-09-07,0.60065293
2017-09-12,0.5458691
2017-09-17,0.57142884
2017-09-22,
2017-09-27,0.5850155
2017-10-02,
2017-10-07,0.59066015
2017-10-12,0.59974486
2017-10-17,0.5909722
2017-10-22,0.5998388
2017-10-27,0.59625995
2017-11-01,0.62152714
2017-11-06,
2017-11-11,
2017-11-16,0.6242269
2017-11-21,0.6578775
2017-11-26,0.6566786
2017-12-01,
2017-12-06,
2017-12-11,
2017-12-16,0.65395594
2017-12-21,0.6429789
2017-12-26,
2017-12-31,
2018-01-05,0.62359315
2018-01-10,
2018-01-15,
2018-01-20,0.5962457
2018-01-25,
2018-01-30,
2018-02-04,0.623929
2018-02-09,0.62371117
2018-02-14,0.58875847
2018-02-19,
2018-02-24,
2018-03-01,
2018-03-06,
2018-03-11,
2018-03-16,
2018-03-21,
2018-03-26,0.55492496
2018-03-31,
2018-04-05,
2018-04-10,
2018-04-15,0.505428
2018-04-20,0.53293467
2018-04-25,0.5742828
2018-04-30,0.5391871
2018-05-05,
2018-05-10,
2018-05-15,
2018-05-20,0.4562079
2018-05-25,0.4933672
2018-05-30,
2018-06-04,
2018-06-09,0.497679
2018-06-14,
2018-06-19,0.4946756
2018-06-24,
2018-06-29,0.50924104
2018-07-04,0.50619984
2018-07-09,0.49790996
2018-07-14,0.4888594
2018-07-19,0.52045584
2018-07-24,0.5223811
2018-07-29,0.5287857
2018-08-03,
2018-08-08,
2018-08-13,0.5080865
2018-08-18,
2018-08-23,0.52210915
2018-08-28,0.54230374
2018-09-02,0.55761576
2018-09-07,0.56015676
2018-09-12,
2018-09-17,
2018-09-22,
2018-09-27,0.5867711
2018-10-02,0.5899188
2018-10-07,
2018-10-12,
2018-10-17,
2018-10-22,
2018-10-27,
2018-11-01,
2018-11-06,
2018-11-11,
2018-11-16,
2018-11-21,
2018-11-26,
2018-12-01,
2018-12-06,0.6298639
2018-12-11,0.6400956
2018-12-16,
2018-12-21,
2018-12-26,
2018-12-31,0.6330169
2019-01-05,0.64922637
2019-01-10,0.65631926
2019-01-15,0.65643716
2019-01-20,
2019-01-25,0.65779656
2019-01-30,0.6555712
2019-02-04,0.6308595
2019-02-09,
2019-02-14,0.6264695
2019-02-19,
2019-02-24,0.59869456
2019-03-01,0.59646046
2019-03-06,
2019-03-11,0.5984742
2019-03-16,0.6078219
2019-03-21,0.58977515
2019-03-26,
2019-03-31,0.57131714
2019-04-05,0.56314486
2019-04-10,
2019-04-15,0.5148395
2019-04-20,
2019-04-25,
2019-04-30,0.5356292
2019-05-05,0.5265943
2019-05-10,
2019-05-15,
2019-05-20,
2019-05-25,
2019-05-30,
2019-06-04,0.4946602
2019-06-09,
2019-06-14,0.24771498
2019-06-19,0.4896685
2019-06-24,0.42364973
2019-06-29,0.44351625
2019-07-04,0.49002165
2019-07-09,
2019-07-14,0.47460932
2019-07-19,0.4950246
2019-07-24,0.42106622
2019-07-29,0.48889244
2019-08-03,0.5079648
2019-08-08,0.4834825
2019-08-13,
2019-08-18,0.47195432
2019-08-23,0.5010908
2019-08-28,
2019-09-02,0.51373434
2019-09-07,0.49828842
2019-09-12,0.5127179
2019-09-17,0.5333819
2019-09-22,
2019-09-27,0.5370037
2019-10-02,0.55238026
2019-10-07,0.5462285
2019-10-12,
2019-10-17,
2019-10-22,
2019-10-27,0.5551864
2019-11-01,
2019-11-06,0.57057333
2019-11-11,
2019-11-16,0.53695333
2019-11-21,
2019-11-26,0.56996304
2019-12-01,
2019-12-06,0.5535296
2019-12-11,
2019-12-16,
2019-12-21,0.64994615
2019-12-26,0.6018125
2019-12-31,0.59945005
2020-01-05,0.60196793
2020-01-10,
2020-01-15,
2020-01-20,
2020-01-25,
2020-01-30,
2020-02-04,0.5791969
2020-02-09,0.5561169
2020-02-14,0.56561047
2020-02-19,0.5575693
2020-02-24,0.57052916
2020-02-29,
2020-03-05,
2020-03-10,
2020-03-15,0.52720654
2020-03-20,0.48839885
2020-03-25,
2020-03-30,
2020-04-04,0.52062005
2020-04-09,0.53004885
2020-04-14,0.5169921
2020-04-19,
2020-04-24,0.47482812
2020-04-29,0.48543885
2020-05-04,0.4882109
2020-05-09,
2020-05-14,
2020-05-19,0.5177766
2020-05-24,0.514879
2020-05-29,
2020-06-03,
2020-06-08,0.5396598
2020-06-13,
2020-06-18,
2020-06-23,0.53886425
2020-06-28,0.54196906
2020-07-03,0.5524294
2020-07-08,0.5337179
2020-07-13,0.46152127
2020-07-18,0.56989163
2020-07-23,
2020-07-28,
2020-08-02,0.5186198
2020-08-07,0.55025405
2020-08-12,
2020-08-17,
2020-08-22,0.5286
2020-08-27,0.5507176
2020-09-01,0.52487326
2020-09-06,0.5539762
2020-09-11,
2020-09-16,0.56960416
2020-09-21,
2020-09-26,0.5649032
2020-10-01,
2020-10-06,
2020-10-11,0.5875989
2020-10-16,
2020-10-21,
2020-10-26,
2020-10-31,0.6243671
2020-11-05,0.60200703
2020-11-10,0.6157073
2020-11-15,
2020-11-20,0.63435185
2020-11-25,
2020-11-30,0.6734133
2020-12-05,
2020-12-10,
2020-12-15,
2020-12-20,
2020-12-25,
2020-12-30,0.6023961
2021-01-04,
2021-01-09,
2021-01-14,0.64819384
2021-01-19,0.603815
2021-01-24,0.63551694
2021-01-29,0.5099442
2021-02-03,
2021-02-08,
2021-02-13,
2021-02-18,
2021-02-23,0.39123744
2021-02-28,0.5877431
2021-03-05,0.56516397
2021-03-10,0.586252
2021-03-15,0.55863357
2021-03-20,0.54713935
2021-03-25,0.49160433
2021-03-30,0.550358
2021-04-04,
2021-04-09,
2021-04-14,
2021-04-19,0.53884304
2021-04-24,0.4993786
2021-04-29,
2021-05-04,0.50088733
2021-05-09,0.48991162
2021-05-14,0.30475777
2021-05-19,
2021-05-24,
2021-05-29,
