t,FAPAR_mean
2017-01-03,0.31601518
2017-01-13,
2017-01-16,
2017-01-26,
2017-02-02,
2017-02-05,
2017-02-12,
2017-02-15,0.32691792
2017-02-22,
2017-02-25,0.38820937
2017-03-04,
2017-03-07,
2017-03-14,0.42144075
2017-03-17,0.4723239
2017-03-19,
2017-03-24,
2017-03-27,0.5855004
2017-03-29,0.58564395
2017-04-01,
2017-04-03,
2017-04-06,
2017-04-08,0.71294326
2017-04-11,0.79206747
2017-04-13,0.7980159
2017-04-16,
2017-04-18,0.85624015
2017-04-21,0.8322677
2017-04-23,0.86870706
2017-04-26,
2017-04-28,
2017-05-01,
2017-05-03,
2017-05-06,
2017-05-08,
2017-05-11,
2017-05-13,
2017-05-16,0.8524573
2017-05-18,0.8579094
2017-05-21,
2017-05-23,0.6357376
2017-05-26,0.95262253
2017-05-28,0.8832599
2017-06-02,0.90189874
2017-06-05,
2017-06-07,
2017-06-10,0.8713303
2017-06-12,
2017-06-15,
2017-06-17,0.8577283
2017-06-20,0.78023505
2017-06-22,
2017-06-25,0.5668427
2017-06-27,
2017-06-30,
2017-07-02,
2017-07-05,0.61604226
2017-07-07,0.6331281
2017-07-10,
2017-07-12,
2017-07-15,0.73522675
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,
2017-08-01,0.8598198
2017-08-04,0.4824368
2017-08-06,
2017-08-09,
2017-08-11,
2017-08-14,0.8816893
2017-08-16,
2017-08-19,
2017-08-21,0.86938477
2017-08-24,0.8263096
2017-08-26,0.8113743
2017-08-29,0.590662
2017-08-31,
2017-09-03,0.81533897
2017-09-05,
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,0.83483154
2017-09-18,
2017-09-20,
2017-09-23,
2017-09-25,
2017-09-28,
2017-09-30,
2017-10-03,
2017-10-05,0.73908895
2017-10-08,
2017-10-10,
2017-10-13,
2017-10-15,0.7689198
2017-10-18,0.50971216
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,0.81504595
2017-10-30,0.67413646
2017-11-02,
2017-11-04,
2017-11-07,
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,0.7278668
2017-11-19,
2017-11-22,0.7302697
2017-11-24,
2017-11-27,0.6778991
2017-11-29,
2017-12-02,
2017-12-07,
2017-12-09,
2017-12-12,
2017-12-14,
2017-12-17,
2017-12-19,
2017-12-22,
2017-12-24,0.31645083
2017-12-27,
2017-12-29,
2018-01-01,
2018-01-03,
2018-01-06,
2018-01-08,
2018-01-11,
2018-01-13,0.5949183
2018-01-16,
2018-01-18,
2018-01-21,
2018-01-23,0.5306388
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,
2018-02-07,
2018-02-10,
2018-02-12,
2018-02-15,
2018-02-17,
2018-02-20,
2018-02-22,
2018-02-25,
2018-02-27,
2018-03-02,
2018-03-04,
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,0.3082707
2018-03-17,
2018-03-19,
2018-03-22,0.32569444
2018-03-24,
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,
2018-04-06,0.38529032
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,0.47779024
2018-04-18,0.60427445
2018-04-21,0.7101835
2018-04-23,0.7935476
2018-04-26,
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,0.8638111
2018-05-08,
2018-05-11,0.8870798
2018-05-13,
2018-05-16,0.52971655
2018-05-18,0.882342
2018-05-21,0.8633297
2018-05-23,
2018-05-26,0.83532935
2018-05-28,
2018-05-31,
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,
2018-06-12,
2018-06-15,
2018-06-17,
2018-06-20,0.64421195
2018-06-22,0.5722984
2018-06-25,0.5480533
2018-06-27,0.5394652
2018-06-30,0.5502826
2018-07-02,
2018-07-05,
2018-07-07,0.6526792
2018-07-10,0.81646866
2018-07-12,0.81603473
2018-07-15,0.80011797
2018-07-17,
2018-07-20,
2018-07-22,
2018-07-25,0.9289144
2018-07-27,0.87220985
2018-07-30,
2018-08-01,0.6569139
2018-08-04,
2018-08-06,0.6065627
2018-08-09,
2018-08-11,0.5743006
2018-08-14,
2018-08-16,
2018-08-19,0.6634719
2018-08-21,0.6626923
2018-08-24,
2018-08-26,0.7231111
2018-08-29,
2018-08-31,
2018-09-03,0.70839196
2018-09-05,0.64336145
2018-09-08,0.73246294
2018-09-10,0.6796703
2018-09-13,0.5949907
2018-09-18,0.6293674
2018-09-20,0.6348542
2018-09-23,0.653361
2018-09-25,
2018-09-28,0.60626537
2018-09-30,
2018-10-03,
2018-10-05,0.57599634
2018-10-08,
2018-10-10,
2018-10-13,0.6334858
2018-10-15,
2018-10-18,0.59479004
2018-10-20,0.61505985
2018-10-23,0.61373204
2018-10-25,0.57440984
2018-10-28,
2018-10-30,
2018-11-02,
2018-11-04,
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,0.61495394
2018-11-17,
2018-11-19,0.5992417
2018-11-22,0.637317
2018-11-24,
2018-11-27,
2018-11-29,
2018-12-02,
2018-12-04,
2018-12-07,
2018-12-09,
2018-12-12,0.63225037
2018-12-14,
2018-12-17,
2018-12-19,
2018-12-22,
2018-12-24,
2018-12-27,
2018-12-29,
2019-01-01,0.58387154
2019-01-03,0.26838887
2019-01-06,
2019-01-08,
2019-01-11,
2019-01-13,
2019-01-16,
2019-01-18,
2019-01-21,
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,
2019-02-10,
2019-02-12,
2019-02-15,0.41337502
2019-02-17,
2019-02-20,0.40429237
2019-02-22,0.4075221
2019-02-25,0.44321874
2019-02-27,0.45202938
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,
2019-03-22,0.52656305
2019-03-24,0.5439681
2019-03-27,0.5645576
2019-03-29,0.55830204
2019-04-01,
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,
2019-04-13,0.67206717
2019-04-16,
2019-04-18,
2019-04-21,
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,
2019-05-03,
2019-05-06,
2019-05-08,
2019-05-11,
2019-05-13,0.8672424
2019-05-16,
2019-05-18,
2019-05-23,0.85126406
2019-05-26,
2019-05-28,
2019-05-31,0.8684076
2019-06-02,0.870134
2019-06-05,
2019-06-07,
2019-06-12,0.9414361
2019-06-15,
2019-06-17,
2019-06-20,
2019-06-22,
2019-06-25,
2019-06-27,0.5477005
2019-06-30,0.49819335
2019-07-02,0.4194722
2019-07-05,0.47628388
2019-07-07,
2019-07-10,0.4902469
2019-07-12,
2019-07-15,0.48249012
2019-07-17,0.45880678
2019-07-20,
2019-07-22,0.4320601
2019-07-25,0.44484523
2019-07-27,
2019-07-30,
2019-08-01,
2019-08-04,0.50560784
2019-08-06,
2019-08-09,0.5682451
2019-08-11,
2019-08-14,0.5577128
2019-08-16,
2019-08-19,
