t,FAPAR_mean
2017-01-04,
2017-01-07,0.07554443
2017-01-14,
2017-01-24,
2017-01-27,0.22115521
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,0.17144409
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,0.23178154
2017-03-18,
2017-03-20,0.2771403
2017-03-23,
2017-03-25,0.36946562
2017-03-28,0.43220666
2017-03-30,0.4416062
2017-04-02,0.554471
2017-04-04,
2017-04-07,
2017-04-09,0.5468697
2017-04-12,0.5622506
2017-04-14,0.54625547
2017-04-17,
2017-04-22,0.48945007
2017-04-24,0.41989365
2017-04-27,
2017-04-29,0.50108504
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,0.5970649
2017-05-12,
2017-05-14,
2017-05-17,0.68274266
2017-05-19,
2017-05-22,0.75064737
2017-05-24,
2017-05-27,0.7610999
2017-05-29,0.781924
2017-06-01,0.76147896
2017-06-03,0.68806297
2017-06-06,
2017-06-08,
2017-06-11,0.80071205
2017-06-13,0.82257754
2017-06-16,
2017-06-18,0.81016093
2017-06-21,
2017-06-23,
2017-06-26,0.7761496
2017-06-28,
2017-07-01,
2017-07-03,0.7799549
2017-07-06,0.5363785
2017-07-08,0.49450237
2017-07-11,
2017-07-13,0.710036
2017-07-16,0.7474119
2017-07-18,0.7944339
2017-07-21,0.7018696
2017-07-23,
2017-07-26,0.47235477
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,0.8820747
2017-08-07,0.90205616
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,
2017-08-20,0.78956664
2017-08-22,0.89089924
2017-08-25,0.8699686
2017-08-27,
2017-08-30,0.8167911
2017-09-01,
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,0.70054257
2017-09-24,0.7032861
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,0.6329497
2017-10-06,0.75623745
2017-10-09,0.74344075
2017-10-11,0.7100831
2017-10-14,0.71429044
2017-10-16,0.71529347
2017-10-19,0.62700564
2017-10-21,0.693045
2017-10-24,
2017-10-26,
2017-10-29,
2017-10-31,0.64727926
2017-11-03,0.6213339
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,0.4740449
2017-11-18,0.519323
2017-11-20,0.32762536
2017-11-23,0.45238915
2017-11-28,
2017-11-30,
2017-12-03,0.39086762
2017-12-05,0.37335247
2017-12-08,
2017-12-10,
2017-12-13,
2017-12-15,
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,
2018-01-27,
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,
2018-03-03,
2018-03-05,
2018-03-08,
2018-03-10,
2018-03-13,
2018-03-15,
2018-03-18,
2018-03-20,
2018-03-23,
2018-03-25,
2018-03-28,
2018-03-30,
2018-04-02,0.2069933
2018-04-04,
2018-04-07,0.2541358
2018-04-09,
2018-04-12,
2018-04-14,0.3195445
2018-04-17,0.40045834
2018-04-19,0.5651078
2018-04-22,0.5995529
2018-04-24,0.64907616
2018-04-27,0.57699305
2018-04-29,
2018-05-02,
2018-05-04,
2018-05-07,
2018-05-09,
2018-05-12,
2018-05-14,
2018-05-17,
2018-05-19,
2018-05-22,
2018-05-24,0.95674247
2018-05-29,
2018-06-01,0.6305489
2018-06-03,
2018-06-06,
2018-06-08,
2018-06-11,
2018-06-13,
2018-06-16,0.85724133
2018-06-18,0.8775835
2018-06-21,0.71498275
2018-06-23,0.7225237
2018-06-26,0.6244586
2018-06-28,
2018-07-01,0.52130795
2018-07-03,
2018-07-06,
2018-07-08,0.623349
2018-07-11,0.6996835
2018-07-13,0.7230934
2018-07-16,
2018-07-18,0.76171315
2018-07-21,
2018-07-23,
2018-07-26,
2018-07-28,
2018-07-31,0.7913915
2018-08-02,
2018-08-05,0.796736
2018-08-07,
2018-08-10,
2018-08-12,0.8159546
2018-08-15,0.814911
2018-08-17,0.8486249
2018-08-20,
2018-08-22,0.46827546
2018-08-25,
2018-08-27,0.778839
2018-08-30,
2018-09-01,
2018-09-04,0.7421736
2018-09-06,0.7205572
2018-09-09,0.7043143
2018-09-11,
2018-09-14,
2018-09-16,0.61722875
2018-09-19,0.67343014
2018-09-21,0.72254366
2018-09-24,0.7708083
2018-09-26,
2018-09-29,0.7367182
2018-10-01,
2018-10-04,0.7689834
2018-10-06,
2018-10-09,0.7500821
2018-10-11,
2018-10-16,
2018-10-19,0.6801029
2018-10-21,0.5808894
2018-10-24,0.35947075
2018-10-26,0.55412966
2018-10-29,
2018-10-31,
2018-11-03,
2018-11-05,
2018-11-08,
2018-11-10,
2018-11-15,0.51913613
2018-11-18,0.5291297
2018-11-20,
2018-11-23,
2018-11-25,
2018-11-28,0.44326183
2018-11-30,
2018-12-03,
2018-12-05,
2018-12-08,0.30816323
2018-12-10,
2018-12-13,
2018-12-15,
2018-12-18,
2018-12-20,
2018-12-23,
2018-12-25,0.28674415
2018-12-28,
2018-12-30,
2019-01-02,
2019-01-04,0.27909234
2019-01-07,
2019-01-09,
2019-01-12,
2019-01-14,
2019-01-17,
2019-01-19,
2019-01-22,
2019-01-24,
2019-01-27,
2019-01-29,
2019-02-01,
2019-02-03,
2019-02-06,
2019-02-08,
2019-02-11,
2019-02-13,
2019-02-16,
2019-02-18,
2019-02-21,
2019-02-23,0.1840494
2019-02-26,
2019-02-28,0.1804817
2019-03-03,
2019-03-05,0.21770263
2019-03-08,0.2508574
2019-03-10,
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,
2019-03-23,0.28426227
2019-03-25,0.25634286
2019-03-28,0.31689316
2019-03-30,
2019-04-02,
2019-04-04,
2019-04-07,
2019-04-09,
2019-04-12,0.50990266
2019-04-14,
2019-04-17,
2019-04-19,
2019-04-22,0.38139552
2019-04-24,
2019-04-27,
2019-04-29,
2019-05-02,0.6223549
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,0.6941883
2019-05-17,
2019-05-19,
2019-05-24,0.7586868
2019-05-27,
2019-05-29,
2019-06-01,0.78280467
2019-06-03,0.8156895
2019-06-06,
2019-06-11,0.8417798
2019-06-13,0.86114013
2019-06-16,0.8422542
2019-06-18,0.88277894
2019-06-21,
2019-06-23,
2019-06-26,0.81405926
2019-06-28,0.69770855
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,
2019-07-16,0.79584044
2019-07-18,
2019-07-21,0.55693567
2019-07-23,0.8108621
2019-07-26,0.8006287
2019-07-28,
2019-07-31,
2019-08-02,0.37189478
2019-08-05,
2019-08-07,
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,0.861969
2019-08-25,
2019-08-27,0.8642566
2019-08-30,0.8300871
2019-09-01,0.3625559
2019-09-04,0.8316843
2019-09-06,
2019-09-09,
2019-09-11,0.81987315
2019-09-14,0.5738718
2019-09-16,0.56688076
2019-09-19,
2019-09-21,0.91319996
2019-09-24,
2019-09-26,0.35503137
2019-09-29,0.7253845
2019-10-01,0.7647892
2019-10-04,
2019-10-06,0.5492334
2019-10-09,
2019-10-11,0.7873671
2019-10-14,0.7810487
2019-10-16,0.77732474
2019-10-19,
2019-10-21,
2019-10-24,
2019-10-26,0.68375045
2019-10-29,
2019-10-31,
2019-11-03,
2019-11-05,
2019-11-08,
2019-11-10,
2019-11-13,
2019-11-15,
2019-11-18,
2019-11-20,
2019-11-23,
2019-11-28,
2019-11-30,
2019-12-03,
2019-12-05,
2019-12-08,
2019-12-10,
2019-12-13,
2019-12-15,
2019-12-18,
2019-12-20,
2019-12-23,
2019-12-25,
2019-12-28,
2019-12-30,
2020-01-02,
2020-01-04,
2020-01-07,
2020-01-09,
2020-01-12,
2020-01-14,
2020-01-17,
2020-01-19,
2020-01-22,
2020-01-24,
2020-01-27,
2020-01-29,
2020-02-01,
2020-02-03,
2020-02-06,
2020-02-08,
2020-02-11,0.13871917
2020-02-13,
2020-02-16,
2020-02-18,0.17158303
2020-02-21,0.15197033
2020-02-23,
2020-02-26,0.17337915
2020-02-28,
2020-03-02,
2020-03-04,
2020-03-07,
2020-03-09,
2020-03-12,0.2101754
2020-03-14,
2020-03-17,
2020-03-19,0.26270598
2020-03-22,
2020-03-24,
2020-03-27,
2020-03-29,
2020-04-01,0.32864118
2020-04-03,0.31239447
2020-04-06,0.32817885
2020-04-08,0.33349875
2020-04-11,0.36177033
2020-04-13,0.38151222
2020-04-16,
2020-04-18,0.38838556
2020-04-21,
2020-04-23,0.40424246
2020-04-26,0.4439257
2020-04-28,
2020-05-01,
2020-05-03,0.59227043
2020-05-06,0.6529397
2020-05-08,0.70584583
2020-05-11,
2020-05-13,
2020-05-16,
2020-05-18,0.52012324
2020-05-21,0.8189134
2020-05-23,0.84201384
2020-05-26,0.8397207
2020-05-28,
2020-05-31,
2020-06-02,0.84969586
2020-06-05,
2020-06-07,
2020-06-10,
2020-06-12,0.8949326
2020-06-15,
2020-06-17,
2020-06-20,0.66643715
2020-06-22,
2020-06-25,
2020-06-27,0.7220389
2020-06-30,0.7385248
2020-07-02,0.7853479
2020-07-05,0.75682104
2020-07-07,0.75610477
2020-07-10,0.6268174
2020-07-12,0.6514101
2020-07-15,
2020-07-17,
2020-07-20,0.6956758
2020-07-22,0.7676274
2020-07-25,
2020-07-27,0.78328276
2020-07-30,0.7723341
2020-08-01,0.8149268
2020-08-04,
2020-08-06,0.81854695
2020-08-09,0.8096381
2020-08-11,0.83235383
2020-08-14,
2020-08-16,
2020-08-19,0.8345877
2020-08-21,0.8467744
2020-08-24,0.8773708
2020-08-26,0.86852086
2020-08-29,
2020-08-31,
2020-09-03,0.8594043
2020-09-05,0.85647446
2020-09-08,0.8530768
2020-09-10,
2020-09-13,0.791683
2020-09-15,0.6976851
2020-09-18,0.6289821
2020-09-20,
2020-09-23,
2020-09-25,
2020-09-28,
2020-09-30,0.5132574
2020-10-03,
2020-10-08,0.6916041
2020-10-10,0.72891235
2020-10-13,0.6922568
2020-10-15,
2020-10-18,0.68291986
2020-10-20,
2020-10-23,
2020-10-25,0.5728218
2020-10-28,0.60521346
2020-10-30,0.52700996
2020-11-02,
2020-11-04,
2020-11-07,0.60442644
2020-11-09,0.599382
2020-11-12,
2020-11-14,0.5862354
2020-11-17,0.58676267
2020-11-19,0.56867146
2020-11-22,0.5607414
2020-11-24,0.5406006
2020-11-27,0.5211618
2020-11-29,0.51814187
2020-12-02,
2020-12-04,
2020-12-07,
2020-12-09,
2020-12-12,
2020-12-17,
2020-12-19,
2020-12-22,
2020-12-24,
2020-12-27,
2020-12-29,
2021-01-01,
2021-01-03,
2021-01-06,
2021-01-08,
2021-01-11,
2021-01-13,
2021-01-16,
2021-01-18,
2021-01-21,
2021-01-23,
2021-01-26,
2021-01-28,
2021-01-31,
2021-02-02,
2021-02-05,
2021-02-07,
2021-02-10,
2021-02-12,
2021-02-15,
2021-02-17,
2021-02-20,
2021-02-22,
2021-02-25,
2021-02-27,
2021-03-02,
2021-03-04,
2021-03-07,0.18419077
2021-03-09,0.17172475
2021-03-12,
2021-03-14,
2021-03-17,
2021-03-19,
2021-03-22,0.17508742
2021-03-24,0.20341372
2021-03-27,
2021-03-29,
2021-04-01,0.30449262
2021-04-03,0.35841894
2021-04-06,
2021-04-08,0.20998764
2021-04-11,
2021-04-13,
2021-04-16,0.35130236
2021-04-18,
2021-04-21,
2021-04-23,0.37794945
2021-04-26,
2021-04-28,0.2604445
2021-05-01,
2021-05-03,0.51014394
2021-05-06,
2021-05-08,
2021-05-11,
2021-05-13,
2021-05-16,
2021-05-18,0.866432
2021-05-21,
