t,FAPAR_mean
2017-01-04,
2017-01-07,0.055816535
2017-01-14,
2017-01-24,
2017-01-27,0.16547889
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,0.13283196
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,0.13904338
2017-03-18,
2017-03-20,0.14793295
2017-03-23,
2017-03-25,0.16792211
2017-03-28,0.20378573
2017-03-30,0.18380602
2017-04-02,0.2338854
2017-04-04,
2017-04-07,
2017-04-09,0.24141373
2017-04-12,0.25204042
2017-04-14,0.24995339
2017-04-17,
2017-04-22,0.25183505
2017-04-24,0.24046952
2017-04-27,
2017-04-29,0.30556858
2017-05-02,0.27488247
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,0.35964248
2017-05-19,
2017-05-22,0.41000432
2017-05-24,
2017-05-27,0.4191149
2017-05-29,0.3978964
2017-06-01,0.43552476
2017-06-03,0.43729487
2017-06-06,
2017-06-08,
2017-06-11,0.50063115
2017-06-13,0.50735396
2017-06-16,
2017-06-18,0.5129394
2017-06-21,
2017-06-23,
2017-06-26,0.49380687
2017-06-28,
2017-07-01,
2017-07-03,0.51891947
2017-07-06,0.51692915
2017-07-08,0.57471937
2017-07-11,
2017-07-13,0.5817517
2017-07-16,0.60297024
2017-07-18,0.61833364
2017-07-21,0.41198593
2017-07-23,
2017-07-26,0.38342535
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,0.6627628
2017-08-07,0.70683014
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,
2017-08-20,0.52980417
2017-08-22,0.69883823
2017-08-25,0.6716668
2017-08-27,
2017-08-30,0.65046155
2017-09-01,
2017-09-04,0.8973478
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,0.6278254
2017-09-24,0.5868539
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,0.54038733
2017-10-09,0.5207246
2017-10-11,0.4959653
2017-10-14,0.5001291
2017-10-16,0.4934925
2017-10-19,0.44887522
2017-10-21,0.4712284
2017-10-24,
2017-10-26,
2017-10-29,
2017-10-31,0.4472091
2017-11-03,0.4380093
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,0.3108901
2017-11-18,0.36159322
2017-11-20,0.22056434
2017-11-23,0.31303912
2017-11-28,
2017-11-30,
2017-12-03,0.2805213
2017-12-05,0.2749145
2017-12-08,
2017-12-10,
2017-12-13,
2017-12-15,
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,
2018-01-27,
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,
2018-03-03,
2018-03-05,
2018-03-08,
2018-03-10,
2018-03-13,
2018-03-15,
2018-03-18,
2018-03-20,
2018-03-23,
2018-03-25,
2018-03-28,
2018-03-30,
2018-04-02,0.1848101
2018-04-04,
2018-04-07,0.19808605
2018-04-09,
2018-04-12,
2018-04-14,0.19956614
2018-04-17,0.298391
2018-04-19,0.28629565
2018-04-22,0.31873006
2018-04-24,0.3413293
2018-04-27,0.3554939
2018-04-29,
2018-05-02,
2018-05-04,
2018-05-07,
2018-05-09,0.8949313
2018-05-12,
2018-05-14,
2018-05-17,
2018-05-19,
2018-05-22,
2018-05-24,
2018-05-29,
2018-06-01,0.3904243
2018-06-03,
2018-06-06,
2018-06-08,
2018-06-11,
2018-06-13,
2018-06-16,0.66757035
2018-06-18,0.6642622
2018-06-21,0.58345973
2018-06-23,0.57195365
2018-06-26,0.5013671
2018-06-28,
2018-07-01,0.45257396
2018-07-03,
2018-07-06,
2018-07-08,0.42925078
2018-07-11,0.44113025
2018-07-13,0.41179746
2018-07-16,
2018-07-18,0.3781338
2018-07-21,
2018-07-23,
2018-07-26,
2018-07-28,
2018-07-31,0.37868968
2018-08-02,
2018-08-05,0.31195116
2018-08-07,
2018-08-10,
2018-08-12,0.38062593
2018-08-15,0.35175654
2018-08-17,
2018-08-20,
2018-08-22,
2018-08-25,
2018-08-27,0.38166282
2018-08-30,
2018-09-01,
2018-09-04,0.36541373
2018-09-06,0.38839632
2018-09-09,0.41597167
2018-09-11,
2018-09-14,
2018-09-16,0.43544117
2018-09-19,0.45013154
2018-09-21,0.445612
2018-09-24,0.46790126
2018-09-26,
2018-09-29,0.4027561
2018-10-01,
2018-10-04,0.4027407
2018-10-06,
2018-10-09,0.3714059
2018-10-11,
2018-10-16,
2018-10-19,0.33459818
2018-10-21,0.33288956
2018-10-24,0.22749227
2018-10-26,0.309092
2018-10-29,
2018-10-31,
2018-11-03,
2018-11-05,
2018-11-08,
2018-11-10,
2018-11-15,0.33753708
2018-11-18,0.3472693
2018-11-20,
2018-11-23,
2018-11-25,
2018-11-28,0.59857893
2018-11-30,
2018-12-03,
2018-12-05,0.25389618
2018-12-08,0.18489286
2018-12-10,
2018-12-13,
2018-12-15,
2018-12-18,
2018-12-20,
2018-12-23,
2018-12-25,0.42025968
2018-12-28,
2018-12-30,
2019-01-02,
2019-01-04,0.23779196
2019-01-07,
2019-01-09,
2019-01-12,
2019-01-14,
2019-01-17,
2019-01-19,
2019-01-22,
2019-01-24,
2019-01-27,
2019-01-29,
2019-02-01,
2019-02-03,
2019-02-06,
2019-02-08,
2019-02-11,
2019-02-13,
2019-02-16,
2019-02-18,
2019-02-21,
2019-02-23,0.1625132
2019-02-26,
2019-02-28,0.17384201
2019-03-03,
2019-03-05,0.20297274
2019-03-08,0.22669765
2019-03-10,
2019-03-13,
2019-03-15,
2019-03-18,
2019-03-20,
2019-03-23,0.22888754
2019-03-25,0.20754461
2019-03-28,0.24073566
2019-03-30,0.25102916
2019-04-02,
2019-04-04,
2019-04-07,
2019-04-09,
2019-04-12,
2019-04-14,
2019-04-17,0.69448614
2019-04-19,
2019-04-22,
2019-04-24,
2019-04-27,
2019-04-29,
2019-05-02,0.3735284
2019-05-04,
2019-05-07,
2019-05-09,
2019-05-12,
2019-05-14,0.40836614
2019-05-17,
2019-05-19,
2019-05-24,0.4635809
2019-05-27,
2019-05-29,
2019-06-01,0.5093969
2019-06-03,0.53469753
2019-06-06,
2019-06-11,0.5568041
2019-06-13,0.62515867
2019-06-16,0.6029846
2019-06-18,0.66428894
2019-06-21,
2019-06-23,
2019-06-26,0.63464355
2019-06-28,0.6647991
2019-07-01,
2019-07-03,
2019-07-06,
2019-07-08,
2019-07-11,
2019-07-13,
2019-07-16,0.5497259
2019-07-18,
2019-07-21,
2019-07-23,0.474213
2019-07-26,0.42862493
2019-07-28,
2019-07-31,
2019-08-02,0.3033959
2019-08-05,
2019-08-07,
2019-08-10,
2019-08-12,
2019-08-15,
2019-08-17,
2019-08-20,
2019-08-22,0.5845185
2019-08-25,
2019-08-27,0.61854684
