t,FAPAR_mean
2017-01-14,
2017-01-24,0.50014687
2017-01-27,0.54218537
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,0.31699437
2017-02-26,
2017-03-05,0.59724516
2017-03-08,
2017-03-15,
2017-03-17,0.61684525
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,
2017-03-28,
2017-03-30,
2017-04-02,0.4930637
2017-04-04,
2017-04-07,
2017-04-09,
2017-04-12,
2017-04-14,
2017-04-17,
2017-04-22,
2017-04-24,
2017-04-27,
2017-04-29,
2017-05-02,0.52361304
2017-05-04,0.53067744
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,
2017-05-19,0.41558123
2017-05-22,0.53479844
2017-05-24,0.52897596
2017-05-27,0.5372364
2017-05-29,
2017-06-01,
2017-06-03,
2017-06-06,
2017-06-08,
2017-06-11,
2017-06-13,
2017-06-16,
2017-06-18,
2017-06-21,
2017-06-23,
2017-06-26,0.62192947
2017-06-28,0.6037168
2017-07-01,0.61050487
2017-07-03,
2017-07-06,0.61167026
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,
2017-07-18,
2017-07-21,
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,
2017-08-07,
2017-08-10,
2017-08-12,
2017-08-15,
2017-08-17,
2017-08-20,0.6337185
2017-08-22,
2017-08-25,
2017-08-27,
2017-08-30,0.6439153
2017-09-01,0.6216483
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,0.6172348
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,
2017-09-24,
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,0.7181608
2017-10-06,
2017-10-09,
2017-10-11,
2017-10-14,0.48750487
2017-10-16,0.59055996
2017-10-19,0.65823674
2017-10-21,0.65996003
2017-10-24,
2017-10-26,
2017-10-29,
2017-10-31,0.61189395
2017-11-03,0.5949928
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,0.56844586
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-27,0.5491498
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,0.3399841
2018-03-03,
