t,LAI_mean
2017-01-04,
2017-01-07,
2017-01-14,
2017-01-24,
2017-01-27,0.18498152
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,0.38638932
2017-03-18,
2017-03-20,0.43845952
2017-03-23,0.45495448
2017-03-25,0.56250906
2017-03-28,0.6327345
2017-03-30,
2017-04-02,0.73108053
2017-04-04,
2017-04-07,
2017-04-09,1.7976544
2017-04-12,
2017-04-14,2.6386945
2017-04-17,
2017-04-22,3.30295
2017-04-24,3.2277865
2017-04-27,
2017-04-29,
2017-05-02,4.1317844
2017-05-04,
2017-05-07,
2017-05-09,
2017-05-12,
2017-05-14,
2017-05-17,4.500913
2017-05-19,
2017-05-22,5.6374183
2017-05-24,
2017-05-27,5.0368233
2017-05-29,5.2407007
2017-06-01,
2017-06-03,
2017-06-06,5.8587193
2017-06-08,
2017-06-11,3.6148672
2017-06-13,3.667748
2017-06-16,
2017-06-18,3.5789175
2017-06-21,3.2095559
2017-06-23,
2017-06-26,3.1812255
2017-06-28,5.515254
2017-07-01,
2017-07-03,5.7097178
2017-07-06,3.963635
2017-07-08,
2017-07-11,
2017-07-13,
2017-07-16,7.6536283
2017-07-18,5.8672924
2017-07-21,5.4356804
2017-07-23,6.4233856
2017-07-26,
2017-07-28,
2017-07-31,
2017-08-02,
2017-08-05,5.6257663
2017-08-07,5.828018
2017-08-10,
2017-08-12,
2017-08-15,5.671181
2017-08-17,4.191957
2017-08-20,
2017-08-22,3.51824
2017-08-25,2.7192144
2017-08-27,
2017-08-30,
2017-09-01,
2017-09-04,3.5921905
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,4.426213
2017-09-24,
2017-09-26,0.9914264
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,
2017-10-09,
2017-10-11,3.0135136
2017-10-14,2.615075
2017-10-16,2.6468549
2017-10-19,2.0993645
2017-10-21,3.1170437
2017-10-24,2.2739432
2017-10-26,
2017-10-29,
2017-10-31,1.9713236
2017-11-03,1.4392725
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,0.9542071
2017-11-18,0.9204149
2017-11-20,
2017-11-23,0.2944939
2017-11-28,
2017-11-30,
2017-12-03,0.9167848
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,0.52115446
2017-12-15,
2017-12-18,
2017-12-20,
2017-12-23,1.8757771
2017-12-25,0.17846385
2017-12-28,
2017-12-30,
2018-01-02,3.3462963
2018-01-04,
2018-01-07,
