t,LAI_mean
2017-01-03,
2017-01-13,
2017-01-16,
2017-01-26,
2017-02-02,
2017-02-05,
2017-02-12,
2017-02-15,1.300693
2017-02-22,
2017-02-25,
2017-03-04,
2017-03-07,
2017-03-14,3.438876
2017-03-17,
2017-03-19,
2017-03-24,
2017-03-27,5.0090823
2017-03-29,
2017-04-01,
2017-04-03,6.431372
2017-04-06,
2017-04-08,6.2046647
2017-04-11,
2017-04-13,
2017-04-16,
2017-04-18,
2017-04-21,
2017-04-23,2.3727598
2017-04-26,
2017-04-28,1.7182152
2017-05-01,
2017-05-03,
2017-05-06,4.0869617
2017-05-08,
2017-05-11,4.067703
2017-05-13,3.4699473
2017-05-16,3.7419372
2017-05-18,
2017-05-21,
2017-05-23,
2017-05-26,3.0196333
2017-05-28,2.8260698
2017-06-02,
2017-06-05,
2017-06-07,
2017-06-10,
2017-06-12,
2017-06-15,
2017-06-17,
2017-06-20,
2017-06-22,
2017-06-25,
2017-06-27,
2017-06-30,
2017-07-02,
2017-07-05,2.3735702
2017-07-07,2.666666
2017-07-10,
2017-07-12,
2017-07-15,
2017-07-17,
2017-07-20,
2017-07-22,
2017-07-25,
2017-07-27,
2017-07-30,
2017-08-01,
2017-08-04,
2017-08-06,2.6393363
2017-08-09,
2017-08-11,
2017-08-14,
2017-08-16,
2017-08-19,
2017-08-21,
2017-08-24,
2017-08-26,
2017-08-29,3.0095222
2017-08-31,
2017-09-03,
2017-09-05,
2017-09-08,
2017-09-10,
2017-09-13,
2017-09-15,
2017-09-18,
2017-09-20,
2017-09-23,3.5560482
2017-09-25,3.898286
2017-09-28,
2017-09-30,
2017-10-03,
2017-10-05,
2017-10-08,0.95445067
2017-10-10,
2017-10-13,
2017-10-15,4.2005715
2017-10-18,4.2855186
2017-10-20,
2017-10-23,
2017-10-25,
2017-10-28,
2017-10-30,
2017-11-02,
2017-11-04,
2017-11-07,4.239385
2017-11-09,
2017-11-12,
2017-11-14,
2017-11-17,0.5335777
2017-11-19,
2017-11-22,2.9353645
2017-11-24,
2017-11-27,
2017-11-29,
2017-12-02,2.708187
2017-12-07,
2017-12-09,
2017-12-12,
2017-12-14,
2017-12-17,
2017-12-19,
2017-12-22,
2017-12-24,
2017-12-27,
2017-12-29,
2018-01-01,
2018-01-03,
2018-01-06,
2018-01-08,
2018-01-11,
2018-01-13,
2018-01-16,
2018-01-18,
2018-01-21,
2018-01-23,
2018-01-26,
2018-01-28,
2018-01-31,
2018-02-02,
2018-02-05,4.0957627
2018-02-07,
2018-02-10,
2018-02-12,
2018-02-15,
2018-02-17,
2018-02-20,
2018-02-22,3.6448612
2018-02-25,3.5858672
2018-02-27,3.3865185
2018-03-02,
2018-03-04,
2018-03-07,
2018-03-09,
2018-03-12,
2018-03-14,
2018-03-17,
2018-03-19,
2018-03-22,
2018-03-24,3.3039544
2018-03-27,
2018-03-29,
2018-04-01,
2018-04-03,
2018-04-06,
2018-04-08,
2018-04-11,
2018-04-13,
2018-04-16,
2018-04-18,5.106268
2018-04-21,5.3414917
2018-04-23,
2018-04-26,6.559841
2018-04-28,
2018-05-01,
2018-05-03,
2018-05-06,5.4311857
2018-05-08,5.2553
2018-05-11,
2018-05-13,
2018-05-16,
2018-05-18,
2018-05-21,
2018-05-23,
2018-05-26,3.984162
2018-05-28,
2018-05-31,
2018-06-02,
2018-06-05,
2018-06-07,
2018-06-10,
2018-06-12,
2018-06-15,
2018-06-17,
2018-06-20,4.2250886
2018-06-22,
2018-06-25,
2018-06-27,3.3879354
2018-06-30,2.6711445
2018-07-02,2.657901
2018-07-05,2.540052
2018-07-07,2.4901824
2018-07-10,
2018-07-12,2.0273602
2018-07-15,2.0990372
2018-07-17,1.8113049
2018-07-20,
2018-07-22,1.5386946
2018-07-25,1.215326
2018-07-27,1.109575
2018-07-30,
2018-08-01,
2018-08-04,0.76807374
2018-08-06,0.733599
2018-08-09,
2018-08-11,
2018-08-14,
2018-08-16,
2018-08-19,1.574216
2018-08-21,1.3085805
2018-08-24,
2018-08-26,2.96358
2018-08-29,
2018-08-31,
2018-09-03,
2018-09-05,
2018-09-08,
2018-09-10,
2018-09-13,
2018-09-18,3.8549342
2018-09-20,
2018-09-23,
2018-09-25,
2018-09-28,
2018-09-30,4.4622145
2018-10-03,
2018-10-05,4.166799
2018-10-08,
2018-10-10,4.2583337
2018-10-13,
2018-10-15,
2018-10-18,
2018-10-20,
2018-10-23,
2018-10-25,
2018-10-28,
2018-10-30,
2018-11-02,
2018-11-04,3.8619208
2018-11-07,
2018-11-09,
2018-11-12,
2018-11-14,4.00528
2018-11-17,3.48154
2018-11-19,
2018-11-22,2.7798703
2018-11-24,
2018-11-27,
2018-11-29,
2018-12-02,
2018-12-04,2.605963
2018-12-07,
2018-12-09,
2018-12-12,1.5421771
2018-12-14,
2018-12-17,
2018-12-19,
2018-12-22,
2018-12-24,
2018-12-27,
2018-12-29,
2019-01-01,
2019-01-03,
2019-01-06,
2019-01-08,
2019-01-11,
2019-01-13,
2019-01-16,
2019-01-18,
2019-01-21,2.511215
2019-01-23,
2019-01-26,
2019-01-28,
2019-01-31,
2019-02-02,
2019-02-05,
2019-02-07,
2019-02-10,
2019-02-12,
2019-02-15,2.8078227
2019-02-17,2.4762275
2019-02-20,2.597123
2019-02-22,
2019-02-25,2.6886692
2019-02-27,2.954361
2019-03-02,
2019-03-04,
2019-03-07,
2019-03-09,
2019-03-12,
2019-03-14,
2019-03-17,
2019-03-19,4.256736
2019-03-22,4.2030754
2019-03-24,
2019-03-27,1.5008179
2019-03-29,4.878107
2019-04-01,5.2958746
2019-04-03,
2019-04-06,
2019-04-08,
2019-04-11,6.0206394
2019-04-13,6.98349
2019-04-16,6.4773784
2019-04-18,5.777622
2019-04-21,5.899512
2019-04-23,
2019-04-26,
2019-04-28,
2019-05-01,5.736983
2019-05-03,
2019-05-06,4.435352
2019-05-08,
2019-05-11,
2019-05-13,5.323126
2019-05-16,
2019-05-18,
2019-05-23,
2019-05-26,
2019-05-28,
2019-05-31,
2019-06-02,4.4995227
2019-06-05,
2019-06-07,4.9227347
2019-06-12,
2019-06-15,
2019-06-17,4.9013534
2019-06-20,
2019-06-22,4.517523
2019-06-25,
2019-06-27,3.4022
2019-06-30,2.7950482
2019-07-02,
2019-07-05,2.3815634
2019-07-07,
2019-07-10,1.7900723
2019-07-12,
