t,LAI_mean
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,
2017-02-19,
2017-02-26,
2017-03-01,
2017-03-08,
2017-03-11,
2017-03-18,
2017-03-21,
2017-03-23,1.8859031
2017-03-26,
2017-03-28,2.8531117
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,3.707628
2017-04-10,4.1026435
2017-04-12,
2017-04-15,
2017-04-17,
2017-04-20,
2017-04-22,5.3004723
2017-04-25,
2017-04-27,
2017-04-30,
2017-05-02,
2017-05-05,2.7081857
2017-05-07,
2017-05-10,5.0091767
2017-05-12,
2017-05-15,
2017-05-17,5.1300707
2017-05-20,
2017-05-22,6.087183
2017-05-25,
2017-05-27,3.6845002
2017-05-30,3.0387082
2017-06-01,3.100039
2017-06-04,
2017-06-06,
2017-06-09,
2017-06-11,3.8395264
2017-06-14,
2017-06-16,5.3923125
2017-06-19,3.21134
2017-06-21,4.1980224
2017-06-24,
2017-06-26,4.2711754
2017-06-29,5.191611
2017-07-01,
2017-07-04,3.6201627
2017-07-06,2.786981
2017-07-09,
2017-07-11,
2017-07-14,
2017-07-16,3.8789024
2017-07-19,
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,
2017-08-03,
2017-08-05,5.467608
2017-08-08,
2017-08-10,
2017-08-13,
2017-08-15,3.0197442
2017-08-18,3.0311716
2017-08-20,
2017-08-23,3.5582156
2017-08-25,3.6349783
2017-08-28,
2017-08-30,
2017-09-02,
2017-09-04,
2017-09-07,
2017-09-09,
2017-09-12,
2017-09-14,
2017-09-17,
2017-09-19,
2017-09-22,
2017-09-24,
2017-09-27,
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,3.9389818
2017-10-09,
2017-10-12,2.8010337
2017-10-14,2.9567418
2017-10-17,3.0610034
2017-10-19,2.8856506
2017-10-22,
2017-10-24,3.4671311
2017-10-27,
2017-10-29,
2017-11-01,3.1573763
2017-11-03,3.5113308
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,
2017-11-16,
2017-11-18,
2017-11-21,
2017-11-23,
2017-11-26,
2017-11-28,
2017-12-01,
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,
2017-12-16,
2017-12-18,
2017-12-21,
2017-12-23,
2017-12-26,
2017-12-28,
2017-12-31,
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,
2018-02-14,
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,
2018-03-01,
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,
2018-03-16,
2018-03-18,
2018-03-21,
2018-03-23,
2018-03-26,
2018-03-28,
2018-03-31,
2018-04-02,
2018-04-05,
2018-04-07,1.9662999
2018-04-10,2.2451882
2018-04-12,
2018-04-15,
2018-04-17,3.7622755
2018-04-20,3.9556553
2018-04-22,3.891205
2018-04-25,4.7484455
2018-04-27,4.9298
2018-04-30,5.4851565
2018-05-02,
2018-05-05,
2018-05-07,5.4782333
2018-05-10,
2018-05-12,4.9065933
2018-05-15,
2018-05-17,
2018-05-20,
2018-05-22,
2018-05-25,
2018-05-30,4.909781
2018-06-01,
2018-06-04,
2018-06-06,
2018-06-09,
2018-06-11,
2018-06-14,
2018-06-16,
2018-06-19,2.864157
2018-06-21,
2018-06-24,
2018-06-26,2.9438481
2018-06-29,
2018-07-01,2.9871135
2018-07-04,
2018-07-06,
2018-07-09,3.7355542
2018-07-11,
2018-07-14,2.9402092
2018-07-16,4.6733055
2018-07-19,4.7642035
2018-07-21,
2018-07-24,
2018-07-26,4.5703893
2018-07-29,4.1877604
2018-07-31,4.1776114
2018-08-03,2.8527954
2018-08-05,1.7637621
2018-08-08,1.5203357
2018-08-10,1.0610104
2018-08-13,
2018-08-15,2.15189
2018-08-18,
2018-08-20,2.814403
2018-08-23,
2018-08-25,
2018-08-28,4.2711344
2018-08-30,
2018-09-02,
2018-09-04,
2018-09-07,
2018-09-09,5.2962036
2018-09-12,4.4429665
2018-09-14,
2018-09-17,4.904833
2018-09-19,4.8306646
2018-09-22,
2018-09-24,
2018-09-27,5.2264395
2018-09-29,
2018-10-02,0.9249932
2018-10-04,4.9957714
2018-10-07,4.305949
2018-10-09,2.0710957
2018-10-12,3.9650319
2018-10-14,3.852828
2018-10-17,3.2496438
2018-10-19,10.94602
2018-10-22,1.134471
2018-10-24,
2018-10-27,
2018-10-29,
2018-11-01,2.668396
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,2.5438988
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,
2018-12-06,
2018-12-08,
2018-12-11,
2018-12-13,1.2816495
2018-12-16,
2018-12-18,1.5124397
2018-12-21,
2018-12-23,
2018-12-26,1.649789
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-05,
2019-01-07,
2019-01-10,
2019-01-12,
2019-01-15,
2019-01-17,
2019-01-20,
2019-01-22,
2019-01-25,
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,
2019-02-16,
2019-02-19,
2019-02-21,
2019-02-24,
2019-02-26,
2019-03-01,
2019-03-03,
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,
2019-03-16,0.5189623
2019-03-18,
2019-03-21,0.55185974
2019-03-23,0.6637773
2019-03-26,
2019-03-28,0.8726433
2019-03-31,
2019-04-02,0.97051966
2019-04-05,
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,2.4580226
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,
2019-05-25,
2019-05-27,
2019-05-30,
2019-06-01,4.0565224
2019-06-04,3.5110354
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,
2019-06-16,
2019-06-19,3.536366
2019-06-21,
2019-06-24,3.561358
2019-06-26,3.6852205
2019-06-29,3.9596438
2019-07-01,
2019-07-04,2.123918
2019-07-06,
2019-07-09,
2019-07-11,
2019-07-14,
2019-07-16,4.6825314
2019-07-19,2.6959975
2019-07-21,
2019-07-24,2.7441998
2019-07-26,2.9264698
2019-07-29,
2019-07-31,
2019-08-03,
2019-08-05,
2019-08-08,3.8192384
2019-08-10,
2019-08-13,
2019-08-15,
2019-08-18,5.3167677
2019-08-20,
2019-08-23,
2019-08-25,4.5453897
2019-08-28,3.3016496
2019-08-30,3.6103091
2019-09-02,
2019-09-04,4.461011
2019-09-07,
2019-09-09,
2019-09-12,4.6631184
2019-09-14,2.0883322
2019-09-17,3.4900596
2019-09-19,2.4421864
2019-09-22,
2019-09-24,
2019-09-27,4.925191
2019-09-29,5.0132604
2019-10-02,
2019-10-04,
2019-10-07,2.1875389
2019-10-09,
2019-10-12,3.2911515
2019-10-14,3.819937
2019-10-17,3.5630834
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,
2019-11-08,
2019-11-11,
2019-11-13,
2019-11-16,1.7885875
2019-11-18,
2019-11-21,13.789783
2019-11-23,
2019-11-26,
2019-11-28,
2019-12-01,
2019-12-03,
2019-12-06,2.7973447
2019-12-08,
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,1.9588442
2020-01-02,1.81368
2020-01-05,2.3356426
2020-01-07,
2020-01-10,2.3396118
2020-01-12,2.535793
2020-01-15,2.0887847
2020-01-17,
2020-01-20,
2020-01-22,
2020-01-25,
2020-01-27,
2020-01-30,
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,
2020-02-11,
2020-02-14,
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,1.9442072
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,
2020-03-10,
2020-03-12,
2020-03-15,2.6768672
2020-03-17,3.2648625
2020-03-20,
2020-03-22,
2020-03-25,
2020-03-27,
2020-03-30,
2020-04-01,1.3064201
2020-04-04,2.08246
2020-04-06,2.354046
2020-04-09,2.653312
2020-04-11,3.1914787
2020-04-14,4.512568
2020-04-16,4.2766743
2020-04-19,
2020-04-21,
2020-04-24,4.536056
2020-04-26,
2020-04-29,
2020-05-01,
2020-05-04,5.264122
2020-05-06,
2020-05-09,5.123365
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,4.515021
2020-05-21,4.4355574
2020-05-24,4.6483426
2020-05-26,3.7549758
2020-05-29,3.318217
2020-05-31,3.0531425
2020-06-03,2.9805908
2020-06-05,
2020-06-08,
2020-06-10,
2020-06-13,
2020-06-15,
2020-06-18,
2020-06-20,
2020-06-23,3.7043462
2020-06-25,3.4277887
2020-06-28,
2020-06-30,4.1823974
2020-07-03,
2020-07-05,4.832275
2020-07-08,3.87787
2020-07-10,3.628178
2020-07-13,4.0793757
2020-07-15,
2020-07-18,4.017673
2020-07-20,3.3396032
2020-07-23,3.7937167
2020-07-25,
2020-07-28,4.4302497
2020-07-30,4.624661
2020-08-02,
2020-08-04,
2020-08-07,5.248139
2020-08-09,5.1910825
2020-08-12,4.5908175
2020-08-14,
2020-08-17,
2020-08-19,
2020-08-22,
2020-08-24,4.756068
2020-08-27,
2020-08-29,
2020-09-01,
2020-09-03,4.1346073
2020-09-06,
2020-09-08,
2020-09-11,4.321292
2020-09-13,5.4306254
2020-09-16,
2020-09-18,5.39244
2020-09-21,
2020-09-23,
2020-09-26,
2020-09-28,6.0024657
2020-10-01,
2020-10-03,
2020-10-06,
2020-10-08,6.4378333
2020-10-11,
2020-10-13,
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,
2020-10-31,1.8208375
2020-11-02,
2020-11-05,
2020-11-07,1.2190945
2020-11-10,
2020-11-12,2.4283004
2020-11-15,2.4836466
2020-11-17,
2020-11-20,
2020-11-22,
2020-11-25,1.8807043
2020-11-27,1.9587573
2020-11-30,
2020-12-02,
2020-12-05,
2020-12-07,
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,
2021-01-16,
2021-01-19,
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,
2021-02-03,
2021-02-05,
2021-02-08,
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,
2021-02-25,0.8110047
2021-02-28,
2021-03-02,0.8320179
2021-03-05,
2021-03-07,
2021-03-10,
2021-03-12,
2021-03-15,
2021-03-17,
2021-03-20,
2021-03-22,
2021-03-25,
2021-03-27,
2021-03-30,1.0678157
2021-04-01,1.4494349
2021-04-04,1.8201709
2021-04-06,
2021-04-09,
2021-04-11,2.68579
2021-04-14,
2021-04-16,2.7854521
2021-04-19,
2021-04-21,2.1722755
2021-04-24,2.639913
2021-04-26,
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,4.8605657
2021-05-11,
2021-05-14,
2021-05-16,
2021-05-19,
2021-05-21,
2021-05-24,
2021-05-26,
2021-05-29,
2021-05-31,
2021-06-03,
2021-06-05,
2021-06-08,
2021-06-10,4.4045954
2021-06-13,
2021-06-15,3.5908637
2021-06-18,3.0178485
2021-06-20,
2021-06-23,
2021-06-25,
2021-06-28,
2021-06-30,
2021-07-03,
2021-07-05,
2021-07-08,
2021-07-10,4.2494125
2021-07-13,
2021-07-15,
2021-07-18,3.3383696
2021-07-20,5.0268016
2021-07-23,
2021-07-25,
2021-07-28,
2021-07-30,
2021-08-02,4.6400433
2021-08-04,
2021-08-07,
2021-08-09,5.5841417
2021-08-12,4.152119
2021-08-14,4.1537504
2021-08-17,
2021-08-19,
2021-08-22,
2021-08-24,
2021-08-27,4.1885147
2021-08-29,
2021-09-01,5.299293
2021-09-03,3.8583639
2021-09-06,3.8770652
