t,LAI_mean
2017-01-10,
2017-01-30,
2017-02-09,0.216413
2017-02-19,
2017-03-01,
2017-03-11,0.47093397
2017-03-21,
2017-03-26,1.0263461
2017-03-31,
2017-04-05,
2017-04-10,2.4985669
2017-04-15,
2017-04-20,
2017-04-25,
2017-04-30,3.762402
2017-05-05,3.8870783
2017-05-10,4.008581
2017-05-15,
2017-05-20,
2017-05-25,
2017-05-30,
2017-06-04,
2017-06-09,
2017-06-14,3.5270483
2017-06-19,2.9796753
2017-06-24,
2017-06-29,
2017-07-04,0.66404396
2017-07-09,
2017-07-14,
2017-07-19,0.2329575
2017-07-24,
2017-07-29,0.20232736
2017-08-03,0.17894198
2017-08-08,
2017-08-13,0.17674349
2017-08-18,0.22609006
2017-08-23,0.29000634
2017-08-28,
2017-09-02,
2017-09-07,
2017-09-12,
2017-09-17,0.15634854
2017-09-22,0.2258126
2017-09-27,0.38117883
2017-10-02,
2017-10-07,1.277369
2017-10-12,1.9683571
2017-10-17,3.0166109
2017-10-22,
2017-10-27,
2017-11-01,4.428657
2017-11-06,
2017-11-11,
2017-11-16,
2017-11-21,
2017-11-26,
2017-12-01,
2017-12-06,
2017-12-11,
2017-12-16,
2017-12-21,
2017-12-26,
2017-12-31,3.589794
2018-01-05,
2018-01-10,
2018-01-15,
2018-01-20,
2018-01-25,
2018-01-30,
2018-02-04,1.0596225
2018-02-09,
2018-02-14,
2018-02-19,
2018-02-24,
2018-03-01,
2018-03-06,
2018-03-11,
2018-03-16,
2018-03-21,
2018-03-26,
2018-03-31,
2018-04-05,
2018-04-10,
2018-04-15,
2018-04-20,
2018-04-25,3.2455463
2018-04-30,2.790034
2018-05-05,2.9056568
2018-05-10,
2018-05-15,
2018-05-20,
2018-05-25,4.8699903
2018-05-30,4.631193
2018-06-04,4.2622714
2018-06-09,3.8792245
2018-06-14,
2018-06-19,2.3057518
2018-06-24,
2018-06-29,
2018-07-04,0.4401811
2018-07-09,0.38534722
2018-07-14,
2018-07-19,0.27442178
2018-07-24,0.4965475
2018-07-29,1.1656421
2018-08-03,1.7877812
2018-08-08,2.6106572
2018-08-13,
2018-08-18,
2018-08-23,
2018-08-28,0.19810551
2018-09-02,
2018-09-07,
2018-09-12,0.1657165
2018-09-17,0.1516633
2018-09-22,
2018-09-27,0.14998756
2018-10-02,0.15581961
2018-10-07,0.15381697
2018-10-12,0.12604856
2018-10-17,0.09628624
2018-10-22,0.08640673
2018-10-27,
2018-11-01,0.12352918
2018-11-06,
2018-11-11,
2018-11-16,
2018-11-21,
2018-11-26,
2018-12-01,
2018-12-06,
2018-12-11,0.45622343
2018-12-16,
2018-12-21,
2018-12-26,
2018-12-31,
2019-01-05,
2019-01-10,
2019-01-15,0.69462955
2019-01-20,
2019-01-25,0.61857384
2019-01-30,
2019-02-04,
2019-02-09,0.07144979
2019-02-14,0.7229076
2019-02-19,
2019-02-24,0.8539767
2019-03-01,
2019-03-06,
2019-03-11,
2019-03-16,
2019-03-21,1.78527
2019-03-26,
2019-03-31,
2019-04-05,
2019-04-10,
2019-04-15,
2019-04-20,4.162415
2019-04-25,
2019-04-30,
2019-05-05,
2019-05-10,
2019-05-15,
2019-05-20,
2019-05-25,
2019-05-30,4.6105576
2019-06-04,4.516283
2019-06-09,
2019-06-14,
2019-06-19,3.815994
2019-06-24,3.272237
2019-06-29,2.4027193
2019-07-04,1.3674511
2019-07-09,0.6359073
2019-07-14,0.36796495
2019-07-19,0.29858395
2019-07-24,0.26440603
2019-07-29,
2019-08-03,
2019-08-08,
2019-08-13,
2019-08-18,0.1744646
2019-08-23,
2019-08-28,0.39573172
2019-09-02,
2019-09-07,
2019-09-12,2.262673
2019-09-17,0.34750015
2019-09-22,
2019-09-27,0.13696612
2019-10-02,
2019-10-07,0.16413191
2019-10-12,0.16232546
2019-10-17,0.36041355
2019-10-22,
2019-10-27,
2019-11-01,
2019-11-06,
2019-11-11,
2019-11-16,0.3391431
2019-11-21,
2019-11-26,
2019-12-01,
2019-12-06,
2019-12-11,
2019-12-16,
2019-12-21,
2019-12-26,
2019-12-31,
2020-01-05,0.7290167
2020-01-10,0.23321502
2020-01-15,0.7024208
2020-01-20,0.65750784
2020-01-25,
2020-01-30,
2020-02-04,
2020-02-09,
2020-02-14,
2020-02-19,
2020-02-24,0.69099593
2020-02-29,
2020-03-05,
2020-03-10,
2020-03-15,0.8786931
2020-03-20,0.8869068
2020-03-25,0.99754393
2020-03-30,
2020-04-04,1.2166325
2020-04-09,1.5686498
2020-04-14,1.9217101
2020-04-19,
2020-04-24,1.4182624
2020-04-29,
2020-05-04,
2020-05-09,1.9607826
2020-05-14,
2020-05-19,2.477962
2020-05-24,2.9812794
2020-05-29,2.8018413
2020-06-03,
2020-06-08,5.349829
2020-06-13,
2020-06-18,
2020-06-23,0.9800507
2020-06-28,
2020-07-03,
2020-07-08,0.3272613
2020-07-13,0.25761065
2020-07-18,0.21607225
2020-07-23,0.22990538
2020-07-28,
2020-08-02,
2020-08-07,0.1874703
2020-08-12,
2020-08-17,
2020-08-22,
2020-08-27,
2020-09-01,
2020-09-06,
2020-09-11,
2020-09-16,
2020-09-21,0.47679883
2020-09-26,
2020-10-01,
2020-10-06,
2020-10-11,
2020-10-16,
2020-10-21,
2020-10-26,
2020-10-31,
2020-11-05,
2020-11-10,
2020-11-15,
2020-11-20,
2020-11-25,
2020-11-30,
2020-12-05,
2020-12-10,
2020-12-15,
2020-12-20,
2020-12-25,
2020-12-30,
2021-01-04,
2021-01-09,
2021-01-14,
2021-01-19,
2021-01-24,
2021-01-29,
2021-02-03,
2021-02-08,
2021-02-13,
2021-02-18,
2021-02-23,0.61154526
2021-02-28,
2021-03-05,
2021-03-10,
2021-03-15,
2021-03-20,
2021-03-25,
2021-03-30,3.1549866
2021-04-04,4.236792
2021-04-09,
2021-04-14,5.806956
2021-04-19,
2021-04-24,5.068583
2021-04-29,
2021-05-04,
2021-05-09,
2021-05-14,5.6695824
2021-05-19,
2021-05-24,
2021-05-29,5.4014297
2021-06-03,0.9893585
2021-06-08,
2021-06-13,2.8657448
2021-06-18,3.2511902
2021-06-23,
2021-06-28,
2021-07-03,
2021-07-08,
2021-07-13,
2021-07-18,4.9537725
2021-07-23,1.3323058
2021-07-28,
2021-08-02,
2021-08-07,
2021-08-12,3.208286
2021-08-17,
2021-08-22,
2021-08-27,
2021-09-01,5.0315485
2021-09-06,2.0744364
2021-09-11,
2021-09-16,
2021-09-21,
2021-09-26,
2021-10-01,5.0306444
2021-10-06,
2021-10-11,
2021-10-16,4.9252996
2021-10-21,
2021-10-26,
2021-10-31,
2021-11-05,
2021-11-10,
2021-11-15,
