t,LAI_mean
2017-01-04,
2017-01-14,
2017-01-24,
2017-02-03,
2017-02-13,
2017-02-23,
2017-03-05,
2017-03-15,
2017-03-17,
2017-03-20,
2017-03-25,
2017-03-30,
2017-04-04,
2017-04-09,
2017-04-14,
2017-04-24,1.3732779
2017-04-29,
2017-05-04,
2017-05-09,
2017-05-14,
2017-05-19,1.5543957
2017-05-24,
2017-05-29,0.8183181
2017-06-03,
2017-06-08,
2017-06-13,
2017-06-18,
2017-06-23,
2017-06-28,
2017-07-03,
2017-07-08,
2017-07-13,
2017-07-18,
2017-07-23,
2017-07-28,1.6139548
2017-08-02,
2017-08-07,2.0719879
2017-08-12,
2017-08-17,
2017-08-22,
2017-08-27,
2017-09-01,
2017-09-06,
2017-09-11,
2017-09-16,
2017-09-21,
2017-09-26,
2017-10-01,
2017-10-06,
2017-10-11,
2017-10-16,1.3266755
2017-10-21,
2017-10-26,
2017-10-31,
2017-11-05,
2017-11-10,
2017-11-15,
2017-11-20,
2017-11-30,
2017-12-05,
2017-12-10,
2017-12-15,
2017-12-20,
2017-12-25,
2017-12-30,
2018-01-04,
2018-01-09,
2018-01-14,
2018-01-19,
2018-01-24,
2018-01-29,
2018-02-03,
2018-02-08,
2018-02-13,
2018-02-18,
2018-02-23,
2018-02-28,
2018-03-05,
2018-03-10,
2018-03-15,
2018-03-20,
2018-03-25,
2018-03-30,0.5066925
2018-04-04,
2018-04-09,1.3087143
2018-04-14,
2018-04-19,1.3604095
2018-04-24,
2018-04-29,
2018-05-04,1.4784074
2018-05-09,
2018-05-14,1.5518564
2018-05-19,
2018-05-24,
2018-05-29,1.9062431
2018-06-03,
2018-06-08,
2018-06-13,
2018-06-18,1.8880796
2018-06-23,
2018-06-28,
2018-07-03,2.0220604
2018-07-08,
2018-07-13,1.9887118
2018-07-18,
2018-07-23,
2018-07-28,1.5820397
2018-08-02,1.4233892
2018-08-07,1.7471924
2018-08-12,
2018-08-17,
2018-08-22,1.6610829
2018-08-27,
2018-09-01,
2018-09-06,
2018-09-11,
2018-09-16,1.9339451
2018-09-21,1.443301
2018-09-26,1.5178307
2018-10-01,
2018-10-06,
2018-10-11,1.4555138
2018-10-16,1.0889207
2018-10-21,
2018-10-26,
2018-10-31,1.3909793
2018-11-05,
2018-11-10,0.7951114
2018-11-15,
2018-11-20,
2018-11-25,
2018-11-30,
2018-12-05,1.1080515
2018-12-10,
2018-12-15,
2018-12-20,
2018-12-25,
2018-12-30,
2019-01-04,
2019-01-09,
2019-01-14,
2019-01-19,
2019-01-24,
2019-01-29,
2019-02-03,
2019-02-08,
2019-02-13,
2019-02-18,
2019-02-23,
2019-02-28,
2019-03-05,
2019-03-10,
2019-03-15,
2019-03-20,
2019-03-25,
2019-03-30,1.0900158
2019-04-04,1.1861589
2019-04-09,0.8951584
2019-04-14,
2019-04-19,1.3424214
2019-04-24,1.4236546
2019-04-29,
2019-05-04,
2019-05-09,
2019-05-14,
2019-05-19,1.4771928
2019-05-24,
2019-05-29,
2019-06-03,1.7388748
2019-06-08,
2019-06-13,
2019-06-18,1.9147283
2019-06-23,
2019-06-28,
2019-07-03,
2019-07-08,
2019-07-13,
2019-07-18,1.666665
2019-07-23,1.7345973
2019-07-28,
2019-08-02,
2019-08-07,
2019-08-12,
2019-08-17,
2019-08-22,1.6876304
2019-08-27,1.5027609
2019-09-01,
2019-09-06,
2019-09-11,
2019-09-16,
2019-09-21,1.4182134
2019-09-26,
2019-10-01,1.3479671
2019-10-06,
2019-10-11,
2019-10-16,
2019-10-21,
2019-10-26,
2019-10-31,1.3047462
2019-11-05,
2019-11-10,1.0312142
2019-11-15,
2019-11-20,
2019-11-30,
2019-12-05,0.64845127
2019-12-10,
2019-12-15,
2019-12-20,
2019-12-25,
2019-12-30,
2020-01-04,
2020-01-09,
2020-01-14,
2020-01-19,
2020-01-24,0.9495559
2020-01-29,
2020-02-03,
2020-02-08,
2020-02-13,
2020-02-18,
2020-02-23,
2020-02-28,
2020-03-04,
2020-03-09,
2020-03-14,1.2444324
2020-03-19,
2020-03-24,
2020-03-29,
2020-04-03,
2020-04-08,1.2666969
2020-04-13,
2020-04-18,
2020-04-23,1.3239208
2020-04-28,
2020-05-03,
2020-05-08,1.2880697
2020-05-13,
2020-05-18,1.4243505
2020-05-23,
2020-05-28,
2020-06-02,1.6046462
2020-06-07,
2020-06-12,
2020-06-17,
2020-06-22,1.5255809
2020-06-27,
2020-07-02,1.9584215
2020-07-07,
2020-07-12,
2020-07-17,
2020-07-22,
2020-07-27,1.8848771
2020-08-01,1.7035602
2020-08-06,1.6365073
2020-08-11,
2020-08-16,1.5057855
2020-08-21,1.6196959
2020-08-26,
2020-08-31,
2020-09-05,
2020-09-10,
2020-09-15,1.2325038
2020-09-20,
2020-09-25,
2020-09-30,
2020-10-10,
2020-10-15,
2020-10-20,
2020-10-25,1.0398848
2020-10-30,
2020-11-04,
2020-11-09,
2020-11-14,
2020-11-19,
2020-11-24,1.0123162
2020-11-29,
2020-12-04,
2020-12-09,
2020-12-19,0.6033126
2020-12-24,
2020-12-29,
2021-01-03,
2021-01-08,
2021-01-13,
2021-01-18,
2021-01-23,
2021-01-28,
2021-02-02,
2021-02-07,
2021-02-12,
2021-02-17,
2021-02-22,
2021-02-27,
2021-03-04,
2021-03-09,
2021-03-14,
2021-03-19,
2021-03-24,
2021-03-29,
2021-04-03,
2021-04-08,
2021-04-13,
2021-04-18,
2021-04-23,
2021-04-28,1.2719941
2021-05-03,
2021-05-08,
2021-05-13,
2021-05-18,
2021-05-23,1.5200166
2021-05-28,
2021-06-02,1.5172406
2021-06-07,1.6342757
2021-06-12,
2021-06-17,2.0086327
2021-06-22,
2021-06-27,
2021-07-02,
2021-07-07,
2021-07-12,
2021-07-17,
2021-07-22,
2021-07-27,
2021-08-01,
2021-08-06,
2021-08-11,
2021-08-16,
2021-08-21,
2021-08-26,
2021-08-31,
2021-09-05,1.4956725
2021-09-10,1.5429276
2021-09-15,
2021-09-20,
2021-09-25,1.1995538
2021-09-30,1.3941816
2021-10-05,
2021-10-10,1.4740572
2021-10-15,
2021-10-20,
2021-10-25,1.2766765
2021-10-30,1.410146
2021-11-04,
2021-11-14,
2021-11-19,
2021-11-24,
2021-11-29,
2021-12-04,
2021-12-09,
2021-12-14,
2021-12-19,
2021-12-24,
2021-12-29,
2022-01-03,0.963019
2022-01-08,
2022-01-13,
2022-01-18,
2022-01-23,
2022-01-28,
2022-02-02,
2022-02-07,
2022-02-12,
2022-02-17,
2022-02-22,
2022-02-27,
2022-03-04,
2022-03-09,
2022-03-14,
2022-03-19,
2022-03-24,1.1299281
2022-03-29,
2022-04-03,
2022-04-08,
2022-04-13,
2022-04-18,
2022-04-23,1.3908405
2022-04-28,
2022-05-03,
2022-05-08,
2022-05-13,
2022-05-18,1.4943576
2022-05-23,
2022-05-28,
2022-06-02,1.7850024
2022-06-07,
2022-06-12,
2022-06-17,
2022-06-22,1.7624879
2022-06-27,
2022-07-02,
2022-07-07,
2022-07-12,1.9811456
2022-07-17,
2022-07-22,1.950248
2022-07-27,
2022-08-01,
2022-08-06,
2022-08-11,
2022-08-16,
2022-08-21,
2022-08-26,
2022-08-31,
2022-09-05,1.53854
2022-09-10,1.4873137
2022-09-15,
2022-09-20,
2022-09-25,
2022-09-30,
2022-10-05,
2022-10-10,0.9395963
2022-10-15,
2022-10-20,1.2793382
2022-10-25,
2022-10-30,0.8040506
2022-11-04,
2022-11-09,
2022-11-14,
2022-11-19,0.72263557
2022-11-24,
2022-11-29,
2022-12-04,
2022-12-09,
