t,LAI_mean
2017-01-02,
2017-01-12,0.9468488
2017-02-01,
2017-02-11,
2017-02-21,0.9623769
2017-03-03,
2017-03-13,0.8482516
2017-03-18,
2017-03-23,
2017-04-02,1.5539618
2017-04-07,1.4407907
2017-04-12,1.2846558
2017-04-17,1.2034773
2017-04-22,
2017-04-27,0.8397656
2017-05-02,0.94521457
2017-05-07,0.8275315
2017-05-12,
2017-05-17,
2017-05-22,
2017-05-27,
2017-06-01,0.48001593
2017-06-06,0.4276744
2017-06-11,0.3518299
2017-06-16,0.32698974
2017-06-21,0.2671072
2017-06-26,0.2691116
2017-07-01,0.29934132
2017-07-06,
2017-07-11,0.2966275
2017-07-16,0.3075018
2017-07-21,0.2802155
2017-07-26,0.25741613
2017-07-31,0.23789696
2017-08-05,0.19888508
2017-08-10,0.23031765
2017-08-15,
2017-08-20,0.18403646
2017-08-25,
2017-08-30,0.2169078
2017-09-04,0.23539141
2017-09-09,0.25103173
2017-09-14,0.23641814
2017-09-19,0.24896859
2017-09-24,0.22746354
2017-09-29,
2017-10-04,
2017-10-09,0.20008461
2017-10-14,0.22378513
2017-10-19,
2017-10-24,0.19625469
2017-10-29,0.20246327
2017-11-03,
2017-11-08,0.2086773
2017-11-13,0.23357196
2017-11-18,0.19168192
2017-11-23,
2017-11-28,
2017-12-08,0.2890144
2017-12-13,0.25538525
2017-12-18,0.2643661
2017-12-23,0.28621897
2017-12-28,
2018-01-02,
2018-01-07,
2018-01-12,
2018-01-17,
2018-01-22,
2018-01-27,0.58038384
2018-02-01,0.6077954
2018-02-06,0.752805
2018-02-11,0.6865003
2018-02-16,0.3350802
2018-02-21,0.97795486
2018-02-26,0.88385755
2018-03-03,
2018-03-08,
2018-03-13,
2018-03-18,1.4547791
2018-03-23,
2018-03-28,1.918851
2018-04-02,
2018-04-07,
2018-04-12,
2018-04-17,1.6040251
2018-04-22,
2018-04-27,1.5667907
2018-05-02,
2018-05-07,
2018-05-12,2.439019
2018-05-17,1.4998482
2018-05-22,1.2013167
2018-05-27,1.3099883
2018-06-01,1.2995396
2018-06-06,1.1292759
2018-06-11,0.9732769
2018-06-16,0.9528922
2018-06-21,0.6939399
2018-06-26,0.52530706
2018-07-01,
2018-07-06,0.40026337
2018-07-11,0.3548246
2018-07-16,0.34733248
2018-07-21,0.31252053
2018-07-26,0.29277715
2018-07-31,0.26018345
2018-08-05,0.24774164
2018-08-10,0.23721686
2018-08-15,0.2120142
