t,LAI_mean
2017-01-16,
2017-01-19,0.7247537
2017-01-26,0.62212485
2017-01-29,
2017-02-05,
2017-02-08,
2017-02-15,0.600257
2017-02-18,
2017-02-25,
2017-02-28,
2017-03-07,
2017-03-10,
2017-03-17,
2017-03-19,
2017-03-20,
2017-03-27,2.9737406
2017-03-30,3.3586118
2017-04-01,
2017-04-06,
2017-04-09,4.1983714
2017-04-11,
2017-04-14,
2017-04-16,
2017-04-19,4.2125707
2017-04-21,
2017-04-24,3.4852402
2017-04-26,
2017-04-29,
2017-05-01,
2017-05-04,
2017-05-06,
2017-05-09,4.4436088
2017-05-11,
2017-05-14,
2017-05-16,
2017-05-19,
2017-05-21,
2017-05-24,3.331918
2017-05-26,3.0184314
2017-05-29,3.097445
2017-06-03,
2017-06-05,
2017-06-08,
2017-06-10,
2017-06-13,
2017-06-15,3.9676707
2017-06-18,3.887817
2017-06-20,3.7951872
2017-06-23,
2017-06-25,
2017-06-28,
2017-06-30,2.8639417
2017-07-03,
2017-07-05,0.90026164
2017-07-10,
2017-07-13,0.4620109
2017-07-15,
2017-07-18,1.0510132
2017-07-20,
2017-07-23,
2017-07-25,0.672499
2017-07-28,
2017-07-30,
2017-08-02,
2017-08-04,
2017-08-07,1.8540468
2017-08-09,
2017-08-12,
2017-08-14,
2017-08-17,
2017-08-19,
2017-08-22,
2017-08-24,
2017-08-27,0.44464925
2017-08-29,0.7852017
2017-09-01,
2017-09-03,
2017-09-06,
2017-09-08,
2017-09-11,
2017-09-13,
2017-09-16,
2017-09-18,
2017-09-21,0.4679218
2017-09-23,
2017-09-26,
2017-09-28,
2017-10-01,
2017-10-03,
2017-10-06,0.25856385
2017-10-08,
2017-10-11,
2017-10-13,
2017-10-16,0.21948208
2017-10-18,0.1744151
2017-10-21,
2017-10-23,
2017-10-26,
2017-10-28,
2017-10-31,0.4337171
2017-11-02,
2017-11-05,1.7445354
2017-11-07,0.6897082
2017-11-10,
2017-11-12,
2017-11-15,
2017-11-17,
2017-11-20,
2017-11-22,0.59818864
2017-11-25,
2017-11-27,
2017-11-30,
2017-12-02,
2017-12-05,
2017-12-07,
2017-12-10,
2017-12-12,0.17169948
2017-12-15,
2017-12-17,0.17882752
2017-12-20,
2017-12-22,
2017-12-25,
2017-12-27,
2017-12-30,
2018-01-01,
2018-01-04,
2018-01-06,
2018-01-09,
2018-01-11,
2018-01-14,
2018-01-16,
2018-01-19,
2018-01-21,
2018-01-24,
2018-01-26,
2018-01-29,
2018-01-31,
2018-02-05,
2018-02-08,
2018-02-10,
2018-02-13,
2018-02-15,
2018-02-18,0.38983834
2018-02-20,
2018-02-23,0.371394
2018-02-25,
2018-02-28,0.36014375
2018-03-02,
2018-03-05,
2018-03-07,
2018-03-10,
2018-03-12,
2018-03-15,
2018-03-17,
2018-03-20,0.48266172
2018-03-22,
2018-03-25,0.17390186
2018-03-27,
2018-03-30,
2018-04-01,
2018-04-04,
2018-04-06,0.18260902
2018-04-09,
2018-04-11,1.2287402
2018-04-14,
2018-04-16,
2018-04-19,1.7578526
2018-04-21,1.9004141
2018-04-24,
2018-04-26,2.471033
2018-04-29,
2018-05-01,
2018-05-04,2.6456597
2018-05-06,2.7164059
2018-05-09,3.1039655
2018-05-11,
2018-05-14,
2018-05-16,2.9997797
2018-05-19,3.4621847
2018-05-21,3.2409475
2018-05-24,
2018-05-26,1.6872112
2018-05-29,
2018-05-31,
2018-06-03,3.4757519
2018-06-05,
2018-06-08,
2018-06-10,
2018-06-13,
2018-06-15,2.6892855
2018-06-18,
2018-06-20,
2018-06-23,
2018-06-25,2.9819806
2018-06-28,1.5397676
2018-06-30,1.1595285
2018-07-03,0.7988135
2018-07-05,
2018-07-08,0.53174686
2018-07-10,
2018-07-13,0.44841823
2018-07-15,0.6803434
2018-07-18,
2018-07-20,
2018-07-23,0.31444588
2018-07-25,0.39859658
2018-07-28,
2018-07-30,
2018-08-02,0.27853337
2018-08-04,0.5225047
2018-08-07,0.22082648
2018-08-09,
2018-08-12,
2018-08-14,
2018-08-17,
2018-08-19,
2018-08-22,0.28993115
2018-08-24,
2018-08-27,
2018-08-29,
2018-09-01,0.37582445
2018-09-03,
2018-09-06,
2018-09-08,0.60983646
2018-09-11,0.37463015
2018-09-13,
2018-09-16,
2018-09-18,0.40788403
2018-09-21,
2018-09-23,
2018-09-26,0.61424017
2018-09-28,0.6911407
2018-10-01,
2018-10-03,
2018-10-06,0.8829281
2018-10-08,
2018-10-11,1.1448685
2018-10-13,
2018-10-16,1.4822657
2018-10-18,
2018-10-21,1.7680463
2018-10-23,
2018-10-26,
2018-10-28,
2018-10-31,
2018-11-02,2.499165
2018-11-05,2.0404313
2018-11-07,
2018-11-10,
2018-11-12,
2018-11-15,
2018-11-17,2.0683331
2018-11-20,
2018-11-22,
2018-11-25,
2018-11-27,
2018-11-30,
2018-12-02,
2018-12-05,
2018-12-07,
2018-12-10,
2018-12-12,0.1699525
2018-12-15,
2018-12-17,0.4483999
2018-12-20,
2018-12-22,
2018-12-25,0.508233
2018-12-27,
2018-12-30,
2019-01-01,
2019-01-04,
2019-01-06,
2019-01-09,
2019-01-11,
2019-01-14,0.30344835
2019-01-16,
2019-01-19,
2019-01-21,0.49864528
2019-01-24,
2019-01-26,
2019-01-29,
2019-01-31,
2019-02-03,
2019-02-05,
2019-02-08,
2019-02-10,
2019-02-13,
2019-02-15,0.3220044
2019-02-18,0.26744172
2019-02-20,
2019-02-23,0.26540786
2019-02-25,0.33160946
2019-02-28,
2019-03-02,
2019-03-05,
2019-03-07,
2019-03-10,0.5488529
2019-03-12,
2019-03-15,
2019-03-17,
2019-03-20,
2019-03-22,0.5546498
2019-03-25,
2019-03-27,
2019-03-30,0.5503973
2019-04-01,
2019-04-04,2.104983
2019-04-06,0.93354297
2019-04-09,
2019-04-11,1.377449
2019-04-14,
2019-04-16,
2019-04-19,1.0776042
2019-04-21,1.2866762
2019-04-24,
2019-04-26,1.443251
2019-04-29,2.5362427
2019-05-01,
2019-05-04,
2019-05-06,
2019-05-09,
2019-05-11,1.8505256
2019-05-14,2.383115
2019-05-16,3.2769146
2019-05-19,
2019-05-24,
2019-05-26,
2019-05-29,0.96959734
2019-05-31,
2019-06-03,
2019-06-05,
2019-06-08,
2019-06-15,2.6379464
2019-06-18,
2019-06-20,
2019-06-23,2.0826669
2019-06-25,
2019-06-28,2.3715546
2019-06-30,1.8494637
2019-07-03,1.9564606
2019-07-05,1.6266483
2019-07-08,
2019-07-10,
2019-07-13,
2019-07-15,
2019-07-18,
2019-07-20,
2019-07-23,0.9328675
2019-07-25,
2019-07-28,
2019-07-30,
2019-08-02,
2019-08-04,
2019-08-07,
2019-08-09,
2019-08-12,
2019-08-14,
2019-08-17,
2019-08-19,1.4256318
2019-08-22,0.90593654
2019-08-24,0.90812683
2019-08-27,
2019-08-29,
2019-09-01,
2019-09-03,
2019-09-06,0.7399096
2019-09-08,0.9915251
2019-09-11,
2019-09-13,
2019-09-16,
2019-09-18,0.8459757
2019-09-21,0.62513727
2019-09-26,
2019-09-28,
2019-10-01,
2019-10-03,
2019-10-06,
2019-10-08,
2019-10-11,
2019-10-13,1.0407213
2019-10-16,
2019-10-18,1.9104376
2019-10-21,
2019-10-23,
2019-10-26,
2019-10-28,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-07,
2019-11-10,1.7182374
2019-11-12,
2019-11-15,
2019-11-17,2.1194878
2019-11-20,
2019-11-22,
2019-11-25,1.4826564
2019-11-27,
2019-11-30,
2019-12-02,
2019-12-05,
2019-12-07,
2019-12-10,
2019-12-12,
2019-12-15,
2019-12-17,
2019-12-20,
2019-12-22,
2019-12-25,
2019-12-27,
2019-12-30,0.57678777
2020-01-01,
2020-01-04,0.31563345
2020-01-06,0.51012176
2020-01-09,
2020-01-11,
2020-01-14,
2020-01-16,
2020-01-19,0.4710907
2020-01-21,0.5553954
2020-01-24,
2020-01-26,
2020-01-29,
2020-01-31,
2020-02-03,
2020-02-05,
2020-02-08,
2020-02-10,
2020-02-13,0.2382828
2020-02-15,
2020-02-18,
2020-02-20,
2020-02-23,
2020-02-25,
2020-02-28,
2020-03-01,
2020-03-04,
2020-03-06,
2020-03-09,0.3406149
2020-03-11,
2020-03-14,
2020-03-16,
2020-03-19,0.38473195
2020-03-21,
2020-03-24,0.69200927
2020-03-26,0.9097725
2020-03-29,
2020-03-31,
2020-04-03,1.8550421
2020-04-05,1.0261368
2020-04-08,0.75014
2020-04-10,0.92170686
2020-04-13,0.66641414
2020-04-15,1.012358
2020-04-18,
2020-04-20,0.9413792
2020-04-23,0.9306378
2020-04-25,1.2022828
2020-04-28,
2020-04-30,
2020-05-03,
2020-05-05,1.5204564
2020-05-08,
2020-05-10,
2020-05-13,2.992313
2020-05-15,1.1577655
2020-05-18,1.0124404
2020-05-20,0.9784103
2020-05-23,1.1731399
2020-05-25,1.1483709
2020-05-28,
2020-05-30,0.92281276
2020-06-02,0.9108186
2020-06-04,
2020-06-07,
2020-06-09,
2020-06-12,
2020-06-14,
2020-06-17,
2020-06-19,
2020-06-22,
2020-06-24,0.8015008
2020-06-27,
2020-06-29,
2020-07-02,
2020-07-04,
2020-07-07,
2020-07-09,0.94487715
2020-07-12,
2020-07-14,
2020-07-17,
2020-07-19,
2020-07-22,
2020-07-24,
2020-07-27,1.5173537
2020-07-29,1.2533636
2020-08-01,1.1972581
2020-08-03,
2020-08-06,
2020-08-08,
2020-08-11,0.71925366
2020-08-13,0.86381006
2020-08-16,
2020-08-18,
2020-08-21,0.92014396
2020-08-23,
2020-08-26,
2020-08-28,
2020-08-31,
2020-09-02,0.21730357
2020-09-05,0.36393327
2020-09-07,0.12974967
2020-09-10,0.66217417
2020-09-12,1.6032764
2020-09-15,0.08371189
2020-09-17,0.60062426
2020-09-20,0.43567178
2020-09-22,0.47379115
2020-09-25,
2020-09-27,
2020-09-30,
2020-10-02,
2020-10-05,
2020-10-07,
2020-10-10,
2020-10-12,
2020-10-15,
2020-10-17,0.32062224
2020-10-20,
2020-10-25,
2020-10-27,
2020-10-30,
2020-11-01,
2020-11-04,0.32041943
2020-11-06,0.80024666
2020-11-09,0.31266695
2020-11-11,
2020-11-14,
2020-11-16,
2020-11-19,
2020-11-21,
2020-11-24,
2020-11-26,
2020-11-29,
2020-12-01,
2020-12-04,
2020-12-06,0.17428845
2020-12-09,
2020-12-11,
2020-12-16,
2020-12-19,
2020-12-21,
2020-12-24,
2020-12-26,
2020-12-29,
2020-12-31,
2021-01-03,
2021-01-05,
2021-01-08,
2021-01-10,0.25660402
2021-01-13,
2021-01-15,
2021-01-18,
2021-01-20,
2021-01-23,
2021-01-25,
2021-01-28,
2021-01-30,
2021-02-02,
2021-02-04,
2021-02-07,
2021-02-09,
2021-02-12,
2021-02-14,
2021-02-17,
2021-02-19,
2021-02-22,
2021-02-24,0.25010183
2021-02-27,0.27738506
2021-03-01,0.36474174
2021-03-04,
2021-03-06,0.42917672
2021-03-09,
2021-03-11,
2021-03-14,
2021-03-16,
2021-03-19,0.43953645
2021-03-21,
2021-03-24,0.5300852
2021-03-26,
2021-03-29,0.60241073
2021-03-31,0.7999669
2021-04-03,
2021-04-05,
2021-04-08,0.8447857
2021-04-10,
2021-04-13,
2021-04-15,1.6336848
2021-04-18,
2021-04-20,
2021-04-23,1.2584698
2021-04-25,1.3204803
2021-04-28,1.4540453
2021-04-30,
2021-05-03,
2021-05-05,
2021-05-08,
2021-05-10,
2021-05-13,
2021-05-15,
2021-05-18,3.0136468
2021-05-20,
2021-05-23,
2021-05-25,
2021-05-28,
