t,LAI_mean
2017-01-16,
2017-01-26,
2017-02-05,
2017-02-15,
2017-02-25,0.1040442
2017-03-07,
2017-03-17,0.12134957
2017-03-19,0.23425992
2017-03-27,
2017-04-01,
2017-04-06,0.14157024
2017-04-11,0.16294374
2017-04-16,
2017-04-21,0.14461395
2017-04-26,
2017-05-01,
2017-05-06,0.17308061
2017-05-11,
2017-05-16,0.13150282
2017-05-21,
2017-05-26,0.16333583
2017-06-05,0.343681
2017-06-10,0.36654574
2017-06-15,
2017-06-20,1.2742211
2017-06-25,1.3626295
2017-06-30,
2017-07-05,3.6331203
2017-07-10,
2017-07-15,4.4372025
2017-07-20,
2017-07-25,
2017-07-30,
2017-08-04,4.756054
2017-08-09,
2017-08-14,3.626608
2017-08-19,
2017-08-24,2.2772458
2017-08-29,1.965241
2017-09-03,
2017-09-08,
2017-09-13,
2017-09-18,
2017-09-23,0.11324851
2017-09-28,
2017-10-03,
2017-10-08,0.11850731
2017-10-13,0.11528709
2017-10-18,
2017-10-23,0.18779047
2017-10-28,0.11376008
2017-11-02,
2017-11-07,0.05453091
2017-11-12,
2017-11-17,0.020909365
2017-11-22,0.041478496
2017-11-27,0.019877914
2017-12-02,
2017-12-07,0.108701035
2017-12-12,
2017-12-17,
2017-12-22,
2017-12-27,
2018-01-01,
2018-01-06,
2018-01-11,
2018-01-16,
2018-01-21,
2018-01-26,
2018-01-31,
2018-02-05,
2018-02-10,
2018-02-15,
2018-02-20,
2018-02-25,1.9368285
2018-03-02,1.7460244
2018-03-07,
2018-03-12,
2018-03-17,
2018-03-22,1.5692714
2018-03-27,
2018-04-01,
2018-04-06,2.3912823
2018-04-11,
2018-04-16,
2018-04-21,
2018-04-26,
2018-05-01,3.5163956
2018-05-06,
2018-05-11,3.6879742
2018-05-16,
2018-05-21,3.8525474
2018-05-26,3.112478
2018-05-31,
2018-06-05,
2018-06-10,
2018-06-15,
2018-06-20,0.71832496
2018-06-25,0.6418571
2018-06-30,0.5084332
2018-07-05,
2018-07-10,0.5322801
2018-07-15,
2018-07-20,
2018-07-25,0.45765084
2018-07-30,0.5515587
2018-08-04,0.71790886
2018-08-09,
2018-08-14,
2018-08-19,1.5202518
2018-08-24,
2018-08-29,
2018-09-03,1.8408237
2018-09-08,1.8555994
2018-09-13,
2018-09-18,
2018-09-23,1.5171672
2018-09-28,0.16166192
2018-10-03,0.13887383
2018-10-08,
2018-10-13,
2018-10-18,
2018-10-23,0.08493161
2018-10-28,
2018-11-02,
2018-11-07,
2018-11-12,0.06626714
2018-11-17,0.07872464
2018-11-22,
2018-11-27,0.049323123
2018-12-02,
2018-12-07,0.024818327
2018-12-12,
2018-12-17,
2018-12-22,
2018-12-27,0.0085619725
2019-01-01,
2019-01-06,
2019-01-11,0.035541706
2019-01-16,0.031424727
2019-01-21,
2019-01-26,
2019-01-31,
2019-02-05,
2019-02-10,
2019-02-15,0.07631031
2019-02-20,0.089178
2019-02-25,0.10449267
2019-03-02,
2019-03-07,
2019-03-12,
2019-03-17,
2019-03-22,0.11792263
2019-03-27,0.12450876
2019-04-01,
2019-04-06,
2019-04-11,
2019-04-16,
2019-04-21,
2019-04-26,
2019-05-01,0.13444167
2019-05-06,0.1457503
2019-05-11,
2019-05-16,0.13190176
2019-05-26,
2019-05-31,0.15192534
2019-06-05,
2019-06-15,
2019-06-20,
2019-06-25,1.2101448
2019-06-30,
2019-07-05,2.292141
2019-07-10,3.3661137
2019-07-15,3.9466717
2019-07-20,
2019-07-25,3.8612826
2019-07-30,
2019-08-04,3.8697832
2019-08-09,4.122938
2019-08-14,4.2408714
2019-08-19,
2019-08-24,3.913755
2019-08-29,3.8840518
2019-09-03,
2019-09-08,
2019-09-13,0.30258393
2019-09-18,
2019-09-28,
2019-10-03,
2019-10-08,0.15674749
2019-10-13,0.15839577
2019-10-18,
2019-10-23,
2019-10-28,
2019-11-02,
2019-11-07,
2019-11-12,0.11665947
2019-11-17,
2019-11-22,
2019-11-27,0.29308015
2019-12-02,
2019-12-07,
2019-12-12,
2019-12-17,
2019-12-22,
2019-12-27,0.82997155
2020-01-01,
2020-01-06,0.95497906
2020-01-11,
2020-01-16,1.0332121
2020-01-21,
2020-01-26,
2020-01-31,
2020-02-05,1.7524912
2020-02-10,
2020-02-15,1.8042213
2020-02-20,1.9419318
2020-02-25,
2020-03-01,
2020-03-06,
2020-03-11,
2020-03-16,
2020-03-21,1.9308487
2020-03-26,
2020-03-31,
2020-04-05,2.40897
2020-04-10,2.2215803
2020-04-15,2.2928183
2020-04-20,
2020-04-25,
2020-04-30,
2020-05-05,2.2373078
2020-05-10,
2020-05-15,
2020-05-20,2.473134
2020-05-25,2.2076845
2020-05-30,1.4206636
2020-06-04,0.81355804
2020-06-09,
2020-06-14,
2020-06-19,0.454886
2020-06-24,0.50099355
2020-06-29,
2020-07-04,
2020-07-09,0.2947834
2020-07-14,
2020-07-19,0.15531468
2020-07-24,0.16287227
2020-07-29,
2020-08-03,
2020-08-08,0.16814575
2020-08-13,
2020-08-18,
2020-08-23,0.21197514
