t,LAI_mean
2017-01-16,
2017-01-19,1.1971073
2017-01-26,1.387047
2017-01-29,
2017-02-05,1.5986466
2017-02-08,1.6140162
2017-02-15,1.6104287
2017-02-18,1.8695065
2017-02-25,
2017-02-28,
2017-03-07,
2017-03-10,3.2918403
2017-03-17,
2017-03-20,
2017-03-25,
2017-03-27,4.0763326
2017-03-30,
2017-04-01,
2017-04-06,
2017-04-09,4.9695873
2017-04-11,4.983747
2017-04-14,
2017-04-16,
2017-04-19,5.3881407
2017-04-21,
2017-04-24,1.7851511
2017-04-26,1.667712
2017-04-29,2.0530832
2017-05-01,
2017-05-04,
2017-05-06,
2017-05-09,
2017-05-11,
2017-05-14,
2017-05-16,4.493084
2017-05-19,
2017-05-21,
2017-05-24,4.1712584
2017-05-26,4.1689844
2017-05-29,
2017-06-03,
2017-06-05,
2017-06-08,
2017-06-10,1.691412
2017-06-13,
2017-06-15,1.1499346
2017-06-18,1.0694928
2017-06-20,0.9593425
2017-06-23,
2017-06-25,
2017-06-28,
2017-06-30,
2017-07-03,
2017-07-05,
2017-07-10,
2017-07-13,
2017-07-15,2.1528156
2017-07-18,1.8332919
2017-07-20,
2017-07-23,
2017-07-25,
2017-07-28,
2017-07-30,
2017-08-02,2.1596656
2017-08-04,
2017-08-07,2.0401149
2017-08-09,1.936125
2017-08-12,
2017-08-14,2.058958
2017-08-17,
2017-08-19,
2017-08-22,2.2422495
2017-08-24,
2017-08-27,1.3670472
2017-08-29,
2017-09-01,
2017-09-03,
2017-09-06,
2017-09-08,
2017-09-11,1.6945482
2017-09-13,
2017-09-16,
2017-09-18,
2017-09-21,
2017-09-23,
2017-09-26,
2017-09-28,1.7112974
2017-10-01,
2017-10-03,0.79481363
2017-10-06,
2017-10-08,
2017-10-11,2.3221357
2017-10-13,1.3327574
2017-10-16,1.2025402
2017-10-18,0.9852822
2017-10-21,
2017-10-23,
2017-10-26,2.1711605
2017-10-28,2.2997823
2017-10-31,2.1843314
2017-11-02,1.8299364
2017-11-05,
2017-11-07,2.180865
2017-11-10,
2017-11-12,
2017-11-15,1.8991739
2017-11-17,1.7902331
2017-11-20,
2017-11-22,1.544612
2017-11-25,
2017-11-27,
2017-11-30,
2017-12-02,
2017-12-05,
2017-12-07,
2017-12-10,
2017-12-12,0.63957775
2017-12-15,
2017-12-17,
2017-12-20,0.5689895
2017-12-22,
2017-12-25,
2017-12-27,
2017-12-30,
2018-01-01,
2018-01-04,
2018-01-06,
2018-01-09,
2018-01-11,1.2311563
2018-01-14,1.0518132
2018-01-16,
2018-01-19,
2018-01-21,
2018-01-24,
2018-01-26,1.9327707
2018-01-29,
2018-01-31,
2018-02-05,2.213349
2018-02-08,2.6893613
2018-02-10,2.6173334
2018-02-13,
2018-02-15,
2018-02-18,
2018-02-20,
2018-02-23,2.3837984
2018-02-25,2.3851175
2018-02-28,
2018-03-02,
2018-03-05,
2018-03-07,
2018-03-10,
2018-03-12,
2018-03-15,
2018-03-17,
2018-03-20,3.430895
2018-03-22,
2018-03-25,
2018-03-27,
2018-03-30,
2018-04-01,
2018-04-04,
2018-04-06,
2018-04-09,
2018-04-11,
2018-04-14,
2018-04-16,
2018-04-19,4.767862
2018-04-21,4.6498547
2018-04-24,5.162124
2018-04-26,
2018-04-29,
2018-05-01,
2018-05-04,2.054522
2018-05-06,1.45538
2018-05-09,1.491742
2018-05-11,
2018-05-14,
2018-05-16,2.0883884
2018-05-19,2.4612045
2018-05-21,2.6577866
2018-05-24,3.8071606
2018-05-26,3.4088516
2018-05-29,
2018-05-31,
2018-06-03,
2018-06-05,
2018-06-08,
2018-06-10,
2018-06-13,
2018-06-15,
2018-06-18,
2018-06-20,1.2673461
2018-06-23,
2018-06-25,1.2603383
2018-06-28,1.530582
2018-06-30,1.4988704
2018-07-03,
2018-07-05,
2018-07-08,1.7600734
2018-07-10,1.8747638
2018-07-13,
2018-07-15,1.8569258
2018-07-18,2.3927753
2018-07-20,
2018-07-23,1.2417194
2018-07-25,1.3904544
2018-07-28,1.4289614
2018-07-30,
2018-08-02,1.1032488
2018-08-04,0.9244678
2018-08-07,
2018-08-09,
2018-08-12,0.739443
2018-08-14,
2018-08-17,
2018-08-19,0.65572304
2018-08-22,0.5336703
2018-08-24,
2018-08-27,
2018-08-29,
2018-09-01,0.60174
2018-09-03,
2018-09-06,
2018-09-08,0.5761953
2018-09-11,0.5474535
2018-09-13,
2018-09-16,0.42176884
2018-09-18,
2018-09-21,
2018-09-23,
2018-09-26,0.55858797
2018-09-28,0.43350157
2018-10-01,
2018-10-03,
2018-10-06,
2018-10-08,
2018-10-11,
2018-10-13,
2018-10-16,
2018-10-18,0.9893075
2018-10-21,1.4525473
2018-10-23,
2018-10-26,
2018-10-28,
2018-10-31,
2018-11-02,1.9020433
2018-11-05,
2018-11-07,
2018-11-10,
2018-11-12,
2018-11-15,2.1524248
2018-11-17,
2018-11-20,0.3949486
2018-11-22,
2018-11-25,
2018-11-27,
2018-11-30,1.2642417
2018-12-02,
2018-12-05,
2018-12-07,
2018-12-10,
2018-12-12,
2018-12-15,
2018-12-17,1.5496286
2018-12-20,
2018-12-22,
2018-12-25,2.5003612
2018-12-27,
2018-12-30,
2019-01-01,
2019-01-04,
2019-01-06,
2019-01-09,
2019-01-11,
2019-01-14,
2019-01-16,2.3597262
2019-01-19,
2019-01-21,
2019-01-24,
2019-01-26,
2019-01-29,
2019-01-31,
2019-02-03,2.9152012
2019-02-05,
2019-02-08,
2019-02-10,
2019-02-13,2.8944962
2019-02-15,2.8090038
2019-02-18,2.1121528
2019-02-20,2.36041
2019-02-23,2.838492
2019-02-25,2.602868
2019-02-28,
2019-03-02,
2019-03-05,
2019-03-07,
2019-03-10,
2019-03-12,
2019-03-15,
2019-03-17,
2019-03-20,4.4529243
2019-03-22,4.499145
2019-03-25,5.4048176
2019-03-27,2.8106277
2019-03-30,
2019-04-01,4.66786
2019-04-04,
2019-04-06,
2019-04-09,5.3264112
2019-04-11,4.3673415
2019-04-14,4.0446143
2019-04-16,
2019-04-19,4.824483
2019-04-21,
2019-04-24,
2019-04-26,
2019-04-29,
2019-05-01,
2019-05-04,
2019-05-06,
2019-05-09,
2019-05-11,
2019-05-14,3.538034
2019-05-16,1.9854019
2019-05-19,
2019-05-24,
2019-05-26,3.0901825
2019-05-29,4.4068294
2019-05-31,4.2940927
2019-06-03,
2019-06-05,
2019-06-08,
2019-06-15,
2019-06-18,5.1265025
2019-06-20,
2019-06-23,
2019-06-25,0.9395414
2019-06-28,1.3226647
2019-06-30,
2019-07-03,1.5758117
2019-07-05,1.6482294
2019-07-08,1.6802276
2019-07-10,1.7844439
2019-07-13,1.8330237
2019-07-15,1.6805785
2019-07-18,
2019-07-20,
2019-07-23,1.0563182
2019-07-25,0.95728385
2019-07-28,
2019-07-30,
2019-08-02,1.0182711
2019-08-04,
2019-08-07,
2019-08-09,
2019-08-12,1.331393
2019-08-14,1.1318729
2019-08-17,
2019-08-19,
2019-08-22,1.0574758
2019-08-24,
2019-08-27,
2019-08-29,0.7163209
2019-09-01,
2019-09-03,0.6802913
2019-09-06,0.6754066
2019-09-08,
2019-09-11,0.6520507
2019-09-13,0.5579688
2019-09-16,0.44160044
2019-09-18,0.4664344
2019-09-21,0.40097174
2019-09-26,0.6956722
2019-09-28,
2019-10-01,
2019-10-03,
2019-10-06,
2019-10-08,
2019-10-11,1.9080584
2019-10-13,1.4684229
2019-10-16,
2019-10-18,
2019-10-21,
2019-10-23,
2019-10-26,
2019-10-28,
2019-10-31,
2019-11-02,
2019-11-05,
2019-11-07,
2019-11-10,
2019-11-12,1.4009017
2019-11-15,
2019-11-17,
2019-11-20,
2019-11-22,
2019-11-25,
2019-11-27,
2019-11-30,
2019-12-02,2.9953082
2019-12-05,2.9801557
2019-12-07,
2019-12-10,
2019-12-12,
2019-12-15,
2019-12-17,3.1728706
2019-12-20,
2019-12-22,3.2701073
2019-12-25,3.10942
2019-12-27,
2019-12-30,3.5023465
2020-01-01,
2020-01-04,3.1571379
2020-01-06,3.4400022
2020-01-09,
2020-01-11,3.0942318
2020-01-14,
2020-01-16,
2020-01-19,3.5702856
2020-01-21,3.392593
2020-01-24,1.9231534
2020-01-26,
2020-01-29,
2020-01-31,
2020-02-03,
2020-02-05,
2020-02-08,
2020-02-10,
2020-02-13,
2020-02-15,3.5805054
2020-02-18,
2020-02-20,
2020-02-23,
2020-02-25,
2020-02-28,
2020-03-01,
2020-03-04,
2020-03-06,
2020-03-09,
2020-03-11,
2020-03-14,
2020-03-16,
2020-03-19,4.058986
2020-03-21,
2020-03-24,4.630081
2020-03-26,4.4995537
2020-03-29,
2020-03-31,4.964876
2020-04-03,
2020-04-05,5.1298018
2020-04-08,
2020-04-10,5.2093186
2020-04-13,5.446612
2020-04-15,
2020-04-18,
2020-04-20,
2020-04-23,5.9245095
2020-04-25,3.7331066
2020-04-28,
2020-04-30,
2020-05-03,
2020-05-05,5.355141
2020-05-08,
2020-05-10,
2020-05-13,
2020-05-15,2.423084
2020-05-18,0.9801278
2020-05-20,0.79475635
2020-05-23,
2020-05-25,0.8749143
2020-05-28,1.0641907
2020-05-30,1.4092063
2020-06-02,1.6276824
2020-06-04,
2020-06-07,
2020-06-09,2.5202713
2020-06-12,
2020-06-14,
2020-06-17,
2020-06-19,
2020-06-22,2.8370104
2020-06-24,3.881014
2020-06-27,
2020-06-29,
2020-07-02,
2020-07-04,2.2934055
2020-07-07,3.9175503
2020-07-09,3.198301
2020-07-12,3.4047472
2020-07-14,3.0267522
2020-07-17,
2020-07-19,2.389555
2020-07-22,1.0167999
2020-07-24,1.7906039
2020-07-27,1.6990964
2020-07-29,1.5758166
2020-08-01,
2020-08-03,
2020-08-06,1.166373
2020-08-08,0.97618395
2020-08-11,1.0145105
2020-08-13,
2020-08-16,
2020-08-18,
2020-08-21,
2020-08-23,
2020-08-26,
2020-08-28,
2020-08-31,
2020-09-02,1.4410937
2020-09-05,
2020-09-07,1.268432
2020-09-10,1.1158682
2020-09-12,0.99052805
2020-09-15,0.76584774
2020-09-17,0.70874107
2020-09-20,
2020-09-22,
2020-09-25,
2020-09-27,
2020-09-30,
2020-10-02,
2020-10-05,
2020-10-07,0.57694954
2020-10-10,
2020-10-12,
2020-10-15,
2020-10-17,
2020-10-20,
2020-10-25,
2020-10-27,
2020-10-30,
2020-11-01,
2020-11-04,3.659122
2020-11-06,
2020-11-09,
2020-11-11,4.3994617
2020-11-14,
2020-11-16,
2020-11-19,4.1356254
2020-11-21,4.311685
2020-11-24,
2020-11-26,4.0959177
2020-11-29,4.2685285
2020-12-01,
2020-12-04,
2020-12-06,
2020-12-09,
2020-12-11,
2020-12-16,
2020-12-19,
2020-12-21,
2020-12-24,
2020-12-26,
2020-12-29,4.219813
2020-12-31,
2021-01-03,4.146114
2021-01-05,
2021-01-08,
