t,LAI_mean
2017-01-01,2.0258777
2017-01-31,
2017-02-10,2.382901
2017-02-20,2.3566482
2017-03-02,
2017-03-12,
2017-03-22,
2017-03-27,
2017-04-01,
2017-04-06,2.525781
2017-04-11,2.286337
2017-04-16,2.631708
2017-04-21,2.2660427
2017-04-26,
2017-05-01,2.3101788
2017-05-06,
2017-05-11,
2017-05-16,2.7917123
2017-05-21,3.2586656
2017-05-26,3.1202564
2017-05-31,2.9483154
2017-06-05,2.9623587
2017-06-10,
2017-06-15,2.8616927
2017-06-20,2.9463346
2017-06-25,2.6366951
2017-06-30,3.4924214
2017-07-05,2.778606
2017-07-10,2.3446503
2017-07-15,2.3550339
2017-07-20,2.417395
2017-07-25,2.4027226
2017-07-30,2.299528
2017-08-04,2.0662992
2017-08-09,1.9455495
2017-08-14,2.4336016
2017-08-19,2.3537521
2017-08-24,2.28065
2017-08-29,2.0672266
2017-09-03,
2017-09-08,2.4396362
2017-09-13,2.2354102
2017-09-18,2.441769
2017-09-23,2.4637403
2017-09-28,2.270977
2017-10-03,2.2549264
2017-10-08,2.3909066
2017-10-13,2.4105067
2017-10-18,2.1387193
2017-10-23,2.2266777
2017-10-28,2.31002
2017-11-02,1.7546726
2017-11-07,
2017-11-12,
2017-11-17,2.1339087
2017-11-22,1.8699068
2017-11-27,2.154164
2017-12-02,
2017-12-07,
2017-12-12,
2017-12-17,2.1891954
2017-12-22,2.1179874
2017-12-27,
2018-01-01,
2018-01-06,
2018-01-11,
2018-01-16,
2018-01-21,1.9158974
2018-01-26,
2018-01-31,
2018-02-05,
2018-02-10,2.1546328
2018-02-15,2.123177
2018-02-20,
2018-02-25,
2018-03-02,
2018-03-07,
2018-03-12,
2018-03-17,
2018-03-22,
2018-03-27,2.0600464
2018-04-01,
2018-04-06,2.4502218
2018-04-11,
2018-04-16,1.8363038
2018-04-21,2.0426636
2018-04-26,1.9450146
2018-05-01,
2018-05-06,
2018-05-11,
2018-05-16,2.5846603
2018-05-21,
2018-05-26,2.9138143
2018-05-31,2.821615
2018-06-05,2.9511657
2018-06-10,2.8383896
2018-06-15,2.904635
2018-06-20,2.7464652
2018-06-25,2.8005924
2018-06-30,2.8030357
2018-07-05,
2018-07-10,
2018-07-15,2.5993469
2018-07-20,2.8041446
2018-07-25,2.536144
2018-07-30,2.4555223
2018-08-04,2.376113
2018-08-09,2.3161335
2018-08-14,
2018-08-19,2.5125172
2018-08-24,2.3229058
2018-08-29,2.3453808
2018-09-03,2.6074798
2018-09-08,
2018-09-13,
2018-09-18,2.301377
2018-09-23,2.1890478
2018-09-28,2.4787729
2018-10-03,1.9454428
2018-10-08,2.0046604
2018-10-13,2.172948
2018-10-18,2.12411
2018-10-23,2.1486394
2018-10-28,
2018-11-02,
2018-11-07,
2018-11-12,
2018-11-17,2.134049
2018-11-22,
2018-11-27,
2018-12-02,
2018-12-07,
2018-12-12,
2018-12-17,2.185993
2018-12-22,
2018-12-27,2.0224895
2019-01-01,2.1613073
2019-01-06,1.9947325
2019-01-11,2.4872255
2019-01-16,
2019-01-21,
2019-01-26,2.077255
2019-01-31,
2019-02-05,1.9878961
2019-02-10,1.6023757
2019-02-15,2.1125965
2019-02-20,1.8125658
2019-02-25,
2019-03-02,1.8721476
2019-03-07,
2019-03-12,2.2753825
2019-03-17,
2019-03-22,2.0124474
2019-03-27,
2019-04-01,1.8402187
2019-04-06,
2019-04-11,2.0855076
2019-04-16,
2019-04-21,
2019-04-26,
2019-05-01,1.9594002
2019-05-06,1.9280995
2019-05-11,
2019-05-16,2.3569913
2019-05-21,
2019-05-26,
2019-05-31,
2019-06-05,2.7006292
2019-06-10,
2019-06-15,2.7882793
2019-06-20,2.8122735
2019-06-25,2.5783308
2019-06-30,2.8241098
2019-07-05,2.7157426
2019-07-10,
2019-07-15,
2019-07-20,2.7635102
2019-07-25,2.593173
2019-07-30,2.7219465
2019-08-04,2.5276492
2019-08-09,2.437959
2019-08-14,2.5665786
2019-08-19,2.6239262
2019-08-24,
2019-08-29,
2019-09-03,2.1846888
2019-09-08,
2019-09-13,2.3598456
2019-09-18,
2019-09-23,
2019-09-28,
2019-10-08,2.3860505
2019-10-13,
2019-10-18,1.972864
2019-10-23,1.8010801
2019-10-28,
2019-11-02,
2019-11-07,
2019-11-12,
2019-11-17,
2019-11-22,
2019-11-27,
2019-12-02,
2019-12-07,
2019-12-12,1.6065766
2019-12-17,
2019-12-22,1.9787303
2019-12-27,2.154425
2020-01-01,2.0742853
2020-01-06,2.2103662
2020-01-11,2.011339
2020-01-16,
2020-01-21,1.8629404
2020-01-26,
2020-01-31,
2020-02-05,2.134962
2020-02-10,
2020-02-15,2.1522994
2020-02-20,2.2604494
2020-02-25,
2020-03-01,
2020-03-06,2.1296525
2020-03-11,2.2288616
2020-03-16,2.1494534
2020-03-21,
2020-03-26,
2020-03-31,2.3080294
2020-04-05,2.1916897
2020-04-10,2.1979806
2020-04-15,2.3494618
2020-04-20,
2020-04-25,2.229016
2020-04-30,2.2423785
2020-05-05,
2020-05-10,2.0969875
2020-05-15,
2020-05-20,2.5231013
2020-05-25,1.5912677
2020-05-30,
2020-06-04,
2020-06-09,
2020-06-14,
2020-06-19,
2020-06-24,2.0803535
2020-06-29,2.1576457
2020-07-04,2.0071723
2020-07-09,2.1572664
2020-07-14,2.312687
2020-07-19,2.3734982
2020-07-24,1.9681754
2020-07-29,1.916884
2020-08-03,
2020-08-08,1.931981
2020-08-13,1.8611883
2020-08-18,1.8804604
2020-08-23,1.8585069
2020-08-28,1.9771793
2020-09-02,
2020-09-07,2.008624
2020-09-12,2.0029545
2020-09-17,1.7040328
2020-09-22,1.8952879
2020-09-27,
2020-10-02,
2020-10-07,
2020-10-12,0.81282216
2020-10-17,
2020-10-22,2.024348
2020-10-27,
2020-11-01,
2020-11-06,1.8122679
2020-11-11,1.2936738
2020-11-21,
2020-11-26,1.7914766
2020-12-01,
2020-12-06,
2020-12-11,1.7738792
2020-12-16,1.5903707
2020-12-21,1.6588227
2020-12-26,
2020-12-31,1.8377637
2021-01-05,
2021-01-10,
2021-01-15,
2021-01-20,
2021-01-25,
2021-01-30,
2021-02-04,
2021-02-09,2.2633157
2021-02-14,1.9472226
2021-02-19,
2021-02-24,1.6400164
2021-03-01,1.7565306
2021-03-06,
2021-03-11,1.7129154
2021-03-16,
2021-03-21,
2021-03-26,1.9987202
2021-03-31,2.071928
2021-04-05,1.8677113
2021-04-10,
2021-04-15,2.219157
2021-04-20,2.044161
2021-04-25,2.1061308
2021-04-30,1.9194247
2021-05-05,2.110949
2021-05-10,2.219216
2021-05-15,2.7491996
2021-05-20,2.766443
2021-05-25,2.997875
2021-05-30,
2021-06-04,3.3606617
2021-06-09,3.582868
2021-06-14,3.1938746
2021-06-19,
2021-06-24,
2021-06-29,
2021-07-04,2.589058
2021-07-09,2.9131086
2021-07-14,
2021-07-19,2.6501038
2021-07-24,2.3750296
2021-07-29,2.2636979
2021-08-03,
2021-08-08,2.1816661
2021-08-13,
2021-08-18,2.0483286
2021-08-23,2.661447
2021-08-28,2.2563307
2021-09-02,
2021-09-07,2.190435
2021-09-12,1.8712089
2021-09-17,
2021-09-22,2.022244
2021-09-27,
2021-10-02,
2021-10-07,
2021-10-12,
2021-10-17,2.507052
2021-10-22,
2021-10-27,0.75338984
2021-11-01,
2021-11-06,
2021-11-11,
2021-11-16,
2021-11-21,2.151852
2021-11-26,
2021-12-01,
2021-12-06,
2021-12-11,
2021-12-16,1.9246693
2021-12-21,
2021-12-26,
2021-12-31,2.0864882
2022-01-05,
2022-01-10,
2022-01-15,2.1423693
2022-01-20,
2022-01-25,2.193811
2022-01-30,
2022-02-04,
2022-02-09,2.229883
2022-02-14,
2022-02-19,
2022-02-24,
