t,LAI_mean
2017-01-04,0.22927973
2017-01-07,
2017-01-14,
2017-01-24,0.9957087
2017-01-27,1.0157597
2017-02-03,
2017-02-06,
2017-02-13,
2017-02-16,
2017-02-23,
2017-02-26,
2017-03-05,
2017-03-08,
2017-03-15,
2017-03-17,
2017-03-18,
2017-03-20,
2017-03-23,
2017-03-25,0.9131019
2017-03-28,1.1214359
2017-03-30,0.66258186
2017-04-02,
2017-04-04,
2017-04-07,0.567416
2017-04-09,1.2507192
2017-04-12,1.1043895
2017-04-14,1.2146277
2017-04-17,
2017-04-22,1.326951
2017-04-24,
2017-04-27,
2017-04-29,
2017-05-02,
2017-05-04,
2017-05-07,
2017-05-09,1.1631414
2017-05-12,
2017-05-14,
2017-05-17,1.4319199
2017-05-19,
2017-05-22,1.4559458
2017-05-24,
2017-05-27,1.2843041
2017-05-29,
2017-06-01,1.5015928
2017-06-03,
2017-06-06,
2017-06-08,0.8889885
2017-06-11,1.6621943
2017-06-13,1.8487214
2017-06-16,
2017-06-18,1.9595711
2017-06-21,
2017-06-23,
2017-06-26,1.9604146
2017-06-28,1.8157805
2017-07-01,
2017-07-03,
2017-07-06,1.8029478
2017-07-08,
2017-07-11,2.0809102
2017-07-13,
2017-07-16,1.9651996
2017-07-18,2.0391548
2017-07-21,
2017-07-23,
2017-07-26,
2017-07-28,
2017-07-31,1.8123637
2017-08-02,1.8942
2017-08-05,
2017-08-07,1.979779
2017-08-10,
2017-08-12,1.8597349
2017-08-15,1.5903236
2017-08-17,1.7658194
2017-08-20,1.5167669
2017-08-22,1.7918863
2017-08-25,
2017-08-27,1.608085
2017-08-30,1.6610082
2017-09-01,
2017-09-04,
2017-09-06,
2017-09-09,
2017-09-11,
2017-09-14,
2017-09-16,
2017-09-19,
2017-09-21,1.4592721
2017-09-24,
2017-09-26,
2017-09-29,
2017-10-01,
2017-10-04,
2017-10-06,1.2928379
2017-10-09,
2017-10-11,1.2034993
2017-10-14,1.285493
2017-10-16,1.2388817
2017-10-19,1.0547401
2017-10-21,0.777
2017-10-24,1.2301702
2017-10-26,0.6529096
2017-10-29,
2017-10-31,1.1279825
2017-11-03,1.1300819
2017-11-05,
2017-11-08,
2017-11-10,
2017-11-13,
2017-11-15,
2017-11-18,
2017-11-20,
2017-11-23,
2017-11-28,
2017-11-30,
2017-12-03,
2017-12-05,
2017-12-08,
2017-12-10,
2017-12-13,
2017-12-15,
2017-12-18,
2017-12-20,
2017-12-23,
2017-12-25,
2017-12-28,
2017-12-30,
2018-01-02,
2018-01-04,
2018-01-07,
2018-01-09,
2018-01-12,
2018-01-14,
2018-01-17,
2018-01-19,
2018-01-22,
2018-01-24,
2018-01-27,
2018-01-29,
2018-02-01,
2018-02-03,
2018-02-06,
2018-02-08,
2018-02-11,
2018-02-13,
2018-02-16,
2018-02-18,
2018-02-21,
2018-02-23,
2018-02-26,
2018-02-28,
2018-03-03,
2018-03-05,
2018-03-08,
2018-03-10,
2018-03-13,
2018-03-15,
2018-03-18,
2018-03-20,
2018-03-23,
2018-03-25,
2018-03-28,
2018-03-30,
2018-04-02,
2018-04-04,
2018-04-07,
2018-04-09,
2018-04-12,
2018-04-14,
2018-04-17,
2018-04-19,
2018-04-22,
2018-04-24,
2018-04-27,
2018-04-29,
2018-05-02,
2018-05-04,
2018-05-07,
2018-05-09,
2018-05-12,
2018-05-14,
2018-05-17,
2018-05-19,
2018-05-22,
2018-05-24,
2018-05-29,
2018-06-01,
2018-06-03,0.78684455
2018-06-06,1.6846293
2018-06-08,1.0503731
2018-06-11,1.403039
2018-06-13,
2018-06-16,1.9599653
2018-06-18,
2018-06-21,1.7390306
2018-06-23,2.1505075
2018-06-26,
2018-06-28,
2018-07-01,1.8114591
2018-07-03,1.9652137
2018-07-06,
2018-07-08,2.145692
2018-07-11,
2018-07-13,
2018-07-16,1.8234366
2018-07-18,
2018-07-21,
2018-07-23,
2018-07-26,1.7434386
2018-07-28,
2018-07-31,
2018-08-02,1.9640735
2018-08-05,
2018-08-07,
2018-08-10,
2018-08-12,
2018-08-15,
2018-08-17,
2018-08-20,1.7496135
2018-08-22,1.5260336
2018-08-25,
2018-08-27,1.7627172
2018-08-30,
2018-09-01,
2018-09-04,
2018-09-06,
2018-09-09,1.5906491
2018-09-11,1.40516
2018-09-14,
2018-09-16,
2018-09-19,
2018-09-21,1.4029516
2018-09-24,1.468471
2018-09-26,1.367048
2018-09-29,1.032546
2018-10-01,
2018-10-04,1.3736126
2018-10-06,
2018-10-09,1.1971469
2018-10-11,
2018-10-14,1.1767336
2018-10-16,
2018-10-19,1.2387941
2018-10-21,
2018-10-24,1.1837819
2018-10-26,
2018-10-29,
2018-10-31,
2018-11-03,
2018-11-05,
2018-11-08,
2018-11-10,
2018-11-15,0.894693
2018-11-18,1.0548863
2018-11-20,
2018-11-23,
2018-11-25,
2018-11-28,0.9737638
2018-11-30,
2018-12-03,1.0554005
2018-12-05,0.8920557
2018-12-08,
2018-12-10,
2018-12-13,
2018-12-15,
2018-12-18,
2018-12-20,
2018-12-23,
2018-12-25,
2018-12-28,
2018-12-30,
2019-01-02,
2019-01-04,0.49827117
2019-01-07,0.86904114
2019-01-09,
2019-01-12,
2019-01-14,
2019-01-17,
2019-01-19,
2019-01-22,
2019-01-24,
2019-01-27,
2019-01-29,
2019-02-01,
2019-02-03,
2019-02-06,
2019-02-08,
2019-02-11,
2019-02-13,
2019-02-16,
2019-02-18,
2019-02-21,
2019-02-23,
2019-02-26,
2019-02-28,
2019-03-03,
2019-03-05,
2019-03-08,
2019-03-10,
