t,NDVI
2017-01-07,
2017-01-10,
2017-01-27,
2017-01-30,
2017-02-06,
2017-02-09,
2017-02-16,0.7798635
2017-02-19,
2017-02-26,0.78365713
2017-03-01,
2017-03-08,
2017-03-11,0.8741479
2017-03-18,
2017-03-21,
2017-03-23,0.9081954
2017-03-26,
2017-03-28,0.9072885
2017-03-31,
2017-04-02,
2017-04-05,
2017-04-07,0.8958814
2017-04-10,0.91046
2017-04-12,0.8656898
2017-04-15,
2017-04-17,
2017-04-20,
2017-04-22,0.9205175
2017-04-25,
2017-04-27,
2017-04-30,0.8818622
2017-05-02,
2017-05-05,0.90027195
2017-05-07,
2017-05-10,0.8914487
2017-05-12,
2017-05-15,0.8595575
2017-05-17,0.7174499
2017-05-20,
2017-05-22,0.69042915
2017-05-25,
2017-05-27,0.81343883
2017-05-30,0.85276365
2017-06-01,
2017-06-04,
2017-06-06,
2017-06-09,
2017-06-11,0.8222423
2017-06-14,
2017-06-16,0.8215277
2017-06-19,0.82042396
2017-06-21,0.70333844
2017-06-24,
2017-06-26,0.7300018
2017-06-29,
2017-07-01,
2017-07-04,0.861513
2017-07-06,0.8509161
2017-07-09,
2017-07-11,
2017-07-14,
2017-07-16,0.722588
2017-07-19,0.73176885
2017-07-21,
2017-07-24,
2017-07-26,
2017-07-29,
2017-07-31,0.7515017
2017-08-03,
2017-08-05,0.7679932
2017-08-08,
2017-08-10,
2017-08-13,0.8715282
2017-08-15,0.8932215
2017-08-18,0.90986896
2017-08-20,0.91916305
2017-08-23,0.9023158
2017-08-25,0.90027004
2017-08-28,
2017-08-30,
2017-09-02,
2017-09-04,
2017-09-07,
2017-09-09,
2017-09-12,
2017-09-14,
2017-09-17,
2017-09-19,
2017-09-22,0.7299076
2017-09-24,0.6748516
2017-09-27,0.8043011
2017-09-29,
2017-10-02,
2017-10-04,
2017-10-07,0.8572034
2017-10-09,
2017-10-12,0.88011014
2017-10-14,0.3164868
2017-10-17,0.90787387
2017-10-19,0.8470795
2017-10-22,
2017-10-24,
2017-10-27,
2017-10-29,
2017-11-01,
2017-11-03,0.8538803
2017-11-06,
2017-11-08,
2017-11-11,
2017-11-13,
2017-11-16,
2017-11-18,
2017-11-21,
2017-11-23,
2017-11-26,
2017-11-28,
2017-12-01,0.6044995
2017-12-03,
2017-12-06,
2017-12-08,
2017-12-11,
2017-12-13,0.84861434
2017-12-16,
2017-12-18,
2017-12-21,0.7654848
2017-12-23,
2017-12-26,
2017-12-28,
2017-12-31,0.84136665
2018-01-02,
2018-01-05,
2018-01-07,
2018-01-10,
2018-01-12,
2018-01-15,
2018-01-17,
2018-01-20,
2018-01-22,
2018-01-25,
2018-01-27,
2018-01-30,0.7917319
2018-02-01,
2018-02-04,
2018-02-06,
2018-02-09,
2018-02-11,
2018-02-14,
2018-02-16,
2018-02-19,
2018-02-21,
2018-02-24,
2018-02-26,0.7532585
2018-03-01,
2018-03-03,
2018-03-06,
2018-03-08,
2018-03-11,
2018-03-13,
2018-03-16,
2018-03-18,
2018-03-21,
2018-03-23,
2018-03-26,
2018-03-28,
2018-03-31,
2018-04-02,0.87134373
2018-04-05,
2018-04-07,0.88394994
2018-04-10,0.85644335
2018-04-12,
2018-04-15,
2018-04-17,0.89553595
2018-04-20,0.9076045
2018-04-22,0.900998
2018-04-25,0.89767665
2018-04-27,0.8432025
2018-04-30,
2018-05-02,
2018-05-05,
2018-05-07,0.7673086
2018-05-10,
2018-05-12,0.790208
2018-05-15,
2018-05-17,
2018-05-20,
2018-05-22,
2018-05-25,
2018-05-30,0.79972136
2018-06-01,0.87454593
2018-06-04,0.85032064
2018-06-06,0.8218403
2018-06-09,
2018-06-11,
2018-06-14,0.8740055
2018-06-16,0.73383033
2018-06-19,0.7568187
2018-06-21,0.7108549
2018-06-24,
2018-06-26,0.68448585
2018-06-29,
2018-07-01,0.66439426
2018-07-04,
2018-07-06,
2018-07-09,0.7191317
2018-07-11,
2018-07-14,
2018-07-16,0.6564869
2018-07-19,0.6266008
2018-07-21,
2018-07-24,0.6203114
2018-07-26,0.5976916
2018-07-29,0.57480246
2018-07-31,0.5394591
2018-08-03,0.5226893
2018-08-05,0.503673
2018-08-08,0.52537787
2018-08-10,0.37490764
2018-08-13,
2018-08-15,
2018-08-18,
2018-08-20,0.5935951
2018-08-23,
2018-08-25,
2018-08-28,0.662481
2018-08-30,
2018-09-02,
2018-09-04,
2018-09-07,
2018-09-09,0.78297794
2018-09-12,0.5928109
2018-09-14,
2018-09-17,0.695676
2018-09-19,0.7254447
2018-09-22,
2018-09-24,
2018-09-27,0.80675316
2018-09-29,
2018-10-02,
2018-10-04,0.8518677
2018-10-07,0.8682537
2018-10-09,0.81578904
2018-10-12,0.876675
2018-10-17,0.8466635
2018-10-19,
2018-10-22,0.83738744
2018-10-24,
2018-10-27,
2018-10-29,
2018-11-01,0.88018966
2018-11-03,
2018-11-06,
2018-11-08,
2018-11-11,0.8967262
2018-11-16,
2018-11-18,
2018-11-21,
2018-11-23,
2018-11-26,
2018-11-28,
2018-12-01,
2018-12-03,
2018-12-06,
2018-12-08,
2018-12-11,0.891528
2018-12-13,0.8568801
2018-12-16,
2018-12-18,0.05358024
2018-12-21,
2018-12-23,
2018-12-26,
2018-12-28,
2018-12-31,
2019-01-02,
2019-01-05,
2019-01-07,
2019-01-10,
2019-01-12,
2019-01-15,0.7909708
2019-01-17,
2019-01-20,
2019-01-22,
2019-01-25,0.80465317
2019-01-27,
2019-01-30,
2019-02-01,
2019-02-04,
2019-02-06,
2019-02-09,
2019-02-11,
2019-02-14,0.8003227
2019-02-16,0.8074006
2019-02-19,0.7256133
2019-02-21,0.7660401
2019-02-24,0.78687155
2019-02-26,0.77324414
2019-03-01,
2019-03-03,
2019-03-06,
2019-03-08,
2019-03-11,
2019-03-13,
2019-03-16,0.8770019
2019-03-18,
2019-03-21,0.8796937
2019-03-23,0.8561477
2019-03-26,
2019-03-28,0.878942
2019-03-31,0.8762647
2019-04-02,0.8816669
2019-04-05,
2019-04-07,
2019-04-10,
2019-04-12,
2019-04-15,
2019-04-17,
2019-04-20,0.9164599
2019-04-22,
2019-04-25,
2019-04-27,
2019-04-30,
2019-05-02,
2019-05-05,
2019-05-07,
2019-05-10,
2019-05-12,
2019-05-15,
2019-05-17,
2019-05-20,
2019-05-25,
2019-05-27,
2019-05-30,0.87122786
2019-06-01,0.8584087
2019-06-04,0.8732892
2019-06-06,
2019-06-09,
2019-06-11,
2019-06-14,
2019-06-16,
2019-06-19,0.6718034
2019-06-21,
2019-06-24,0.65620565
2019-06-26,0.66803867
2019-06-29,0.7053682
2019-07-01,0.70665634
2019-07-04,0.7191252
2019-07-06,
2019-07-09,
2019-07-11,
2019-07-14,
2019-07-16,0.76381606
2019-07-19,0.49387074
2019-07-21,
2019-07-24,0.69929016
2019-07-26,0.66681206
2019-07-29,
2019-07-31,
2019-08-03,
2019-08-05,0.6793434
2019-08-08,0.70957667
2019-08-10,
2019-08-13,
2019-08-15,
2019-08-18,0.76393926
2019-08-20,
2019-08-23,
2019-08-25,0.8568746
2019-08-28,0.8722712
2019-08-30,0.88860196
2019-09-02,
2019-09-04,0.89380497
2019-09-07,
2019-09-09,
2019-09-12,0.92085934
2019-09-14,
2019-09-17,0.66052836
2019-09-19,0.78515863
2019-09-22,
2019-09-24,
2019-09-27,0.87772024
2019-09-29,0.8670368
2019-10-02,
2019-10-04,
2019-10-07,
2019-10-09,
2019-10-12,0.9021033
2019-10-14,0.90124243
2019-10-17,0.9230622
2019-10-19,
2019-10-22,
2019-10-24,
2019-10-27,
2019-10-29,
2019-11-01,
2019-11-03,
2019-11-06,
2019-11-08,
2019-11-11,0.8235484
2019-11-13,
2019-11-16,0.63804275
2019-11-18,
2019-11-21,
2019-11-23,
2019-11-26,
2019-11-28,
2019-12-01,
2019-12-03,
2019-12-06,
2019-12-08,
2019-12-11,
2019-12-13,
2019-12-16,
2019-12-18,
2019-12-21,
2019-12-23,
2019-12-26,
2019-12-28,
2019-12-31,
2020-01-02,
2020-01-05,0.8492726
2020-01-07,0.80273175
2020-01-10,0.8473678
2020-01-12,0.29712418
2020-01-15,0.8360473
2020-01-17,
2020-01-20,0.8272634
2020-01-22,
2020-01-25,
2020-01-27,
2020-01-30,
2020-02-01,
2020-02-04,
2020-02-06,
2020-02-09,
2020-02-11,
2020-02-14,
2020-02-16,
2020-02-19,
2020-02-21,
2020-02-24,0.8696038
2020-02-26,
2020-02-29,
2020-03-02,
2020-03-05,
2020-03-07,0.8292234
2020-03-10,
2020-03-12,
2020-03-15,0.9011592
2020-03-17,
2020-03-20,0.89287615
2020-03-22,
2020-03-25,0.88307995
2020-03-27,0.8519241
2020-03-30,
2020-04-01,0.9031429
2020-04-04,0.88371253
2020-04-06,0.8836668
2020-04-09,0.88020635
2020-04-11,0.8818488
2020-04-14,0.8859895
2020-04-16,0.8708158
2020-04-19,
2020-04-21,
2020-04-24,
2020-04-26,
2020-04-29,
2020-05-01,
2020-05-04,0.8319144
2020-05-06,
2020-05-09,0.8861797
2020-05-11,
2020-05-14,
2020-05-16,
2020-05-19,0.9120496
2020-05-21,0.84685135
2020-05-24,
2020-05-26,
2020-05-29,0.7489092
2020-05-31,0.7126292
2020-06-03,0.7133455
2020-06-05,
2020-06-08,
2020-06-10,
2020-06-13,0.821653
2020-06-15,0.61059207
2020-06-18,
2020-06-20,
2020-06-23,0.88307244
2020-06-25,0.85354865
2020-06-28,
2020-06-30,0.8751146
2020-07-03,
2020-07-05,0.86656225
2020-07-08,
2020-07-10,0.61661595
2020-07-13,0.6629308
2020-07-15,
2020-07-18,
2020-07-20,
2020-07-23,
2020-07-25,0.8039309
2020-07-28,
2020-07-30,0.7436134
2020-08-02,
2020-08-04,
2020-08-07,0.7801794
2020-08-09,0.7761644
2020-08-12,0.7493311
2020-08-14,
2020-08-17,
2020-08-19,
2020-08-22,
2020-08-24,0.68017966
2020-08-27,
2020-08-29,
2020-09-01,0.7279648
2020-09-03,0.8194896
2020-09-06,
2020-09-08,0.8114382
2020-09-11,
2020-09-13,0.86173034
2020-09-16,0.7721464
2020-09-18,0.7390915
2020-09-21,0.870666
2020-09-23,
2020-09-26,
2020-09-28,0.8839429
2020-10-01,0.87929523
2020-10-03,
2020-10-06,
2020-10-08,0.64789695
2020-10-11,
2020-10-13,
2020-10-16,
2020-10-18,
2020-10-21,
2020-10-23,
2020-10-26,
2020-10-28,
2020-10-31,
2020-11-02,0.87671787
2020-11-05,
2020-11-07,
2020-11-10,
2020-11-12,0.9066113
2020-11-15,
2020-11-17,
2020-11-20,
2020-11-22,
2020-11-25,
2020-11-27,
2020-11-30,
2020-12-02,
2020-12-05,
2020-12-07,0.36521274
2020-12-10,
2020-12-12,
2020-12-15,
2020-12-17,
2020-12-20,
2020-12-22,
2020-12-25,
2020-12-27,
2020-12-30,
2021-01-01,
2021-01-04,
2021-01-06,
2021-01-09,
2021-01-11,
2021-01-14,
2021-01-16,
2021-01-19,
2021-01-21,
2021-01-24,
2021-01-26,
2021-01-29,
2021-01-31,
2021-02-03,
2021-02-05,
2021-02-08,
2021-02-10,
2021-02-13,
2021-02-15,
2021-02-18,
2021-02-20,
2021-02-23,0.66065896
2021-02-25,0.7823611
2021-02-28,
2021-03-02,0.8031257
2021-03-05,
2021-03-07,
2021-03-10,
2021-03-12,0.8471766
2021-03-15,
2021-03-17,
2021-03-20,0.8486548
2021-03-22,
2021-03-25,
2021-03-27,
2021-03-30,0.89691746
2021-04-01,0.90621036
2021-04-04,0.9199613
2021-04-06,
2021-04-09,0.83068854
2021-04-11,0.93588233
2021-04-14,
2021-04-16,0.8986605
2021-04-19,0.91179615
2021-04-21,0.8955496
2021-04-24,0.91457003
2021-04-26,
2021-04-29,
2021-05-01,
2021-05-04,
2021-05-06,
2021-05-09,0.71592
2021-05-11,
2021-05-14,0.82619005
2021-05-16,
2021-05-19,
2021-05-21,
2021-05-24,
2021-05-26,
2021-05-29,
2021-05-31,
2021-06-03,0.8540709
2021-06-05,
2021-06-08,
2021-06-10,0.8998923
2021-06-13,
2021-06-15,0.654115
2021-06-18,0.6234785
2021-06-20,
2021-06-23,
2021-06-25,
2021-06-28,
2021-06-30,
2021-07-03,
2021-07-05,
2021-07-08,
2021-07-10,0.88377506
2021-07-13,
2021-07-15,
2021-07-18,0.8080858
2021-07-20,0.86839116
