t,NDVI
2017-01-08,
2017-01-18,0.37429875
2017-01-28,0.29790044
2017-02-07,
2017-02-17,
2017-02-27,0.5407571
2017-03-09,
2017-03-19,
2017-03-21,
2017-03-24,
2017-03-29,
2017-04-03,0.45643649
2017-04-08,
2017-04-13,
2017-04-18,
2017-04-23,
2017-04-28,
2017-05-08,0.84852153
2017-05-13,0.85924876
2017-05-18,
2017-05-23,
2017-05-28,0.91929424
2017-06-02,0.90767026
2017-06-07,
2017-06-12,0.8560725
2017-06-17,
2017-06-22,
2017-06-27,
2017-07-02,
2017-07-07,
2017-07-12,0.9196128
2017-07-17,0.91025853
2017-07-22,
2017-07-27,
2017-08-01,0.89928037
2017-08-06,
2017-08-11,0.82472503
2017-08-16,0.8793264
2017-08-21,
2017-08-26,
2017-08-31,0.8882048
2017-09-05,
2017-09-10,
2017-09-15,0.48885226
2017-09-20,
2017-09-30,0.8151904
2017-10-05,
2017-10-10,
2017-10-15,0.63296527
2017-10-20,0.53783137
2017-10-25,
2017-10-30,
2017-11-04,0.58468753
2017-11-09,
2017-11-14,
2017-11-19,
2017-11-24,
2017-11-29,
2017-12-04,
2017-12-09,
2017-12-14,
2017-12-19,
2017-12-24,
2017-12-29,
2018-01-03,
2018-01-08,
2018-01-13,
2018-01-18,
2018-01-23,
2018-01-28,
2018-02-02,
2018-02-07,
2018-02-12,
2018-02-17,
2018-02-22,
2018-02-27,
2018-03-04,0.29065633
2018-03-09,
2018-03-14,
2018-03-19,
2018-03-24,0.43123376
2018-03-29,
2018-04-03,0.38603875
2018-04-08,0.41426042
2018-04-13,
2018-04-18,0.61357677
2018-04-23,
2018-04-28,0.888041
2018-05-03,
2018-05-08,0.9122689
2018-05-13,0.9116256
2018-05-18,
2018-05-23,
2018-06-02,0.893563
2018-06-07,0.8753423
2018-06-12,0.82976747
2018-06-17,
2018-06-22,
2018-06-27,
2018-07-02,
2018-07-07,
2018-07-12,
2018-07-17,
2018-07-22,
2018-07-27,
2018-08-01,
2018-08-06,0.8572468
2018-08-11,
2018-08-16,
2018-08-21,0.9028891
2018-08-26,
2018-08-31,0.9086967
2018-09-05,
2018-09-10,0.8919502
2018-09-15,0.87686825
2018-09-20,0.87920237
2018-09-25,
2018-09-30,0.8837669
2018-10-05,0.8640504
2018-10-10,0.7346812
2018-10-15,0.6346034
2018-10-20,
2018-10-25,
2018-10-30,
2018-11-04,0.53884673
2018-11-09,
2018-11-14,
2018-11-19,
2018-11-24,
2018-11-29,0.5767786
2018-12-04,
2018-12-09,
2018-12-14,0.26793736
2018-12-19,
2018-12-24,
2018-12-29,
2019-01-03,
2019-01-08,
2019-01-13,
2019-01-18,
2019-01-23,0.16254616
2019-01-28,
2019-02-02,
2019-02-07,0.3593145
2019-02-12,
2019-02-17,0.45644814
2019-02-22,
2019-02-27,0.5215223
2019-03-04,
2019-03-09,
2019-03-14,
2019-03-19,
2019-03-24,
2019-03-29,
2019-04-03,0.3909754
2019-04-08,
2019-04-13,
2019-04-18,0.51944345
2019-04-23,0.62241066
2019-04-28,
2019-05-03,
2019-05-08,0.84529275
2019-05-13,
2019-05-18,0.90798074
2019-05-23,
2019-05-28,
2019-06-02,0.90139127
2019-06-07,0.88099897
2019-06-12,0.8703839
2019-06-17,
2019-06-22,
2019-06-27,0.90027714
2019-07-02,
2019-07-07,
2019-07-12,
2019-07-17,0.90532696
